Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
1.0,1.0,social-relations,1.0,negation,1.0,Chao knows Yan.,Are Chao and Yan friends?,Yes,-13.999373435974121,-10.687409400939941,-12.992401123046875,-11.482041358947754,-1.006972312927246,0.7946319580078125,No,False
2.0,1.0,social-relations,1.0,negation,1.0,Chao knows Yan.,Are Chao and Yan strangers?,No,-8.937041282653809,-2.0624706745147705,-12.992401123046875,-11.482041358947754,4.055359840393066,9.419570684432983,No,True
3.0,1.0,social-relations,1.0,negation,2.0,Chao doesn't know Yan.,Are Chao and Yan friends?,No,-11.311833381652832,-2.999962329864502,-12.992401123046875,-11.482041358947754,1.680567741394043,8.482079029083252,No,True
4.0,1.0,social-relations,1.0,negation,2.0,Chao doesn't know Yan.,Are Chao and Yan strangers?,Yes,-4.999480724334717,-12.187409400939941,-12.992401123046875,-11.482041358947754,7.992920398712158,-0.7053680419921875,Yes,True
5.0,2.0,social-relations,2.0,antonym,1.0,Chao is warm toward Yan.,Are Chao and Yan friends?,Yes,-9.686744689941406,-11.812368392944336,-12.992401123046875,-11.482041358947754,3.3056564331054688,-0.33032703399658203,Yes,True
6.0,2.0,social-relations,2.0,antonym,1.0,Chao is warm toward Yan.,Are Chao and Yan strangers?,No,-9.249290466308594,-4.312448501586914,-12.992401123046875,-11.482041358947754,3.7431106567382812,7.16959285736084,No,True
8.0,2.0,social-relations,2.0,antonym,2.0,Chao is indifferent toward Yan.,Are Chao and Yan strangers?,Yes,-11.123674392700195,-6.656040191650391,-12.992401123046875,-11.482041358947754,1.8687267303466797,4.826001167297363,No,False
9.0,3.0,social-relations,3.0,other,1.0,Chao likes Yan.,Are Chao and Yan friends?,Yes,-8.811833381652832,-4.7812113761901855,-12.992401123046875,-11.482041358947754,4.180567741394043,6.700829982757568,No,False
10.0,3.0,social-relations,3.0,other,1.0,Chao likes Yan.,Are Chao and Yan strangers?,No,-10.311744689941406,-2.9374380111694336,-12.992401123046875,-11.482041358947754,2.6806564331054688,8.54460334777832,No,True
13.0,4.0,social-relations,4.0,antonym,1.0,Chao enjoys spending time with Yan.,Are Chao and Yan friends?,Yes,-6.749796390533447,-13.874954223632812,-12.992401123046875,-11.482041358947754,6.242604732513428,-2.3929128646850586,Yes,True
