Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
1.0,1.0,material-dynamics,1.0,material,1.0,Chao sees something that is fabric.,Can Chao fold it?,Yes,0,-3.8020994663238525,-5.076024055480957,-4.129554456243148,-4.748569065561662,0.32745498991929556,Yes,True
2.0,1.0,material-dynamics,1.0,material,1.0,Chao sees something that is fabric.,Can Chao pour it?,No,0,-3.715272903442383,-3.9445059299468994,-4.042727893361678,-3.617050940027604,0.32745498991929556,No,True
3.0,1.0,material-dynamics,1.0,material,2.0,Chao sees something that is liquid.,Can Chao fold it?,No,0,-4.546452522277832,-5.93230676651001,-4.873907512197127,-5.604851776590714,0.32745498991929556,Yes,False
4.0,1.0,material-dynamics,1.0,material,2.0,Chao sees something that is liquid.,Can Chao pour it?,Yes,0,-3.9340262413024902,-4.995158672332764,-4.261481231221786,-4.667703682413468,0.32745498991929556,Yes,True
5.0,2.0,material-dynamics,2.0,material,1.0,Chao sees the denim.,Can Chao fold it?,Yes,0,-3.9489893913269043,-4.94584846496582,-4.2764443812462,-4.618393475046525,0.32745498991929556,Yes,True
6.0,2.0,material-dynamics,2.0,material,1.0,Chao sees the denim.,Can Chao pour it?,No,0,-3.860975980758667,-4.593721866607666,-4.188430970677962,-4.266266876688371,0.32745498991929556,Yes,False
7.0,2.0,material-dynamics,2.0,material,2.0,Chao sees the water.,Can Chao fold it?,No,0,-5.115234375,-6.185657024383545,-5.442689364919295,-5.85820203446425,0.32745498991929556,Yes,False
8.0,2.0,material-dynamics,2.0,material,2.0,Chao sees the water.,Can Chao pour it?,Yes,0,-3.992389678955078,-4.879385471343994,-4.3198446688743735,-4.551930481424699,0.32745498991929556,Yes,True
10.0,3.0,material-dynamics,3.0,material,1.0,Chao sees something that is fabric.,Can Chao stir it?,No,0,-3.393139600753784,-3.866990089416504,-3.7205945906730795,-3.5395350994972086,0.32745498991929556,No,True
12.0,3.0,material-dynamics,3.0,material,2.0,Chao sees something that is liquid.,Can Chao stir it?,Yes,0,-3.831638813018799,-5.099859237670898,-4.159093802938094,-4.772404247751603,0.32745498991929556,Yes,True
16.0,4.0,material-dynamics,4.0,material,2.0,Chao sees the water.,Can Chao stir it?,Yes,0,-3.7138559818267822,-4.408820629119873,-4.041310971746078,-4.081365639200578,0.32745498991929556,Yes,True
20.0,5.0,material-dynamics,5.0,material,2.0,Chao sees something that is gas.,Can Chao stir it?,Yes,0,-3.706550359725952,-4.51987361907959,-4.0340053496452475,-4.1924186291602945,0.32745498991929556,Yes,True
24.0,6.0,material-dynamics,6.0,material,2.0,Chao sees the oxygen.,Can Chao stir it?,Yes,0,-3.756124496459961,-4.237711429595947,-4.083579486379256,-3.910256439676652,0.32745498991929556,No,False
25.0,7.0,material-dynamics,7.0,material,1.0,Chao sees something that is rigid.,Can it break?,Yes,0,-3.640660047531128,-3.1916093826293945,-3.9681150374504233,-2.864154392710099,0.32745498991929556,No,False
26.0,7.0,material-dynamics,7.0,material,1.0,Chao sees something that is rigid.,Can it ripple?,No,0,-4.521788120269775,-4.775094509124756,-4.849243110189071,-4.4476395192054605,0.32745498991929556,No,True
27.0,7.0,material-dynamics,7.0,material,2.0,Chao sees something that is fabric.,Can it break?,No,0,-3.1507794857025146,-3.303415060043335,-3.47823447562181,-2.9759600701240396,0.32745498991929556,No,True
28.0,7.0,material-dynamics,7.0,material,2.0,Chao sees something that is fabric.,Can it ripple?,Yes,0,-3.8044958114624023,-5.472992897033691,-4.131950801381698,-5.145537907114396,0.32745498991929556,Yes,True
31.0,8.0,material-dynamics,8.0,material,2.0,Chao sees something that is liquid.,Can it break?,No,0,-3.6570591926574707,-3.8132035732269287,-3.984514182576766,-3.4857485833076334,0.32745498991929556,No,True
32.0,8.0,material-dynamics,8.0,material,2.0,Chao sees something that is liquid.,Can it ripple?,Yes,0,-3.762561082839966,-5.017997741699219,-4.090016072759261,-4.690542751779923,0.32745498991929556,Yes,True
33.0,9.0,material-dynamics,9.0,material,1.0,Chao sees something that is non-rigid.,Can it break?,Yes,0,-3.5670812129974365,-3.973080635070801,-3.894536202916732,-3.6456256451515054,0.32745498991929556,No,False
34.0,9.0,material-dynamics,9.0,material,1.0,Chao sees something that is non-rigid.,Can it ripple?,No,0,-4.236306667327881,-5.918670177459717,-4.563761657247176,-5.5912151875404215,0.32745498991929556,Yes,False
37.0,10.0,material-dynamics,10.0,material,1.0,Chao sees the feather.,Can it break?,Yes,0,-3.83103084564209,-4.19439697265625,-4.158485835561385,-3.8669419827369547,0.32745498991929556,No,False
38.0,10.0,material-dynamics,10.0,material,1.0,Chao sees the feather.,Can it ripple?,No,0,-4.131354331970215,-5.229616165161133,-4.45880932188951,-4.9021611752418375,0.32745498991929556,Yes,False
40.0,10.0,material-dynamics,10.0,material,2.0,Chao sees the denim.,Can it ripple?,Yes,0,-3.866837501525879,-4.833959579467773,-4.194292491445174,-4.506504589548478,0.32745498991929556,Yes,True
47.0,12.0,material-dynamics,12.0,material,2.0,Chao sees the water.,Can it break?,No,0,-4.249199390411377,-4.549350261688232,-4.576654380330672,-4.221895271768937,0.32745498991929556,No,True
48.0,12.0,material-dynamics,12.0,material,2.0,Chao sees the water.,Can it ripple?,Yes,0,-3.7280352115631104,-4.86699914932251,-4.055490201482406,-4.539544159403214,0.32745498991929556,Yes,True
50.0,13.0,material-dynamics,13.0,material,1.0,Chao sees something that is fabric.,Can it disperse?,No,0,-3.826629877090454,-5.101653575897217,-4.154084867009749,-4.7741985859779215,0.32745498991929556,Yes,False
52.0,13.0,material-dynamics,13.0,material,2.0,Chao sees something that is gas.,Can it disperse?,Yes,0,-4.07612419128418,-5.149570465087891,-4.403579181203475,-4.822115475168595,0.32745498991929556,Yes,True
53.0,14.0,material-dynamics,14.0,material,1.0,Chao sees something that is rigid.,Can Chao squeeze it?,Yes,1,-3.959587574005127,-4.117978572845459,-4.319365198795612,-3.758200948054974,0.3597776247904849,No,False
57.0,15.0,material-dynamics,15.0,material,1.0,Chao sees the cup.,Can Chao squeeze it?,Yes,1,-3.8243043422698975,-4.692352294921875,-4.184081967060383,-4.33257467013139,0.3597776247904849,Yes,True
58.0,15.0,material-dynamics,15.0,material,1.0,Chao sees the cup.,Can Chao pour it?,No,1,-4.248155117034912,-5.20767879486084,-4.6079327418253975,-4.8479011700703545,0.3597776247904849,Yes,False
59.0,15.0,material-dynamics,15.0,material,2.0,Chao sees the water.,Can Chao squeeze it?,No,1,-3.819721221923828,-4.466979026794434,-4.1794988467143135,-4.107201402003948,0.3597776247904849,No,True
61.0,16.0,material-dynamics,16.0,material,1.0,Chao sees something that is non-rigid.,Can Chao compresse it?,Yes,1,-4.5096588134765625,-4.736752510070801,-4.869436438267048,-4.376974885280315,0.3597776247904849,No,False
64.0,16.0,material-dynamics,16.0,material,2.0,Chao sees something that is granular.,Can Chao pour it?,Yes,1,-3.2908382415771484,-3.701517343521118,-3.6506158663676334,-3.3417397187306332,0.3597776247904849,No,False
65.0,17.0,material-dynamics,17.0,material,1.0,Chao sees the feather.,Can Chao compresse it?,Yes,1,-3.932647228240967,-4.580495834350586,-4.292424853031452,-4.220718209560101,0.3597776247904849,No,False
66.0,17.0,material-dynamics,17.0,material,1.0,Chao sees the feather.,Can Chao pour it?,No,1,-4.0731201171875,-5.084277153015137,-4.432897741977985,-4.724499528224651,0.3597776247904849,Yes,False
