question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
What size of cannula would you use in a patient who needed a rapid blood transfusion (as of 2020 medical knowledge)?,(A) 18 gauge.,(B) 20 gauge.,(C) 22 gauge.,(D) 24 gauge.,A,B,False,20.0,0,-3.193260669708252,-0.1587989181280136,-2.450835943222046,-7.401482105255127,3.2805339840530303,7.095885348781643,4.529083411192547,-0.5902491673332051,-6.473794653761282,-7.254684266909656,-6.9799193544145925,-6.811232937921922,B,B,False,False
"Once a prescribed unit of blood product has been obtained from the blood bank and is out of refrigeration, the transfusion should commence within what period of time before it starts to deteriorate (as of 2020 medical knowledge)?",(A) 30 minutes.,(B) 90 minutes.,(C) 4 hours.,(D) 12 hours.,A,C,False,20.0,0,-2.520195245742798,-5.528995037078857,-0.09239178150892258,-5.5824384689331055,3.9535994080184844,1.7256892298307989,6.88752757290567,1.2287944689888164,-6.473794653761282,-7.254684266909656,-6.9799193544145925,-6.811232937921922,C,C,False,False
Which of the following is true about rectal bleeding?,(A) A painful digital examination suggests an anal fissure,(B) Bright red blood on the finger usually signifies a caecal lesion,(C) Proctoscopy is of no value in the assessment of rectal bleeding,(D) Rectal cancer is the commonest cause of rectal bleeding,A,D,False,20.0,0,-11.057281494140625,-12.251077651977539,-14.221121788024902,-2.3603157387697138e-05,-4.583486840379343,-4.996393385067883,-7.24120243361031,6.811209334764534,-6.473794653761282,-7.254684266909656,-6.9799193544145925,-6.811232937921922,D,D,False,False
Wound drainage should be assessed for volume and consistency:,(A) each time post-operative observations are undertaken.,(B) daily.,(C) every hour.,(D) only when the wound dressing is changed.,A,A,True,20.0,0,-0.04427586495876312,-5.917433261871338,-10.677953720092773,-3.2044456005096436,6.429518788802519,1.3372510050383184,-3.698034365678181,3.6067873374122783,-6.473794653761282,-7.254684266909656,-6.9799193544145925,-6.811232937921922,A,A,True,True
A change in blood pressure is detected by the:,(A) baroreceptors.,(B) chemoreceptors.,(C) vasomotor centre.,(D) cardiovascular centre.,A,A,True,20.0,0,-1.5139461538637988e-05,-15.250303268432617,-17.185100555419922,-16.249317169189453,6.473779514299744,-7.995619001522961,-10.20518120100533,-9.438084231267531,-6.473794653761282,-7.254684266909656,-6.9799193544145925,-6.811232937921922,A,A,True,True
When you are taking a musculoskeletal history which of the following is true?,(A) Drugs may be implicated in the causation of gout,(B) A history of diarrhoea is not relevant,(C) Difficulty rising from a chair is diagnostic of polymyalgic rheumatica,(D) Joint stiffness of 5 minutes duration suggests an arthropathy,A,D,False,20.0,0,-7.563664436340332,-6.162451267242432,-10.160209655761719,-0.0027650471311062574,-1.0898697825790498,1.0922329996672246,-3.180290301347126,6.808467890790816,-6.473794653761282,-7.254684266909656,-6.9799193544145925,-6.811232937921922,D,D,False,False
Which of these combinations of clinical features is most suggestive of mixed mitral valve disease with a predominance of mitral regurgitation?,(A) Displaced apex beat; soft first heart sound; pan-systolic murmur; short mid-diastolic murmur,"(B) Irregularly, irregular pulse; displaced apex beat; ejection systolic murmur; short mid-diastolic murmur",(C) Displaced apex beat; normal first heart sound; pan-systolic murmur; long mid-diastolic murmur,(D) Tapping apex beat; loud first heart sound; pan-systolic murmur; long mid-diastolic murmur,A,A,True,20.0,0,-0.03622223809361458,-6.1198039054870605,-5.990957736968994,-3.5516884326934814,6.437572415667668,1.1348803614225957,0.9889616174455984,3.2595445052284404,-6.473794653761282,-7.254684266909656,-6.9799193544145925,-6.811232937921922,A,A,True,True
Which of the following nucleotide bases is not found in RNA?,(A) Thymine,(B) Adenine,(C) Uracil,(D) Guanine,A,A,True,20.0,0,-0.0002775999018922448,-11.28986930847168,-10.463760375976562,-9.106310844421387,6.47351705385939,-4.035185041562023,-3.48384102156197,-2.295077906499465,-6.473794653761282,-7.254684266909656,-6.9799193544145925,-6.811232937921922,A,A,True,True
An action potential arriving at the motor endplate causes release of:,(A) acetylcholine which traverses the neuromuscular junction.,(B) sodium ions which binds to sodium receptors on the muscle membrane.,(C) calcium ions which initiate an action potential along the muscle fibre.,(D) noradrenaline which increases muscle metabolic activity.,A,A,True,20.0,0,-0.0001593700872035697,-11.522095680236816,-9.55953598022461,-9.544178009033203,6.473635283674079,-4.26741141332716,-2.579616625810017,-2.7329450711112813,-6.473794653761282,-7.254684266909656,-6.9799193544145925,-6.811232937921922,A,A,True,True
Name the bones of the middle finger in the correct order from the hand.,"(A) Proximal phalynx, middle phalynx, distal phalynx.","(B) Distal phalynx, middle phalynx, proximal phalynx.","(C) Middle phalynx, distal phalynx, proximal phalynx.","(D) Distal phalynx, proximal phalynx, middle phalynx.",A,A,True,20.0,0,-0.10319334268569946,-4.651927471160889,-5.8093390464782715,-2.460026264190674,6.370601311075583,2.6027567957487676,1.170580307936321,4.351206673731248,-6.473794653761282,-7.254684266909656,-6.9799193544145925,-6.811232937921922,A,A,True,True
