question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
Which of the following trisomy karyotypes has the mildest effect on human development?,"(A) 47,XXX","(B) 47,XXY","(C) 47,XX,+13","(D) 47,XY,+21",A,D,False,20.0,0,-4.499964714050293,-3.4843013286590576,-2.4842803478240967,-0.488223671913147,-0.3680354734261835,0.12699978947639456,1.340231506029765,0.7727142989635467,-4.1319292406241095,-3.611301118135452,-3.8245118538538616,-1.2609379708766937,D,C,False,False
Severe anaemia at birth is a feature of what?,(A) Alpha-thalassaemia,(B) Beta-thalassaemia,(C) Hereditary persistence of fetal haemoglobin,(D) Sickle cell disease,A,D,False,20.0,0,-4.656086444854736,-4.4059038162231445,-3.1401875019073486,-0.6443238258361816,-0.5241572042306268,-0.7946026980876923,0.684324351946513,0.616614145040512,-4.1319292406241095,-3.611301118135452,-3.8245118538538616,-1.2609379708766937,D,C,False,False
The most common cystic fibrosis mutation consists of:,(A) a deletion.,(B) a duplication.,(C) a substitution.,(D) an insertion.,A,D,False,20.0,0,-5.280805587768555,-5.030679702758789,-4.27970027923584,-2.764904022216797,-1.1488763471444452,-1.4193785846233369,-0.45518842538197823,-1.5039660513401032,-4.1319292406241095,-3.611301118135452,-3.8245118538538616,-1.2609379708766937,D,C,False,False
Transcriptional activator proteins,(A) bind regions near a eukaryotic gene and allow an RNA polymerase to transcribe a gene,(B) bind to ribosomes to activate the production of specific proteins,(C) are produced during an infection of bacteria by a phage,(D) are essential to function of transfer RNAs during translation,A,D,False,20.0,0,-2.0155389308929443,-2.5155274868011475,-3.9998204708099365,-1.2577027082443237,2.116390309731165,1.0957736313343047,-0.17530861695607491,0.0032352626323699507,-4.1319292406241095,-3.611301118135452,-3.8245118538538616,-1.2609379708766937,D,A,False,True
X-chromosome inactivation,(A) results in genetically turning off one of the two X chromosomes in female mammals,(B) takes place in humans so that the same X chromosome is inactive in all of the cells of a female,(C) is the cause of the Y chromosome being genetically inactive,(D) occurs in fruit flies but not in mammals,A,D,False,20.0,0,-1.5780657529830933,-2.578065872192383,-3.8280274868011475,-1.0780657529830933,2.5538634876410162,1.0332352459430694,-0.0035156329472858516,0.18287221789360042,-4.1319292406241095,-3.611301118135452,-3.8245118538538616,-1.2609379708766937,D,A,False,True
Homeobox sequences,(A) are present in the genome of many animal species,(B) are found in prokaryotes but not in eukaryotes,(C) were identified as the integration sites for bacterial viruses,(D) represent integration sites for transposable elements,A,D,False,20.0,1,-2.734330415725708,-2.9842803478240967,-3.7341747283935547,-1.7343013286590576,1.6204830269018808,0.7810124357541404,0.09218565225601205,-0.4977573628226917,-4.354813442627589,-3.765292783578237,-3.8263603806495667,-1.236543965836366,D,A,False,True
Twin studies in humans are useful because,(A) they allow genetic as opposed to environmental influences on variation in a trait to be estimated,(B) cloning of genes is facilitated by the presence of extra copies,(C) they allow improved expression of genes,(D) twins have a greater likelihood of being heterozygous,A,D,False,20.0,1,-1.640418291091919,-1.89035964012146,-4.155679702758789,-1.6401876211166382,2.71439515153567,1.874933143456777,-0.3293193221092223,-0.40364365528027224,-4.354813442627589,-3.765292783578237,-3.8263603806495667,-1.236543965836366,D,A,False,True
Which component of transcribed RNA in eukaryotes is present in the initial transcript but is removed before translation occurs?,(A) Intron,(B) 3’ Poly A tail,(C) Ribosome binding site,(D) 5’ cap,A,D,False,20.0,1,-3.4061899185180664,-2.281137704849243,-3.406064748764038,-1.5233111381530762,0.9486235241095224,1.4841550787289939,0.42029563188552865,-0.28676717231671023,-4.354813442627589,-3.765292783578237,-3.8263603806495667,-1.236543965836366,D,B,False,False
The mutational mechanism in δβ-thalassaemia consists of:,(A) a deletion.,(B) a duplication.,(C) an insertion.,(D) a point mutation.,A,D,False,20.0,1,-4.406096458435059,-4.405996799468994,-3.9214510917663574,-0.4176397919654846,-0.051283015807469745,-0.6407040158907571,-0.09509071111679068,0.8189041738708813,-4.354813442627589,-3.765292783578237,-3.8263603806495667,-1.236543965836366,D,D,False,False
Zinc finger proteins and helix-turn-helix proteins are,(A) types of DNA-binding proteins,(B) involved in the control of translation,(C) components of ribosomes,(D) part of the hemoglobin in blood cells,A,D,False,20.0,1,-4.468723297119141,-5.468630313873291,-5.09361457824707,-2.8593099117279053,-0.11390985449155178,-1.703337530295054,-1.2672541975975036,-1.6227659458915393,-4.354813442627589,-3.765292783578237,-3.8263603806495667,-1.236543965836366,D,A,False,True
Normal adult haemoglobin (Hb A) consists of:,(A) two α (alpha) and two β (beta) chains.,(B) two α and two γ (gamma) chains.,(C) two α and two δ (delta) chains.,(D) four γ chains.,A,D,False,20.0,2,-3.109330415725708,-3.8592536449432373,-5.593575954437256,-2.1092374324798584,1.0863697449366247,-0.2348535815874735,-1.988147485256195,-0.8848666325211525,-4.195700160662333,-3.624400063355764,-3.605428469181061,-1.224370799958706,D,A,False,True
The maternal serum level of alpha-fetoprotein (AFP) is lower than average in which situation?,(A) Down syndrome,(B) Exomphalos,(C) Neural tube defects,(D) Twin pregnancies,A,D,False,20.0,2,-4.531172752380371,-3.7654640674591064,-3.5151875019073486,-0.5155143737792969,-0.33547259171803834,-0.14106400410334263,0.09024096727371234,0.708856426179409,-4.195700160662333,-3.624400063355764,-3.605428469181061,-1.224370799958706,D,D,False,False
In a condition such as schizophrenia the recurrence risk will be greatest for which of the following relatives of an affected individual?,(A) Brother,(B) Nephew,(C) Grandchild,(D) Aunt,A,D,False,20.0,2,-5.124988555908203,-5.624978542327881,-5.374954700469971,-0.13475537300109863,-0.9292883952458704,-2.000578478972117,-1.7695262312889097,1.0896154269576073,-4.195700160662333,-3.624400063355764,-3.605428469181061,-1.224370799958706,D,D,False,False
______ explained genetic disorders such as alkaptonuria and albinism.,(A) Recessive inheritance has,(B) Dominant genes have,(C) X chromosomes,(D) Y chromosomes,A,D,False,20.0,2,-4.124925136566162,-2.1248416900634766,-3.1247386932373047,-2.1247386932373047,0.07077502409617065,1.4995583732922872,0.4806897759437563,-0.9003678932785988,-4.195700160662333,-3.624400063355764,-3.605428469181061,-1.224370799958706,D,B,False,False
"Nature is more important for ______ differences, while nurture has greater influence on ______ differences.",(A) structural and anatomical; psychological and social,(B) psychological and social; structural and anatomical,(C) structural and psychological; anatomical and social,(D) social and anatomical; psychological and structural,A,A,True,20.0,2,-2.062441825866699,-3.312164545059204,-4.061946868896484,-2.3122966289520264,2.1332583347956335,0.3122355182965597,-0.4565183997154234,-1.0879258289933205,-4.195700160662333,-3.624400063355764,-3.605428469181061,-1.224370799958706,A,A,True,True
The most common chromosome abnormality in first trimester spontaneous miscarriages is:,(A) trisomy.,(B) monosomy.,(C) triploidy.,(D) tetrasomy.,A,D,False,20.0,3,-4.187404155731201,-3.6873767375946045,-3.687164545059204,-0.9374039173126221,-0.07504498958587646,-0.08172998229662598,0.0899605830510457,0.35966523538033157,-4.112359166145325,-3.6056467552979785,-3.77712512811025,-1.2970691526929536,D,D,False,False
"If the frequency of males affected with an X-linked recessive condition in a human population is .10 (one in ten), what will be the expected frequency of affected females?",(A) 0.01,(B) 0.001,(C) 0.02,(D) 0.0001,A,D,False,20.0,3,-3.5468013286590576,-3.2967374324798584,-3.5466177463531494,-1.5545302629470825,0.5655578374862671,0.3089093228181201,0.2305073817571004,-0.2574611102541289,-4.112359166145325,-3.6056467552979785,-3.77712512811025,-1.2970691526929536,D,A,False,True
The pattern of inheritance shown by malignant hyperthermia (hyperpyrexia) is:,(A) autosomal dominant.,(B) autosomal recessive.,(C) X-linked dominant.,(D) X-linked recessive.,A,D,False,20.0,3,-4.187404155731201,-3.43741512298584,-4.687269687652588,-1.437425136566162,-0.07504498958587646,0.16823163231213867,-0.9101445595423381,-0.14035598387320847,-4.112359166145325,-3.6056467552979785,-3.77712512811025,-1.2970691526929536,D,B,False,False
Which of the following is not a recognized complication of cystic fibrosis?,(A) Cancer of the oesophagus,(B) Congenital absence of the vas deferens,(C) Diabetes mellitus,(D) Liver cirrhosis,A,D,False,20.0,3,-6.312404155731201,-4.437341690063477,-3.187164545059204,-0.4354509115219116,-2.2000449895858765,-0.831694934765498,0.5899605830510457,0.861618241171042,-4.112359166145325,-3.6056467552979785,-3.77712512811025,-1.2970691526929536,D,D,False,False
Which of the following is not a chromosome instability syndrome?,(A) Klinefelter syndrome,(B) Ataxia telangiectasia,(C) Fanconi anaemia,(D) Bloom syndrome,A,D,False,20.0,3,-4.843677520751953,-4.343630313873291,-2.8590447902679443,-0.8554115295410156,-0.7313183546066284,-0.7379835585753125,0.9180803378423055,0.441657623151938,-4.112359166145325,-3.6056467552979785,-3.77712512811025,-1.2970691526929536,D,C,False,False
In a Robertsonian translocation fusion occurs at the:,(A) telomeres.,(B) centromeres.,(C) histones.,(D) ends of the long arms.,B,D,False,20.0,0,-3.3117902278900146,-2.8113298416137695,-3.5600242614746094,-2.0615885257720947,0.8201390127340948,0.7999712765216827,0.26448759237925223,-0.800650554895401,-4.1319292406241095,-3.611301118135452,-3.8245118538538616,-1.2609379708766937,D,A,False,False
