Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,yes_logprob,no_logprob,predicted_answer,is_correct
1,1,social-properties,1,antonym,1,Chao treats people kindly.,Is Chao friendly?,Yes,-0.8744470477104187,-0.6247546076774597,No,False
2,1,social-properties,1,antonym,1,Chao treats people kindly.,Is Chao hostile?,No,-2.2495415210723877,-0.13164354860782623,No,True
3,1,social-properties,1,antonym,2,Chao treats people coldly.,Is Chao friendly?,No,-2.608795642852783,-0.10127334296703339,No,True
4,1,social-properties,1,antonym,2,Chao treats people coldly.,Is Chao hostile?,Yes,-0.7299593687057495,-0.730269193649292,Yes,True
5,2,social-properties,2,antonym,1,Chao greeted Yan.,Is Chao friendly?,Yes,-0.9877678155899048,-0.6130671501159668,No,False
6,2,social-properties,2,antonym,1,Chao greeted Yan.,Is Chao hostile?,No,-1.6402140855789185,-0.26351118087768555,No,True
7,2,social-properties,2,antonym,2,Chao insulted Yan.,Is Chao friendly?,No,-2.1712582111358643,-0.16670219600200653,No,True
8,2,social-properties,2,antonym,2,Chao insulted Yan.,Is Chao hostile?,Yes,-0.7378281354904175,-0.7381246089935303,Yes,True
9,3,social-properties,3,antonym,1,Chao enjoys meeting new people.,Is Chao friendly?,Yes,-0.7572552561759949,-0.7575801610946655,Yes,True
10,3,social-properties,3,antonym,1,Chao enjoys meeting new people.,Is Chao hostile?,No,-2.3745415210723877,-0.11893834918737411,No,True
11,3,social-properties,3,antonym,2,Chao avoids meeting new people.,Is Chao friendly?,No,-2.374373435974121,-0.12224429100751877,No,True
12,3,social-properties,3,antonym,2,Chao avoids meeting new people.,Is Chao hostile?,Yes,-1.0151293277740479,-0.5115128755569458,No,False
13,4,social-properties,4,other,1,Chao gave Yan a gift.,Is Chao friendly?,Yes,-0.9760223627090454,-0.6013373136520386,No,False
14,4,social-properties,4,other,1,Chao gave Yan a gift.,Is Chao hostile?,No,-1.4449048042297363,-0.31818974018096924,No,True
15,4,social-properties,4,other,2,Chao gave Yan a glare.,Is Chao friendly?,No,-2.28067946434021,-0.16281452775001526,No,True
16,4,social-properties,4,other,2,Chao gave Yan a glare.,Is Chao hostile?,Yes,-0.6949047446250916,-0.820171594619751,Yes,True
17,5,social-properties,5,antonym,1,Chao is reliable.,Is Chao trustworthy?,Yes,-1.3901293277740479,-0.39043083786964417,No,False
18,5,social-properties,5,antonym,1,Chao is reliable.,Is Chao untrustworthy?,No,-2.1714236736297607,-0.17751994729042053,No,True
19,5,social-properties,5,antonym,2,Chao is unreliable.,Is Chao trustworthy?,No,-2.421330690383911,-0.16574349999427795,No,True
20,5,social-properties,5,antonym,2,Chao is unreliable.,Is Chao untrustworthy?,Yes,-0.9213635921478271,-0.6716480255126953,No,False
21,6,social-properties,6,negation,1,Chao can be depended upon.,Is Chao trustworthy?,Yes,-0.769033670425415,-0.7693238258361816,Yes,True
22,6,social-properties,6,negation,1,Chao can be depended upon.,Is Chao untrustworthy?,No,-2.1713945865631104,-0.166780024766922,No,True
23,6,social-properties,6,negation,2,Chao cannot be depended upon.,Is Chao trustworthy?,No,-2.0619471073150635,-0.18821504712104797,No,True
