question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
Which statement best explains the purpose of Hart's distinction between 'being obliged' and 'having an obligation'?,(A) It demonstrates the difference between the internal and the external aspect of a rule.,(B) It refutes the natural lawyer' view of the role of morality in law.,(C) It explains the nature of power-conferring rules.,(D) It illuminates the concept of a rule.,D,-8.668190956115723,-10.87307071685791,-14.450944900512695,-5.061088562011719,D,True
Maine's famous aphorism that 'the movement of progressive societies has hitherto been a movement from Status to Contract' is often misunderstood. In what way?,(A) It is misinterpreted as a prediction.,(B) His concept of status is misrepresented.,(C) It is taken literally.,(D) His idea is considered inapplicable to Western legal systems.,A,-10.300716400146484,-8.257758140563965,-14.063032150268555,-15.361562728881836,B,False
Which of the following factors contributed significantly to the revival of natural law in the 20th century?,(A) Depression of the 1930,(B) The rise of Fascism,(C) The international recognition of human rights after World War II,(D) The Bolshevik Revolution,C,-12.851877212524414,-12.83729362487793,-7.320117950439453,-13.646214485168457,C,True
Which of the following criticisms of Llewellyn's distinction between the grand and formal styles of legal reasoning is the most compelling?,(A) There is no distinction between the two forms of legal reasoning.,"(B) Judges are appointed to interpret the law, not to make it.",(C) It is misleading to pigeon-hole judges in this way.,(D) Judicial reasoning is always formal.,C,-9.647053718566895,-12.695255279541016,-6.056929588317871,-11.164254188537598,C,True
Which proposition below is the most consistent with what Rawls claims the POP would opt for in respect of 'social primary goods'?,(A) The POP will choose wealth over a compassionate society.,(B) The POP will choose equality over power.,(C) The POP will be unselfish.,(D) The POP will choose to protect the disabled.,A,-10.742401123046875,-5.349674224853516,-12.863128662109375,-11.036199569702148,B,False
The ________ School believes that promoting market efficiency should be the central goal of legal decision-making.,(A) Law and Economics,(B) Critical Legal Studies,(C) Historical,(D) Natural Law,A,-5.219341278076172,-10.623967170715332,-13.981849670410156,-12.646214485168457,A,True
Which statement below is the least likely to follow logically from Austin's argument that a sanction consists of the smallest chance of incurring the smallest evil?,(A) All commands include some sanction.,(B) The concept of a command contains the likelihood that a sanction will follow failure to obey the command.,(C) Without a sanction the mere expression of a wish is not a command.,(D) A command confers power to change one's legal status.,D,-9.233810424804688,-12.902276039123535,-13.088422775268555,-5.152535915374756,D,True
How does Weber solve the 'England problem'?,(A) By denying its existence.,(B) By explaining the difference between the common law and civil law.,(C) By distinguishing certain features of the English legal system that facilitated the development of capitalism.,(D) By recognizing the importance of legitimate domination.,C,-13.044541358947754,-13.205272674560547,-5.764710903167725,-12.35445785522461,C,True
Cicero's conception of natural law is 'based on the idea that 'true law is right reason in agreement with Nature.' Reason is a key element because:,(A) It is a sin for humans not to apply reason.,(B) The principles of natural law are discoverable by reason.,(C) Natural law does not apply without good reason.,(D) The law of nature is the basis of all positive law.,B,-14.214776039123535,-6.01217794418335,-15.155860900878906,-15.476877212524414,B,True
"Catharine MacKinnon argues that since men dominate women, the question is ultimately one of power. Which proposition below is the most inconsistent with this argument?",(A) Women can achieve equality through political pressure.,(B) Equality is impossible because men define women as different.,(C) The idea of 'woman' needs to be redefined.,(D) The world is phallocentric and oppressive.,A,-8.849390029907227,-7.5171966552734375,-11.129179954528809,-10.841354370117188,B,False
Who was an exponent of “natural law with a variable content”?,(A) John Rawls,(B) Stammler,(C) Jerome Hall,(D) John Finns,B,-11.888444900512695,-10.373071670532227,-10.244352340698242,-12.924060821533203,C,False
The ________ School of jurisprudence asserts that the law is a means of achieving and advancing certain sociological goals.,(A) Historical,(B) Analytical,(C) Command,(D) Sociological,D,-10.655587196350098,-11.249619483947754,-14.108965873718262,-5.945255279541016,D,True
"According to Malinowski, the Trobriand Islanders organized their society around what concept?",(A) Conflict.,(B) Love.,(C) War.,(D) Reciprocity.,D,-13.108810424804688,-13.424062728881836,-14.982041358947754,-3.7027623653411865,D,True
In Justice for Hedgehogs Dworkin endorses 'Hume's principle'. What does he understand by this idea?,(A) That there is no distinction between law and morality.,(B) That there is a distinction between right and wrong.,(C) That facts about the world or human nature cannot normally ordain what ought to be,(D) That human rights are fundamentally unsound.,C,-10.054901123046875,-11.671310424804688,-4.901483535766602,-5.780881404876709,C,True
Lyotard's dictum 'I define postmodern as incredulity toward meta-narratives' means:,(A) Individual stories are suspect.,(B) The law is static.,(C) Universal values are meaningless.,(D) Literature reproduces repression.,C,-11.098560333251953,-13.911890029907227,-4.1501336097717285,-10.48824405670166,C,True
Habermas distinguishes between 'law as medium' and 'law as institution'. Which statement below most accurately describes this distinction?,"(A) Law as medium' describes law as a body of formal, general rules that control the state and the economy; 'law as institution' inhabits the 'lifeworld' and expresses its shared values and norms in institutional form.",(B) Law as medium' consists of the manner in which law is presented by the media; 'law as institution' describes the courts.,(C) Law as medium' concerns the manner in which the law expresses its rules in simplified terms; 'law as institution' refers to the formal declaration of laws by legislative bodies.,(D) Law as medium' is defined as the intermediate stage of legal development; 'law as institution' is the advanced stage.,A,-2.618072271347046,-7.541229724884033,-8.433899879455566,-5.936529636383057,A,True
