question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"When someone uses grammar or punctuation in a way that makes a statement have more than one possible interpretation, that person may have committed which of the following fallacies?",(A) Amphiboly,(B) Hypostatization,(C) Question begging epithets,(D) Style over substance,A,A,True,20.0,0,-6.043024063110352,-15.158358573913574,-13.171900749206543,-10.851462364196777,4.781007463319433,-2.6708563157805685,-0.7019943881917889,-0.4346311851577074,-10.824031526429785,-12.487502258133006,-12.469906361014754,-10.41683117903907,A,A,True,True
"The Dean was showing a visitor around the campus. The visitor asked, ""About how many students do you have here?"" After a moment of reflection the Dean replied, ""Oh, I'd guess about one in a hundred.""",(A) Equivocation,(B) Fallacy of Division,(C) Appeal to Authority,(D) Denying the Antecedent,A,B,False,20.0,0,-11.208104133605957,-10.659303665161133,-14.084137916564941,-12.827692031860352,-0.3840726071761722,1.828198592971873,-1.6142315555501874,-2.4108608528212816,-10.824031526429785,-12.487502258133006,-12.469906361014754,-10.41683117903907,B,B,False,False
"E.F. Schumacher, famous economist, in an article in the Atlantic (April 1979): Fifteen months [after I had advised that rural India should have a technology intermediate between the hoe and the tractor,] an all-India conference on intermediate technology was arranged. (They still didn't like the term [intermediate], so they called it appropriate technology. That's all right: when I come to India and somebody says, ""Oh, Mr. Schumacher, I don't believe in appropriate technology"", I just look him straight in the face and say, ""Oh, that's splendid. Do you believe in inappropriate technology?"")",(A) Equivocation,(B) Inconsistency,(C) Appeal to Authority,(D) Prejudicial Language,A,D,False,20.0,0,-6.649550914764404,-10.600831031799316,-10.843769073486328,-2.659842014312744,4.1744806116653805,1.8866712263336893,1.626137287528426,7.756989164726326,-10.824031526429785,-12.487502258133006,-12.469906361014754,-10.41683117903907,D,D,False,False
Arguing that someone should do something because other people are doing it is a description of which of the following fallacies?,(A) appeal to common practice,(B) snob appeal,(C) argument by consensus,(D) appeal to tradition,A,C,False,20.0,0,-11.772107124328613,-16.42470932006836,-9.294999122619629,-12.183857917785645,-0.9480755978988284,-3.9372070619353536,3.174907238395125,-1.7670267387465746,-10.824031526429785,-12.487502258133006,-12.469906361014754,-10.41683117903907,C,C,False,False
"John Stuart Mill: Each person's happiness is a good to that person, and the general happiness, therefore, a good to the aggregate of all persons.",(A) Fallacy of Composition,(B) Fallacy of Division,(C) Gambler's Fallacy,(D) Equivocation,A,B,False,20.0,0,-10.384082794189453,-10.299333572387695,-14.604928016662598,-12.155613899230957,0.4399487322403317,2.1881686857453104,-2.1350216556478436,-1.738782720191887,-10.824031526429785,-12.487502258133006,-12.469906361014754,-10.41683117903907,B,B,False,False
Which of the following best describes the fallacy of poisoning the well?,"(A) a way of suppressing evidence that eliminates a source of evidence from consideration by claiming the source is flawed, when there is no true relationship between the alleged flaw and the reliability of the source","(B) arguing that a claim should be accepted based on evidence that is not presented, but asserted to be well known or obvious.","(C) arguing something should be done based only on evidence that it's been done that way in the past, or should be believed only because it's been believed for a long time.",(D) reasoning that a claim is true based only on the evidence that it has been made so often.,A,A,True,20.0,0,-6.035247802734375,-14.27159309387207,-14.872275352478027,-13.69541072845459,4.78878372369541,-1.7840908357390646,-2.4023689914632733,-3.27857954941552,-10.824031526429785,-12.487502258133006,-12.469906361014754,-10.41683117903907,A,A,True,True
"All things that are spoiled are inedible. Timothy is spoiled. So, Timothy is inedible.",(A) Equivocation,(B) Attacking the Person (ad hominem),(C) Fallacy of Division,(D) Questionable Cause,A,A,True,20.0,0,-8.255760192871094,-10.433329582214355,-10.877293586730957,-10.52141284942627,2.568271333558691,2.0541726759186503,1.592612774283797,-0.10458167038719957,-10.824031526429785,-12.487502258133006,-12.469906361014754,-10.41683117903907,A,A,True,True
"In a conditional syllogism, when the minor premise denies the antecedent",(A) no valid conclusion can be drawn,(B) the conclusion must affirm the consequent,(C) the conclusion must deny the consequent,(D) the conclusion must affirm the antecedent,A,A,True,20.0,0,-3.9536020755767822,-12.399491310119629,-9.643495559692383,-10.664344787597656,6.870429450853003,0.08801094801337683,2.826410801322371,-0.24751360855858628,-10.824031526429785,-12.487502258133006,-12.469906361014754,-10.41683117903907,A,A,True,True
Another name for the fallacy of complex question is,(A) Fallacy of interrogation,(B) Compound proposition,(C) Appeal to ignorance,(D) Extension,A,A,True,20.0,0,-7.932076930999756,-13.990883827209473,-14.397786140441895,-11.304506301879883,2.891954595430029,-1.503381569076467,-1.9278797794271405,-0.8876751228408128,-10.824031526429785,-12.487502258133006,-12.469906361014754,-10.41683117903907,A,A,True,True
Arguing that an idea should be accepted or rejected only because of the source of the idea commits which of the following fallacies?,(A) genetic fallacy,(B) appeal to popularity,(C) scare tactics,(D) appeal to emotions,A,A,True,20.0,1,-4.506324291229248,-12.301469802856445,-13.199973106384277,-11.35387134552002,6.220172425801003,0.12849845709624041,-0.6729223993089466,-0.9359007229062701,-10.726496717030251,-12.429968259952686,-12.52705070707533,-10.41797062261375,A,A,True,True
The appeal to joy fallacy involves,(A) arguing that someone should do something based only on the assertion that it will make him or her feel happier,(B) causing confusion during refutation because of a lack of ability to engage in refutation,(C) arguing for a conclusion based only on feeling sorry for someone when that feeling is irrelevant to the conclusion,(D) arguing someone should do something only because other people will like him or her for doing it,A,A,True,20.0,1,-2.1032190322875977,-11.75549030303955,-13.752642631530762,-8.219206809997559,8.623277684742654,0.674477956913135,-1.225591924455431,2.198763812616191,-10.726496717030251,-12.429968259952686,-12.52705070707533,-10.41797062261375,A,A,True,True
