question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"Consider a computer system in which processes can request and release one or more resources. Once a process has been granted a resource, the process has exclusive use of that resource until it is released. If a process requests a resource that is already in use, the process enters a queue for that resource, waiting until the resource is available. Which of the following will NOT deal effectively with the problem of deadlock?",(A) Giving priorities to processes and ordering the wait queues by priority,"(B) Having a process request all its required resources when it first begins, and restarting if it cannot obtain them all",(C) Numbering the resources and requiring that processes request resources in order of increasing number,(D) Having processes time out and restart after a random interval of waiting,A,A,True,20.0,0,-4.96786642074585,-6.217684268951416,-6.527042388916016,-6.342615604400635,-0.7668075329727593,-1.0997613734669152,-1.1285117467244463,-1.4180715613894996,-4.20105888777309,-5.117922895484501,-5.398530642191569,-4.924544043011135,A,A,True,True
"Which of the following is not a sentence that is generated by the grammar A -> BC, B -> x|Bx, C -> B|D, D -> y|Ey, E -> z?",(A) xyz,(B) xy,(C) xxzy,(D) xxxxy,A,A,True,20.0,0,-4.497815132141113,-5.490832328796387,-5.372524261474609,-4.499925136566162,-0.29675624436802295,-0.37290943331188586,0.02600638071695993,0.424618906444973,-4.20105888777309,-5.117922895484501,-5.398530642191569,-4.924544043011135,A,D,True,False
The access matrix approach to protection has the difficulty that,"(A) the matrix, if stored directly, is large and can be clumsy to manage",(B) it is not capable of expressing complex protection requirements,(C) deciding whether a process has access to a resource is undecidable,(D) there is no way to express who has rights to change the access matrix itself,A,A,True,20.0,0,-4.207353591918945,-4.94883394241333,-4.332353591918945,-4.710399627685547,-0.006294704145854979,0.16908895307117078,1.066177050272624,0.21414441532558826,-4.20105888777309,-5.117922895484501,-5.398530642191569,-4.924544043011135,A,C,True,False
"A 3-way, set-associative cache is",(A) one in which each main memory word can be stored at any of 3 cache locations,(B) effective only if 3 or fewer processes are running alternately on the processor,(C) possible only with write-back,(D) faster to access than a direct-mapped cache,A,A,True,20.0,1,-1.8503457307815552,-4.897899627685547,-5.8916401863098145,-4.654600143432617,2.33391754494773,0.31681908501519107,-0.6180640326605902,0.5394444266955061,-4.184263275729285,-5.214718712700738,-5.273576153649224,-5.194044570128123,A,A,True,True
"Which of the following conditions can be expressed by a Boolean formula in the Boolean variables p_1, p_2, p_3, p_4 and the connectives ∧,∨ (without ¬)?I. At least three of p_1, p_2, p_3, p_4 are true.II. Exactly three of p_1, p_2, p_3, p_4 are true.III. An even number of p_1, p_2, p_3, p_4 are true.",(A) I only,(B) II only,(C) III only,(D) I and III,A,A,True,20.0,1,-4.655860900878906,-5.845249652862549,-6.75417947769165,-5.499195575714111,-0.471597625149621,-0.6305309401618109,-1.4806033240424261,-0.30515100558598807,-4.184263275729285,-5.214718712700738,-5.273576153649224,-5.194044570128123,A,D,True,False
Which of the following is (are) true about virtual memory systems that use pages?I. The virtual address space can be larger than the amount of physical memory.II. Programs must be resident in main memory throughout their execution.III. Pages correspond to semantic characteristics of the program.,(A) I only,(B) II only,(C) I and II,(D) I and III,A,A,True,20.0,1,-4.1501336097717285,-4.904380798339844,-5.713983535766602,-4.280805587768555,0.03412966595755673,0.3103379143608942,-0.4404073821173773,0.9132389823595686,-4.184263275729285,-5.214718712700738,-5.273576153649224,-5.194044570128123,A,D,True,False
"Array A contains 256 elements of 4 bytes each. Its first element is stored at physical address 4,096.Array B contains 512 elements of 4 bytes each. Its first element is stored at physical address 8,192.Assume that only arrays A and B can be cached in an initially empty, physically addressed, physically tagged, direct-mapped, 2K-byte cache with an 8-byte block size. The following loop is then executed.for (i = 0; i < 256; i++)        A[i] = A[i] + B[2*i];During the execution of the loop, how many bytes will be written to memory if the cache has a write-back policy?",(A) 0,(B) 256,(C) 1024,(D) 2000,A,A,True,20.0,2,-3.86249041557312,-4.560797691345215,-5.108965873718262,-5.622524261474609,0.24250242114067078,0.768386039468977,0.3304585748248634,-0.49608619345559024,-4.104992836713791,-5.329183730814192,-5.439424448543125,-5.126438068019019,A,B,True,False
"You want to cluster 7 points into 3 clusters using the k-Means Clustering algorithm. Suppose after the first iteration, clusters C1, C2 and C3 contain the following two-dimensional points: C1 contains the 2 points: {(0,6), (6,0)} C2 contains the 3 points: {(2,2), (4,4), (6,6)} C3 contains the 2 points: {(5,5), (7,7)} What are the cluster centers computed for these 3 clusters?","(A) C1: (3,3), C2: (4,4), C3: (6,6)","(B) C1: (3,3), C2: (6,6), C3: (12,12)","(C) C1: (6,6), C2: (12,12), C3: (12,12)","(D) C1: (0,0), C2: (48,48), C3: (35,35)",A,C,False,20.0,2,-4.915647506713867,-3.5770084857940674,-3.4519362449645996,-5.124446868896484,-0.8106546700000763,1.7521752450201244,1.9874882035785255,0.001991199122534759,-4.104992836713791,-5.329183730814192,-5.439424448543125,-5.126438068019019,C,C,False,False
"Local caching of files is common in distributed file systems, but it has the disadvantage that",(A) Temporary inconsistencies among views of a file by different machines can result,(B) The file system is likely to be corrupted when a computer crashes,(C) A much higher amount of network traffic results,(D) Caching makes file migration impossible,A,A,True,20.0,2,-2.139575958251953,-5.112490653991699,-3.824897289276123,-4.997195243835449,1.9654168784618378,0.21669307682249261,1.614527159267002,0.12924282418356992,-4.104992836713791,-5.329183730814192,-5.439424448543125,-5.126438068019019,A,A,True,True
Which of the following statements about Ethernets is typically FALSE?,(A) Ethernets use circuit switching to send messages.,(B) Ethernets use buses with multiple masters.,(C) Ethernet protocols use a collision-detection method to ensure that messages are transmitted properly.,(D) Networks connected by Ethernets are limited in length to a few hundred meters.,A,A,True,20.0,3,-3.6400632858276367,-5.279493808746338,-6.639710903167725,-6.279131889343262,0.3794773320357008,-0.2564694881439209,-1.3579497602250843,-1.3777686092588635,-4.0195406178633375,-5.023024320602417,-5.28176114294264,-4.901363280084398,A,A,True,True
