question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
Why did Americans believe that they could found a different kind of empire after 1776?,(A) This would be an 'empire of liberty',(B) This empire would be multi-cultural,(C) This type of empire would be based on expansion,(D) This would be empire free of slavery,A,A,True,20.0,0,-13.55758285522461,-17.820117950439453,-18.96477508544922,-15.397053718566895,-2.430345296859741,-4.643740463256837,-5.296709163983662,-2.656116612752278,-11.127237558364868,-13.176377487182616,-13.668065921465557,-12.740937105814616,A,A,True,True
What has been an effective way of disbursing US foreign aid to encourage change in target states?,"(A) Conditional programs, such as the Millennium Challenge, that require change before receipt of aid",(B) the use of intergovernmental organizations to monitor aid disbursement,(C) withdrawal of aid for bad policies,"(D) None of the above, international aid never works",A,A,True,20.0,0,-13.304405212402344,-18.992393493652344,-16.492393493652344,-17.108964920043945,-2.1771676540374756,-5.816016006469727,-2.824327572186787,-4.368027814229329,-11.127237558364868,-13.176377487182616,-13.668065921465557,-12.740937105814616,A,A,True,True
What is direct diplomacy?,(A) Members of Congress negotiating directly with foreign governments,(B) Face-to-face meetings between state leaders,(C) The president consulting Congress on foreign policy issues,(D) Bilateral talks that do not involve a third-party negotiator,A,B,False,20.0,0,-8.312383651733398,-7.374332904815674,-12.18258285522461,-13.497815132141113,2.8148539066314697,5.802044582366943,1.4854830662409473,-0.7568780263264969,-11.127237558364868,-13.176377487182616,-13.668065921465557,-12.740937105814616,B,B,False,False
The government body formed to coordinate American foreign and military policy is known as,(A) the National Security Council.,(B) the Pentagon.,(C) the Defense Policy Institute.,(D) the Joint Chiefs of Staff.,A,A,True,20.0,0,-9.935900688171387,-15.623674392700195,-14.871822357177734,-14.436088562011719,1.1913368701934814,-2.447296905517579,-1.2037564357121777,-1.6951514561971024,-11.127237558364868,-13.176377487182616,-13.668065921465557,-12.740937105814616,A,A,True,True
What is the structure of the United Nations Security Council?,"(A) 5 permanent members with veto power, 10 rotating members with no veto power","(B) 5 permanent members and 10 rotating members, all with veto power","(C) 10 permanent members with veto power, and 5 rotating members without veto power",(D) 15 permanent members with veto power,A,A,True,20.0,0,-9.81222152709961,-20.621822357177734,-20.243284225463867,-18.745922088623047,1.3150160312652588,-7.445444869995118,-6.5752183039983105,-6.0049849828084305,-11.127237558364868,-13.176377487182616,-13.668065921465557,-12.740937105814616,A,A,True,True
What caused a public uproar involving the National Security Agency in 2005?,(A) Revelations that the NSA was monitoring the communications of American citizens without obtaining warrants,"(B) A leaked memo that linked the events of September 11, 2001, with the Democratic National Committee","(C) Revelations that the NSA had tortured prisoners at Guantanamo, Cuba","(D) A scathing report condemning the George W. Bush administration for ""building a case for the war in Iraq on a quicksand foundation""",A,A,True,20.0,1,-10.061088562011719,-17.12329864501953,-17.74138641357422,-18.244766235351562,1.303562315305074,-3.7064758300781246,-3.8695617278416954,-4.858799608548482,-11.364650877316793,-13.416822814941407,-13.871824685732523,-13.38596662680308,A,A,True,True
Why do some scholars claim that Reagan 'won the Cold War'?,(A) Reagan's first term military spending pressured the Soviet Union to keep up its international commitments,(B) Reagan encouraged engagement with the Soviet Union,(C) Reagan encouraged a softer approach towards communism,(D) Reagan reduced military spending and this allowed the Soviet Union space to reform,A,A,True,20.0,1,-5.937222003936768,-8.623967170715332,-10.060688018798828,-7.310797691345215,5.427428873380025,4.792855644226075,3.8111366669336952,6.0751689354578655,-11.364650877316793,-13.416822814941407,-13.871824685732523,-13.38596662680308,A,D,True,False
Why might American exceptionalism lead to opposition to world government?,(A) Its general anti-statism opposes centralized government,(B) It views world government as impractical,(C) It views the UN as a sufficient form of global governance,(D) None of the above,A,C,False,20.0,1,-8.741905212402344,-9.86083698272705,-7.0725626945495605,-10.674188613891602,2.622745664914449,3.555985832214356,6.799261991182963,2.711778012911479,-11.364650877316793,-13.416822814941407,-13.871824685732523,-13.38596662680308,C,C,False,False
"Détente, or the relaxing of tensions coupled with firm guarantees of mutual security, represented a shift in American foreign policy toward the communist world ushered in by",(A) Richard Nixon.,(B) Eugene McCarthy,(C) Lyndon Johnson.,(D) Robert Kennedy.,A,D,False,20.0,1,-11.66695785522461,-15.598699569702148,-15.754179954528809,-10.05145263671875,-0.3023069779078167,-2.181876754760742,-1.8823552687962852,3.3345139900843304,-11.364650877316793,-13.416822814941407,-13.871824685732523,-13.38596662680308,D,D,False,False
What was the Marshall Plan?,(A) A plan that provided economic assistance to rebuild Europe.,(B) A plan to provide aid to Greece and Turkey in their stand against Soviet and Soviet-assisted threats,(C) A plan that provided Europe with military assistance to counter the Soviet threat,(D) The plan designed to stop communism in Asia,A,A,True,20.0,1,-10.31246280670166,-16.749841690063477,-16.874195098876953,-17.873497009277344,1.0521880706151325,-3.33301887512207,-3.0023704131444298,-4.487530382474263,-11.364650877316793,-13.416822814941407,-13.871824685732523,-13.38596662680308,A,A,True,True
