Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
1,1,agent-properties,1,negation,1,Chao is looking at the wheel.,Does Chao see the wheel?,Yes,20.0,0,-0.00626981258392334,-5.499983310699463,1.054630490551249,-4.2244465101187405,-1.0609003031351723,-1.2755368005807222,Yes,True,True,True
2,1,agent-properties,1,negation,2,Chao is not looking at the wheel.,Does Chao see the wheel?,No,20.0,0,-7.999983310699463,-0.0028166770935058594,-6.939083007564291,1.2727201234872163,-1.0609003031351723,-1.2755368005807222,No,True,False,True
3,1,agent-properties,1,negation,1,Chao is looking at the wheel.,Does Chao not see the wheel?,No,20.0,0,-4.031221866607666,-0.021822452545166016,-2.9703215634724938,1.2537143480355561,-1.0609003031351723,-1.2755368005807222,No,True,False,True
4,1,agent-properties,1,negation,2,Chao is not looking at the wheel.,Does Chao not see the wheel?,Yes,20.0,0,-0.4863009452819824,-0.9882540702819824,0.5745993578531898,0.28728273029873974,-1.0609003031351723,-1.2755368005807222,Yes,True,True,True
5,2,agent-properties,2,antonym,1,The wheel is in front of Chao. Chao is awake.,Does Chao see the wheel?,Yes,20.0,0,-0.08979713916778564,-2.593721628189087,0.9711031639673866,-1.3181848276083648,-1.0609003031351723,-1.2755368005807222,Yes,True,True,True
6,2,agent-properties,2,antonym,2,The wheel is in front of Chao. Chao is asleep.,Does Chao see the wheel?,No,20.0,0,-2.578097105026245,-0.08396732807159424,-1.5171968018910729,1.191569472509128,-1.0609003031351723,-1.2755368005807222,No,True,False,True
7,2,agent-properties,2,antonym,1,The wheel is in front of Chao. Chao is awake.,Does Chao not see the wheel?,No,20.0,0,-0.7108910083770752,-0.7108910083770752,0.35000929475809706,0.564645792203647,-1.0609003031351723,-1.2755368005807222,No,True,False,True
8,2,agent-properties,2,antonym,2,The wheel is in front of Chao. Chao is asleep.,Does Chao not see the wheel?,Yes,20.0,0,-0.03608858585357666,-3.5312061309814453,1.0248117172815956,-2.255669330400723,-1.0609003031351723,-1.2755368005807222,Yes,True,True,True
9,3,agent-properties,3,antonym,1,The wheel is in front of Chao. Chao's eyes are open.,Does Chao see the wheel?,Yes,20.0,0,-0.06343114376068115,-3.0624725818634033,0.9974691593744911,-1.7869357812826812,-1.0609003031351723,-1.2755368005807222,Yes,True,True,True
10,3,agent-properties,3,antonym,2,The wheel is in front of Chao. Chao's eyes are closed.,Does Chao see the wheel?,No,20.0,0,-4.999954700469971,-0.008700251579284668,-3.9390543973347985,1.2668365490014375,-1.0609003031351723,-1.2755368005807222,No,True,False,True
11,3,agent-properties,3,antonym,1,The wheel is in front of Chao. Chao's eyes are open.,Does Chao not see the wheel?,No,20.0,0,-1.3280489444732666,-0.3261258602142334,-0.26714864133809435,0.9494109403664888,-1.0609003031351723,-1.2755368005807222,No,True,False,True
12,3,agent-properties,3,antonym,2,The wheel is in front of Chao. Chao's eyes are closed.,Does Chao not see the wheel?,Yes,20.0,0,-0.0164034403860569,-4.531203269958496,1.0444968627491154,-3.2556664693777737,-1.0609003031351723,-1.2755368005807222,Yes,True,True,True
13,4,agent-properties,4,antonym,1,The wheel is in front of Chao.,Does Chao see the wheel?,Yes,20.0,0,-0.1483910083770752,-2.156221628189087,0.9125092947580971,-0.8806848276083648,-1.0609003031351723,-1.2755368005807222,Yes,True,True,True
14,4,agent-properties,4,antonym,2,The wheel is behind Chao.,Does Chao see the wheel?,No,20.0,0,-1.046847939491272,-0.5429524183273315,0.014052363643900279,0.7325843822533906,-1.0609003031351723,-1.2755368005807222,No,True,False,True
15,4,agent-properties,4,antonym,1,The wheel is in front of Chao.,Does Chao not see the wheel?,No,20.0,0,-0.4784886837005615,-0.9765181541442871,0.5824116194346107,0.29901864643643505,-1.0609003031351723,-1.2755368005807222,Yes,False,True,False
16,4,agent-properties,4,antonym,2,The wheel is behind Chao.,Does Chao not see the wheel?,Yes,20.0,0,-0.20603764057159424,-1.7031080722808838,0.854862662563578,-0.4275712717001616,-1.0609003031351723,-1.2755368005807222,Yes,True,True,True
17,6,agent-properties,5,antonym,1,The bed is in the same room as Chao. The door is closed.,Does Chao see the bed?,Yes,20.0,0,-1.3280969858169556,-0.33006107807159424,-0.2671966826817833,0.9454757225091279,-1.0609003031351723,-1.2755368005807222,No,False,False,False
18,6,agent-properties,5,antonym,2,The bed is in a different room than Chao. The door is closed.,Does Chao see the bed?,No,20.0,0,-5.499983310699463,-0.005116820335388184,-4.439083007564291,1.270419980245334,-1.0609003031351723,-1.2755368005807222,No,True,False,True
19,6,agent-properties,5,antonym,1,The bed is in the same room as Chao. The door is closed.,Does Chao not see the bed?,No,20.0,0,-0.31638944149017334,-1.3202847242355347,0.7445108616449989,-0.044747923654812505,-1.0609003031351723,-1.2755368005807222,Yes,False,True,False
20,6,agent-properties,5,antonym,2,The bed is in a different room than Chao. The door is closed.,Does Chao not see the bed?,Yes,20.0,0,-0.05319535732269287,-3.0468480587005615,1.0077049458124794,-1.7713112581198394,-1.0609003031351723,-1.2755368005807222,Yes,True,True,True
21,7,agent-properties,6,antonym,1,The airplane is making sounds. The airplane is within earshot of Chao.,Does Chao hear the airplane?,Yes,20.0,0,-0.13571441173553467,-2.640608072280884,0.9251858913996376,-1.3650712717001616,-1.0609003031351723,-1.2755368005807222,Yes,True,True,True
22,7,agent-properties,6,antonym,2,The airplane is making sounds. The airplane is out of earshot of Chao.,Does Chao hear the airplane?,No,20.0,0,-3.5468480587005615,-0.04563784599304199,-2.4859477555653893,1.2298989545876802,-1.0609003031351723,-1.2755368005807222,No,True,False,True
23,7,agent-properties,6,antonym,1,The airplane is making sounds. The airplane is within earshot of Chao.,Does Chao not hear the airplane?,No,20.0,0,-3.0624547004699707,-0.06833171844482422,-2.0015543973347985,1.207205082135898,-1.0609003031351723,-1.2755368005807222,No,True,False,True
24,7,agent-properties,6,antonym,2,The airplane is making sounds. The airplane is out of earshot of Chao.,Does Chao not hear the airplane?,Yes,20.0,0,-0.2098844051361084,-1.7108608484268188,0.8510158979990639,-0.4353240478460967,-1.0609003031351723,-1.2755368005807222,Yes,True,True,True
25,8,agent-properties,7,antonym,1,The airplane is making sounds. The airplane is in front of Chao. Chao is awake.,Does Chao hear the airplane?,Yes,20.0,0,-0.09909427165985107,-2.593733787536621,0.9618060314753212,-1.318196986955899,-1.0609003031351723,-1.2755368005807222,Yes,True,True,True
26,8,agent-properties,7,antonym,2,The airplane is making sounds. The airplane is in front of Chao. Chao is asleep.,Does Chao hear the airplane?,No,20.0,0,-2.609358549118042,-0.11522436141967773,-1.5484582459828697,1.1603124391610444,-1.0609003031351723,-1.2755368005807222,No,True,False,True
27,8,agent-properties,7,antonym,1,The airplane is making sounds. The airplane is in front of Chao. Chao is awake.,Does Chao not hear the airplane?,No,20.0,0,-1.3358111381530762,-0.33586084842681885,-0.2749108350179039,0.9396759521539033,-1.0609003031351723,-1.2755368005807222,No,True,False,True
28,8,agent-properties,7,antonym,2,The airplane is making sounds. The airplane is in front of Chao. Chao is asleep.,Does Chao not hear the airplane?,Yes,20.0,0,-0.05412495508790016,-3.0468013286590576,1.006775348047272,-1.7712645280783355,-1.0609003031351723,-1.2755368005807222,Yes,True,True,True
29,9,agent-properties,8,antonym,1,The airplane is making sounds. The airplane is in front of Chao. Chao's ears are uncovered.,Does Chao hear the airplane?,Yes,20.0,0,-0.023653388023376465,-4.031221866607666,1.0372469151117958,-2.7556850660269436,-1.0609003031351723,-1.2755368005807222,Yes,True,True,True
30,9,agent-properties,8,antonym,2,The airplane is making sounds. The airplane is in front of Chao. Chao's ears are covered.,Does Chao hear the airplane?,No,20.0,0,-4.531203269958496,-0.019259095191955566,-3.470302966823324,1.2562777053887666,-1.0609003031351723,-1.2755368005807222,No,True,False,True
31,9,agent-properties,8,antonym,1,The airplane is making sounds. The airplane is in front of Chao. Chao's ears are uncovered.,Does Chao not hear the airplane?,No,20.0,0,-1.7264894247055054,-0.2255415916442871,-0.6655891215703331,1.049995208936435,-1.0609003031351723,-1.2755368005807222,No,True,False,True
32,9,agent-properties,8,antonym,2,The airplane is making sounds. The airplane is in front of Chao. Chao's ears are covered.,Does Chao not hear the airplane?,Yes,20.0,0,-0.045824769884347916,-3.5468013286590576,1.0150755332508243,-2.2712645280783352,-1.0609003031351723,-1.2755368005807222,Yes,True,True,True
33,10,agent-properties,9,antonym,1,The airplane is making sounds. The airplane is in front of Chao. Chao is wearing goggles.,Does Chao hear the airplane?,Yes,20.0,0,-0.5116908550262451,-1.0155969858169556,0.5492094481089271,0.2599398147637666,-1.0609003031351723,-1.2755368005807222,Yes,True,True,True
34,10,agent-properties,9,antonym,2,The airplane is making sounds. The airplane is in front of Chao. Chao is wearing earplugs.,Does Chao hear the airplane?,No,20.0,0,-4.031221866607666,-0.028676152229309082,-2.9703215634724938,1.246860648351413,-1.0609003031351723,-1.2755368005807222,No,True,False,True
35,10,agent-properties,9,antonym,1,The airplane is making sounds. The airplane is in front of Chao. Chao is wearing goggles.,Does Chao not hear the airplane?,No,20.0,0,-1.7187031507492065,-0.21772658824920654,-0.6578028476140343,1.0578102123315156,-1.0609003031351723,-1.2755368005807222,No,True,False,True
36,10,agent-properties,9,antonym,2,The airplane is making sounds. The airplane is in front of Chao. Chao is wearing earplugs.,Does Chao not hear the airplane?,Yes,20.0,0,-0.05510151758790016,-3.062425136566162,1.005798785547272,-1.78688833598544,-1.0609003031351723,-1.2755368005807222,Yes,True,True,True
37,11,agent-properties,10,antonym,1,The airplane is making sounds. The airplane is near Chao.,Does Chao hear the airplane?,Yes,20.0,0,-0.28511202335357666,-1.7890461683273315,0.7757882797815956,-0.5135093677466094,-1.0609003031351723,-1.2755368005807222,Yes,True,True,True
38,11,agent-properties,10,antonym,2,The airplane is making sounds. The airplane is far from Chao.,Does Chao hear the airplane?,No,20.0,0,-1.101518154144287,-0.6015181541442871,-0.04061785100911486,0.674018646436435,-1.0609003031351723,-1.2755368005807222,No,True,False,True
39,11,agent-properties,10,antonym,1,The airplane is making sounds. The airplane is near Chao.,Does Chao not hear the airplane?,No,20.0,0,-2.156203269958496,-0.1532735824584961,-1.0953029668233238,1.122263218122226,-1.0609003031351723,-1.2755368005807222,No,True,False,True
40,11,agent-properties,10,antonym,2,The airplane is making sounds. The airplane is far from Chao.,Does Chao not hear the airplane?,Yes,20.0,0,-0.7303953170776367,-0.7303953170776367,0.33050498605753553,0.5451414835030854,-1.0609003031351723,-1.2755368005807222,No,False,False,False
41,12,agent-properties,11,antonym,1,The airplane is making sounds. The airplane is in the same room as Chao.,Does Chao hear the airplane?,Yes,20.0,0,-0.1581869125366211,-2.156240224838257,0.9027133905985512,-0.8807034242575347,-1.0609003031351723,-1.2755368005807222,Yes,True,True,True
42,12,agent-properties,11,antonym,2,The airplane is making sounds. The airplane is in a different room than Chao.,Does Chao hear the airplane?,No,20.0,0,-1.0390355587005615,-0.5351400375366211,0.021864744434610728,0.7403967630441011,-1.0609003031351723,-1.2755368005807222,No,True,False,True
43,12,agent-properties,11,antonym,1,The airplane is making sounds. The airplane is in the same room as Chao.,Does Chao not hear the airplane?,No,20.0,0,-1.3202667236328125,-0.3202667236328125,-0.25936642049764025,0.9552700769479097,-1.0609003031351723,-1.2755368005807222,No,True,False,True
44,12,agent-properties,11,antonym,2,The airplane is making sounds. The airplane is in a different room than Chao.,Does Chao not hear the airplane?,Yes,20.0,0,-0.22258341312408447,-1.7186774015426636,0.8383168900110878,-0.4431406009619414,-1.0609003031351723,-1.2755368005807222,Yes,True,True,True
45,13,agent-properties,12,antonym,1,The candle is in front of Chao. Chao's nose is uncovered.,Does Chao smell the candle?,Yes,20.0,0,-0.33981549739837646,-1.3437395095825195,0.7210848057367958,-0.06820270900179737,-1.0609003031351723,-1.2755368005807222,Yes,True,True,True
46,13,agent-properties,12,antonym,2,The candle is in front of Chao. Chao's nose is covered.,Does Chao smell the candle?,No,20.0,0,-1.710909366607666,-0.20895624160766602,-0.6500090634724938,1.0665805589730561,-1.0609003031351723,-1.2755368005807222,No,True,False,True
47,13,agent-properties,12,antonym,1,The candle is in front of Chao. Chao's nose is uncovered.,Does Chao not smell the candle?,No,20.0,0,-0.484347939491272,-0.984347939491272,0.5765523636439003,0.2911888610894502,-1.0609003031351723,-1.2755368005807222,Yes,False,True,False
