question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"When the Spanish explorer Hernando de Soto crossed a portion of the North American continent, his expedition encountered direct descendants of which people?",(A) Mississippian,(B) Adena,(C) Ancestral Puebloan,(D) Kwakiutl,A,A,True,20.0,0,-2.537287473678589,-4.957754611968994,-4.170658588409424,-4.351604461669922,0.4638127561877754,-1.04767287829343,-0.23787399658969788,-0.6048582985120663,-3.0011002298663643,-3.910081733675564,-3.932784591819726,-3.7467461631578556,A,A,True,True
The greatest Egyptian pyramids at Giza were built:,"(A) as burial monuments for the pharaoh Khufu, Khufu's son Khafre, and Khufu's grandson Menkaure.","(B) by slaves who were coerced and worked under the threat of death, as described in the book of Exodus of the Old Testament.",(C) in the construction frenzy of the 6th dynasty.,(D) all of the above.,A,D,False,20.0,0,-2.6794044971466064,-4.2584757804870605,-4.015748023986816,-2.012097120285034,0.3216957327197578,-0.3483940468114963,-0.08296343216709046,1.7346490428728214,-3.0011002298663643,-3.910081733675564,-3.932784591819726,-3.7467461631578556,D,D,False,False
The undersea chasm between New Guinea/Australia and Java/Borneo is called the __________.,(A) Wallace Trench,(B) Sahul Passage,(C) Beringia Abyss,(D) Bering Strait,A,B,False,20.0,0,-3.4534144401550293,-2.7705161571502686,-5.726468563079834,-5.630593299865723,-0.45231421028866503,1.1395655765252957,-1.793683971260108,-1.883847136707867,-3.0011002298663643,-3.910081733675564,-3.932784591819726,-3.7467461631578556,B,B,False,False
What is the earliest form of writing in the world and where did it develop?,"(A) cuneiform, in Mesopotamia","(B) hieroglyphics, in Egypt","(C) clay-tablets, at Knossos","(D) runes, at Stonehenge",A,A,True,20.0,0,-2.0452122688293457,-5.509637832641602,-4.317022323608398,-5.435812473297119,0.9558879610370186,-1.5995560989660373,-0.3842377317886725,-1.6890663101392636,-3.0011002298663643,-3.910081733675564,-3.932784591819726,-3.7467461631578556,A,A,True,True
How does anthropology differ from other social sciences such as economics and sociology?,(A) Anthropology is holistic and integrative in its approach.,(B) Anthropology is less holistic and more theoretical in its approach.,(C) Anthropology tends to focus on specific topics in history.,(D) Anthropology is more narrowly focused than the other social sciences.,A,A,True,20.0,0,-1.923327922821045,-4.930341720581055,-5.333721160888672,-5.206333637237549,1.0777723070453193,-1.0202599869054905,-1.400936569068946,-1.4595874740796932,-3.0011002298663643,-3.910081733675564,-3.932784591819726,-3.7467461631578556,A,A,True,True
"Of the following, which is the earliest example of the development of a complex society?",(A) Jericho in Israel,(B) Caral in Peru,(C) Stonehenge in England,(D) Olmec along the Gulf Coast,A,B,False,20.0,0,-3.156548500061035,-2.8462741374969482,-4.335335731506348,-5.3255767822265625,-0.1554482701946709,1.063807596178616,-0.4025511396866217,-1.578830619068707,-3.0011002298663643,-3.910081733675564,-3.932784591819726,-3.7467461631578556,B,B,False,False
What was the unifying element of Olmec culture?,(A) religious iconography,(B) large armies,(C) agricultural surpluses,(D) all of the above,A,C,False,20.0,0,-2.9000906944274902,-4.564826488494873,-2.876685619354248,-3.1555352210998535,0.10100953543887403,-0.6547447548193088,1.056098972465478,0.5912109420580021,-3.0011002298663643,-3.910081733675564,-3.932784591819726,-3.7467461631578556,C,C,False,False
Lewis Henry Morgan conceived of progress in human culture according to the stages of:,"(A) Savagery, Barbarism, and Civilization.","(B) Savagery, Civilization, and Collapse.","(C) Barbarism, Primitivism, and Civilization.","(D) Stone Age, Bronze Age, and Iron Age.",A,A,True,20.0,0,-2.172508716583252,-4.162398338317871,-4.005560398101807,-4.681221961975098,0.8285915132831123,-0.2523166046423069,-0.07277580628208069,-0.9344757988172421,-3.0011002298663643,-3.910081733675564,-3.932784591819726,-3.7467461631578556,A,A,True,True
What was found in some of the burials at the principal Liangzhu site in eastern China that represents elite status?,(A) finely crafted large jade disks called bi,(B) thousands of shell discs called “bi” that were used as a source of money,(C) copper earspools that were worn by the deceased,(D) gold headdresses that were worn by the deceased,A,A,True,20.0,0,-1.8359483480453491,-4.936992645263672,-5.170976638793945,-4.882450580596924,1.1651518818210151,-1.0269109115881077,-1.2381920469742194,-1.1357044174390682,-3.0011002298663643,-3.910081733675564,-3.932784591819726,-3.7467461631578556,A,A,True,True
What do anthropologists NOT need to know to determine when people entered the Americas from Siberia?,(A) When sled dogs were first domesticated,(B) When the Bering Strait was exposed and open for travel,(C) When eastern Siberia was first inhabited,(D) The age of the earliest New World sites,A,D,False,20.0,0,-3.2577874660491943,-3.761401653289795,-2.91874361038208,-2.573596954345703,-0.25668723618283007,0.1486800803857693,1.0140409814376459,1.1731492088121525,-3.0011002298663643,-3.910081733675564,-3.932784591819726,-3.7467461631578556,D,D,False,False
The ancient city of Cahokia contained more than _______ and a population of around _______.,"(A) 120 earthen mounds; 10,000","(B) 60 burial mounds; 2,000","(C) 50 religious monuments; 5,000","(D) 200 pyramidal mounds; 200,000",A,A,True,20.0,0,-2.2471506595611572,-4.238829135894775,-4.299302101135254,-3.6069366931915283,0.753949570305207,-0.32874740221921117,-0.36651750931552796,0.13980946996632726,-3.0011002298663643,-3.910081733675564,-3.932784591819726,-3.7467461631578556,A,A,True,True
Which of the following is evidence of a complex society?,(A) monumental works,(B) burials with grave goods,(C) leisure and a sedentary lifestyle,(D) all of the above,A,A,True,20.0,0,-2.462768316268921,-3.864330530166626,-3.6904239654541016,-2.704346179962158,0.5383319135974434,0.04575120350893824,0.2423606263656244,1.0423999831956974,-3.0011002298663643,-3.910081733675564,-3.932784591819726,-3.7467461631578556,A,D,True,False
The Aztec Empire was based on the systematic expansion of:,"(A) tribute in the form of gold, jade, feathers, cloth, and jewels.",(B) oppressive social and religious control based on military conquest.,"(C) ceramic production, a distinctive architectural style, and artistic expression.",(D) religious beliefs that required extensive and escalating human sacrifice.,A,D,False,20.0,0,-3.089447498321533,-4.584451675415039,-5.036290645599365,-2.8549530506134033,-0.08834726845516894,-0.6743699417394748,-1.1035060537796393,0.8917931125444523,-3.0011002298663643,-3.910081733675564,-3.932784591819726,-3.7467461631578556,D,D,False,False
"The _______ developed one of the earliest kingdoms in South America, reaching its height at around _________.",(A) Moche; AD 400,(B) Wari; AD 100,(C) Inca; AD 200,(D) Maya; AD 400,A,A,True,20.0,0,-2.586555242538452,-4.465981483459473,-4.514987468719482,-4.529781341552734,0.4145449873279121,-0.5558997497839084,-0.5822028768997565,-0.7830351783948788,-3.0011002298663643,-3.910081733675564,-3.932784591819726,-3.7467461631578556,A,A,True,True
Homo erectus is characterized by:,"(A) a sophisticated stone-tool technology, cooperative hunting, and the controlled use of fire.","(B) a primitive stone-tool technology, the sophisticated use of wood to construct shelters, and the earliest known gardening.","(C) cooperative hunting, the controlled use of fire, and elaborate burials with many grave goods.","(D) a primitive stone-tool technology, the first evidence for fishing, and the construction of stone buildings.",A,A,True,20.0,0,-1.805272102355957,-4.748798370361328,-4.69387149810791,-4.803356647491455,1.1958281275104072,-0.8387166366857639,-0.7610869062881842,-1.0566104843335995,-3.0011002298663643,-3.910081733675564,-3.932784591819726,-3.7467461631578556,A,A,True,True
How were the royal cemeteries of the Moche discovered?,(A) Thieves raiding the tombs were caught by the police.,(B) A forest fire burned away the dense vegetation that concealed the cemetery.,(C) Archaeologists discovered an exact replica of the city in the map room.,(D) A flock of sheep that had been living there fell into a tomb.,A,A,True,20.0,0,-2.7008750438690186,-3.3179073333740234,-4.159675598144531,-3.631289005279541,0.3002251859973457,0.5921744003015408,-0.2268910063248053,0.11545715787831456,-3.0011002298663643,-3.910081733675564,-3.932784591819726,-3.7467461631578556,A,B,True,False
"At its height, only about _______ of the Incan empire was composed of ethnic Inca.",(A) 1 percent,(B) 10 percent,(C) 30 percent,(D) 50 percent,A,A,True,20.0,0,-2.4607815742492676,-3.730433940887451,-3.6456451416015625,-3.5350074768066406,0.5403186556170967,0.17964779278811305,0.28713945021816345,0.21173868635121496,-3.0011002298663643,-3.910081733675564,-3.932784591819726,-3.7467461631578556,A,A,True,True
What was the Chinese technique of stamped or pounded earth that was used in construction of house walls and defensive structures?,(A) Hang-t'u,(B) Scapulimancy,(C) Lung-shan,(D) Qin manufacture,A,A,True,20.0,1,-2.255289077758789,-4.588867664337158,-3.9299702644348145,-4.5710320472717285,0.7312758173428331,-0.6738058860395468,-0.02568309681088321,-0.8038924809764412,-2.986564895101622,-3.9150617782976114,-3.9042871676239312,-3.7671395662952873,A,A,True,True
The epoch in which our earliest non-human primate relatives made their first appearance is called the:,(A) Miocene.,(B) Pliocene.,(C) Triassic.,(D) Cambrian.,A,A,True,20.0,1,-2.5463829040527344,-4.324784278869629,-4.978207588195801,-4.783975601196289,0.4401819910488878,-0.40972250057201753,-1.0739204205718695,-1.0168360349010017,-2.986564895101622,-3.9150617782976114,-3.9042871676239312,-3.7671395662952873,A,A,True,True
In what way were Neandertals physically different from modern Homo sapiens?,"(A) Neandertals had wide, squat torsos and short extremities.",(B) Neandertals had smaller brains and larger noses.,(C) Neandertal skeletons have more bones that modern Homo sapiens.,(D) Both a and b.,A,D,False,20.0,1,-2.4213316440582275,-3.9552698135375977,-4.209619522094727,-2.0849037170410156,0.5652332510433946,-0.040208035239986284,-0.3053323544707953,1.6822358492542717,-2.986564895101622,-3.9150617782976114,-3.9042871676239312,-3.7671395662952873,D,D,False,False
Which species is most typically first associated with the fashioning and use of stone tools?,(A) Homo habilis,(B) Ardipithecus ramidus,(C) Homo sapiens,(D) Australopithecus robustus,A,A,True,20.0,1,-2.1745970249176025,-5.096777439117432,-4.697463512420654,-5.2654643058776855,0.8119678701840196,-1.1817156608198203,-0.793176344796723,-1.4983247395823982,-2.986564895101622,-3.9150617782976114,-3.9042871676239312,-3.7671395662952873,A,A,True,True
What was NOT a deciding factor in the development of Mesopotamian civilization?,(A) the need to concentrate population away from arable lands near rivers,"(B) the need to construct monumental works, such as step-pyramids and temples",(C) the need to develop a complex social system that would allow the construction of canals,(D) the use of irrigation to produce enough food,A,D,False,20.0,1,-3.1038315296173096,-3.7109339237213135,-3.3451485633850098,-2.553575038909912,-0.11726663451568742,0.2041278545762979,0.5591386042389215,1.2135645273853752,-2.986564895101622,-3.9150617782976114,-3.9042871676239312,-3.7671395662952873,D,D,False,False
What do Homo sapiens and Australopithecus afarensis have in common?,(A) a mode of locomotion,(B) a reliance on brachiation,(C) a lack of sexual dimorphism,(D) all the above,A,A,True,20.0,1,-2.3512914180755615,-4.0811357498168945,-3.7847182750701904,-2.9497551918029785,0.6352734770260606,-0.16607397151928316,0.11956889255374081,0.8173843744923088,-2.986564895101622,-3.9150617782976114,-3.9042871676239312,-3.7671395662952873,A,D,True,False
"According to the author, what did the Olmec have in common that bound them together in different territories?","(A) underlying religious beliefs, as seen in Olmec art and iconography",(B) agricultural surpluses that led to the creation of economic inequalities,(C) they spoke the same language and were related by kinship and marriage,"(D) a system of trade and exchange, as seen in tokens used as a form of money",A,A,True,20.0,1,-2.0263137817382812,-4.608414173126221,-4.425596237182617,-3.7486870288848877,0.9602511133633409,-0.6933523948286093,-0.521309069558686,0.01845253741039965,-2.986564895101622,-3.9150617782976114,-3.9042871676239312,-3.7671395662952873,A,A,True,True
Evidence of wild grain harvesting and consumption in Israel dates to as early as,"(A) 20,000 B.P.","(B) 12,000 B.P.","(C) 10,000 B.P.","(D) 8,000 B.P.",A,A,True,20.0,1,-2.789041042327881,-3.0533008575439453,-3.42107892036438,-4.001608371734619,0.1975238527737413,0.8617609207536661,0.48320824725955136,-0.2344688054393318,-2.986564895101622,-3.9150617782976114,-3.9042871676239312,-3.7671395662952873,A,B,True,False
"The __________ tradition features finely made, leaf-shaped stone blades. The __________ tradition, which followed behind it, emphasizes bone and antler work.",(A) Solutrean; Magdelanian,(B) Gravettian; Solutrean,(C) Magdelanian; Aurignacian,(D) Aurignacian; Gravettian.,A,D,False,20.0,1,-3.405290365219116,-3.424781084060669,-3.7642931938171387,-3.2546215057373047,-0.41872547011749406,0.4902806942369424,0.13999397380679257,0.5125180605579827,-2.986564895101622,-3.9150617782976114,-3.9042871676239312,-3.7671395662952873,D,D,False,False
Homo erectus was:,"(A) a stable, long-lived species.","(B) an unsuccessful, short-lived species.",(C) the first hominid to make and use stone tools.,(D) the first hominid to stand “erect” and walk upright.,A,D,False,20.0,1,-3.455392360687256,-4.522541046142578,-3.9006400108337402,-2.305610179901123,-0.4688274655856337,-0.6074792678449668,0.0036471567901910085,1.4615293863941643,-2.986564895101622,-3.9150617782976114,-3.9042871676239312,-3.7671395662952873,D,D,False,False
The Minoans inhabited the _________ island of Crete.,(A) Mediterranean,(B) Egyptian,(C) Mesopotamian,(D) Indonesian,A,A,True,20.0,1,-2.6933441162109375,-5.611472129821777,-5.102798938751221,-5.0214924812316895,0.29322077889068465,-1.696410351524166,-1.1985117711272895,-1.254352914936402,-2.986564895101622,-3.9150617782976114,-3.9042871676239312,-3.7671395662952873,A,A,True,True
