question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"A researcher is hoping to find a predictive linear relationship between the explanatory and response variables in her study. Accordingly, as part of her analysis she plans to generate a 95% confidence interval for the slope of the regression line for the two variables. The interval is determined to be (0.45, 0.80). Which of the following is (are) true? (Assume conditions for inference are met.) I. She has good evidence of a linear relationship between the variables. II. It is likely that there is a non-zero correlation (r) between the two variables. III. It is likely that the true slope of the regression line is 0.",(A) I and II only,(B) I and III only,(C) II and III only,(D) I only,A,A,True,20.0,0,-2.9834957122802734,-3.591160535812378,-3.7630958557128906,-3.6266708374023438,0.06895364572604512,0.06303509573141719,-0.1918528974056244,-0.09925680855909969,-3.0524493580063186,-3.654195631543795,-3.5712429583072662,-3.527414028843244,A,A,True,True
"To study the effect of music on piecework output at a clothing manufacturer, two experimental treatments are planned: day-long classical music for one group versus day-long light rock music for another. Which one of the following groups would serve best as a control for this study?",(A) A third group for which no music is played,(B) A third group that randomly hears either classical or light rock music each day,(C) A third group that hears day-long R & B music,(D) A third group that hears classical music every morning and light rock every afternoon,A,A,True,20.0,0,-1.9862364530563354,-4.542496204376221,-4.629203796386719,-4.535566329956055,1.066212904949983,-0.8883005728324256,-1.0579608380794525,-1.0081523011128106,-3.0524493580063186,-3.654195631543795,-3.5712429583072662,-3.527414028843244,A,A,True,True
Which of the following is notan advantage of stratified random sampling over simple random sampling?,"(A) When done correctly, a stratified random sample is less biased than a simple random sample.","(B) When done correctly, a stratified random sampling process has less variability from sample to sample than a simple random sample.","(C) When done correctly, a stratified random sample can provide, with a smaller sample size, an estimate that is just as reliable as that of a simple random sample with a larger sample size.","(D) A stratified random sample provides information about each stratum in the population as well as an estimate for the population as a whole, and a simple random sample does not.",A,A,True,20.0,0,-2.4014084339141846,-3.3427317142486572,-3.508756160736084,-3.36047625541687,0.651040924092134,0.3114639172951379,0.06248679757118225,0.16693777342637395,-3.0524493580063186,-3.654195631543795,-3.5712429583072662,-3.527414028843244,A,A,True,True
"An experiment is to be conducted to determine whether taking fish oil capsules or garlic capsules has more of an effect on cholesterol levels. In past studies it was noted that daily exercise intensity (low, moderate, high) is associated with cholesterol level, but average sleep length (< 5, 5 - 8, > 8 hours) is not associated with cholesterol level. This experiment should be done",(A) by blocking on exercise intensity,(B) by blocking on sleep length,(C) by blocking on cholesterol level,(D) by blocking on capsule type,A,A,True,20.0,0,-2.0919742584228516,-3.559718132019043,-4.5915913581848145,-4.015019416809082,0.960475099583467,0.09447749952475215,-1.0203483998775482,-0.48760538796583797,-3.0524493580063186,-3.654195631543795,-3.5712429583072662,-3.527414028843244,A,A,True,True
Suppose you wish to compare the AP Statistics exam results for the male and female students taking AP Statistics at your high school. Which is the most appropriate technique for gathering the needed data?,(A) Census,(B) Sample survey,(C) Experiment,(D) Observational study,A,B,False,20.0,0,-3.696455240249634,-2.735644817352295,-4.807494163513184,-5.079259395599365,-0.6440058822433152,0.9185508141915002,-1.2362512052059174,-1.5518453667561212,-3.0524493580063186,-3.654195631543795,-3.5712429583072662,-3.527414028843244,B,B,False,False
"In one study half of a class were instructed to watch exactly 1 hour of television per day, the other half were told to watch 5 hours per day, and then their class grades were compared. In a second study students in a class responded to a questionnaire asking about their television usage and their class grades.","(A) The first study was an experiment without a control group, while the second was an observational study.","(B) The first study was an observational study, while the second was a controlled experiment.",(C) Both studies were controlled experiments.,(D) Both studies were observational studies.,A,B,False,20.0,0,-2.966886520385742,-2.8124594688415527,-3.9167089462280273,-3.806178092956543,0.08556283762057637,0.8417361627022424,-0.3454659879207611,-0.2787640641132989,-3.0524493580063186,-3.654195631543795,-3.5712429583072662,-3.527414028843244,B,B,False,False
A simple random sample is defined by,(A) the method of selection.,(B) examination of the outcome.,(C) both of the above.,(D) how representative the sample is of the population.,A,A,True,20.0,0,-2.1415061950683594,-3.6707732677459717,-3.1852610111236572,-3.5336451530456543,0.9109431629379592,-0.01657763620217656,0.385981947183609,-0.006231124202410232,-3.0524493580063186,-3.654195631543795,-3.5712429583072662,-3.527414028843244,A,A,True,True
"In a clinical trial, 30 sickle cell anemia patients are randomly assigned to two groups. One group receives the currently marketed medicine, and the other group receives an experimental medicine. Each week, patients report to the clinic where blood tests are conducted. The lab technician is unaware of the kind of medicine the patient is taking. This design can be described as","(A) a completely randomized design, with the currently marketed medicine and the experimental medicine as two treatments","(B) a matched-pairs design, with the currently marketed medicine and the experimental medicine forming a pair","(C) a randomized block design, with the currently marketed medicine and the experimental medicine as two blocks","(D) a randomized block design, with the currently marketed medicine and the experimental medicine as two treatments",A,A,True,20.0,0,-1.9639999866485596,-3.9399173259735107,-3.754638195037842,-3.9525036811828613,1.088449371357759,-0.2857216944297156,-0.18339523673057556,-0.42508965233961726,-3.0524493580063186,-3.654195631543795,-3.5712429583072662,-3.527414028843244,A,A,True,True
"Fifty oranges of one variety were selected at random and weighed. A 95 percent confidence interval computed from the sample weights to estimate the mean weight of oranges of this variety is (7.58, 8.72) ounces. Which of the following statements is true with respect to the confidence level used?","(A) In repeated samplings of the same size, 95 percent of the intervals constructed will contain the true mean weight of the oranges of this variety.","(B) In repeated samplings of the same size, 95 percent of the intervals constructed will contain the sampled mean weight of the oranges.",(C) Ninety-five percent of the oranges in this sample weigh between 7.58 and 8.72 ounces.,(D) Ninety-five percent of the oranges of this variety weigh between 7.58 and 8.72 ounces.,A,A,True,20.0,1,-1.874218225479126,-4.234950542449951,-4.123093128204346,-4.29909610748291,1.1587307080626488,-0.6159713268280029,-0.5494792486230531,-0.7554234551886716,-3.0329489335417747,-3.6189792156219482,-3.5736138795812926,-3.5436726522942386,A,A,True,True
Which of these statements correctly explains bias?,(A) It describes a process that creates estimates that are too high on average or too low on average.,(B) It describes a process that results in a sample that does not represent the population.,(C) It describes a lack of randomization in the sampling process.,(D) It describes a sample that is not representative of the population.,A,A,True,20.0,1,-1.9822114706039429,-3.804485559463501,-4.388641357421875,-4.574748992919922,1.0507374629378319,-0.18550634384155273,-0.8150274778405824,-1.0310763406256833,-3.0329489335417747,-3.6189792156219482,-3.5736138795812926,-3.5436726522942386,A,A,True,True
