Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
1,1,material-properties,,negation,1,Chao can see through the wheel.,Is the wheel transparent?,Yes,20.0,0,-2.140284299850464,-0.13260747492313385,-0.5151859626872466,0.5504654912976548,-1.6250983371632173,-0.6830729662207886,No,False,False,False
2,1,material-properties,,negation,1,Chao can see through the wheel.,Is the wheel opaque?,No,20.0,0,-4.030962944030762,-0.02158559300005436,-2.4058646068675444,0.6614873732207343,-1.6250983371632173,-0.6830729662207886,No,True,False,True
3,1,material-properties,,negation,2,Chao cannot see through the wheel.,Is the wheel transparent?,No,20.0,0,-3.9060122966766357,-0.024165518581867218,-2.2809139595134185,0.6589074476389214,-1.6250983371632173,-0.6830729662207886,No,True,False,True
4,1,material-properties,,negation,2,Chao cannot see through the wheel.,Is the wheel opaque?,Yes,20.0,0,-0.6365480422973633,-0.7616329193115234,0.988550294865854,-0.07855995309073482,-1.6250983371632173,-0.6830729662207886,Yes,True,True,True
5,2,material-properties,,material,1,The wheel is made of polyethylene.,Is the wheel transparent?,Yes,20.0,0,-1.8121848106384277,-0.18439127504825592,-0.18708647347521046,0.4986816911725327,-1.6250983371632173,-0.6830729662207886,No,False,False,False
6,2,material-properties,,material,1,The wheel is made of polyethylene.,Is the wheel opaque?,No,20.0,0,-1.8122040033340454,-0.18735112249851227,-0.18710566617082813,0.49572184372227635,-1.6250983371632173,-0.6830729662207886,No,True,False,True
7,2,material-properties,,material,2,The wheel is made of bronze.,Is the wheel transparent?,No,20.0,0,-4.280962944030762,-0.01634598709642887,-2.6558646068675444,0.6667269791243597,-1.6250983371632173,-0.6830729662207886,No,True,False,True
8,2,material-properties,,material,2,The wheel is made of bronze.,Is the wheel opaque?,Yes,20.0,0,-2.3591177463531494,-0.10535503178834915,-0.7340194091899321,0.5777179344324395,-1.6250983371632173,-0.6830729662207886,No,False,False,False
9,3,material-properties,,antonym,1,The surface of the wheel is completely flat.,Is the surface of the wheel smooth?,Yes,20.0,0,-0.10673382133245468,-2.3592610359191895,1.5183645158307626,-1.6761880696984008,-1.6250983371632173,-0.6830729662207886,Yes,True,True,True
10,3,material-properties,,antonym,1,The surface of the wheel is completely flat.,Is the surface of the wheel rough?,No,20.0,0,-6.437203884124756,-0.004041081760078669,-4.812105546961538,0.67903188446071,-1.6250983371632173,-0.6830729662207886,No,True,False,True
11,3,material-properties,,antonym,2,The surface of the wheel is somewhat bumpy.,Is the surface of the wheel smooth?,No,20.0,0,-7.124703884124756,-0.004048952367156744,-5.499605546961538,0.6790240138536319,-1.6250983371632173,-0.6830729662207886,No,True,False,True
12,3,material-properties,,antonym,2,The surface of the wheel is somewhat bumpy.,Is the surface of the wheel rough?,Yes,20.0,0,-0.13456012308597565,-2.1404995918273926,1.4905382140772416,-1.457426625606604,-1.6250983371632173,-0.6830729662207886,Yes,True,True,True
13,4,material-properties,,material,1,The wheel is made of polyethylene.,Is the surface of the wheel smooth?,Yes,20.0,0,-0.48024263978004456,-0.980347752571106,1.1448556973831727,-0.29727478635031734,-1.6250983371632173,-0.6830729662207886,Yes,True,True,True
14,4,material-properties,,material,1,The wheel is made of polyethylene.,Is the surface of the wheel rough?,No,20.0,0,-1.7028049230575562,-0.20685924589633942,-0.07770658589433888,0.4762137203244492,-1.6250983371632173,-0.6830729662207886,No,True,False,True
15,4,material-properties,,material,2,The wheel is made of concrete.,Is the surface of the wheel smooth?,No,20.0,0,-0.9764077663421631,-0.47843265533447266,0.6486905708210542,0.20464031088631596,-1.6250983371632173,-0.6830729662207886,No,True,True,False
16,4,material-properties,,material,2,The wheel is made of concrete.,Is the surface of the wheel rough?,Yes,20.0,0,-0.7614996433258057,-0.6365939378738403,0.8635986938374116,0.04647902834694828,-1.6250983371632173,-0.6830729662207886,No,False,True,True
17,5,material-properties,,antonym,1,Chao squeezed the wheel. It changed its shape.,Is the wheel soft?,Yes,20.0,0,-0.9917860627174377,-0.49191156029701233,0.6333122744457795,0.19116140592377628,-1.6250983371632173,-0.6830729662207886,No,False,True,True
18,5,material-properties,,antonym,1,Chao squeezed the wheel. It changed its shape.,Is the wheel hard?,No,20.0,0,-0.6011672616004944,-0.8512733578681946,1.023931075562723,-0.16820039164740597,-1.6250983371632173,-0.6830729662207886,Yes,False,True,False
19,5,material-properties,,antonym,2,Chao squeezed the wheel. It kept its shape.,Is the wheel soft?,No,20.0,0,-2.030857801437378,-0.15693943202495575,-0.40575946427416065,0.5261335341958329,-1.6250983371632173,-0.6830729662207886,No,True,False,True
