Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
1.0,1.0,material-properties,,negation,1.0,Chao can see through the wheel.,Is the wheel transparent?,Yes,-1.5076881647109985,-0.25573527812957764,-9.223699569702148,-6.845249652862549,7.71601140499115,6.589514374732971,Yes,True
2.0,1.0,material-properties,,negation,1.0,Chao can see through the wheel.,Is the wheel opaque?,No,-1.7030489444732666,-0.20306575298309326,-9.223699569702148,-6.845249652862549,7.520650625228882,6.642183899879456,Yes,False
3.0,1.0,material-properties,,negation,2.0,Chao cannot see through the wheel.,Is the wheel transparent?,No,-1.703027367591858,-0.20404231548309326,-9.223699569702148,-6.845249652862549,7.5206722021102905,6.641207337379456,Yes,False
4.0,1.0,material-properties,,negation,2.0,Chao cannot see through the wheel.,Is the wheel opaque?,Yes,-0.6952155828475952,-0.6952370405197144,-9.223699569702148,-6.845249652862549,8.528483986854553,6.1500126123428345,Yes,True
5.0,2.0,material-properties,,material,1.0,The wheel is made of polyethylene.,Is the wheel transparent?,Yes,-3.046830415725708,-0.04953336715698242,-9.223699569702148,-6.845249652862549,6.17686915397644,6.795716285705566,No,False
6.0,2.0,material-properties,,material,1.0,The wheel is made of polyethylene.,Is the wheel opaque?,No,-2.3437061309814453,-0.10104727745056152,-9.223699569702148,-6.845249652862549,6.879993438720703,6.744202375411987,Yes,False
7.0,2.0,material-properties,,material,2.0,The wheel is made of bronze.,Is the wheel transparent?,No,-3.531203269958496,-0.030367136001586914,-9.223699569702148,-6.845249652862549,5.692496299743652,6.814882516860962,No,True
8.0,2.0,material-properties,,material,2.0,The wheel is made of bronze.,Is the wheel opaque?,Yes,-2.578065872192383,-0.07956182956695557,-9.223699569702148,-6.845249652862549,6.645633697509766,6.765687823295593,No,False
9.0,3.0,material-properties,,antonym,1.0,The surface of the wheel is completely flat.,Is the surface of the wheel smooth?,Yes,-0.6991430521011353,-0.6991829872131348,-9.223699569702148,-6.845249652862549,8.524556517601013,6.146066665649414,Yes,True
10.0,3.0,material-properties,,antonym,1.0,The surface of the wheel is completely flat.,Is the surface of the wheel rough?,No,-3.281177520751953,-0.03902792930603027,-9.223699569702148,-6.845249652862549,5.942522048950195,6.8062217235565186,No,True
11.0,3.0,material-properties,,antonym,2.0,The surface of the wheel is somewhat bumpy.,Is the surface of the wheel smooth?,No,-2.359330415725708,-0.10496771335601807,-9.223699569702148,-6.845249652862549,6.86436915397644,6.740281939506531,Yes,False
12.0,3.0,material-properties,,antonym,2.0,The surface of the wheel is somewhat bumpy.,Is the surface of the wheel rough?,Yes,-0.4823871850967407,-0.9804524183273315,-9.223699569702148,-6.845249652862549,8.741312384605408,5.864797234535217,Yes,True
13.0,4.0,material-properties,,material,1.0,The wheel is made of polyethylene.,Is the surface of the wheel smooth?,Yes,-1.1405489444732666,-0.39056575298309326,-9.223699569702148,-6.845249652862549,8.083150625228882,6.454683899879456,Yes,True
14.0,4.0,material-properties,,material,1.0,The wheel is made of polyethylene.,Is the surface of the wheel rough?,No,-1.703027367591858,-0.2040255069732666,-9.223699569702148,-6.845249652862549,7.5206722021102905,6.641224145889282,Yes,False
15.0,4.0,material-properties,,material,2.0,The wheel is made of concrete.,Is the surface of the wheel smooth?,No,-1.7029995918273926,-0.20404231548309326,-9.223699569702148,-6.845249652862549,7.520699977874756,6.641207337379456,Yes,False
16.0,4.0,material-properties,,material,2.0,The wheel is made of concrete.,Is the surface of the wheel rough?,Yes,-1.312403917312622,-0.31634771823883057,-9.223699569702148,-6.845249652862549,7.911295652389526,6.528901934623718,Yes,True
17.0,5.0,material-properties,,antonym,1.0,Chao squeezed the wheel. It changed its shape.,Is the wheel soft?,Yes,-1.1718013286590576,-0.41984832286834717,-9.223699569702148,-6.845249652862549,8.05189824104309,6.425401329994202,Yes,True
