question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"Magnesium has an atomic radius of 160 pm and a first ionization energy of 737 kJ. Based on periodic trends and the data given above, what are the most probable values for the ionization energy and atomic radius of sodium?","(A) 186 pm, 496 kJ/mol","(B) 186 pm, 898 kJ/mol","(C) 135 pm, 523 kJ/mol","(D) 147 pm, 523 kJ/mol",A,D,False,20.0,0,-2.530184507369995,-2.7797000408172607,-1.413734793663025,-0.5386912226676941,-0.10829941405072097,-0.4811403076386167,0.6465859803193736,1.590554024270248,-2.421885093319274,-2.298559733178644,-2.0603207739823985,-2.129245246937942,D,D,False,False
"Consider the Lewis structures for the following molecules: CO2, CO32-, NO2-, and NO3-. Which molecule would have the shortest bonds?",(A) CO2,(B) CO32-,(C) NO2-,(D) NO3-,A,D,False,20.0,0,-1.9366437196731567,-2.4365885257720947,-1.1871848106384277,-0.8121429085731506,0.4852413736461174,-0.1380287925934507,0.8731359633439708,1.3171023383647915,-2.421885093319274,-2.298559733178644,-2.0603207739823985,-2.129245246937942,D,D,False,False
What is the molar mass of a monoprotic weak acid that requires 26.3 mL of 0.122 M KOH to neutralize 0.682 gram of the acid?,(A) 212 g mol-1,(B) 4.70 g mol-1,(C) 147 g mol-1,(D) 682 g mol-1,A,C,False,20.0,0,-2.4050426483154297,-2.5300426483154297,-0.27478688955307007,-3.2803096771240234,0.016842445003844464,-0.23148291513678565,1.7855338844293285,-1.1510644301860813,-2.421885093319274,-2.298559733178644,-2.0603207739823985,-2.129245246937942,C,C,False,False
The Pauli exclusion principle states that,(A) no two electrons can have the same four quantum numbers,(B) no two electrons with the same spin can occupy an orbital,(C) no two electrons can occupy separate orbitals,(D) no two electrons can pair up if there is an empty orbital available,A,B,False,20.0,0,-0.9357978105545044,-0.5616437196731567,-5.553332328796387,-4.0613298416137695,1.4860872827647698,1.7369160135054873,-3.493011554813988,-1.9320845946758274,-2.421885093319274,-2.298559733178644,-2.0603207739823985,-2.129245246937942,B,B,False,False
Radon is a health hazard because,(A) it is a gas that can be inhaled and then it may decay to a solid that resides in the lungs,"(B) it is a gas that is extremely soluble in the bloodstream, and it decays in vital organs",(C) it is a gas that enters the body easily and targets the thyroid because it is chemically similar to iodine,(D) it is a gas that enters the body easily and targets bones because it is chemically similar to calcium,A,A,True,20.0,0,-0.05727306753396988,-4.987490653991699,-4.866905212402344,-3.560900926589966,2.3646120257853043,-2.688930920813055,-2.806584438419945,-1.4316556796520237,-2.421885093319274,-2.298559733178644,-2.0603207739823985,-2.129245246937942,A,A,True,True
"A certain radioactive material has a half-life of 36 minutes. Starting with 10.00 grams of this material, how many grams will be left after 2 hours?",(A) 1.00 grams,(B) 1.5 × 10^-4 grams,(C) 3.33 grams,(D) 0.25 gram,A,A,True,20.0,0,-0.8390170335769653,-2.7178096771240234,-1.593061923980713,-1.3434040546417236,1.5828680597423088,-0.4192499439453794,0.46725885000168565,0.7858411922962185,-2.421885093319274,-2.298559733178644,-2.0603207739823985,-2.129245246937942,A,A,True,True
A first-order reaction has a half-life of 34 minutes. What is the rate constant for this reaction?,(A) 3.4 × 10^-4 s-1,(B) 2.04 × 10^-2 s-1,(C) 2.9 × 10^-1 min-1,(D) 34 min,A,C,False,20.0,0,-2.4215447902679443,-2.7965009212493896,-0.2906873822212219,-2.7965235710144043,0.00034030305132981553,-0.4979411880707456,1.7696333917611766,-0.6672783240764621,-2.421885093319274,-2.298559733178644,-2.0603207739823985,-2.129245246937942,C,C,False,False
Less than 1/1000 of the mass of any atom is contributed by,(A) the electrons,(B) the electrons and neutrons,(C) the electrons and protons,(D) the protons and neutrons,A,A,True,20.0,1,-0.1485898345708847,-3.4043805599212646,-3.4039957523345947,-3.0283563137054443,2.360284935106479,-0.9565053115643205,-1.2618230866445672,-0.9794370610533014,-2.5088747696773637,-2.447875248356944,-2.1421726656900275,-2.048919252652143,A,A,True,True
"Potassium-40 is a minor isotope found in naturally occurring potassium. It is radioactive and can be detected on simple radiation counters. How many protons, neutrons, and electrons does potassium-40 have when it is part of K2SO4?","(A) 21 neutrons, 19 protons, 18 electrons","(B) 20 neutrons, 19 protons, 19 electrons","(C) 21 neutrons, 19 protons, 19 electrons","(D) 19 neutrons, 19 protons, 19 electrons",A,C,False,20.0,1,-2.420485496520996,-1.6707926988601685,-0.42292898893356323,-3.045485496520996,0.08838927315636758,0.7770825494967757,1.7192436767564643,-0.9965662438688532,-2.5088747696773637,-2.447875248356944,-2.1421726656900275,-2.048919252652143,C,C,False,False
London dispersion forces are caused by,(A) temporary dipoles created by the position of electrons around the nuclei in a molecule,(B) the three-dimensional intermolecular bonding present in all covalent substances,(C) the uneven electron-to-proton ratio found on individual atoms of a molecule,(D) the electronegativity differences between the different atoms in a molecule,A,A,True,20.0,1,-0.025371644645929337,-5.703205108642578,-6.0791401863098145,-5.9001336097717285,2.4835031250314343,-3.255329860285634,-3.936967520619787,-3.8512143571195856,-2.5088747696773637,-2.447875248356944,-2.1421726656900275,-2.048919252652143,A,A,True,True
Which of the following substances has an asymmetrical molecular structure?,(A) SF4,(B) PCl5,(C) BF3,(D) CO2,A,A,True,20.0,1,-0.12261709570884705,-3.435797929763794,-3.8709216117858887,-3.5600242614746094,2.3862576739685166,-0.9879226814068498,-1.7287489460958612,-1.5111050088224665,-2.5088747696773637,-2.447875248356944,-2.1421726656900275,-2.048919252652143,A,A,True,True
"In determining the order for reactant A in a certain reaction, the concentrations of all other reactants are held constant while the concentration of A is tripled from one experiment to another. The reaction rate is found to triple. The appropriate exponent for A in the rate law is",(A) 1,(B) 2,(C) 3,(D) 4,A,A,True,20.0,1,-0.5143597722053528,-4.73824405670166,-1.0150632858276367,-4.99537992477417,1.9945149974720109,-2.290368808344716,1.1271093798623908,-2.946460672122027,-2.5088747696773637,-2.447875248356944,-2.1421726656900275,-2.048919252652143,A,A,True,True
"The reaction of Br2(g) with Cl2(g) to form BrCl(g) has an equilibrium constant of 15.0 at a certain temperature. If 10.0 grams of BrCl is initially present in a 15.0-liter reaction vessel, what will the concentration of BrCl be at equilibrium?",(A) 3.8 × 10^-3 mol/L,(B) 5.77 × 10^-3 mol/L,(C) 1.97 × 10^-3 M,(D) 9.9 × 10^-4 M,A,C,False,20.0,1,-2.0617902278900146,-1.3042327165603638,-1.0541034936904907,-1.5543104410171509,0.447084541787349,1.1436425317965804,1.0880691719995368,0.49460881163499204,-2.5088747696773637,-2.447875248356944,-2.1421726656900275,-2.048919252652143,C,B,False,False
"What is the ionization constant, Ka, for a weak monoprotic acid if a 0.060 molar solution has a pH of 2.0?",(A) 2.0 × 10^-3,(B) 2.0 × 10^-1,(C) 1.7 × 10^-1,(D) 5.0 × 10^-3,A,D,False,20.0,1,-1.1088635921478271,-2.6081488132476807,-2.3585829734802246,-0.7380386590957642,1.4000111775295365,-0.16027356489073652,-0.2164103077901971,1.3108805935563788,-2.5088747696773637,-2.447875248356944,-2.1421726656900275,-2.048919252652143,D,A,False,True
The subatomic particle with the most penetrating ability is,(A) a beta particle,(B) a neutron,(C) a proton,(D) an alpha particle,A,A,True,20.0,2,-0.36037108302116394,-1.8584775924682617,-3.8535380363464355,-2.232699155807495,2.1061884648654434,0.7691036806042706,-1.6828560530474141,-0.14481062295713576,-2.4665595478866074,-2.6275812730725323,-2.1706819832990214,-2.0878885328503594,A,A,True,True
"What is the mass of one molecule of cholesterol (C27H46O, molecular mass = 386)?",(A) 6.41 × 10^-22 g,(B) 1.5 × 10^-21 g,(C) 1.38 × 10^-21 g,(D) 3 × 10^-23 g,A,C,False,20.0,2,-1.093277096748352,-2.093496799468994,-0.8473497033119202,-2.4685401916503906,1.3732824511382553,0.5340844736035382,1.3233322799871012,-0.38065165880003127,-2.4665595478866074,-2.6275812730725323,-2.1706819832990214,-2.0878885328503594,C,A,False,True
Carbon has an atomic radius of 77 pm and a first ionization energy of 1086 kJ/mol.,"(A) 70 pm, 1402 kJ/mol","(B) 86 pm, 898 kJ/mol","(C) 135 pm, 523 kJ/mol","(D) 40 pm, 995 kJ/mol",A,C,False,20.0,2,-1.7885223627090454,-1.5380536317825317,-1.0384875535964966,-1.6635550260543823,0.678037185177562,1.0895276412900006,1.1321944297025248,0.42433350679597703,-2.4665595478866074,-2.6275812730725323,-2.1706819832990214,-2.0878885328503594,C,C,False,False
The net ionic equation expected when solutions of NH4Br and AgNO3 are mixed together is,(A) Ag+(aq) + Br-(aq) → AgBr(s),(B) NH4+(aq) + Ag+(aq) → Ag(NH4)3+2(aq),(C) Br-(aq) + NO3-(aq) → NO3Br(aq),(D) NH4Br(aq) + NO3-(aq) → NH4NO3(aq) + Br-(aq),A,A,True,20.0,2,-0.0414428748190403,-4.458040237426758,-5.144123077392578,-5.899322032928467,2.425116673067567,-1.8304589643542255,-2.9734410940935567,-3.8114335000781074,-2.4665595478866074,-2.6275812730725323,-2.1706819832990214,-2.0878885328503594,A,A,True,True
What is the molecular mass of a gas that has a density of 2.05 g/L at 26.0 °C and 722 torr?,(A) 53.0 g/mol,(B) 46.7 g/mol,(C) 4.67 g/mol,(D) 2876 g/mol,A,B,False,20.0,2,-1.9901505708694458,-0.612699568271637,-1.4917327165603638,-2.608863592147827,0.47640897701716156,2.0148817048008953,0.6789492667386576,-0.5209750592974678,-2.4665595478866074,-2.6275812730725323,-2.1706819832990214,-2.0878885328503594,B,B,False,False
"Sulfurous acid is a weak acid, while sulfuric acid is a much stronger acid because",(A) the O–H bonds in sulfuric acid are much weaker than in sulfurous acid due to the electron withdrawing of the oxygen atoms on sulfuric acid,(B) sulfuric acid has more oxygen atoms in its formula,(C) the sulfur in sulfuric acid is more electronegative than the sulfur in sulfurous acid,(D) sulfuric acid has the hydrogen atoms bound directly to the sulfur atom,A,D,False,20.0,2,-1.1296098232269287,-4.120082378387451,-3.6220145225524902,-0.5076074600219727,1.3369497246596787,-1.4925011053149189,-1.4513325392534688,1.5802810728283867,-2.4665595478866074,-2.6275812730725323,-2.1706819832990214,-2.0878885328503594,D,D,False,False
Which of the following is not a good measure of relative intermolecular attractive forces?,(A) Heat of fusion,(B) Boiling points,(C) Vapor pressures,(D) Heat of vaporization,A,C,False,20.0,2,-1.3897552490234375,-3.014575958251953,-1.0153049230575562,-1.139947533607483,1.0768042988631699,-0.3869946851794208,1.1553770602414652,0.9479409992428764,-2.4665595478866074,-2.6275812730725323,-2.1706819832990214,-2.0878885328503594,C,C,False,False
"When a solid melts, the entropy change and enthalpy changes expected are",(A) positive enthalpy change and positive entropy change,(B) negative entropy change and a negative enthalpy change,(C) negative entropy change and positive enthalpy change,(D) negative enthalpy change and positive entropy change,A,A,True,20.0,3,-0.290177583694458,-4.145540237426758,-2.9185450077056885,-1.9125003814697266,2.1220821048177423,-1.7461863218673637,-0.7187498258205043,0.2691155358971584,-2.4122596885122003,-2.399353915559394,-2.199795181885184,-2.181615917366885,A,A,True,True
What is the work involved if a gas in a 2.0-liter container at 2.4 atmospheres pressure is allowed to expand against a pressure of 0.80 atmosphere?,(A) -3.2 L atm,(B) -9.62 L atm,(C) -4.8 L atm,(D) +14.4 L atm,A,C,False,20.0,3,-1.3589510917663574,-1.7338945865631104,-1.2335319519042969,-1.4839236736297607,1.0533085967458429,0.6654593289962838,0.9662632299808873,0.6976922437371242,-2.4122596885122003,-2.399353915559394,-2.199795181885184,-2.181615917366885,C,A,False,True
A sample of solid MgCl2 would be most soluble in which of the following solutions?,(A) LiOH(aq),(B) CBr4(aq),(C) Mg(NO3)2(aq),(D) AlCl3(aq),A,A,True,20.0,3,-0.506557047367096,-2.2642781734466553,-2.0135397911071777,-2.0146992206573486,1.9057026411451043,0.13507574211273887,0.18625539077800646,0.16691669670953635,-2.4122596885122003,-2.399353915559394,-2.199795181885184,-2.181615917366885,A,A,True,True
"Cerium(III) sulfate, Ce2(SO4)2, is less soluble in hot water than it is in cold. Which of the following conclusions may be related to this?",(A) The heat of solution of cerium(III) sulfate is exothermic.,(B) The hydration energies of cerium ions and sulfate ions are very low.,(C) The heat of solution for cerium(III) sulfate is endothermic.,(D) The solution is not an ideal solution.,A,C,False,20.0,3,-2.9966177940368652,-4.122195243835449,-0.12050741165876389,-3.685797929763794,-0.5843581055246649,-1.722841328276055,2.0792877702264203,-1.504182012396909,-2.4122596885122003,-2.399353915559394,-2.199795181885184,-2.181615917366885,C,C,False,False
The bond length between any two nonmetal atoms is achieved under which of the following conditions?,(A) Where the energy of interaction between the atoms is at its minimum value,(B) Where the nuclei of each atom exhibits the strongest attraction to the electrons of the other atom,(C) The point at which the attractive and repulsive forces between the two atoms are equal,(D) The closest point at which a valence electron from one atom can transfer to the other atom,A,C,False,20.0,3,-3.3199033737182617,-4.527042388916016,-0.08277108520269394,-4.216631889343262,-0.9076436852060614,-2.1276884733566215,2.1170240966824903,-2.0350159719763767,-2.4122596885122003,-2.399353915559394,-2.199795181885184,-2.181615917366885,C,C,False,False
Iron(III) hydroxide has Ksp = 1.6 × 10^-39. What is the molar solubility of this compound?,(A) 8.8 × 10^-11 M,(B) 2.0 × 10^-10 M,(C) 7.4 × 10^-14 mol/L,(D) 9.4 × 10^-6 mol/L,A,C,False,20.0,3,-2.5303096771240234,-2.7803096771240234,-0.41168949007987976,-1.788713812828064,-0.11804998861182314,-0.3809557615646293,1.7881056918053044,0.392902104538821,-2.4122596885122003,-2.399353915559394,-2.199795181885184,-2.181615917366885,C,C,False,False
Which of the following processes is an irreversible reaction?,(A) CH4(g) + O2(g) → CO2(g) + H2O(l),(B) HCN(aq) + H2O(l) → CN-(aq) + H3O+(aq),(C) Al(NO3)3(s) → Al3+(aq) + 3NO3-(aq),(D) 2Ag+(aq) + Ti(s) → 2Ag(s) + Ti2+(aq),A,D,False,20.0,3,-1.2103713750839233,-2.702404022216797,-1.7102106809616089,-0.8357014656066895,1.201888313428277,-0.30305010665740273,0.4895845009235753,1.3459144517601955,-2.4122596885122003,-2.399353915559394,-2.199795181885184,-2.181615917366885,D,D,False,False
A 50.0 mL sample of 0.0025 M HBr is mixed with 50.0 mL of 0.0023 M KOH. What is the pH of the resulting mixture?,(A) 1,(B) 4,(C) 5,(D) 11,B,D,False,20.0,0,-3.3431036472320557,-2.1553666591644287,-1.7885223627090454,-0.5388073325157166,-0.9212185539127815,0.14319307401421533,0.27179841127335314,1.5904379144222256,-2.421885093319274,-2.298559733178644,-2.0603207739823985,-2.129245246937942,D,D,False,False
The symbol for antimony is,(A) W,(B) Sb,(C) Fe,(D) An,B,B,True,20.0,0,-5.3130693435668945,-0.031256549060344696,-5.264710903167725,-5.816626071929932,-2.8911842502476204,2.2673031841182993,-3.204390129185326,-3.6873808249919895,-2.421885093319274,-2.298559733178644,-2.0603207739823985,-2.129245246937942,B,B,True,True
