question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"Jerry read a 200-page book in 10 hours. At that rate, how long will it take him to read a 320-page book?",(A) 16 hours,(B) 18 hours,(C) 24 hours,(D) 32 hours,A,C,False,20.0,0,-1.2646394968032837,-3.2644362449645996,-0.7692648768424988,-1.6402390003204346,1.5716526646395788,-0.6969794031690086,1.324136583559346,0.6415757089689897,-2.8362921614428624,-2.567456841795591,-2.0934014604018447,-2.2818147092894243,C,A,False,True
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,(A) 8,(B) 9,(C) 49,(D) 63,A,A,True,20.0,0,-0.04445634037256241,-4.9001336097717285,-5.271185874938965,-5.213983535766602,2.7918358210703,-2.3326767679761375,-3.17778441453712,-2.9321688264771772,-2.8362921614428624,-2.567456841795591,-2.0934014604018447,-2.2818147092894243,A,A,True,True
Find the value of 6 • 24 ÷ (8 − 5).,(A) 48,(B) 13,(C) −13,(D) 54,A,A,True,20.0,0,-0.9644278883934021,-2.218061923980713,-2.3434250354766846,-0.9646999835968018,1.8718642730494603,0.3493949178148781,-0.25002357507483985,1.3171147256926226,-2.8362921614428624,-2.567456841795591,-2.0934014604018447,-2.2818147092894243,A,A,True,True
Change 34 L 18 cL to liters.,(A) 34.18 L,(B) 35.8 L,(C) 34.018 L,(D) 214 L,A,C,False,20.0,0,-1.4836310148239136,-3.4822237491607666,-0.360710084438324,-3.357699155807495,1.3526611466189489,-0.9147669073651756,1.7326913759635207,-1.0758844465180708,-2.8362921614428624,-2.567456841795591,-2.0934014604018447,-2.2818147092894243,C,C,False,False
"The Mills Library has 1,007,199 books. The Springvale Library has 907,082 books. Which of the following is the best estimate of how many more books the Mills Library has than the Springvale Library?","(A) 100,000 books","(B) 80,000 books","(C) 10,000 books","(D) 8,000 books",A,A,True,20.0,0,-0.7681792378425598,-2.139359712600708,-1.2727106809616089,-2.1401875019073486,2.0681129236003026,0.42809712919488296,0.8206907794402358,0.14162720738207568,-2.8362921614428624,-2.567456841795591,-2.0934014604018447,-2.2818147092894243,A,A,True,True
Max and Jonathon were picking strawberries. Max picked 187 strawberries. Jonathon picked 223 strawberries. Together they ate 26 of the strawberries. Which expression shows a way to find the total number of strawberries Max and Jonathon have left?,(A) 190 + 220 – 30 + 4,(B) 185 + 225 – 25 + 1,(C) 200 + 200 – 30 – 4,(D) 200 + 200 – 25 – 1,A,D,False,20.0,0,-2.4048819541931152,-2.4048819541931152,-1.2808057069778442,-0.6518726348876953,0.4314102072497472,0.16257488760247574,0.8125957534240005,1.629942074401729,-2.8362921614428624,-2.567456841795591,-2.0934014604018447,-2.2818147092894243,D,D,False,False
Which number has an absolute value greater than 5?,(A) -6,(B) -5,(C) 0,(D) 5,A,A,True,20.0,0,-0.030680827796459198,-5.466031551361084,-5.340856075286865,-5.028696060180664,2.8056113336464032,-2.898574709565493,-3.2474546148850205,-2.7468813508912397,-2.8362921614428624,-2.567456841795591,-2.0934014604018447,-2.2818147092894243,A,A,True,True
"Mr. Jones rolls a six-sided cube numbered 1, 2, 3, 4, 5, 6. What is the probability he rolls a three?",(A) 6-Jan,(B) 5-Jan,(C) 3-Jan,(D) 2-Jan,A,C,False,20.0,0,-2.0461761951446533,-2.795199155807495,-0.4232475161552429,-2.296031951904297,0.7901159662982091,-0.22774231401190415,1.6701539442466018,-0.01421724261487256,-2.8362921614428624,-2.567456841795591,-2.0934014604018447,-2.2818147092894243,C,C,False,False
Find the number that makes the statement true: 0.32 g = _ cg.,(A) 32,(B) 3.2,"(C) 3,200",(D) 320,A,A,True,20.0,0,-1.1235885620117188,-1.1247386932373047,-2.1240885257720947,-1.4997833967208862,1.7127035994311437,1.4427181485582863,-0.03068706537025001,0.7820313125685381,-2.8362921614428624,-2.567456841795591,-2.0934014604018447,-2.2818147092894243,A,A,True,True
"If a freight train travels at a speed of 20 miles per hour for 6 hours, how far will it travel?",(A) 120 miles,(B) 80 miles,(C) 26 miles,(D) 12 miles,A,A,True,20.0,0,-0.07771404832601547,-3.20285964012146,-4.467615604400635,-5.468103408813477,2.758578113116847,-0.635402798325869,-2.37421414399879,-3.1862886995240522,-2.8362921614428624,-2.567456841795591,-2.0934014604018447,-2.2818147092894243,A,A,True,True
Malik has 240 CDs. He sorted them into 12 equal groups. Which expression shows how to find the number of CDs in each group?,(A) 240 ÷ 12,(B) 240 – 12,(C) 240 + 12,(D) 240 × 12,A,A,True,20.0,0,-0.017175016924738884,-6.883711814880371,-6.457353591918945,-7.020540237426758,2.8191171445181236,-4.31625497308478,-4.363952131517101,-4.7387255281373335,-2.8362921614428624,-2.567456841795591,-2.0934014604018447,-2.2818147092894243,A,A,True,True
Which expression is equivalent to 5(4x + 3) — 2x?,(A) 18x+15,(B) 18x+3,(C) 7x+8,(D) 2x+8,A,A,True,20.0,0,-0.16096848249435425,-2.5299649238586426,-3.528695821762085,-4.028531551361084,2.675323678948508,0.037491917936948393,-1.4352943613602402,-1.7467168420716597,-2.8362921614428624,-2.567456841795591,-2.0934014604018447,-2.2818147092894243,A,A,True,True
"One of the events at the circus was Gabriella, the Human Cannonball. On Saturday she did four shows. Her distances measured 7.04 meters, 18.81 meters, 18.39 meters, and 19.94 meters. What was the total distance Gabriella flew that day?",(A) 64.18 m,(B) 74.18 m,(C) 57.14 m,(D) 59.24 m,A,B,False,20.0,0,-1.1694376468658447,-0.9214236736297607,-2.545569658279419,-1.7964767217636108,1.6668545145770177,1.6460331681658302,-0.45216819787757423,0.4853379875258135,-2.8362921614428624,-2.567456841795591,-2.0934014604018447,-2.2818147092894243,B,A,False,True
