question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
What size of cannula would you use in a patient who needed a rapid blood transfusion (as of 2020 medical knowledge)?,(A) 18 gauge.,(B) 20 gauge.,(C) 22 gauge.,(D) 24 gauge.,A,A,True,20.0,0,-3.0267226696014404,-5.400545120239258,-5.4546966552734375,-5.9780120849609375,1.2803485918612711,-0.020826937187285566,-0.5621532627514432,-0.678873685144243,-4.307071261462712,-5.379718183051972,-4.892543392521994,-5.2991383998166945,A,A,True,True
"Once a prescribed unit of blood product has been obtained from the blood bank and is out of refrigeration, the transfusion should commence within what period of time before it starts to deteriorate (as of 2020 medical knowledge)?",(A) 30 minutes.,(B) 90 minutes.,(C) 4 hours.,(D) 12 hours.,A,A,True,20.0,0,-3.58124041557312,-5.0267229080200195,-4.873622894287109,-4.76133394241333,0.7258308458895915,0.3529952750319527,0.018920498234884953,0.5378044574033645,-4.307071261462712,-5.379718183051972,-4.892543392521994,-5.2991383998166945,A,A,True,True
Which of the following is true about rectal bleeding?,(A) A painful digital examination suggests an anal fissure,(B) Bright red blood on the finger usually signifies a caecal lesion,(C) Proctoscopy is of no value in the assessment of rectal bleeding,(D) Rectal cancer is the commonest cause of rectal bleeding,A,A,True,20.0,0,-3.055708646774292,-4.354608535766602,-4.073358535766602,-4.266790390014648,1.2513626146884196,1.0251096472853707,0.8191848567553928,1.032348009802046,-4.307071261462712,-5.379718183051972,-4.892543392521994,-5.2991383998166945,A,A,True,True
Wound drainage should be assessed for volume and consistency:,(A) each time post-operative observations are undertaken.,(B) daily.,(C) every hour.,(D) only when the wound dressing is changed.,A,A,True,20.0,0,-4.027731418609619,-4.553526401519775,-4.130640029907227,-5.298586845397949,0.27933984285309243,0.8261917815321969,0.7619033626147678,0.0005515544187453258,-4.307071261462712,-5.379718183051972,-4.892543392521994,-5.2991383998166945,A,B,True,False
A change in blood pressure is detected by the:,(A) baroreceptors.,(B) chemoreceptors.,(C) vasomotor centre.,(D) cardiovascular centre.,A,A,True,20.0,0,-3.8869407176971436,-4.754126071929932,-4.28452730178833,-4.819775581359863,0.420130543765568,0.6255921111220406,0.6080160907336642,0.47936281845683126,-4.307071261462712,-5.379718183051972,-4.892543392521994,-5.2991383998166945,A,B,True,False
When you are taking a musculoskeletal history which of the following is true?,(A) Drugs may be implicated in the causation of gout,(B) A history of diarrhoea is not relevant,(C) Difficulty rising from a chair is diagnostic of polymyalgic rheumatica,(D) Joint stiffness of 5 minutes duration suggests an arthropathy,A,A,True,20.0,0,-3.3967556953430176,-5.419079780578613,-4.741337299346924,-5.880035877227783,0.910315566119694,-0.039361597526641035,0.1512060931750705,-0.5808974774110887,-4.307071261462712,-5.379718183051972,-4.892543392521994,-5.2991383998166945,A,A,True,True
Which of these combinations of clinical features is most suggestive of mixed mitral valve disease with a predominance of mitral regurgitation?,(A) Displaced apex beat; soft first heart sound; pan-systolic murmur; short mid-diastolic murmur,"(B) Irregularly, irregular pulse; displaced apex beat; ejection systolic murmur; short mid-diastolic murmur",(C) Displaced apex beat; normal first heart sound; pan-systolic murmur; long mid-diastolic murmur,(D) Tapping apex beat; loud first heart sound; pan-systolic murmur; long mid-diastolic murmur,A,A,True,20.0,0,-3.2246739864349365,-4.113216876983643,-4.218087196350098,-5.327360153198242,1.082397275027775,1.2665013060683297,0.6744561961718967,-0.028221753381547643,-4.307071261462712,-5.379718183051972,-4.892543392521994,-5.2991383998166945,A,B,True,False
Which of the following nucleotide bases is not found in RNA?,(A) Thymine,(B) Adenine,(C) Uracil,(D) Guanine,A,A,True,20.0,0,-3.6060450077056885,-5.830019474029541,-5.927118301391602,-5.305784702301025,0.7010262537570231,-0.45030129097756877,-1.0345749088696072,-0.006646302484330846,-4.307071261462712,-5.379718183051972,-4.892543392521994,-5.2991383998166945,A,A,True,True
An action potential arriving at the motor endplate causes release of:,(A) acetylcholine which traverses the neuromuscular junction.,(B) sodium ions which binds to sodium receptors on the muscle membrane.,(C) calcium ions which initiate an action potential along the muscle fibre.,(D) noradrenaline which increases muscle metabolic activity.,A,A,True,20.0,0,-4.485540390014648,-5.269500732421875,-4.742563724517822,-5.9841227531433105,-0.17846912855193686,0.11021745063009725,0.14997966800417206,-0.684984353326616,-4.307071261462712,-5.379718183051972,-4.892543392521994,-5.2991383998166945,A,C,True,False
Name the bones of the middle finger in the correct order from the hand.,"(A) Proximal phalynx, middle phalynx, distal phalynx.","(B) Distal phalynx, middle phalynx, proximal phalynx.","(C) Middle phalynx, distal phalynx, proximal phalynx.","(D) Distal phalynx, proximal phalynx, middle phalynx.",A,A,True,20.0,0,-6.037174224853516,-7.517674446105957,-7.527276039123535,-8.411890029907227,-1.730102963390804,-2.137956263053985,-2.634732646601541,-3.112751630090532,-4.307071261462712,-5.379718183051972,-4.892543392521994,-5.2991383998166945,A,A,True,True
