Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
1.0,1.0,social-interactions,1.0,antonym,1.0,Chao is making Yan's job easier.,Is Chao helping Yan?,Yes,0,-0.31126660108566284,-4.310892105102539,-0.04517941052714969,-4.576979295661053,-0.26608719055851315,Yes,True
2.0,1.0,social-interactions,1.0,antonym,1.0,Chao is making Yan's job easier.,Is Chao hindering Yan?,No,0,-4.27685022354126,-0.27684998512268066,-4.010763032982746,-0.5429371756811938,-0.26608719055851315,No,True
3.0,1.0,social-interactions,1.0,antonym,2.0,Chao is making Yan's job harder.,Is Chao helping Yan?,No,0,-4.985628128051758,-0.23568589985370636,-4.719540937493244,-0.5017730904122195,-0.26608719055851315,No,True
4.0,1.0,social-interactions,1.0,antonym,2.0,Chao is making Yan's job harder.,Is Chao hindering Yan?,Yes,0,-0.17543098330497742,-4.924413681030273,0.09065620725353574,-5.190500871588787,-0.26608719055851315,Yes,True
5.0,2.0,social-interactions,2.0,antonym,1.0,Chao is assisting Yan.,Is Chao helping Yan?,Yes,0,-0.5089522004127502,-3.508002996444702,-0.2428650098542371,-3.7740901870032153,-0.26608719055851315,Yes,True
6.0,2.0,social-interactions,2.0,antonym,1.0,Chao is assisting Yan.,Is Chao hindering Yan?,No,0,-4.323530673980713,-0.3235306441783905,-4.057443483422199,-0.5896178347369037,-0.26608719055851315,No,True
7.0,2.0,social-interactions,2.0,antonym,2.0,Chao is obstructing Yan.,Is Chao helping Yan?,No,0,-4.882970809936523,-0.13287538290023804,-4.61688361937801,-0.3989625734587512,-0.26608719055851315,No,True
8.0,2.0,social-interactions,2.0,antonym,2.0,Chao is obstructing Yan.,Is Chao hindering Yan?,Yes,0,-0.5734930634498596,-3.568056106567383,-0.30740587289134647,-3.834143297125896,-0.26608719055851315,Yes,True
9.0,3.0,social-interactions,3.0,antonym,1.0,Chao is removing obstacles in the path of Yan.,Is Chao helping Yan?,Yes,0,-1.1832176446914673,-3.9314517974853516,-0.9171304541329541,-4.197538988043865,-0.26608719055851315,Yes,True
10.0,3.0,social-interactions,3.0,antonym,1.0,Chao is removing obstacles in the path of Yan.,Is Chao hindering Yan?,No,0,-4.1449408531188965,-0.6447393894195557,-3.8788536625603833,-0.9108265799780688,-0.26608719055851315,No,True
11.0,3.0,social-interactions,3.0,antonym,2.0,Chao is introducing obstacles in the path of Yan.,Is Chao helping Yan?,No,0,-5.38157844543457,-0.1317356824874878,-5.115491254876057,-0.39782287304600095,-0.26608719055851315,No,True
12.0,3.0,social-interactions,3.0,antonym,2.0,Chao is introducing obstacles in the path of Yan.,Is Chao hindering Yan?,Yes,0,-0.448685884475708,-4.444446086883545,-0.18259869391719485,-4.7105332774420585,-0.26608719055851315,Yes,True
13.0,4.0,social-interactions,4.0,antonym,1.0,Chao and Yan are working with each other.,Is Chao cooperating with Yan?,Yes,0,-0.8155447840690613,-4.0645952224731445,-0.5494575935105481,-4.330682413031658,-0.26608719055851315,Yes,True
14.0,4.0,social-interactions,4.0,antonym,1.0,Chao and Yan are working with each other.,Is Chao competing with Yan?,No,0,-3.7412784099578857,-0.24092000722885132,-3.4751912193993726,-0.5070071977873645,-0.26608719055851315,No,True
