question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | As my parents slept, I used their toothbrush. Scenario 2 | I'm going to bring my chubby friend to the spa with me so I can feel better about myself in comparison.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-6.123967170715332,-7.249332904815674,-3.874988555908203,-5.124964714050293,1.789267816633548,-0.7524132458668831,1.2794441940649497,-0.9969170938872693,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,C,A,False,True
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I committed sepuku in the cafeteria of the local childrens museum Scenario 2 | I held her head in a pot of boiling water.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-8.36324405670166,-9.61395263671875,-4.062484264373779,-6.312296390533447,-0.45000906935278007,-3.1170329777699592,1.0919484855993735,-2.1842487703704236,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,C,C,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I relocated the refugees to cages. Scenario 2 | I decided to pee in a bush where everyone could see me.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-6.310315132141113,-8.934117317199707,-4.562469005584717,-6.437283515930176,1.6029198552077668,-2.4371976582509163,0.591963744388436,-2.309235895767152,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,C,A,False,True
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I told people that vaccines caused autism so I could sell them snake oil. Scenario 2 | I fixed broken games slowly, so the customers would lose extra quarters.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,A,True,20.0,0,-5.624088764190674,-7.997673988342285,-7.874411582946777,-6.6248087882995605,2.2891462231582063,-1.5007543293934944,-2.7199788329736245,-2.496761168136537,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,A,A,True,True
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I consider friendly fire to be a serious hobby. Scenario 2 | I gave the students an F for the semester for answering the questions correctly.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-7.5565714836120605,-6.6863298416137695,-4.2499799728393555,-5.562384128570557,0.35666350373681954,-0.18941018266497878,0.9044527771337973,-1.434336508407533,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,C,C,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I always gave extra credit on exams to those who had blue eyes. Scenario 2 | I sat outside to spy on the neighbors that came out at night.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-6.685571193695068,-6.811744213104248,-5.06245756149292,-5.5623979568481445,1.2276637936538117,-0.3148245541554573,0.0919751884802329,-1.434350336685121,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,C,A,False,True
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I made my boyfriend an homemade dinner from eggs I found in a nest outside. Scenario 2 | I voted for the man who was a criminal","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,D,False,20.0,0,-8.368284225463867,-6.405679702758789,-7.0309247970581055,-4.406203269958496,-0.4550492381149871,0.09123995619000169,-1.8764920470849527,-0.27815564979547247,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,D,B,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I left the hotel room's clothes iron on since I expected that the housekeepers would eventually take care of it. Scenario 2 | In my midlife crisis, I abandoned my family.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,D,False,20.0,0,-6.717615604400635,-7.218142509460449,-5.343689918518066,-5.093703269958496,1.1956193829482453,-0.7212228505116585,-0.1892571685449136,-0.9656556497954725,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,D,A,False,True
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | He broke my legs when he pushed me. Scenario 2 | I ambushed my mother with a kitchen knife.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,C,False,20.0,0,-8.367853164672852,-9.73895263671875,-3.4531126022338867,-6.843305587768555,-0.4546181773239715,-3.2420329777699592,1.701320147739266,-2.715257967605531,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,C,C,False,False
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I took credit for my coworker's work because I was seeking a promotion. Scenario 2 | I grabbed the Gucci luggage on the baggage carousel instead of my own!","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,A,True,20.0,0,-5.8117899894714355,-6.749595642089844,-6.3749098777771,-6.937269687652588,2.1014449978774445,-0.252675983141053,-1.2204771278039468,-2.8092220674895643,-7.91323498734888,-6.496919658948791,-5.154432749973153,-4.128047620163024,A,A,True,True
