Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,yes_logprob,no_logprob,predicted_answer,is_correct
1,1,social-interactions,1,antonym,1,Chao is making Yan's job easier.,Is Chao helping Yan?,Yes,-0.6753813624382019,-0.8006144762039185,Yes,True
2,1,social-interactions,1,antonym,1,Chao is making Yan's job easier.,Is Chao hindering Yan?,No,-1.5229681730270386,-0.27520647644996643,No,True
3,1,social-interactions,1,antonym,2,Chao is making Yan's job harder.,Is Chao helping Yan?,No,-2.5932466983795166,-0.09253576397895813,No,True
4,1,social-interactions,1,antonym,2,Chao is making Yan's job harder.,Is Chao hindering Yan?,Yes,-0.6127989292144775,-0.8631144762039185,Yes,True
5,2,social-interactions,2,antonym,1,Chao is assisting Yan.,Is Chao helping Yan?,Yes,-0.667519211769104,-0.7928227186203003,Yes,True
6,2,social-interactions,2,antonym,1,Chao is assisting Yan.,Is Chao hindering Yan?,No,-1.4370120763778687,-0.31427326798439026,No,True
7,2,social-interactions,2,antonym,2,Chao is obstructing Yan.,Is Chao helping Yan?,No,-1.8276593685150146,-0.20586003363132477,No,True
8,2,social-interactions,2,antonym,2,Chao is obstructing Yan.,Is Chao hindering Yan?,Yes,-0.9291720390319824,-0.5545302629470825,No,False
9,3,social-interactions,3,antonym,1,Chao is removing obstacles in the path of Yan.,Is Chao helping Yan?,Yes,-0.9526593685150146,-0.5779536962509155,No,False
10,3,social-interactions,3,antonym,1,Chao is removing obstacles in the path of Yan.,Is Chao hindering Yan?,No,-1.2494804859161377,-0.37285616993904114,No,True
11,3,social-interactions,3,antonym,2,Chao is introducing obstacles in the path of Yan.,Is Chao helping Yan?,No,-1.6400632858276367,-0.2673284113407135,No,True
12,3,social-interactions,3,antonym,2,Chao is introducing obstacles in the path of Yan.,Is Chao hindering Yan?,Yes,-0.6673915982246399,-0.792769193649292,Yes,True
13,4,social-interactions,4,antonym,1,Chao and Yan are working with each other.,Is Chao cooperating with Yan?,Yes,-0.8081077337265015,-0.683425784111023,No,False
14,4,social-interactions,4,antonym,1,Chao and Yan are working with each other.,Is Chao competing with Yan?,No,-1.4369804859161377,-0.31423619389533997,No,True
15,4,social-interactions,4,antonym,2,Chao and Yan are working against each other.,Is Chao cooperating with Yan?,No,-1.8354378938674927,-0.21365834772586823,No,True
16,4,social-interactions,4,antonym,2,Chao and Yan are working against each other.,Is Chao competing with Yan?,Yes,-0.7924264669418335,-0.6677563190460205,No,False
17,5,social-interactions,5,antonym,1,Chao and Yan are helping each other.,Is Chao cooperating with Yan?,Yes,-0.7338305711746216,-0.7341747283935547,Yes,True
18,5,social-interactions,5,antonym,1,Chao and Yan are helping each other.,Is Chao competing with Yan?,No,-1.7260857820510864,-0.23026920855045319,No,True
19,5,social-interactions,5,antonym,2,Chao and Yan are hindering each other.,Is Chao cooperating with Yan?,No,-2.046363592147827,-0.1667928844690323,No,True
20,5,social-interactions,5,antonym,2,Chao and Yan are hindering each other.,Is Chao competing with Yan?,Yes,-1.0853713750839233,-0.4587765038013458,No,False
21,6,social-interactions,6,antonym,1,Chao will be happy if Yan succeeds.,Is Chao cooperating with Yan?,Yes,-1.1010550260543823,-0.47245827317237854,No,False
22,6,social-interactions,6,antonym,1,Chao will be happy if Yan succeeds.,Is Chao competing with Yan?,No,-1.4291387796401978,-0.3024590313434601,No,True
23,6,social-interactions,6,antonym,2,Chao will be happy if Yan fails.,Is Chao cooperating with Yan?,No,-1.34317946434021,-0.3435265123844147,No,True
24,6,social-interactions,6,antonym,2,Chao will be happy if Yan fails.,Is Chao competing with Yan?,Yes,-0.9955074191093445,-0.49780192971229553,No,False
25,7,social-interactions,7,antonym,1,Chao is avoiding Yan.,Is Chao evading Yan?,Yes,-0.9292327165603638,-0.5545092821121216,No,False
26,7,social-interactions,7,antonym,1,Chao is avoiding Yan.,Is Chao chasing Yan?,No,-1.6245955228805542,-0.2498089224100113,No,True
27,7,social-interactions,7,antonym,2,Chao is following Yan.,Is Chao evading Yan?,No,-1.2573784589767456,-0.37871435284614563,No,True
28,7,social-interactions,7,antonym,2,Chao is following Yan.,Is Chao chasing Yan?,Yes,-1.2573206424713135,-0.37871435284614563,No,False
29,8,social-interactions,8,antonym,1,Chao will be unsuccessful if Chao and Yan run into each other.,Is Chao evading Yan?,Yes,-0.9214510917663574,-0.5466982126235962,No,False
30,8,social-interactions,8,antonym,1,Chao will be unsuccessful if Chao and Yan run into each other.,Is Chao chasing Yan?,No,-1.1558057069778442,-0.4060647785663605,No,True
31,8,social-interactions,8,antonym,2,Chao will be successful if Chao and Yan run into each other.,Is Chao evading Yan?,No,-1.1636418104171753,-0.41585052013397217,No,True
32,8,social-interactions,8,antonym,2,Chao will be successful if Chao and Yan run into each other.,Is Chao chasing Yan?,Yes,-1.2495416402816772,-0.3748205006122589,No,False
33,9,social-interactions,9,antonym,1,Chao is hiding from Yan.,Is Chao evading Yan?,Yes,-0.7885857820510864,-0.6638871431350708,No,False
34,9,social-interactions,9,antonym,1,Chao is hiding from Yan.,Is Chao seeking Yan?,No,-1.3276876211166382,-0.32992660999298096,No,True
35,9,social-interactions,9,antonym,2,Chao is searching for Yan.,Is Chao evading Yan?,No,-1.1714510917663574,-0.4197561740875244,No,True
36,9,social-interactions,9,antonym,2,Chao is searching for Yan.,Is Chao seeking Yan?,Yes,-0.9253813624382019,-0.5506430864334106,No,False
