Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
1.0,1.0,spatial-relations,,antonym,1.0,The nail is to the right of the wheel.,Is the wheel to the left of the nail?,Yes,0,-2.0747950077056885,-1.2721624374389648,-2.073254098152292,-1.2737033469923613,-0.0015409095533963635,No,False
2.0,1.0,spatial-relations,,antonym,1.0,The nail is to the right of the wheel.,Is the wheel to the right of the nail?,No,0,-2.434695243835449,-0.8543907403945923,-2.4331543342820527,-0.8559316499479886,-0.0015409095533963635,No,True
3.0,1.0,spatial-relations,,antonym,2.0,The nail is to the left of the wheel.,Is the wheel to the left of the nail?,No,0,-2.450610399246216,-0.8153026103973389,-2.4490694896928193,-0.8168435199507352,-0.0015409095533963635,No,True
4.0,1.0,spatial-relations,,antonym,2.0,The nail is to the left of the wheel.,Is the wheel to the right of the nail?,Yes,0,-2.1221063137054443,-1.3348803520202637,-2.120565404152048,-1.3364212615736601,-0.0015409095533963635,No,False
5.0,2.0,spatial-relations,,antonym,1.0,The nail is next to the right side of the wheel.,Is the wheel to the left of the nail?,Yes,0,-1.6762250661849976,-1.3655503988265991,-1.674684156631601,-1.3670913083799956,-0.0015409095533963635,No,False
6.0,2.0,spatial-relations,,antonym,1.0,The nail is next to the right side of the wheel.,Is the wheel to the right of the nail?,No,0,-1.5907645225524902,-1.4987543821334839,-1.5892236129990938,-1.5002952916868804,-0.0015409095533963635,No,True
7.0,2.0,spatial-relations,,antonym,2.0,The nail is next to the left side of the wheel.,Is the wheel to the left of the nail?,No,0,-1.7389345169067383,-1.4282426834106445,-1.7373936073533418,-1.429783592964041,-0.0015409095533963635,No,True
8.0,2.0,spatial-relations,,antonym,2.0,The nail is next to the left side of the wheel.,Is the wheel to the right of the nail?,Yes,0,-1.5046098232269287,-1.5375003814697266,-1.5030689136735322,-1.539041291023123,-0.0015409095533963635,Yes,True
10.0,2.0,spatial-relations,,antonym,1.0,The nail is next to the right side of the wheel.,Is the nail to the left of the wheel?,No,0,-2.5593223571777344,-0.8774443864822388,-2.557781447624338,-0.8789852960356351,-0.0015409095533963635,No,True
12.0,2.0,spatial-relations,,antonym,2.0,The nail is next to the left side of the wheel.,Is the nail to the left of the wheel?,Yes,0,-1.4105457067489624,-1.6625003814697266,-1.409004797195566,-1.664041291023123,-0.0015409095533963635,Yes,True
