property,prefix,Context,Question,Correct Answer,negative_sample_type,yes_logprob,no_logprob,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,-4.264710903167725,-5.014710903167725,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,-3.9950826168060303,-8.37219524383545,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,-4.205845832824707,-4.271185874938965,Yes,False
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,-6.589271545410156,-4.217100143432617,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,-5.467381954193115,-2.358531951904297,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,-3.5842642784118652,-4.686122894287109,Yes,False
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,-5.114618301391602,-3.5483365058898926,No,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,-3.824233055114746,-6.401483535766602,Yes,False
can affect urine,hair,'',Can hair affect urine?,No,random,-3.328205108642578,-4.7666401863098145,Yes,False
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,-3.916722059249878,-5.5251336097717285,Yes,False
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,-5.374244213104248,-5.812164783477783,Yes,False
can bark,an arrow,'',Can an arrow bark?,No,random,-3.1794052124023438,-3.801452159881592,Yes,False
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,-2.0595145225524902,-6.0572662353515625,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,-2.463003158569336,-5.334863185882568,Yes,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,-2.4350242614746094,-7.996822357177734,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,-3.517519235610962,-6.700029373168945,Yes,False
can be acoustic,a limousine,'',Can a limousine be acoustic?,No,random,-4.529380798339844,-6.279964923858643,Yes,False
can be added to a hot drink,a rollerskate,'',Can a rollerskate be added to a hot drink?,No,random,-6.340669631958008,-6.029881954193115,No,True
can be added to alcoholic drinks,a buffalo,'',Can a buffalo be added to alcoholic drinks?,No,random,-3.920569658279419,-7.842684268951416,Yes,False
can be added to cake,cabbage,'',Can cabbage be added to cake?,No,random,-3.482476234436035,-5.499029636383057,Yes,False
can be added to cereal,cabbage,'',Can cabbage be added to cereal?,No,random,-3.9798262119293213,-4.841196060180664,Yes,False
can be airborne,chocolate,'',Can chocolate be airborne?,No,random,-3.4176011085510254,-5.089796543121338,Yes,False
