Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
1.0,1.0,social-properties,1.0,antonym,1.0,Chao treats people kindly.,Is Chao friendly?,Yes,-0.6171524524688721,-0.8671709299087524,-9.739618301391602,-7.455845832824707,9.12246584892273,6.588674902915955,Yes,True
2.0,1.0,social-properties,1.0,antonym,1.0,Chao treats people kindly.,Is Chao hostile?,No,-4.281213760375977,-0.01597428321838379,-9.739618301391602,-7.455845832824707,5.458404541015625,7.439871549606323,No,True
3.0,1.0,social-properties,1.0,antonym,2.0,Chao treats people coldly.,Is Chao friendly?,No,-3.046840190887451,-0.05320143699645996,-9.739618301391602,-7.455845832824707,6.69277811050415,7.402644395828247,No,True
4.0,1.0,social-properties,1.0,antonym,2.0,Chao treats people coldly.,Is Chao hostile?,Yes,-0.8476217985153198,-0.5976294279098511,-9.739618301391602,-7.455845832824707,8.891996502876282,6.858216404914856,Yes,True
5.0,2.0,social-properties,2.0,antonym,1.0,Chao greeted Yan.,Is Chao friendly?,Yes,-0.2831590175628662,-1.5312292575836182,-9.739618301391602,-7.455845832824707,9.456459283828735,5.924616575241089,Yes,True
6.0,2.0,social-properties,2.0,antonym,1.0,Chao greeted Yan.,Is Chao hostile?,No,-2.828065872192383,-0.07369470596313477,-9.739618301391602,-7.455845832824707,6.911552429199219,7.382151126861572,No,True
7.0,2.0,social-properties,2.0,antonym,2.0,Chao insulted Yan.,Is Chao friendly?,No,-2.1405489444732666,-0.1435084342956543,-9.739618301391602,-7.455845832824707,7.599069356918335,7.312337398529053,Yes,False
8.0,2.0,social-properties,2.0,antonym,2.0,Chao insulted Yan.,Is Chao hostile?,Yes,-0.41398942470550537,-1.1640279293060303,-9.739618301391602,-7.455845832824707,9.325628876686096,6.291817903518677,Yes,True
9.0,3.0,social-properties,3.0,antonym,1.0,Chao enjoys meeting new people.,Is Chao friendly?,Yes,-0.23434019088745117,-1.734347939491272,-9.739618301391602,-7.455845832824707,9.50527811050415,5.721497893333435,Yes,True
10.0,3.0,social-properties,3.0,antonym,1.0,Chao enjoys meeting new people.,Is Chao hostile?,No,-3.5312061309814453,-0.03537952899932861,-9.739618301391602,-7.455845832824707,6.208412170410156,7.420466303825378,No,True
11.0,3.0,social-properties,3.0,antonym,2.0,Chao avoids meeting new people.,Is Chao friendly?,No,-2.1405892372131348,-0.1396315097808838,-9.739618301391602,-7.455845832824707,7.599029064178467,7.316214323043823,Yes,False
12.0,3.0,social-properties,3.0,antonym,2.0,Chao avoids meeting new people.,Is Chao hostile?,Yes,-2.828065872192383,-0.07126128673553467,-9.739618301391602,-7.455845832824707,6.911552429199219,7.384584546089172,No,False
13.0,4.0,social-properties,4.0,other,1.0,Chao gave Yan a gift.,Is Chao friendly?,Yes,-0.5194849967956543,-1.0155969858169556,-9.739618301391602,-7.455845832824707,9.220133304595947,6.4402488470077515,Yes,True
14.0,4.0,social-properties,4.0,other,1.0,Chao gave Yan a gift.,Is Chao hostile?,No,-1.937425136566162,-0.18745458126068115,-9.739618301391602,-7.455845832824707,7.8021931648254395,7.268391251564026,Yes,False
15.0,4.0,social-properties,4.0,other,2.0,Chao gave Yan a glare.,Is Chao friendly?,No,-2.5936899185180664,-0.0912865400314331,-9.739618301391602,-7.455845832824707,7.145928382873535,7.364559292793274,No,True
16.0,4.0,social-properties,4.0,other,2.0,Chao gave Yan a glare.,Is Chao hostile?,Yes,-0.4179115295410156,-1.1640355587005615,-9.739618301391602,-7.455845832824707,9.321706771850586,6.2918102741241455,Yes,True
17.0,5.0,social-properties,5.0,antonym,1.0,Chao is reliable.,Is Chao trustworthy?,Yes,-0.6444952487945557,-0.8945142030715942,-9.739618301391602,-7.455845832824707,9.095123052597046,6.561331629753113,Yes,True
18.0,5.0,social-properties,5.0,antonym,1.0,Chao is reliable.,Is Chao untrustworthy?,No,-3.296840190887451,-0.05320143699645996,-9.739618301391602,-7.455845832824707,6.44277811050415,7.402644395828247,No,True
19.0,5.0,social-properties,5.0,antonym,2.0,Chao is unreliable.,Is Chao trustworthy?,No,-2.8749547004699707,-0.11764848232269287,-9.739618301391602,-7.455845832824707,6.864663600921631,7.338197350502014,No,True
20.0,5.0,social-properties,5.0,antonym,2.0,Chao is unreliable.,Is Chao untrustworthy?,Yes,-0.7929115295410156,-0.792941689491272,-9.739618301391602,-7.455845832824707,8.946706771850586,6.662904143333435,Yes,True
21.0,6.0,social-properties,6.0,negation,1.0,Chao can be depended upon.,Is Chao trustworthy?,Yes,-0.5312031507492065,-1.031221628189087,-9.739618301391602,-7.455845832824707,9.208415150642395,6.42462420463562,Yes,True
22.0,6.0,social-properties,6.0,negation,1.0,Chao can be depended upon.,Is Chao untrustworthy?,No,-3.0624725818634033,-0.057848334312438965,-9.739618301391602,-7.455845832824707,6.677145719528198,7.397997498512268,No,True
23.0,6.0,social-properties,6.0,negation,2.0,Chao cannot be depended upon.,Is Chao trustworthy?,No,-2.593703269958496,-0.09030365943908691,-9.739618301391602,-7.455845832824707,7.1459150314331055,7.36554217338562,No,True
24.0,6.0,social-properties,6.0,negation,2.0,Chao cannot be depended upon.,Is Chao untrustworthy?,Yes,-0.8437060117721558,-0.5937232971191406,-9.739618301391602,-7.455845832824707,8.895912289619446,6.862122535705566,Yes,True
