question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
In which country does language pose a centrifugal force?,(A) Canada,(B) United States,(C) Brazil,(D) Norway,A,C,False,20.0,0,-3.4818501472473145,-3.226754665374756,-2.4858365058898926,-2.488952159881592,-0.5432509730259576,0.15772962321837758,0.4291909461220107,0.3137466137607894,-2.938599174221357,-3.3844842885931334,-2.9150274520119033,-2.802698773642381,C,C,False,False
The multiplier effect is,(A) the addition of non-basic workers to an urban economy that has added more basic workers.,(B) a ratio of urban to rural workers in an economy.,(C) the ratio of city workers to farm workers in an economy.,(D) the addition of rural jobs created by the urban economy.,A,A,True,20.0,0,-3.0538854598999023,-4.298336505889893,-3.789254665374756,-3.0538854598999023,-0.11528628567854549,-0.9138522172967591,-0.8742272133628526,-0.25118668625752116,-2.938599174221357,-3.3844842885931334,-2.9150274520119033,-2.802698773642381,A,A,True,True
Which one of the following demographic factors characterizes stages 4 and 5 in the demographic transition model?,(A) Zero population growth,(B) High mortality rates,(C) High birth rates,(D) High sex ratios,A,C,False,20.0,0,-2.5245347023010254,-2.7726354598999023,-2.2726354598999023,-2.2760162353515625,0.41406447192033147,0.6118488286932311,0.6423919921120009,0.5266825382908187,-2.938599174221357,-3.3844842885931334,-2.9150274520119033,-2.802698773642381,C,C,False,False
The world systems theory divides the world into,"(A) core, periphery, and semi-periphery.",(B) rich and poor.,(C) developed and undeveloped.,(D) haves and have-nots.,A,D,False,20.0,0,-3.3762402534484863,-4.110836505889893,-3.6170177459716797,-3.1262402534484863,-0.43764107922712947,-0.7263522172967591,-0.7019902939597764,-0.32354147980610515,-2.938599174221357,-3.3844842885931334,-2.9150274520119033,-2.802698773642381,D,D,False,False
Which crop began the Third Agricultural Revolution?,(A) Rice,(B) Wheat,(C) Barley,(D) Millet,A,C,False,20.0,0,-3.5764126777648926,-3.7747933864593506,-3.046110153198242,-3.0764126777648926,-0.6378135035435357,-0.39030909786621715,-0.1310827011863389,-0.2737139041225114,-2.938599174221357,-3.3844842885931334,-2.9150274520119033,-2.802698773642381,C,C,False,False
Which continent has the highest total fertility rates?,(A) Africa,(B) Asia,(C) South America,(D) Europe,A,C,False,20.0,0,-2.9601354598999023,-3.207702159881592,-2.4601354598999023,-2.4601354598999023,-0.021536285678545486,0.17678212871154164,0.45489199211200093,0.34256331374247884,-2.938599174221357,-3.3844842885931334,-2.9150274520119033,-2.802698773642381,C,C,False,False
Which of the following is a push factor?,(A) Dissatisfaction with current jobs,(B) Higher-paying jobs elsewhere,(C) An attractive retirement community elsewhere,(D) A pleasant climate,A,A,True,20.0,0,-1.9932847023010254,-2.7413854598999023,-2.7358365058898926,-2.9818501472473145,0.9453144719203315,0.6430988286932311,0.1791909461220107,-0.17915137360493327,-2.938599174221357,-3.3844842885931334,-2.9150274520119033,-2.802698773642381,A,A,True,True
Which of the following best illustrates the definition of a functional region?,(A) A map showing Atlanta as a hub for Delta Airlines,(B) An article describing the region referred to as the South,(C) A map showing North Carolina's one hundred counties,(D) An essay explaining the region known as the Bible Belt,A,A,True,20.0,0,-2.160654306411743,-3.1574902534484863,-2.903441905975342,-2.910654306411743,0.7779448678096137,0.2269940351446471,0.011585546036561478,-0.10795553276936198,-2.938599174221357,-3.3844842885931334,-2.9150274520119033,-2.802698773642381,A,A,True,True
"Of these, the map using the smallest map scale would be the map of",(A) the world.,"(B) Atlanta, Georgia.","(C) Main Street, Small Town, Ohio.",(D) Pennsylvania.,A,D,False,20.0,1,-3.0857677459716797,-3.829163074493408,-3.3100411891937256,-2.8357677459716797,-0.1350429505109787,-0.44565090288718556,-0.3705847834547362,-0.04677545030911778,-2.950724795460701,-3.3835121716062226,-2.9394564057389894,-2.788992295662562,D,D,False,False
Which of the following capital cities is located OUTSIDE the central core area of the country?,"(A) Abuja, Nigeria","(B) Paris, France","(C) London, United Kingdom","(D) Cairo, Egypt",A,C,False,20.0,1,-3.1108365058898926,-2.8568501472473145,-2.601754665374756,-2.6068501472473145,-0.1601117104291916,0.5266620243589082,0.3377017403642335,0.18214214841524745,-2.950724795460701,-3.3835121716062226,-2.9394564057389894,-2.788992295662562,C,B,False,False
An earlier boundary formed before meticulous geographic knowledge and mapping was available is known as,(A) an antecedent boundary.,(B) a geometric boundary.,(C) a relict boundary.,(D) a subsequent boundary.,A,A,True,20.0,1,-2.1476354598999023,-4.138653755187988,-3.3920865058898926,-3.895540237426758,0.8030893355607986,-0.7551415835817656,-0.4526301001509032,-1.106547941764196,-2.950724795460701,-3.3835121716062226,-2.9394564057389894,-2.788992295662562,A,A,True,True
Which of the following statements is NOT part of Gunnar Myrdal's theory of cumulative causation?,(A) Developing and developed regions share similarly in wealth through trade.,(B) The core will always dominate the periphery.,(C) Growth and prosperity of the core exists at the expense of the periphery.,"(D) Regions with initial advantage keep and expand it as they attract labor, capital, and trade.",A,D,False,20.0,1,-3.363952159881592,-4.1068501472473145,-3.351754665374756,-2.863952159881592,-0.4132273644208908,-0.7233379756410918,-0.4122982596357665,-0.07495986421902989,-2.950724795460701,-3.3835121716062226,-2.9394564057389894,-2.788992295662562,D,D,False,False
"Which zone contains low-income slums, ethnic ghettos, and general deterioration in Burgess's concentric zone model of urban form?",(A) First,(B) Second,(C) Third,(D) Fourth,A,D,False,20.0,1,-2.904003858566284,-3.8844125270843506,-2.8989858627319336,-2.6579296588897705,0.04672093689441681,-0.500900355478128,0.04047054300705577,0.1310626367727914,-2.950724795460701,-3.3835121716062226,-2.9394564057389894,-2.788992295662562,D,D,False,False
What is the chief religion practiced in Europe?,(A) Christianity,(B) Islam,(C) Hinduism,(D) Animism,A,C,False,20.0,1,-3.060253858566284,-3.5406625270843506,-2.5552358627319336,-2.560253858566284,-0.10952906310558319,-0.15715035547812795,0.38422054300705577,0.22873843709627772,-2.950724795460701,-3.3835121716062226,-2.9394564057389894,-2.788992295662562,C,C,False,False
The purpose for the creation of NATO was to,(A) defend North America and Western Europe against the threat of communism.,(B) form an economic alliance for trade between Europe and North America.,(C) defend Europe against a second Nazi invasion.,(D) defend northern Europe against Chinese missiles.,A,D,False,20.0,1,-3.1609976291656494,-3.9079296588897705,-3.404003858566284,-2.9109976291656494,-0.21027283370494843,-0.5244174872835479,-0.4645474528272948,-0.12200533350308751,-2.950724795460701,-3.3835121716062226,-2.9394564057389894,-2.788992295662562,D,D,False,False
Which of the following items below is NOT considered a barrier to the diffusion of an innovation?,(A) Internet,(B) Distance,(C) Cultural obstacles,(D) Government interference,A,C,False,20.0,1,-3.069375514984131,-2.819375514984131,-2.3137402534484863,-2.319375514984131,-0.11865071952342987,0.5641366566220918,0.625716152290503,0.46961678067843105,-2.950724795460701,-3.3835121716062226,-2.9394564057389894,-2.788992295662562,C,C,False,False
Which type of economic activity is most closely tied to the physical environment?,(A) Primary,(B) Secondary,(C) Tertiary,(D) Quaternary,A,C,False,20.0,2,-2.560253858566284,-3.5552358627319336,-2.5552358627319336,-3.0641796588897705,0.41164232293764735,-0.12789116303126002,0.40568680564562465,-0.22573426117499684,-2.9718961815039315,-3.4273446997006736,-2.9609226683775582,-2.8384453977147737,C,A,False,True
The theory that every society develops economically according to a five-stage pattern of growth is attributed to,(A) Rostow.,(B) Ravenstein.,(C) von Thünen.,(D) Burgess.,A,D,False,20.0,2,-2.9920177459716797,-3.4662911891937256,-2.9769959449768066,-2.7512402534484863,-0.020121564467748154,-0.03894648949305202,-0.0160732765992484,0.08720514426628734,-2.9718961815039315,-3.4273446997006736,-2.9609226683775582,-2.8384453977147737,D,D,False,False
Which of the following is a centrifugal force in a country?,(A) Religious differences,(B) A national holiday,(C) An attack by another country,(D) A charismatic national leader,A,A,True,20.0,2,-2.2358365058898926,-3.2318501472473145,-2.7318501472473145,-2.488952159881592,0.736059675614039,0.19549455245335912,0.2290725211302438,0.34949323783318187,-2.9718961815039315,-3.4273446997006736,-2.9609226683775582,-2.8384453977147737,A,A,True,True
The first stage of the demographic transition exhibits,(A) high birth rates with high but fluctuating death rates.,(B) declining birth rates with continuing high death rates.,(C) low birth rates with continuing high death rates.,(D) high birth rates with declining death rates.,A,A,True,20.0,2,-2.832702159881592,-3.8291401863098145,-3.5756001472473145,-3.082702159881592,0.13919402162233974,-0.4017954866091409,-0.6146774788697562,-0.24425676216681813,-2.9718961815039315,-3.4273446997006736,-2.9609226683775582,-2.8384453977147737,A,A,True,True
What was the primary reason the Green Revolution did NOT help Africa much?,(A) It targeted crops Africans don't grow and eat.,(B) It required sophisticated machinery.,(C) Population growth has fallen so drastically that Africans don't need the increased food production.,(D) African agricultural production went up without its help.,A,D,False,20.0,2,-3.538393497467041,-3.7902634143829346,-3.2859976291656494,-3.0402634143829346,-0.5664973159631095,-0.362918714682261,-0.32507496078809117,-0.2018180166681609,-2.9718961815039315,-3.4273446997006736,-2.9609226683775582,-2.8384453977147737,D,D,False,False
What is the most rapidly growing religion in the United States today?,(A) Islam,(B) Christianity,(C) Hinduism,(D) Buddhism,A,C,False,20.0,2,-3.153441905975342,-3.1332459449768066,-2.4074902534484863,-2.4074902534484863,-0.18154572447141026,0.29409875472386693,0.5534324149290719,0.43095514426628734,-2.9718961815039315,-3.4273446997006736,-2.9609226683775582,-2.8384453977147737,C,C,False,False
The irregularity of the wet monsoon in South Asia in recent years may have a significant negative effect on which of the following?,(A) Food production,(B) Population patterns,(C) Wildlife conservation efforts,(D) Tourism,A,C,False,20.0,2,-3.1922476291656494,-2.9422476291656494,-2.4422476291656494,-2.6922476291656494,-0.22035144766171788,0.48509707053502416,0.5186750392119088,0.14619776854912425,-2.9718961815039315,-3.4273446997006736,-2.9609226683775582,-2.8384453977147737,C,C,False,False
"The ""melting pot"" theory of combining several immigrant groups into one mainstream culture is called",(A) amalgamation theory.,(B) acculturation.,(C) ethnic islands.,(D) ethnic clustering.,A,A,True,20.0,2,-3.6381001472473145,-4.133004665374756,-3.876499652862549,-3.6448535919189453,-0.6662039657433829,-0.7056599656740823,-0.9155769844849906,-0.8064081942041716,-2.9718961815039315,-3.4273446997006736,-2.9609226683775582,-2.8384453977147737,A,A,True,True
The climate of Great Britain is milder than most other places along the same latitude for which of the following reasons?,"(A) The Gulf Stream brings warm waters to Great Britain, raising the temperature of winds that blow onto the island.",(B) Hot springs throughout the country raise the temperature of the surrounding land and air.,(C) Mountain ranges in the north of Great Britain act as a barrier to cold winds blowing from the Arctic.,(D) Small landmasses generate their own local climate and are largely unaffected by latitude.,A,D,False,20.0,3,-3.6652634143829346,-3.916722059249878,-3.9109976291656494,-3.4152634143829346,-0.7252091094851494,-0.47334511329730367,-0.9197462002436319,-0.5769802505771318,-2.940054304897785,-3.4433769459525743,-2.9912514289220176,-2.838283163805803,D,B,False,False
A strong movement away from all religions is called,(A) secularism.,(B) heathenism.,(C) sacrilege.,(D) nationalism.,A,A,True,20.0,3,-3.1344125270843506,-4.388912677764893,-4.125532150268555,-3.1489858627319336,-0.1943582221865654,-0.9455357318123183,-1.1342807213465371,-0.3107026989261308,-2.940054304897785,-3.4433769459525743,-2.9912514289220176,-2.838283163805803,A,A,True,True
