question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
Why did Americans believe that they could found a different kind of empire after 1776?,(A) This would be an 'empire of liberty',(B) This empire would be multi-cultural,(C) This type of empire would be based on expansion,(D) This would be empire free of slavery,A,A,True,20.0,0,-0.00564432330429554,-8.927118301391602,-11.241385459899902,-11.186088562011719,6.860833446448669,-2.4553485016959407,-3.609021679500196,-4.446665833360263,-6.866477769752964,-6.471769799695661,-7.632363780399706,-6.739422728651456,A,A,True,True
What has been an effective way of disbursing US foreign aid to encourage change in target states?,"(A) Conditional programs, such as the Millennium Challenge, that require change before receipt of aid",(B) the use of intergovernmental organizations to monitor aid disbursement,(C) withdrawal of aid for bad policies,"(D) None of the above, international aid never works",A,A,True,20.0,0,-0.0902853012084961,-9.429405212402344,-9.308899879455566,-11.49719524383545,6.776192468544468,-2.957635412706683,-1.67653609905586,-4.757772515183993,-6.866477769752964,-6.471769799695661,-7.632363780399706,-6.739422728651456,A,A,True,True
What is direct diplomacy?,(A) Members of Congress negotiating directly with foreign governments,(B) Face-to-face meetings between state leaders,(C) The president consulting Congress on foreign policy issues,(D) Bilateral talks that do not involve a third-party negotiator,A,D,False,20.0,0,-9.686400413513184,-3.187425136566162,-10.311530113220215,-0.05784916877746582,-2.8199226437602194,3.284344663129499,-2.6791663328205084,6.68157355987399,-6.866477769752964,-6.471769799695661,-7.632363780399706,-6.739422728651456,D,D,False,False
The government body formed to coordinate American foreign and military policy is known as,(A) the National Security Council.,(B) the Pentagon.,(C) the Defense Policy Institute.,(D) the Joint Chiefs of Staff.,A,A,True,20.0,0,-0.03143012896180153,-9.733965873718262,-10.552743911743164,-10.809514999389648,6.835047640791163,-3.262196074022601,-2.9203801313434576,-4.070092270738193,-6.866477769752964,-6.471769799695661,-7.632363780399706,-6.739422728651456,A,A,True,True
What is the structure of the United Nations Security Council?,"(A) 5 permanent members with veto power, 10 rotating members with no veto power","(B) 5 permanent members and 10 rotating members, all with veto power","(C) 10 permanent members with veto power, and 5 rotating members without veto power",(D) 15 permanent members with veto power,A,A,True,20.0,0,-0.0053682331927120686,-6.560797691345215,-8.186873435974121,-6.812069416046143,6.861109536560252,-0.08902789164955394,-0.5545096555744147,-0.07264668739468672,-6.866477769752964,-6.471769799695661,-7.632363780399706,-6.739422728651456,A,A,True,True
What caused a public uproar involving the National Security Agency in 2005?,(A) Revelations that the NSA was monitoring the communications of American citizens without obtaining warrants,"(B) A leaked memo that linked the events of September 11, 2001, with the Democratic National Committee","(C) Revelations that the NSA had tortured prisoners at Guantanamo, Cuba","(D) A scathing report condemning the George W. Bush administration for ""building a case for the war in Iraq on a quicksand foundation""",A,A,True,20.0,1,-0.0795738697052002,-10.427913665771484,-12.55866813659668,-11.12252426147461,6.7277542394391885,-4.083145725874541,-5.317770242652235,-4.530751597862885,-6.807328109144389,-6.344767939896943,-7.240897893944445,-6.591772663611724,A,A,True,True
Why do some scholars claim that Reagan 'won the Cold War'?,(A) Reagan's first term military spending pressured the Soviet Union to keep up its international commitments,(B) Reagan encouraged engagement with the Soviet Union,(C) Reagan encouraged a softer approach towards communism,(D) Reagan reduced military spending and this allowed the Soviet Union space to reform,A,A,True,20.0,1,-0.0094984769821167,-7.1197662353515625,-8.624030113220215,-6.937041759490967,6.797829632162272,-0.7749982954546191,-1.3831322192757698,-0.34526909587924237,-6.807328109144389,-6.344767939896943,-7.240897893944445,-6.591772663611724,A,A,True,True
Why might American exceptionalism lead to opposition to world government?,(A) Its general anti-statism opposes centralized government,(B) It views world government as impractical,(C) It views the UN as a sufficient form of global governance,(D) None of the above,A,A,True,20.0,1,-0.0037902595940977335,-6.9988298416137695,-9.99882984161377,-8.56222152709961,6.803537849550291,-0.6540619017168261,-2.7579319476693245,-1.970448863487885,-6.807328109144389,-6.344767939896943,-7.240897893944445,-6.591772663611724,A,A,True,True
"Détente, or the relaxing of tensions coupled with firm guarantees of mutual security, represented a shift in American foreign policy toward the communist world ushered in by",(A) Richard Nixon.,(B) Eugene McCarthy,(C) Lyndon Johnson.,(D) Robert Kennedy.,A,A,True,20.0,1,-0.1297975778579712,-10.028854370117188,-10.302118301391602,-10.746822357177734,6.6775305312864175,-3.684086430220244,-3.0612204074471565,-4.15504969356601,-6.807328109144389,-6.344767939896943,-7.240897893944445,-6.591772663611724,A,A,True,True
What was the Marshall Plan?,(A) A plan that provided economic assistance to rebuild Europe.,(B) A plan to provide aid to Greece and Turkey in their stand against Soviet and Soviet-assisted threats,(C) A plan that provided Europe with military assistance to counter the Soviet threat,(D) The plan designed to stop communism in Asia,A,A,True,20.0,1,-0.005579354707151651,-10.48895263671875,-11.743284225463867,-11.934117317199707,6.801748754437237,-4.144184696821807,-4.502386331519422,-5.342344653587983,-6.807328109144389,-6.344767939896943,-7.240897893944445,-6.591772663611724,A,A,True,True
