question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
 What can murtis be translated as?,(A) Offerings,(B) Prayers,(C) Apparitions,(D) Idols,D,-3.248497724533081,-3.2459216117858887,-2.2475242614746094,-2.7475242614746094,C,False
 Naturalists who concentrated on natural elements and processes are associated with which of the following?,(A) Daoism,(B) Yin-Yang School,(C) Mengzi,(D) Humanistic Buddhism,B,-3.774322271347046,-2.2771716117858887,-2.7745347023010254,-2.2745347023010254,D,False
 When was the first Buddhist temple constructed in Japan?,(A) 325 CE,(B) 119 CE,(C) 451 CE,(D) 596 CE,D,-3.0584216117858887,-2.5557847023010254,-2.0584216117858887,-2.0584216117858887,C,False
 What is the name of the ten day New Year festival that celebrated Babylon's culture?,(A) Akitu,(B) Wag and Thoth,(C) Bast,(D) Nehebkau,A,-1.753702163696289,-2.7588043212890625,-2.763110399246216,-2.263110399246216,A,True
Which of the following terms denote the Japanese art of flower arranging?,(A) Zazen,(B) Tariki,(C) Kami,(D) Ikebana,D,-3.589796781539917,-3.589796781539917,-2.5870347023010254,-1.097452163696289,D,True
 Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following?,(A) Harmony and balance,(B) Devotion and piety,(C) Love and passion,(D) Goodwill and love,A,-2.8239824771881104,-1.813544750213623,-2.3213043212890625,-1.813544750213623,B,False
" Guru Nanak used what term to denote the ""divine word"" as part of divine revelation?",(A) Shabad,(B) Khalse,(C) Nam,(D) Guru,A,-2.457702159881592,-2.457702159881592,-2.4620347023010254,-2.4646716117858887,A,True
What is the mi'raj?,(A) Muhammad's miraculous ascent to heaven,(B) Muhammad's migration to Mecca,(C) Muhammad's first community in Mecca,(D) Muhammad's revelations of the Qur'an,A,-1.485524296760559,-2.9932847023010254,-2.9959216117858887,-2.9959216117858887,A,True
"What is the name of the most famous dharmashastras, which probably dates from around the first century?",(A) Laws of Dharma,(B) Laws of Karma,(C) Laws of Vishnu,(D) Laws of Manu,D,-2.9932847023010254,-2.4932847023010254,-2.9932847023010254,-1.4932847023010254,D,True
"What does the term ""Qur'an"" literally mean?",(A) The Holy Book,(B) The Narrative,(C) The Recitation,(D) The Pillars,C,-2.4334216117858887,-2.4334216117858887,-1.941202163696289,-2.9307847023010254,C,True
 Mani referred to God by which of the following names?,(A) Mother of Light,(B) Father of Goodness,(C) Ineffable Lover,(D) Eternal Spirit,B,-2.7277634143829346,-2.7234976291656494,-2.2277634143829346,-2.7234976291656494,C,False
" Which tradition is known to promote ""gradual enlightenment""?",(A) Bushido,(B) Shinto,(C) Nichiren,(D) Soto Zen,D,-3.649322271347046,-2.645202159881592,-2.1495347023010254,-3.149322271347046,C,False
What is the communal meal offered at the place of worship called in Sikhism?,(A) Sangat,(B) Langar,(C) Gurdwara,(D) Panth,B,-4.836822032928467,-1.329274296760559,-4.336822032928467,-4.836822032928467,B,True
To which tradition do the anti-Han rebel group known as the Celestial Masters belong?,(A) Buddhism,(B) Daoism,(C) Confucianism,(D) Shamanism,B,-3.450610399246216,-1.4489824771881104,-1.9489824771881104,-1.9506103992462158,B,True
"What does the word ""Islam"" mean in Arabic?",(A) Worship,(B) Submission,(C) Obedience,(D) Faith,B,-4.245921611785889,-1.2381407022476196,-4.245921611785889,-3.2475242614746094,B,True
What does the term anatman mean?,(A) Suffering,(B) Soul,(C) Impermanence,(D) No-self,D,-4.620921611785889,-3.6182847023010254,-1.1131407022476196,-2.6209216117858887,C,False
 What genre of Sikh literature is denoted by the term janam-sakhis?,(A) Spiritual narratives,(B) Redemption narratives,(C) Birth narratives,(D) Theological narratives,C,-4.524322032928467,-3.497753858566284,-1.016774296760559,-4.024322032928467,C,True
Pure Land Buddhism belongs to which school?,(A) Vajrayana,(B) Theravada,(C) Mahayana,(D) Mahavira,C,-4.118284702301025,-2.613952159881592,-1.626044750213623,-3.6182847023010254,C,True
 Which Jaina group only allows women to lead a life of semi-renunciation?,(A) Svetambara,(B) Jina,(C) Agama,(D) Digambara,D,-3.5739824771881104,-3.0713043212890625,-3.5713043212890625,-1.5818907022476196,D,True
What is the most important prayer in Judaism?,(A) The Shema,(B) The Sefirot,(C) Deuteronomy,(D) The Decalogue,A,-1.6834216117858887,-3.1834216117858887,-3.6834216117858887,-3.6834216117858887,A,True
 The socio-political alliance between the kshatriyas and the shramanas was rooted in their shared opposition to which of the following?,(A) Brahminic orthodoxy,(B) Legalistic asceticism,(C) Bhakti devotionals,(D) Unorthodox practices,A,-2.988952159881592,-1.9812252521514893,-2.4932847023010254,-2.488952159881592,B,False
 Which early battle led to the conversion of Mecca?,(A) The Battle of Uhud,(B) The Battle of Camel,(C) The Battle of the Trench,(D) The Battle of Badr,C,-3.2944376468658447,-2.2900543212890625,-2.2927324771881104,-2.2944376468658447,B,False
 What interior discipline must be adopted to achieve spiritual liberation within Sikhism?,(A) Remembering the Divine Name,(B) Meditating on the sacred hymns,(C) Remembering that death is inevitable,(D) Meditating on the goodness of the created world,A,-2.841195821762085,-2.3396716117858887,-2.3396716117858887,-2.341195821762085,B,False
" During Japan's occupation of Korea (1910-1945), which of the following was imposed upon the Koreans?",(A) Confucianism,(B) Buddhism,(C) Christianity,(D) Daoism,A,-3.013110399246216,-2.5090134143829346,-2.5114824771881104,-2.013110399246216,D,False
"What is the meaning of the Punjabi word ""Sikh""?",(A) Disciple,(B) Faithful,(C) Devotee,(D) Enlightened,A,-3.9777634143829346,-1.480359673500061,-2.4803595542907715,-3.4803595542907715,B,False
 Which of the following shuns politics?,(A) The sages of the Zhuangzi,(B) The Songs of the South,(C) The Duke of Zhou,"(D) The Confucian ""sage kings""",A,-3.0088043212890625,-2.5114824771881104,-2.5114824771881104,-2.5114824771881104,B,False
What does the Hebrew word mashiach mean?,(A) Anointed one,(B) God,(C) Prophet,(D) The line of David,A,-1.528774380683899,-3.027296781539917,-3.0288503170013428,-3.0288503170013428,A,True
"According to Jaina traditions, what does the term ajiva mean?",(A) Soul,(B) Sound,(C) Non-matter,(D) Non-soul,D,-3.5088043212890625,-3.5088043212890625,-1.0209810733795166,-2.5114824771881104,C,False
" In the Japanese Zen tradition, what is zazen?",(A) A collection of statues,(B) Veneration of ancestors,(C) Seated meditation,(D) Funeral rituals,C,-4.683421611785889,-4.683421611785889,-0.6989824771881104,-4.683421611785889,C,True
 What is a central component of tantric Buddhism?,(A) Asceticism,(B) Bodily pleasure,(C) Music,(D) Sexual union,D,-3.7614824771881104,-2.2588043212890625,-2.7614824771881104,-2.263110399246216,B,False
" How does the Egyptian composition Ludul Bel Nemequi (""I will praise the Lord of wisdom) portray Marduk?",(A) Loving and forgiving,(B) Wrathful and merciful,(C) Judging and vengeful,(D) Transcendent and immanent,B,-2.560997724533081,-2.0584216117858887,-2.0600242614746094,-2.5600242614746094,B,True
" After the Bar Kochba revolt, where were the two main centres for Jewish development?",(A) Palestine and Babylonia,(B) Babylonia and Europe,(C) Palestine and Spain,(D) Spain and France,A,-2.3995347023010254,-1.909952163696289,-2.3995347023010254,-1.909952163696289,B,False
