question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"A study is conducted to assess the relationship between race and end-stage renal disease pathologists independently study specimens from 1,000 kidney biopsies. The first group of pathologists is aware of the race of the patient from whom the biopsy came, while the second group is blinded as to the patient’s race. The first group reports ‘hypertensive nephropathy’ much more frequently for black patients than the second group. Which of the following types of bias is most likely present in this study?",(A) Confounding,(B) Nonresponse bias,(C) Recall bias,(D) Referral bias,A,C,False,20.0,0,-3.9373416900634766,-9.061088562011719,-0.6953120231628418,-8.686400413513184,2.2466696078578634,-2.9635643760363264,6.869535795102517,-1.6796992272138596,-6.18401129792134,-6.097524185975392,-7.564847818265359,-7.006701186299324,C,C,False,False
What is the essential pathology of astroviruses?,(A) Very restricted replication in the gut,(B) Can cause infection of the central nervous system,(C) Sequence diversity allows widespread replication,(D) Can cause infection in the upper respiratory tract,A,A,True,20.0,0,-0.22459673881530762,-10.058899879455566,-7.093553066253662,-8.43722152709961,5.959414559106032,-3.961375693480174,0.4712947520116968,-1.4305203408002853,-6.18401129792134,-6.097524185975392,-7.564847818265359,-7.006701186299324,A,A,True,True
The highest risk of HIV infection among drug users in the U.S. is in:,(A) The east coast,"(B) The central United States (Kansas, Missouri etc.)",(C) Southern California,"(D) The Pacific Northwest (Washington, Oregon, Idaho)",A,C,False,20.0,0,-9.107940673828125,-8.686088562011719,-0.050048232078552246,-8.622815132141113,-2.923929375906785,-2.5885643760363264,7.514799586186807,-1.6161139458417892,-6.18401129792134,-6.097524185975392,-7.564847818265359,-7.006701186299324,C,C,False,False
How are herpes infections controlled?,(A) Chemotherapy,(B) Vaccines,(C) Hygiene and social distancing,(D) No method,A,B,False,20.0,0,-10.927913665771484,-0.07861077785491943,-9.931929588317871,-10.12349796295166,-4.743902367850144,6.018913408120473,-2.367081770052512,-3.116796776652336,-6.18401129792134,-6.097524185975392,-7.564847818265359,-7.006701186299324,B,B,False,False
Disease can most often be prevented by which of the following:,(A) Vaccines,(B) Antivirals,(C) Hygiene,(D) mosquito nets,A,C,False,20.0,0,-2.843672752380371,-8.937143325805664,-0.9062496423721313,-9.686911582946777,3.340338545540969,-2.8396191398302717,6.6585981758932276,-2.6802103966474533,-6.18401129792134,-6.097524185975392,-7.564847818265359,-7.006701186299324,C,C,False,False
"In a medical class of 147 students, the distribution of scores on a biochemistry final examination has a mean equal to 67, a median equal to 76, a mode equal to 80, a standard deviation equal to 5.5, and a variance equal to 30.25. Three students were unable to take the test on the scheduled date and were given a different form of the exam 1 week later. Which parameter is most likely to be the least biased estimator of central tendency for this distribution of biochemistry test scores?",(A) Mean,(B) Median,(C) Mode,(D) Standard deviation,A,B,False,20.0,0,-8.222026824951172,-0.33591926097869873,-10.05842113494873,-10.558158874511719,-2.038015527029832,5.761604924996694,-2.4935733166833716,-3.5514576882123947,-6.18401129792134,-6.097524185975392,-7.564847818265359,-7.006701186299324,B,B,False,False
How are arenaviruses spread?,(A) Sexual contact,(B) Blood,(C) Aerosols of urine from infected small mammals,(D) Mosquito bites,A,C,False,20.0,0,-7.964542388916016,-6.593596458435059,-0.29492008686065674,-7.468103408813477,-1.7805310909946757,-0.49607227245966623,7.269927731404702,-0.4614022225141525,-6.18401129792134,-6.097524185975392,-7.564847818265359,-7.006701186299324,C,C,False,False
In the absence of treatment the risk of HIV transmission from an infected mother to her fetus/infant was highest in which of the following areas?,(A) Africa,(B) North America,(C) Europe,(D) Japan,A,A,True,20.0,0,-0.3828073740005493,-10.87349796295166,-10.622815132141113,-11.248071670532227,5.801203923920791,-4.775973776976268,-3.0579673138757544,-4.2413704842329025,-6.18401129792134,-6.097524185975392,-7.564847818265359,-7.006701186299324,A,A,True,True
Why are members of the astrovirus family only recently recognised as significant enteric viruses for humans?,(A) The genome has been identified by the new method of deep sequencing,(B) A new vector has been discovered,(C) They infect a wide range of domestic animals and so contaminate meat,(D) Knowledge of their replication as positive sense ssRNA viruses is now complete,A,A,True,20.0,1,-0.550707221031189,-8.749664306640625,-7.499684810638428,-6.124684810638428,5.666277178873618,-2.05223395054539,-0.39015910774469376,0.49058040976524353,-6.216984399904807,-6.697430356095235,-7.109525702893734,-6.615265220403671,A,A,True,True
Which is a major characteristic of the bunyavirus family?,"(A) Amplify by persistent infection of midgets, mosquitoes, sand flies, ticks",(B) Predominantly mosquito borne,(C) Genetic recombination or reassortment,(D) Spread to humans via bites of mice and rats,A,C,False,20.0,1,-9.976754188537598,-9.060571670532227,-0.02586376667022705,-9.437041282653809,-3.7597697886327905,-2.3631413144369917,7.083661936223507,-2.8217760622501373,-6.216984399904807,-6.697430356095235,-7.109525702893734,-6.615265220403671,C,C,False,False
What has so far prevented polio being eradicated from the world?,(A) Inability to vaccinate in some countries,(B) Poor quality (unsafe) vaccines,(C) Genetic variation,(D) Expense,A,A,True,20.0,1,-0.49020707607269287,-7.311946868896484,-9.747014999389648,-9.185797691345215,5.726777323832114,-0.6145165128012495,-2.6374892964959145,-2.5705324709415436,-6.216984399904807,-6.697430356095235,-7.109525702893734,-6.615265220403671,A,A,True,True
How many people globally are currently infected with hepatitis B?,(A) 350 million,(B) 2 billion,"(C) 100,000",(D) 1 million,A,A,True,20.0,1,-0.14547967910766602,-7.281075954437256,-10.186744689941406,-11.186530113220215,6.071504720797141,-0.583645598342021,-3.0772189870476723,-4.571264892816544,-6.216984399904807,-6.697430356095235,-7.109525702893734,-6.615265220403671,A,A,True,True
Most pandemics have arisen from influenza viruses from which of the following animals?,(A) Pigs,(B) Wild birds,(C) Bats,(D) Humans,A,B,False,20.0,1,-8.741905212402344,-0.32226526737213135,-9.12116813659668,-9.623674392700195,-2.5249208124975366,6.3751650887231035,-2.0116424337029457,-3.008409172296524,-6.216984399904807,-6.697430356095235,-7.109525702893734,-6.615265220403671,B,B,False,False
Randomization of study subjects in a clinical trial is most helpful for controlling for which of the following?,(A) Placebo effect,(B) Recall bias,(C) Non-compliance,(D) Effect modification (interaction),A,A,True,20.0,1,-0.20213818550109863,-8.061980247497559,-9.435571670532227,-9.24752426147461,6.0148462144037085,-1.3645498914023237,-2.3260459676384926,-2.632259041070938,-6.216984399904807,-6.697430356095235,-7.109525702893734,-6.615265220403671,A,A,True,True
Chikungunya has spread widely from Asia and Africa into the Caribbean in recent years. This has been mainly facilitated by:,(A) Mutation in the virus allowing replication in the mosquito Aedes albopictus,(B) Air Travel,(C) Climate change,(D) Poor mosquito control and the absence of DTT,A,B,False,20.0,1,-2.7029426097869873,-1.8906058073043823,-6.874480724334717,-3.453115940093994,3.51404179011782,4.8068245487908525,0.23504497855901718,3.162149280309677,-6.216984399904807,-6.697430356095235,-7.109525702893734,-6.615265220403671,B,B,False,False
How is the parvovirus family targeted to reduce disease?,(A) Transfusion blood is screened,(B) Vaccine has been developed,(C) A range of new antivirals,(D) Social distancing,A,B,False,20.0,1,-7.49701452255249,-0.05150163173675537,-9.872673988342285,-10.498674392700195,-1.2800301226476831,6.6459287243584795,-2.763148285448551,-3.883409172296524,-6.216984399904807,-6.697430356095235,-7.109525702893734,-6.615265220403671,B,B,False,False
How does rubella cause foetal abnormalities?,(A) By crossing the placenta early in pregnancy and infecting the foetus,(B) By only infecting the placenta,(C) By inducing cytokines and chemokines in the mother,(D) By raising the temperature of the mother and inducing an abnormal immune reaction to the foetus,A,A,True,20.0,2,-0.9373766183853149,-13.101754188537598,-10.93366813659668,-11.681190490722656,5.148139192412297,-7.043563529849052,-3.4763450411458807,-4.642352246989806,-6.085515810797612,-6.058190658688545,-7.457323095450799,-7.03883824373285,A,A,True,True
"A new drug with in vitro activity against HIV is tested on a population of patients with Western-blot confirmed HIV infections. Out of the 200 individuals in the patient population, 100 are chosen by lottery to receive the drug. The drug, which is tasteless, is administered in a cup of orange juice; the other patients receive pure orange juice. Neither the nurses, doctors, nor the patients know which patients receive the drug. At the end of the study period, the number of CD4+ T cells is determined for all of the subjects. This is an example of a",(A) Case-control study,(B) Case report,(C) Cohort study,(D) Cross-sectional study,A,C,False,20.0,2,-7.743690013885498,-10.308158874511719,-0.17476975917816162,-9.30842113494873,-1.6581742030878859,-4.2499682158231735,7.282553336272637,-2.2695828912158804,-6.085515810797612,-6.058190658688545,-7.457323095450799,-7.03883824373285,C,C,False,False
Which of the following coronaviruses has caused thousands of deaths around the world as an 'emergent' virus?,(A) MERS,(B) SARS,(C) OC43,(D) HKU1,A,B,False,20.0,2,-9.236688613891602,-0.613276481628418,-11.058158874511719,-10.74849796295166,-3.1511728030939894,5.444914177060127,-3.60083577906092,-3.70965971921881,-6.085515810797612,-6.058190658688545,-7.457323095450799,-7.03883824373285,B,B,False,False
The range of disease caused by the family is wide but identify the exception from the following:,(A) Aplastic crisis in anaemia patients,(B) Fifth disease at 'Slapped cheek' syndrome,(C) Foetal infection with teratogenicity,(D) Serious pneumonia,A,D,False,20.0,2,-5.280470371246338,-7.903995513916016,-7.092293739318848,-0.7773414850234985,0.8050454395512743,-1.8458048552274704,0.3650293561319513,6.2614967587093515,-6.085515810797612,-6.058190658688545,-7.457323095450799,-7.03883824373285,D,D,False,False
Clinical infection by an arenavirus is characterised by which one of the following?,(A) Pantropic infection,(B) Signs of malaria,(C) Short (2-3 days) incubation,(D) Hepatitis,A,C,False,20.0,2,-8.680784225463867,-11.185900688171387,-0.02355802059173584,-10.748297691345215,-2.595268414666255,-5.1277100294828415,7.433765074859063,-3.709459447612365,-6.085515810797612,-6.058190658688545,-7.457323095450799,-7.03883824373285,C,C,False,False
Assembly is a vital late replication stage for a virus and is often accomplished by which of the following?,(A) Use of cellular scaffolding in the nucleus and cytoplasm,(B) Snatching cellular lipids and membranes,(C) Master plan embedded in the viral genome,(D) Random interactions between cellular and virus proteins,A,B,False,20.0,2,-7.587240695953369,-0.07909953594207764,-7.998588562011719,-8.562041282653809,-1.501724885155757,5.979091122746468,-0.5412654665609198,-1.5232030389209585,-6.085515810797612,-6.058190658688545,-7.457323095450799,-7.03883824373285,B,B,False,False
The treatment of hepatitis C has been revolutionised most recently by which of the following?,(A) The use of interferon,(B) A new vaccine,(C) Monoclonal antibodies,(D) Direct-acting Antivirals such as daclatasvir and sofosbuvir,A,D,False,20.0,2,-12.184165000915527,-13.534526824951172,-9.549188613891602,-0.16503512859344482,-6.098649190117915,-7.476336166262627,-2.0918655184408026,6.873803115139405,-6.085515810797612,-6.058190658688545,-7.457323095450799,-7.03883824373285,D,D,False,False
Papilloma viruses are characterised by what genetic feature?,(A) A genome of ds circular DNA encoding around 8 ORF,(B) A virus with RT able to integrate and cause cancer,(C) A variable ds RNA virus,(D) A large DNA containing virus,A,A,True,20.0,2,-0.10348308086395264,-9.311643600463867,-8.999290466308594,-9.999088287353516,5.9820327299336595,-3.253452941775322,-1.5419673708577948,-2.9602500436206656,-6.085515810797612,-6.058190658688545,-7.457323095450799,-7.03883824373285,A,A,True,True
How many human polyomaviruses are known at present?,(A) 100,(B) 1,(C) 10,(D) unknown,A,C,False,20.0,3,-4.093630313873291,-6.468630313873291,-0.07910120487213135,-8.999030113220215,2.251863309492667,0.01603897288441658,6.994144088278214,-1.9104052173594637,-6.345493623365958,-6.484669286757708,-7.073245293150346,-7.088624895860751,C,C,False,False
The most widespread and important retrovirus is HIV-1; which of the following is true?,(A) Infecting only gay people,(B) Infecting only males,(C) Infecting every country in the world,(D) Infecting only females,A,C,False,20.0,3,-9.959553718566895,-10.686254501342773,-0.4999990463256836,-8.124664306640625,-3.6140600952009363,-4.201585214585066,6.573246246824662,-1.0360394107798738,-6.345493623365958,-6.484669286757708,-7.073245293150346,-7.088624895860751,C,C,False,False
PreP is most effective for which group:,(A) Men with frequent unprotected sex,(B) Men with infrequent unprotected sex,(C) Women with frequent unprotected sex,(D) Women with infrequent unprotected sex,A,A,True,20.0,3,-0.26365602016448975,-6.562283515930176,-8.812041282653809,-8.624244689941406,6.0818376032014685,-0.07761422917246819,-1.7387959895034628,-1.535619794080655,-6.345493623365958,-6.484669286757708,-7.073245293150346,-7.088624895860751,A,A,True,True
The three key intervention strategies according to Professor Shoptaw are:,"(A) Behavioral intervention, treatment and structural interventions","(B) Condoms, drug therapy and regulation of commercial sex establishments","(C) Drug replacement therapy, community intervention and needle exchange","(D) HIV testing, drug therapy and condom use",A,A,True,20.0,3,-0.23430991172790527,-8.498674392700195,-9.87236499786377,-10.18258285522461,6.111183711638053,-2.0140051059424877,-2.7991197047134238,-3.093957959363858,-6.345493623365958,-6.484669286757708,-7.073245293150346,-7.088624895860751,A,A,True,True
What is the biggest risk factor for infection with Ebola?,(A) Working in a category IV laboratory,(B) Attending a funeral of a victim outside,(C) Nursing a patient at home,(D) Attending football matches or large gatherings,A,B,False,20.0,3,-7.327210903167725,-0.1699146032333374,-10.623071670532227,-9.561744689941406,-0.9817172798017664,6.31475468352437,-3.549826377381881,-2.473119794080655,-6.345493623365958,-6.484669286757708,-7.073245293150346,-7.088624895860751,B,B,False,False
The successful anti-cancer HPV vaccine consists of:,(A) Live virus attenuated by specific mutagenesis,(B) Whole virus chemically inactivated vaccine,(C) Self-assemble of virus L1 protein into VLP,(D) Sub unit chemically inactivated vaccine,A,C,False,20.0,3,-9.274458885192871,-11.992393493652344,-0.14842712879180908,-10.180784225463867,-2.928965261826913,-5.507724206894636,6.924818164358537,-3.092159329603116,-6.345493623365958,-6.484669286757708,-7.073245293150346,-7.088624895860751,C,C,False,False
Achieving effective change in a community is usually dependent on which of the following segments of society?,(A) Innovators,(B) Early adapters,(C) Middle adapters,(D) Late adapters,A,C,False,20.0,3,-7.904131889343262,-4.781232833862305,-0.3476560115814209,-7.655980587005615,-1.5586382659773035,1.703436452895403,6.725589281568925,-0.5673556911448641,-6.345493623365958,-6.484669286757708,-7.073245293150346,-7.088624895860751,C,C,False,False
Positive stranded RNA viruses have which of the following characteristics?,(A) Their genome RNA can be translated directly as mRNA,(B) They have to transcribe their genome RNA to a mirror image copy as a mRNA,(C) This genome is circular,(D) Their RNA genome is segmented,A,A,True,20.0,3,-0.4628640413284302,-3.3437366485595703,-9.998297691345215,-10.936088562011719,5.882629582037528,3.1409326381981373,-2.925052398194869,-3.8474636661509676,-6.345493623365958,-6.484669286757708,-7.073245293150346,-7.088624895860751,A,A,True,True
