question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
What is the value of p in 24 = 2p?,(A) p = 4,(B) p = 8,(C) p = 12,(D) p = 24,C,-1.499962329864502,-0.6288846731185913,-1.999959945678711,-2.374959945678711,B,False
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,(A) 5,(B) 7,(C) 8,(D) 9,C,-5.56241512298584,-0.1845489740371704,-1.9374756813049316,-4.187454700469971,B,False
Find the quotient of −40 ÷ (−8).,(A) 1 over 5,(B) −5,(C) −1 over 5,(D) 5,D,-2.937425136566162,-1.437462329864502,-0.8124339580535889,-3.687457323074341,C,False
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",(A) 4,(B) 5,(C) 6,(D) 7,B,-4.687462329864502,-1.187482237815857,-0.43943023681640625,-3.1874706745147705,C,False
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,(A) 4t = 112; $448,(B) 4t = 112; $28,(C) t over 4 = 112; $448,(D) t over 4 = 112; $28,B,-0.9412823915481567,-0.941331148147583,-1.9451881647109985,-3.4373512268066406,A,False
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,(A) 9,(B) 11,(C) 26,(D) 32,C,-3.6718637943267822,-0.6679626703262329,-0.7929559946060181,-4.781243801116943,B,False
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,(A) 1.1 over 11,(B) 11 over 11,(C) 12 over 11,(D) 11 over 12,C,-1.4296718835830688,-0.4316284656524658,-2.5624799728393555,-3.8124725818634033,B,False
Find the quotient of 2.16 ÷ 0.06.,(A) 3.6,(B) 36,(C) 0.01272,(D) 12.72,B,-2.8906090259552,-2.765618085861206,-0.13670074939727783,-5.124989986419678,C,False
Find the difference of 142.76 – 16.5.,(A) 159.26,(B) 2.224,"(C) 14,111",(D) 126.26,D,-4.781230449676514,-0.022803783416748047,-4.906230449676514,-6.406240940093994,B,False
Find the quotient of 5.04/0.7,(A) 0.72,(B) 0.702,(C) 10.0571,(D) 7.2,D,-4.43747091293335,-0.05149495601654053,-3.421849489212036,-5.562486171722412,B,False
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,(A) 150 + 400 + 200,(B) 200 + 400 + 200,(C) 200 + 450 + 200,(D) 200 + 500 + 200,C,-2.8124756813049316,-0.31638336181640625,-1.6874645948410034,-4.187462329864502,B,False
What is the remainder of 21 divided by 7?,(A) 21,(B) 7,(C) 1,(D) None of these,D,-5.812466621398926,-0.3046698570251465,-1.6796698570251465,-2.6718575954437256,B,False
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,(A) 8,(B) 9,(C) 49,(D) 63,A,-6.406144618988037,-0.039520263671875,-3.796849489212036,-4.906193733215332,B,False
Find the number that makes the statement 48 over 88 = ? over 11 true.,(A) 6,(B) 11,(C) 8,(D) 5,A,-4.281240940093994,-0.03588271141052246,-4.7812418937683105,-4.406242847442627,B,False
Which is the best buy?,(A) 10 bars of soap for $23.20,(B) 16 bars of soap for $36.48,(C) 13 bars of soap for $29.51,(D) 12 bars of soap for $27.60,C,-3.609342336654663,-0.35543811321258545,-1.3593330383300781,-4.468719959259033,B,False
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",(A) 5 minutes,(B) 14 minutes,(C) 34 minutes,(D) 70 minutes,B,-4.6874799728393555,-0.32420289516448975,-1.4531080722808838,-3.5781044960021973,B,True
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",(A) 18,(B) 24,(C) 25,(D) 29,B,-4.562486171722412,-3.0624959468841553,-0.06249046325683594,-6.437492847442627,C,False
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(A) (60/6)—12=a,(B) (60—12)/6=a,(C) (60-6)-12=a,(D) (60+12)/6=a,B,-1.5228350162506104,-0.5269012451171875,-3.9057769775390625,-3.280517578125,B,True
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,(A) 5,(B) 25,(C) 50,(D) 125,D,-4.156225204467773,-0.033925652503967285,-4.90623664855957,-6.28123664855957,B,False
Simplify (2 + 5)^2 − 42.,(A) 7,(B) 16,(C) 30,(D) 33,A,-3.1093637943267822,-0.230460524559021,-2.1093575954437256,-3.359365701675415,B,False
Find the value of 4 ÷ 2 • 2 + 8 − 4.,(A) −12,(B) 12,(C) 8,(D) 16,C,-3.1874899864196777,-0.06493186950683594,-4.4374823570251465,-4.8124918937683105,B,False
A coach rounded the number of runners at a track meet to the nearest 10. The rounded number of runners is 400. Which number could be the actual number of runners at the track meet?,(A) 382,(B) 397,(C) 406,(D) 447,B,-4.562459945678711,-0.9374822378158569,-0.5624785423278809,-3.6874756813049316,C,False
−4 +  ( −3 )=,(A) −7,(B) −1,(C) 1,(D) 7,A,-3.109340190887451,-0.6015505790710449,-1.4765387773513794,-3.2343623638153076,B,False
"Mark has a stamp collection. He has 22 stamps from Japan, 34 from Canada, and 17 from Mexico. How many stamps does he have in all?",(A) 53,(B) 63,(C) 73,(D) 83,C,-3.3593697547912598,-1.8515596389770508,-0.22948622703552246,-4.343746185302734,C,True
Identify a solution for the equation x + 2.7 = 8.4 from the given numbers.,(A) 11.1,(B) 5.7,(C) 3.7,(D) 22.68,B,-3.4999725818634033,-0.37106263637542725,-1.4999687671661377,-3.124974250793457,B,True
Find the number that makes the statement true: 0.32 g = _ cg.,(A) 32,(B) 3.2,"(C) 3,200",(D) 320,A,-5.406228065490723,-0.020253300666809082,-4.781233787536621,-5.156243801116943,B,False
Find the product of 5.7(8) mentally using the Distributive Property.,(A) 46.4,(B) 456,(C) 4.56,(D) 45.6,D,-2.2656118869781494,-2.2656164169311523,-0.25974392890930176,-4.374986171722412,C,False
"What is the quotient for the expression 2,314 / 4?",(A) 508,(B) 508 r2,(C) 578,(D) 578 r2,D,-1.3202215433120728,-0.6952459812164307,-1.5702416896820068,-4.812445163726807,B,False
"Rosa has a goal of running a total of 100 miles this month. Each day that she ran, she ran 5 miles. Which expression could Rosa use to determine how many miles she has left to run after running for d days?",(A) 100 — 5d,(B) 5d+ 100,(C) 100 / 5d,(D) 5d,A,-0.5898135900497437,-1.0859168767929077,-2.5937135219573975,-5.218700408935547,A,True
Identify the algebraic expression that matches the word phrase: 4 times as many cans as Tom collected.,(A) 4t,(B) t over 4,(C) t − 4,(D) t + 4,A,-0.24314939975738525,-1.6171718835830688,-5.12497091293335,-5.624985218048096,A,True
"Andrew wrote the number 186,425 on the board. In which number is the value of the digit 6 exactly 10 times the value of the digit 6 in the number Andrew wrote?","(A) 681,452","(B) 462,017","(C) 246,412","(D) 125,655",B,-0.8124251365661621,-0.937437891960144,-2.062429666519165,-3.56242036819458,A,False
What is 123 / 8?,(A) 15 remainder 7,(B) 15 remainder 3,(C) 16 remainder 5,(D) 16 remainder 1,B,-1.1952810287475586,-0.5742028951644897,-2.2030892372131348,-4.0624799728393555,B,True
Write 8 and 2 over 4 as an improper fraction in simplest form.,(A) 17 over 2,(B) 34 over 4,(C) 17 over 4,(D) 19 over 2,A,-4.843731880187988,-0.46483123302459717,-1.0937327146530151,-3.843738317489624,B,False
"What expression can be used to show 270,240 written in expanded form?","(A) 200,000 + 7,000 + 200 + 4","(B) 200,000 + 7,000 + 200 + 40","(C) 200,000 + 70,000 + 200 + 40","(D) 200,000 + 70,000 + 2,000 + 40",C,-2.937478542327881,-1.6874810457229614,-0.31442558765411377,-3.9374687671661377,C,True
A worker on an assembly line takes 7 hours to produce 22 parts. At that rate how many parts can she produce in 35 hours?,(A) 220 parts,(B) 770 parts,(C) 4 parts,(D) 110 parts,D,-3.8437249660491943,-0.09763789176940918,-3.593733787536621,-3.343726396560669,B,False
"Abe found the mean and median of this list of numbers. 1, 3, 3 If the number 6 were added to the list, then",(A) the mean would increase.,(B) the mean would decrease.,(C) the median would increase.,(D) the median would decrease.,A,-2.2186970710754395,-0.34956228733062744,-1.9764894247055054,-3.09363055229187,B,False
"When n = 11, what is the value of 10 – (n + 6)?",(A) –7,(B) 5,(C) 7,(D) 27,A,-3.281203269958496,-0.6562278270721436,-0.9062157869338989,-3.7812178134918213,B,False
"Which expression represents the phrase below? 3 fewer than a number, p",(A) 3-p,(B) p+3,(C) 3/p,(D) p-3,D,-1.085909366607666,-0.4628711938858032,-4.343728065490723,-5.218728065490723,B,False
A theater collected $6 for each ticket sold to a movie. The theater sold 500 tickets to the movie. The expression below can be used to find how much money the theater collected for the tickets. 6 × 500 Which expression can also be used to find how much money the theater collected for the tickets?,(A) 30 × 10^1,(B) 30 × 10^3,(C) (6 × 5) × 10^2,(D) (6 × 5) × 10^3,C,-3.79685115814209,-0.5546634197235107,-1.1796501874923706,-2.921844244003296,B,False
Let 12-9+c=12. What value of c makes the equation true?,(A) 0,(B) 3,(C) 9,(D) 12,C,-4.374974250793457,-0.1308445930480957,-2.624983310699463,-3.3749852180480957,B,False
"The Sojourn family went on a vacation. They started with $2000. If they spent $150 each day, which expression represents how much money they had after x days?",(A) 1850x,(B) 2000 −150x,(C) 150x,(D) 2000 +150x,B,-4.062475681304932,-0.04709208011627197,-4.812472343444824,-4.687485218048096,B,True
"A shelf has four books on it. The weight, in pounds, of each of the four books on the shelf is 2.5, 3.2, 2.7, 2.3 Which inequality represents the weight, w, of any book chosen from the shelf?",(A) w > 2.3,(B) w < 2.4,(C) w > 3.2,(D) w < 3.3,D,-2.7655441761016846,-0.2636127471923828,-2.765533447265625,-2.640514373779297,B,False
Which number has an absolute value greater than 5?,(A) -6,(B) -5,(C) 0,(D) 5,A,-3.406226396560669,-0.16306853294372559,-4.156230449676514,-2.5312278270721436,B,False
What is the value of the expression 2(3(4^2 + 1)) - 2^3?,(A) 156,(B) 110,(C) 94,(D) 48,C,-1.9765520095825195,-0.597648024559021,-1.2265490293502808,-4.0937418937683105,B,False
"Gwen wrote the number pattern below on a piece of paper. 1, 5, 9, 13 What are the next two terms in Gwen’s pattern?","(A) 15, 17","(B) 15, 19","(C) 17, 19","(D) 17, 21",D,-3.3124756813049316,-0.5624810457229614,-1.0624706745147705,-4.312462329864502,B,False
If 3 cans of pears cost $2.37 how many cans of pears can you buy for $9.48?,(A) 3 cans,(B) 12 cans,(C) 36 cans,(D) 13 cans,B,-3.203098773956299,-0.4570215940475464,-1.2031090259552002,-4.343733787536621,B,True
"Order from greatest to least: 3, 3 and 1 over 8,3.8,3.18.","(A) 3.18, 3 and 1 over 8, 3.8,3","(B) 3,3 and 1 over 8, 3.18, 3","(C) 3.8, 3 and 1 over 8, 3.18, 3","(D) 3.8, 3.18, 3 and 1 over 8, 3",D,-1.6093355417251587,-0.3593510389328003,-2.4843356609344482,-5.3749518394470215,B,False
Compute 22 / 2 + 9.,(A) 10,(B) 11,(C) 20,(D) 2,C,-3.624978542327881,-0.12156426906585693,-2.7499799728393555,-3.874986171722412,B,False
"The population of a certain city is 836,527. What is the population of this city rounded to the nearest ten thousand?","(A) 800,000","(B) 830,000","(C) 836,000","(D) 840,000",D,-5.6562180519104,-0.5273361206054688,-0.9023351669311523,-7.406240940093994,B,False
Find the product of 5 • (−9).,(A) 14,(B) −4,(C) 45,(D) −45,D,-4.093693733215332,-0.3300442695617676,-1.5780657529830933,-3.8280868530273438,B,False
"Keiko spent the day bird watching and counted 34 more birds in the morning than in the afternoon. If she counted a total of 76 birds, how many birds did she count in the afternoon?",(A) 21 birds,(B) 40 birds,(C) 42 birds,(D) 84 birds,A,-6.156208515167236,-0.2695094347000122,-1.5234125852584839,-4.656230449676514,B,False
What is the value of 5 + 2 • 15 + (12 • 4)?,(A) 78,(B) 83,(C) 131,(D) 153,B,-3.1093645095825195,-1.1093699932098389,-0.4843672513961792,-4.749995231628418,C,False
Which situation can be represented by the fraction 20/8?,(A) Leslie spent 20 dollars and 8 cents at a store. How is the amount of money Leslie spent written as a fraction?,(B) Mr. Kramer’s 8 grandchildren shared 20 crackers equally. How many crackers did each grandchild get?,(C) Mitch bought 20 containers of flowers at a plant store. Each container had 8 flowers in it. How many flowers did Mitch buy?,(D) Stamps are sold in booklets of 20 stamps. Donna used 8 stamps to send invitations for a party. How many booklets of stamps did Donna use to send her invitations?,B,-1.632671594619751,-1.0077215433120728,-1.0076624155044556,-4.2498087882995605,C,False
"If a freight train travels at a speed of 20 miles per hour for 6 hours, how far will it travel?",(A) 120 miles,(B) 80 miles,(C) 26 miles,(D) 12 miles,A,-0.9804513454437256,-0.7304637432098389,-1.976550579071045,-6.218735694885254,B,False
Which step explains how to find the value of a in 6a = 72?,(A) add 6 to both sides,(B) divide both sides by 6,(C) multiply both sides by 6,(D) subtract 6 from both sides,B,-6.156244277954102,-0.16503262519836426,-2.296869993209839,-3.046867847442627,B,True
"Coach Wu has a total of 30 soccerballs. 9 soccer balls are white. The remaining soccer balls are one of three different colors (blue, pink, or green). There is an equal numberof blue, pink, and green balls How many green soccer balls does Coach Wu have?",(A) 7,(B) 10,(C) 21,(D) 39,A,-3.2497386932373047,-2.1248602867126465,-0.2468797117471695,-3.7498602867126465,C,False
