Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
1.0,1.0,quantitative-properties,,antonym,1.0,There are fewer keychains than staplers.,Are there more staplers than keychains?,Yes,0,-0.28600361943244934,-1.4136673212051392,-0.29371754721634924,-1.4059533934212394,0.007713927783899899,Yes,True
2.0,1.0,quantitative-properties,,antonym,1.0,There are fewer keychains than staplers.,Are there fewer staplers than keychains?,No,0,-2.2473649978637695,-0.11817608773708344,-2.2550789256476693,-0.11046215995318354,0.007713927783899899,No,True
3.0,1.0,quantitative-properties,,antonym,2.0,There are more keychains than staplers.,Are there more staplers than keychains?,No,0,-3.778169870376587,-0.02671259269118309,-3.7858837981604867,-0.01899866490728319,0.007713927783899899,No,True
4.0,1.0,quantitative-properties,,antonym,2.0,There are more keychains than staplers.,Are there fewer staplers than keychains?,Yes,0,-0.580450713634491,-0.8314310908317566,-0.5881646414183909,-0.8237171630478567,0.007713927783899899,Yes,True
5.0,2.0,quantitative-properties,,antonym,1.0,There are many staplers relative to keychains.,Are there more staplers than keychains?,Yes,0,-0.019439466297626495,-4.343496799468994,-0.027153394081526394,-4.335782871685094,0.007713927783899899,Yes,True
6.0,2.0,quantitative-properties,,antonym,1.0,There are many staplers relative to keychains.,Are there fewer staplers than keychains?,No,0,-1.7096624374389648,-0.2066187560558319,-1.7173763652228646,-0.198904828271932,0.007713927783899899,No,True
7.0,2.0,quantitative-properties,,antonym,2.0,There are few staplers relative to keychains.,Are there more staplers than keychains?,No,0,-0.9796290397644043,-0.48022809624671936,-0.9873429675483042,-0.47251416846281946,0.007713927783899899,No,True
8.0,2.0,quantitative-properties,,antonym,2.0,There are few staplers relative to keychains.,Are there fewer staplers than keychains?,Yes,0,-0.11013985425233841,-2.3591747283935547,-0.11785378203623831,-2.351460800609655,0.007713927783899899,Yes,True
12.0,2.0,quantitative-properties,,variable swap,2.0,There are many keychains relative to staplers.,Are there fewer staplers than keychains?,Yes,0,-1.139235496520996,-0.3940638303756714,-1.1469494243048959,-0.3863499025917715,0.007713927783899899,No,False
13.0,2.0,quantitative-properties,,variable swap,1.0,There are few keychains relative to staplers.,Are there more staplers than keychains?,Yes,0,-0.11882885545492172,-2.2497220039367676,-0.12654278323882162,-2.242008076152868,0.007713927783899899,Yes,True
