Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,yes_logprob,no_logprob,predicted_answer,is_correct
1,1,material-dynamics,1,material,1,Chao sees something that is fabric.,Can Chao fold it?,Yes,-1.0152140855789185,-0.5154536962509155,No,False
2,1,material-dynamics,1,material,1,Chao sees something that is fabric.,Can Chao pour it?,No,-1.2964510917663574,-0.4197219908237457,No,True
3,1,material-dynamics,1,material,2,Chao sees something that is liquid.,Can Chao fold it?,No,-1.0855940580368042,-0.45881199836730957,No,True
4,1,material-dynamics,1,material,2,Chao sees something that is liquid.,Can Chao pour it?,Yes,-0.9449047446250916,-0.5701425075531006,No,False
5,2,material-dynamics,2,material,1,Chao sees the denim.,Can Chao fold it?,Yes,-0.92926025390625,-0.5545092821121216,No,False
6,2,material-dynamics,2,material,1,Chao sees the denim.,Can Chao pour it?,No,-1.3511673212051392,-0.34943440556526184,No,True
7,2,material-dynamics,2,material,2,Chao sees the water.,Can Chao fold it?,No,-1.4371429681777954,-0.31429433822631836,No,True
8,2,material-dynamics,2,material,2,Chao sees the water.,Can Chao pour it?,Yes,-1.2574048042297363,-0.386537104845047,No,False
10,3,material-dynamics,3,material,1,Chao sees something that is fabric.,Can Chao stir it?,No,-1.0152842998504639,-0.5115584135055542,No,True
12,3,material-dynamics,3,material,2,Chao sees something that is liquid.,Can Chao stir it?,Yes,-0.8512137532234192,-0.6014258861541748,No,False
16,4,material-dynamics,4,material,2,Chao sees the water.,Can Chao stir it?,Yes,-1.0777842998504639,-0.45298290252685547,No,False
20,5,material-dynamics,5,material,2,Chao sees something that is gas.,Can Chao stir it?,Yes,-1.0778049230575562,-0.4529916048049927,No,False
24,6,material-dynamics,6,material,2,Chao sees the oxygen.,Can Chao stir it?,Yes,-1.163734793663025,-0.4100114107131958,No,False
25,7,material-dynamics,7,material,1,Chao sees something that is rigid.,Can it break?,Yes,-1.0776593685150146,-0.5740128755569458,No,False
26,7,material-dynamics,7,material,1,Chao sees something that is rigid.,Can it ripple?,No,-1.5386418104171753,-0.2869548797607422,No,True
27,7,material-dynamics,7,material,2,Chao sees something that is fabric.,Can it break?,No,-1.0933057069778442,-0.5935121774673462,No,True
28,7,material-dynamics,7,material,2,Chao sees something that is fabric.,Can it ripple?,Yes,-1.0698504447937012,-0.5700801610946655,No,False
31,8,material-dynamics,8,material,2,Chao sees something that is liquid.,Can it break?,No,-1.0386673212051392,-0.5427813529968262,No,True
32,8,material-dynamics,8,material,2,Chao sees something that is liquid.,Can it ripple?,Yes,-0.9565920829772949,-0.58184814453125,No,False
33,9,material-dynamics,9,material,1,Chao sees something that is non-rigid.,Can it break?,Yes,-0.9214510917663574,-0.6716982126235962,No,False
34,9,material-dynamics,9,material,1,Chao sees something that is non-rigid.,Can it ripple?,No,-0.948834240436554,-0.5740480422973633,No,True
37,10,material-dynamics,10,material,1,Chao sees the feather.,Can it break?,Yes,-0.9720835089683533,-0.5974021553993225,No,False
38,10,material-dynamics,10,material,1,Chao sees the feather.,Can it ripple?,No,-0.8862549066543579,-0.6364854574203491,No,True
40,10,material-dynamics,10,material,2,Chao sees the denim.,Can it ripple?,Yes,-0.9604681730270386,-0.5857536792755127,No,False
