question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
 What can murtis be translated as?,(A) Offerings,(B) Prayers,(C) Apparitions,(D) Idols,D,-1.3796098232269287,-1.1308687925338745,-1.3803174495697021,-1.8803174495697021,B,False
 Naturalists who concentrated on natural elements and processes are associated with which of the following?,(A) Daoism,(B) Yin-Yang School,(C) Mengzi,(D) Humanistic Buddhism,B,-1.4108598232269287,-1.409952163696289,-1.409952163696289,-1.4108598232269287,B,True
 When was the first Buddhist temple constructed in Japan?,(A) 325 CE,(B) 119 CE,(C) 451 CE,(D) 596 CE,D,-1.1152738332748413,-1.3652738332748413,-1.3660264015197754,-2.123497724533081,A,False
 What is the name of the ten day New Year festival that celebrated Babylon's culture?,(A) Akitu,(B) Wag and Thoth,(C) Bast,(D) Nehebkau,A,-1.222452163696289,-1.221287727355957,-1.471287727355957,-1.972452163696289,B,False
Which of the following terms denote the Japanese art of flower arranging?,(A) Zazen,(B) Tariki,(C) Kami,(D) Ikebana,D,-1.3105714321136475,-1.3109976053237915,-1.3105714321136475,-1.8109976053237915,A,False
 Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following?,(A) Harmony and balance,(B) Devotion and piety,(C) Love and passion,(D) Goodwill and love,A,-1.6432442665100098,-1.1443907022476196,-1.3932442665100098,-1.6443907022476196,B,False
" Guru Nanak used what term to denote the ""divine word"" as part of divine revelation?",(A) Shabad,(B) Khalse,(C) Nam,(D) Guru,A,-1.3327845335006714,-1.3327845335006714,-1.5807442665100098,-1.5827845335006714,A,True
What is the mi'raj?,(A) Muhammad's miraculous ascent to heaven,(B) Muhammad's migration to Mecca,(C) Muhammad's first community in Mecca,(D) Muhammad's revelations of the Qur'an,A,-1.1081863641738892,-1.1081863641738892,-1.607416033744812,-2.107896089553833,A,True
"What is the name of the most famous dharmashastras, which probably dates from around the first century?",(A) Laws of Dharma,(B) Laws of Karma,(C) Laws of Vishnu,(D) Laws of Manu,D,-1.5687984228134155,-1.0687984228134155,-1.5678174495697021,-1.5687984228134155,B,False
"What does the term ""Qur'an"" literally mean?",(A) The Holy Book,(B) The Narrative,(C) The Recitation,(D) The Pillars,C,-1.0144363641738892,-1.51409912109375,-1.51409912109375,-1.7644363641738892,A,False
 Mani referred to God by which of the following names?,(A) Mother of Light,(B) Father of Goodness,(C) Ineffable Lover,(D) Eternal Spirit,B,-1.3874964714050293,-1.3874964714050293,-1.386609673500061,-1.6374964714050293,C,False
