question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
 What can murtis be translated as?,(A) Offerings,(B) Prayers,(C) Apparitions,(D) Idols,D,-17.738636016845703,-16.48024559020996,-15.788055419921875,-8.344646857949556e-07,D,True
 Naturalists who concentrated on natural elements and processes are associated with which of the following?,(A) Daoism,(B) Yin-Yang School,(C) Mengzi,(D) Humanistic Buddhism,B,-0.5845540165901184,-2.5934152603149414,-1.6681487560272217,-1.9683711528778076,A,False
 When was the first Buddhist temple constructed in Japan?,(A) 325 CE,(B) 119 CE,(C) 451 CE,(D) 596 CE,D,-1.878414273262024,-0.6943926811218262,-2.6823251247406006,-1.2948462963104248,B,False
 What is the name of the ten day New Year festival that celebrated Babylon's culture?,(A) Akitu,(B) Wag and Thoth,(C) Bast,(D) Nehebkau,A,-0.0003076318243984133,-9.50828742980957,-11.749541282653809,-8.488295555114746,A,True
Which of the following terms denote the Japanese art of flower arranging?,(A) Zazen,(B) Tariki,(C) Kami,(D) Ikebana,D,-14.846839904785156,-15.088135719299316,-13.984325408935547,-1.9073298972216435e-05,D,True
 Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following?,(A) Harmony and balance,(B) Devotion and piety,(C) Love and passion,(D) Goodwill and love,A,-13.18255615234375,-7.986699347384274e-05,-13.17713737487793,-13.379312515258789,B,False
" Guru Nanak used what term to denote the ""divine word"" as part of divine revelation?",(A) Shabad,(B) Khalse,(C) Nam,(D) Guru,A,-6.351879119873047,-9.166449546813965,-0.005722082685679197,-10.300990104675293,C,False
What is the mi'raj?,(A) Muhammad's miraculous ascent to heaven,(B) Muhammad's migration to Mecca,(C) Muhammad's first community in Mecca,(D) Muhammad's revelations of the Qur'an,A,-0.00014602048031520098,-11.71507740020752,-13.205020904541016,-11.915146827697754,A,True
"What is the name of the most famous dharmashastras, which probably dates from around the first century?",(A) Laws of Dharma,(B) Laws of Karma,(C) Laws of Vishnu,(D) Laws of Manu,D,-17.14537811279297,-16.667930603027344,-16.763992309570312,-1.1920928244535389e-07,D,True
"What does the term ""Qur'an"" literally mean?",(A) The Holy Book,(B) The Narrative,(C) The Recitation,(D) The Pillars,C,-9.593235969543457,-10.65102481842041,-0.002513452433049679,-7.307385444641113,C,True
 Mani referred to God by which of the following names?,(A) Mother of Light,(B) Father of Goodness,(C) Ineffable Lover,(D) Eternal Spirit,B,-3.6913278102874756,-4.1876678466796875,-0.5951622724533081,-0.8962477445602417,C,False
" Which tradition is known to promote ""gradual enlightenment""?",(A) Bushido,(B) Shinto,(C) Nichiren,(D) Soto Zen,D,-12.892801284790039,-11.547300338745117,-10.031679153442383,-0.0006308937445282936,D,True
What is the communal meal offered at the place of worship called in Sikhism?,(A) Sangat,(B) Langar,(C) Gurdwara,(D) Panth,B,-7.638917446136475,-0.000518306449521333,-11.192424774169922,-15.152417182922363,B,True
To which tradition do the anti-Han rebel group known as the Celestial Masters belong?,(A) Buddhism,(B) Daoism,(C) Confucianism,(D) Shamanism,B,-9.381216049194336,-0.051003843545913696,-6.587977886199951,-8.848273277282715,B,True
"What does the word ""Islam"" mean in Arabic?",(A) Worship,(B) Submission,(C) Obedience,(D) Faith,B,-3.718576431274414,-0.025146281346678734,-8.13253116607666,-10.505298614501953,B,True
What does the term anatman mean?,(A) Suffering,(B) Soul,(C) Impermanence,(D) No-self,D,-14.555615425109863,-13.79878044128418,-13.24936294555664,-1.633151259738952e-05,D,True
 What genre of Sikh literature is denoted by the term janam-sakhis?,(A) Spiritual narratives,(B) Redemption narratives,(C) Birth narratives,(D) Theological narratives,C,-12.64538288116455,-14.53321361541748,-0.0003238388744648546,-13.830389022827148,C,True
Pure Land Buddhism belongs to which school?,(A) Vajrayana,(B) Theravada,(C) Mahayana,(D) Mahavira,C,-13.480008125305176,-10.308281898498535,-5.173547469894402e-05,-12.707686424255371,C,True
 Which Jaina group only allows women to lead a life of semi-renunciation?,(A) Svetambara,(B) Jina,(C) Agama,(D) Digambara,D,-12.084671974182129,-11.494829177856445,-11.145085334777832,-0.0008253026171587408,D,True
What is the most important prayer in Judaism?,(A) The Shema,(B) The Sefirot,(C) Deuteronomy,(D) The Decalogue,A,-0.0003678121429402381,-10.667313575744629,-10.964346885681152,-9.675776481628418,A,True
 The socio-political alliance between the kshatriyas and the shramanas was rooted in their shared opposition to which of the following?,(A) Brahminic orthodoxy,(B) Legalistic asceticism,(C) Bhakti devotionals,(D) Unorthodox practices,A,-0.006580231711268425,-10.675354957580566,-13.262202262878418,-5.036701202392578,A,True
 Which early battle led to the conversion of Mecca?,(A) The Battle of Uhud,(B) The Battle of Camel,(C) The Battle of the Trench,(D) The Battle of Badr,C,-13.467813491821289,-13.328604698181152,-12.372729301452637,-0.00017724843928590417,D,False
 What interior discipline must be adopted to achieve spiritual liberation within Sikhism?,(A) Remembering the Divine Name,(B) Meditating on the sacred hymns,(C) Remembering that death is inevitable,(D) Meditating on the goodness of the created world,A,-8.305907249450684,-0.0011043396079912782,-9.715664863586426,-10.010007858276367,B,False
" During Japan's occupation of Korea (1910-1945), which of the following was imposed upon the Koreans?",(A) Confucianism,(B) Buddhism,(C) Christianity,(D) Daoism,A,-0.0004239371046423912,-9.705948829650879,-11.109163284301758,-11.03233528137207,A,True
"What is the meaning of the Punjabi word ""Sikh""?",(A) Disciple,(B) Faithful,(C) Devotee,(D) Enlightened,A,-0.0019748827908188105,-8.871400833129883,-6.574173450469971,-7.813821792602539,A,True
 Which of the following shuns politics?,(A) The sages of the Zhuangzi,(B) The Songs of the South,(C) The Duke of Zhou,"(D) The Confucian ""sage kings""",A,-0.0001630649931030348,-9.06006145477295,-10.853480339050293,-11.20213794708252,A,True
What does the Hebrew word mashiach mean?,(A) Anointed one,(B) God,(C) Prophet,(D) The line of David,A,-8.415820775553584e-05,-12.235734939575195,-11.720491409301758,-10.666550636291504,A,True
"According to Jaina traditions, what does the term ajiva mean?",(A) Soul,(B) Sound,(C) Non-matter,(D) Non-soul,D,-12.253462791442871,-11.86579704284668,-6.401318387361243e-05,-11.456401824951172,C,False
" In the Japanese Zen tradition, what is zazen?",(A) A collection of statues,(B) Veneration of ancestors,(C) Seated meditation,(D) Funeral rituals,C,-13.219075202941895,-12.308943748474121,-2.8728978577419184e-05,-12.211569786071777,C,True
 What is a central component of tantric Buddhism?,(A) Asceticism,(B) Bodily pleasure,(C) Music,(D) Sexual union,D,-13.044095039367676,-12.479854583740234,-10.555316925048828,-5.5549939133925363e-05,D,True
" How does the Egyptian composition Ludul Bel Nemequi (""I will praise the Lord of wisdom) portray Marduk?",(A) Loving and forgiving,(B) Wrathful and merciful,(C) Judging and vengeful,(D) Transcendent and immanent,B,-1.2493617534637451,-2.783499002456665,-2.3264427185058594,-0.5950132608413696,D,False
" After the Bar Kochba revolt, where were the two main centres for Jewish development?",(A) Palestine and Babylonia,(B) Babylonia and Europe,(C) Palestine and Spain,(D) Spain and France,A,-4.625214099884033,-7.730651378631592,-0.01326359249651432,-8.080879211425781,C,False
" In addition to Jainism, which other tradition began as a world-renouncing movement?",(A) Buddhism,(B) Hinduism,(C) Judaism,(D) Islam,A,-3.576278118089249e-07,-15.68895149230957,-18.244949340820312,-19.051498413085938,A,True
"According to Hindu tradition, which age are we in currently?",(A) Kali yuga,(B) Maha yuga,(C) Krita yuga,(D) Satya yuga,A,-2.343435525894165,-5.625730514526367,-5.306423187255859,-0.11087656021118164,D,False
" In the Zoroastrian tradition, the term Gathas refers to which of the following?",(A) Hymns,(B) Laws,(C) Ethics,(D) Myths,A,-8.797258487902582e-05,-13.541827201843262,-12.670171737670898,-13.378665924072266,A,True
Which form of Buddhism taught the only hope for salvation was in the saving grace of Amida?,(A) Pure Land,(B) Tendai,(C) Shingon,(D) Soto Zen,A,-0.10018208622932434,-6.890810012817383,-2.456305503845215,-8.927633285522461,A,True
" According to Hindu tradition, who is considered to be the ideal wife?",(A) Sita,(B) Rama,(C) Kali,(D) Durga,A,-0.0006771127809770405,-7.5644917488098145,-11.123454093933105,-11.614592552185059,A,True
Who is the woman mystic who exemplified the all-consuming love of the divine?,(A) Rumi,(B) Rabi'a,(C) Fatimah,(D) Khadija,B,-14.780889511108398,-6.735094939358532e-05,-14.793960571289062,-17.71613121032715,B,True
 Who is the eighth-century CE female poet worshipped throughout many South Indian temples dedicated to Vishnu?,(A) Andal,(B) Devi,(C) Ganga,(D) Kali,A,-6.651648436672986e-05,-11.585067749023438,-13.220989227294922,-14.291118621826172,A,True
 Who is associated with the stigmata and preaching to birds?,(A) Paul of Tarsus,(B) Clare of Assisi,(C) Francis of Assisi,(D) John of the Cross,C,-3.2242844104766846,-0.1235809177160263,-2.5763399600982666,-11.961005210876465,B,False
" In his final work, Laws, Plato shifted from cosmology to which of the following issues?",(A) Epistemology,(B) Morality,(C) Religion,(D) Aesthetics,B,-5.917917728424072,-0.0029050775337964296,-11.423922538757324,-10.837701797485352,B,True
 Which Christian denomination promotes a stripped-down Christianity?,(A) Greek Orthodox,(B) Roman Catholic,(C) Puritans,(D) Quakers,D,-13.334494590759277,-12.935731887817383,-0.00014685475616715848,-11.895668983459473,C,False
 Rome claimed that their bishop (pope) was the director successor of which leader?,(A) Peter,(B) Paul,(C) Jesus,(D) Matthew,A,-0.7540677785873413,-1.9238206148147583,-1.1980642080307007,-2.513524055480957,A,True
When was the current Dalai Lama born?,(A) 1935,(B) 2000,(C) 1965,(D) 1975,A,-0.0010939515195786953,-10.11009693145752,-6.978653430938721,-9.381743431091309,A,True
" According to Jaina traditions, who were the caityavasis?",(A) Householders who supported renouncers,(B) Orthodox interpreters of the scriptures,(C) Women ascetics who lived in communities,(D) Temple-dwelling renouncers,D,-9.250210860045627e-05,-11.106987953186035,-12.479985237121582,-9.627354621887207,A,False
"Zhuangzi describes a state as ziran, which means which of the following?",(A) Thoughtfulness,(B) Non-action,(C) Spontaneity,(D) Meditation,C,-13.032861709594727,-9.846037864685059,-0.00012528030492831022,-11.845008850097656,C,True
" The mudras, which are an important feature of Buddhist art, are also known as what?",(A) hand gestures,(B) saints,(C) religious clothing,(D) temples,A,-0.8018615245819092,-15.388538360595703,-15.660075187683105,-13.467794418334961,A,True
 The Maccabean Revolt is associated with which ruler?,(A) Julius Caesar,(B) Alexander the Great,(C) Cyrus of Persia,(D) Antiochus IV Epiphanes,D,-19.123332977294922,-15.505586624145508,-15.843466758728027,-2.0265554212528514e-06,D,True
 How old was Guru Nanak when he started to preach the message of the divine Name?,(A) 30,(B) 40,(C) 33,(D) 52,A,-8.12465763092041,-6.533785820007324,-0.004682095721364021,-6.695743560791016,C,False
The widely adored Egyptian goddess Hathor was depicted as which of the following?,(A) Serpent,(B) Eagle,(C) Cheetah,(D) Cow,D,-11.322097778320312,-10.579930305480957,-8.939695358276367,-0.00018511478265281767,D,True
What does the phrase Guru-Panth mean within the Sikh traditions?,(A) Community,(B) Scripture,(C) Worship,(D) Apprenticeship,A,-10.432760238647461,-13.728704452514648,-11.178796768188477,-9.774679347174242e-05,D,False
 After what event did the Rabbinical period begin within Judaism?,(A) Construction of the Second Temple,(B) Destruction of the Second Temple,(C) The Christianization of the Roman Empire,(D) The emergence of Islam,B,-14.962577819824219,-3.5762709558184724e-06,-15.842307090759277,-16.457401275634766,B,True
Which monk developed Pure Land Buddhism as we know it today?,(A) Genshin,(B) Dogen,(C) Honen,(D) Shinran,C,-11.567039489746094,-6.382397651672363,-0.03828580677509308,-3.7590041160583496,C,True
Which is the largest Muslim country in the world with more than 200 million adherents?,(A) Pakistan,(B) Iraq,(C) Indonesia,(D) Turkey,C,-2.4691617488861084,-8.27247428894043,-0.09336495399475098,-9.68789005279541,C,True
Which pope promoted the cults of St. Peter and St. Paul to bolster authority in Rome?,(A) Gregory,(B) Augustine,(C) Athanasius,(D) Francis,A,-0.0001532911992399022,-9.466317176818848,-11.345463752746582,-9.956937789916992,A,True
"Which of the following does the term ""Arhats"" refer to?",(A) Enlightened being,(B) Worthy ones,(C) Saintly ones,(D) Sages,A,-0.0004828002129215747,-13.353614807128906,-13.02120590209961,-7.674767971038818,A,True
Which Guru was martyred when he refused to embrace Islam?,(A) Guru Ram Das,(B) Guru Tegh Bahadur,(C) Guru Gobind Singh,(D) Guru Har Rai,B,-15.850909233093262,-0.08677475154399872,-12.212677955627441,-13.203394889831543,B,True
 Which Guru donned the two swords symbolling temporal and spiritual authority?,(A) Guru Nanak,(B) Guru Arjan,(C) Guru Hargobind,(D) Guru Ram Das,C,-3.3792548179626465,-2.9677817821502686,-0.8583519458770752,-0.7675367593765259,D,False
 Where is the key to liberation found within Sikhism?,(A) In the community,(B) In faith in God,(C) In ascetic renunciation,(D) In the life of the householder,D,-8.99125862121582,-6.465935230255127,-8.220749855041504,-0.0021906851325184107,D,True
Which is one of the most fundamental themes of Japanese culture and civilization?,(A) God is eternal and merciful to those who offer worship,(B) Humans can align themselves with life energy through worship of kami,(C) Justice will be the final outcome in the next world,(D) Power and force are the most divine attributes,A,-11.520040512084961,-0.00048399073421023786,-9.633244514465332,-11.18554401397705,B,False
 Which goddess is worshipped during the festival of Divali?,(A) Durga,(B) Sri Lakshmi,(C) Kali,(D) Mahavira,B,-15.581975936889648,-0.0015394719084724784,-12.071309089660645,-10.072333335876465,B,True
 Where did people believe in the goddess known as Holy Mother of Mount Fairy Peach?,(A) China,(B) Silla,(C) Goguryeo,(D) Joseon,B,-0.22529499232769012,-2.478191614151001,-2.264991044998169,-4.291043281555176,A,False
 To whom is the Yoga Sutras attributed?,(A) Madhva,(B) Patanjali,(C) Ramanuja,(D) Aryabhatta,B,-18.998798370361328,-6.318066425592406e-06,-16.70346450805664,-15.341132164001465,B,True
 Which of the following does NOT describe the Ka'ba?,(A) It was visited by Moses.,(B) It is a haram.,(C) It was built by Abraham.,(D) It is a square building.,A,-0.0019314686069265008,-7.749609470367432,-10.021732330322266,-6.7665181159973145,A,True
Which elephant-headed Hindu deity is often described as the most beloved?,(A) Parvati,(B) Ganesha,(C) Vishnu,(D) Sita,B,-16.66263198852539,-8.344614798261318e-06,-17.437559127807617,-17.59817886352539,B,True
