Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
1,1,social-interactions,1,antonym,1,Chao is making Yan's job easier.,Is Chao helping Yan?,Yes,20.0,0,-0.00033307482954114676,-8.812438011169434,3.8014609463510474,-6.333187541688025,-3.8017940211805885,-2.4792504694814093,Yes,True,True,True
2,1,social-interactions,1,antonym,1,Chao is making Yan's job easier.,Is Chao hindering Yan?,No,20.0,0,-8.437185287475586,-0.00029480920056812465,-4.635391266294997,2.478955660280841,-3.8017940211805885,-2.4792504694814093,No,True,False,True
3,1,social-interactions,1,antonym,2,Chao is making Yan's job harder.,Is Chao helping Yan?,No,20.0,0,-11.312331199645996,-9.000417776405811e-05,-7.510537178465407,2.479160465303645,-3.8017940211805885,-2.4792504694814093,No,True,False,True
4,1,social-interactions,1,antonym,2,Chao is making Yan's job harder.,Is Chao hindering Yan?,Yes,20.0,0,-0.0016838371520861983,-6.499925136566162,3.8001101840285023,-4.020674667084753,-3.8017940211805885,-2.4792504694814093,Yes,True,True,True
5,2,social-interactions,2,antonym,1,Chao is assisting Yan.,Is Chao helping Yan?,Yes,20.0,0,-0.0009472410893067718,-7.124941825866699,3.8008467800912817,-4.64569135638529,-3.8017940211805885,-2.4792504694814093,Yes,True,True,True
6,2,social-interactions,2,antonym,1,Chao is assisting Yan.,Is Chao hindering Yan?,No,20.0,0,-6.437203884124756,-0.0017379599157720804,-2.6354098629441673,2.477512509565637,-3.8017940211805885,-2.4792504694814093,No,True,False,True
7,2,social-interactions,2,antonym,2,Chao is obstructing Yan.,Is Chao helping Yan?,No,20.0,0,-11.06235122680664,-7.081122748786584e-05,-7.260557205626052,2.4791796582539214,-3.8017940211805885,-2.4792504694814093,No,True,False,True
8,2,social-interactions,2,antonym,2,Chao is obstructing Yan.,Is Chao hindering Yan?,Yes,20.0,0,-0.003281597513705492,-5.749945163726807,3.798512423666883,-3.2706946942453974,-3.8017940211805885,-2.4792504694814093,Yes,True,True,True
9,3,social-interactions,3,antonym,1,Chao is removing obstacles in the path of Yan.,Is Chao helping Yan?,Yes,20.0,0,-0.0032781423069536686,-5.749938011169434,3.798515878873635,-3.2706875416880243,-3.8017940211805885,-2.4792504694814093,Yes,True,True,True
10,3,social-interactions,3,antonym,1,Chao is removing obstacles in the path of Yan.,Is Chao hindering Yan?,No,20.0,0,-3.5310122966766357,-0.029795056208968163,0.27078172450395277,2.449455413272441,-3.8017940211805885,-2.4792504694814093,No,True,False,True
11,3,social-interactions,3,antonym,2,Chao is introducing obstacles in the path of Yan.,Is Chao helping Yan?,No,20.0,0,-12.249841690063477,-5.8651770814321935e-05,-8.448047668882888,2.479191817710595,-3.8017940211805885,-2.4792504694814093,No,True,False,True
12,3,social-interactions,3,antonym,2,Chao is introducing obstacles in the path of Yan.,Is Chao hindering Yan?,Yes,20.0,0,-0.0008741669589653611,-7.187429904937744,3.800919854221623,-4.708179435456335,-3.8017940211805885,-2.4792504694814093,Yes,True,True,True
13,4,social-interactions,4,antonym,1,Chao and Yan are working with each other.,Is Chao cooperating with Yan?,Yes,20.0,0,-0.004659303929656744,-5.6248979568481445,3.7971347172509318,-3.1456474873667353,-3.8017940211805885,-2.4792504694814093,Yes,True,True,True
14,4,social-interactions,4,antonym,1,Chao and Yan are working with each other.,Is Chao competing with Yan?,No,20.0,0,-4.999769687652588,-0.007282142993062735,-1.1979756664719994,2.4719683264883465,-3.8017940211805885,-2.4792504694814093,No,True,False,True
15,4,social-interactions,4,antonym,2,Chao and Yan are working against each other.,Is Chao cooperating with Yan?,No,20.0,0,-12.24976921081543,-8.773936133366078e-05,-8.44797518963484,2.4791627301200756,-3.8017940211805885,-2.4792504694814093,No,True,False,True
16,4,social-interactions,4,antonym,2,Chao and Yan are working against each other.,Is Chao competing with Yan?,Yes,20.0,0,-0.004265916999429464,-5.499904155731201,3.797528104181159,-3.020653686249792,-3.8017940211805885,-2.4792504694814093,Yes,True,True,True
17,5,social-interactions,5,antonym,1,Chao and Yan are helping each other.,Is Chao cooperating with Yan?,Yes,20.0,0,-0.00023306088405661285,-9.437420845031738,3.801560960296532,-6.9581703755503295,-3.8017940211805885,-2.4792504694814093,Yes,True,True,True
18,5,social-interactions,5,antonym,1,Chao and Yan are helping each other.,Is Chao competing with Yan?,No,20.0,0,-10.124738693237305,-0.00010037669562734663,-6.322944672056716,2.479150092785782,-3.8017940211805885,-2.4792504694814093,No,True,False,True
19,5,social-interactions,5,antonym,2,Chao and Yan are hindering each other.,Is Chao cooperating with Yan?,No,20.0,0,-10.624738693237305,-0.00015771706239320338,-6.822944672056716,2.479092752419016,-3.8017940211805885,-2.4792504694814093,No,True,False,True
20,5,social-interactions,5,antonym,2,Chao and Yan are hindering each other.,Is Chao competing with Yan?,Yes,20.0,0,-0.3883717656135559,-1.1404426097869873,3.4134222555670326,1.338807859694422,-3.8017940211805885,-2.4792504694814093,Yes,True,True,True
21,6,social-interactions,6,antonym,1,Chao will be happy if Yan succeeds.,Is Chao cooperating with Yan?,Yes,20.0,0,-0.02349783666431904,-3.7811145782470703,3.7782961845162695,-1.301864108765661,-3.8017940211805885,-2.4792504694814093,Yes,True,True,True
22,6,social-interactions,6,antonym,1,Chao will be happy if Yan succeeds.,Is Chao competing with Yan?,No,20.0,0,-8.999664306640625,-0.0001990847522392869,-5.197870285460036,2.47905138472917,-3.8017940211805885,-2.4792504694814093,No,True,False,True
23,6,social-interactions,6,antonym,2,Chao will be happy if Yan fails.,Is Chao cooperating with Yan?,No,20.0,0,-9.562309265136719,-0.0001324434415437281,-5.76051524395613,2.4791180260398655,-3.8017940211805885,-2.4792504694814093,No,True,False,True
24,6,social-interactions,6,antonym,2,Chao will be happy if Yan fails.,Is Chao competing with Yan?,Yes,20.0,0,-0.2517615854740143,-1.499868631362915,3.5500324357065742,0.9793818381184942,-3.8017940211805885,-2.4792504694814093,Yes,True,True,True
25,7,social-interactions,7,antonym,1,Chao is avoiding Yan.,Is Chao evading Yan?,Yes,20.0,0,-0.014312747865915298,-4.249941825866699,3.787481273314673,-1.77069135638529,-3.8017940211805885,-2.4792504694814093,Yes,True,True,True
26,7,social-interactions,7,antonym,1,Chao is avoiding Yan.,Is Chao chasing Yan?,No,20.0,0,-7.437331199645996,-0.0006397981778718531,-3.6355371784654076,2.4786106713035374,-3.8017940211805885,-2.4792504694814093,No,True,False,True
27,7,social-interactions,7,antonym,2,Chao is following Yan.,Is Chao evading Yan?,No,20.0,0,-3.8903908729553223,-0.02062595635652542,-0.08859685177473375,2.458624513124884,-3.8017940211805885,-2.4792504694814093,No,True,False,True
28,7,social-interactions,7,antonym,2,Chao is following Yan.,Is Chao chasing Yan?,Yes,20.0,0,-1.312341570854187,-0.31629693508148193,2.4894524503264015,2.1629535343999273,-3.8017940211805885,-2.4792504694814093,No,False,True,True
29,8,social-interactions,8,antonym,1,Chao will be unsuccessful if Chao and Yan run into each other.,Is Chao evading Yan?,Yes,20.0,1,-0.055729880928993225,-2.9373841285705566,4.319157407507009,-0.35999735604680616,-4.374887288436002,-2.5773867725237505,Yes,True,True,True
30,8,social-interactions,8,antonym,1,Chao will be unsuccessful if Chao and Yan run into each other.,Is Chao chasing Yan?,No,20.0,1,-0.6950801610946655,-0.6951425075531006,3.679807127341337,1.88224426497065,-4.374887288436002,-2.5773867725237505,Yes,False,True,False
31,8,social-interactions,8,antonym,2,Chao will be successful if Chao and Yan run into each other.,Is Chao evading Yan?,No,20.0,1,-2.3434805870056152,-0.10043133795261383,2.031406701430387,2.4769554345711366,-4.374887288436002,-2.5773867725237505,No,True,False,True
32,8,social-interactions,8,antonym,2,Chao will be successful if Chao and Yan run into each other.,Is Chao chasing Yan?,Yes,20.0,1,-2.1247386932373047,-0.12776054441928864,2.2501485951986977,2.449626228104462,-4.374887288436002,-2.5773867725237505,No,False,False,False
33,9,social-interactions,9,antonym,1,Chao is hiding from Yan.,Is Chao evading Yan?,Yes,20.0,1,-0.002268795855343342,-6.124941825866699,4.372618492580659,-3.5475550533429487,-4.374887288436002,-2.5773867725237505,Yes,True,True,True
