Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
1,1,social-interactions,1,antonym,1,Chao is making Yan's job easier.,Is Chao helping Yan?,Yes,20.0,0,-5.0765604972839355,-6.356482028961182,0.8036621113618212,-0.9938461681207018,-5.880222608645757,-5.36263586084048,Yes,True,True,True
2,1,social-interactions,1,antonym,1,Chao is making Yan's job easier.,Is Chao hindering Yan?,No,20.0,0,-5.370711326599121,-4.6660051345825195,0.5095112820466356,0.6966307262579603,-5.880222608645757,-5.36263586084048,No,True,False,True
3,1,social-interactions,1,antonym,2,Chao is making Yan's job harder.,Is Chao helping Yan?,No,20.0,0,-5.301475524902344,-3.0260705947875977,0.578747083743413,2.336565266052882,-5.880222608645757,-5.36263586084048,No,True,False,True
4,1,social-interactions,1,antonym,2,Chao is making Yan's job harder.,Is Chao hindering Yan?,Yes,20.0,0,-4.782125473022461,-6.2765302658081055,1.0980971356232958,-0.9138944049676256,-5.880222608645757,-5.36263586084048,Yes,True,True,True
5,2,social-interactions,2,antonym,1,Chao is assisting Yan.,Is Chao helping Yan?,Yes,20.0,0,-4.655541896820068,-6.038536548614502,1.2246807118256884,-0.6759006877740221,-5.880222608645757,-5.36263586084048,Yes,True,True,True
6,2,social-interactions,2,antonym,1,Chao is assisting Yan.,Is Chao hindering Yan?,No,20.0,0,-5.768436431884766,-5.404824733734131,0.11178617676099112,-0.04218887289365103,-5.880222608645757,-5.36263586084048,No,True,True,False
7,2,social-interactions,2,antonym,2,Chao is obstructing Yan.,Is Chao helping Yan?,No,20.0,0,-4.611496925354004,-2.2617156505584717,1.2687256832917528,3.100920210282008,-5.880222608645757,-5.36263586084048,No,True,False,True
8,2,social-interactions,2,antonym,2,Chao is obstructing Yan.,Is Chao hindering Yan?,Yes,20.0,0,-4.723949432373047,-5.205316543579102,1.1562731762727099,0.15731931726137827,-5.880222608645757,-5.36263586084048,Yes,True,True,True
9,3,social-interactions,3,antonym,1,Chao is removing obstacles in the path of Yan.,Is Chao helping Yan?,Yes,20.0,0,-5.08135461807251,-5.051609516143799,0.798867990573247,0.311026344696681,-5.880222608645757,-5.36263586084048,No,False,True,True
10,3,social-interactions,3,antonym,1,Chao is removing obstacles in the path of Yan.,Is Chao hindering Yan?,No,20.0,0,-5.99361515045166,-6.49226713180542,-0.11339254180590341,-1.12963127096494,-5.880222608645757,-5.36263586084048,Yes,False,True,False
