question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
What is the term for a sub-optimal but acceptable outcome of negotiations between parties?,(A) Bargaining,(B) Satisficing,(C) Accepting,(D) Compromising,B,-3.828065872192383,-2.0779995918273926,-1.8200491666793823,-1.8201074600219727,C,False
What is the term for the 'rule of thumb' type of bias in decision making?,(A) Framing bias,(B) Hindsight bias,(C) Over-confidence bias,(D) Heuristics,D,-4.968719959259033,-4.968700408935547,-5.468553066253662,-0.7225995063781738,D,True
What is a normative perspective?,(A) The way things are.,(B) The way things are going to be.,(C) The way things should be.,(D) The way things were.,C,-3.1718013286590576,-5.687164783477783,-4.687164783477783,-1.9295302629470825,D,False
"In the 'five forces model', what is the type of competitive activity that exists between organisations?",(A) The potential for entry into the industry,(B) The threat of substitute products,(C) The power of customers,(D) The level of rivalry,D,-4.499841690063477,-2.4998416900634766,-3.7494471073150635,-0.49792373180389404,D,True
Which one of the following political leaders could not be termed a 'transformational' leader?,(A) Margaret Thatcher,(B) Mikhail Gorbachov,(C) Nelson Mandela,(D) Bill Clinton,D,-6.906086444854736,-5.656040191650391,-3.140284299850464,-0.8982292413711548,D,True
What is a Gantt chart a type of?,(A) Work flow design,(B) Work schedule design,(C) Work rate design,(D) Work output design,B,-3.0781033039093018,-3.8280789852142334,-4.093672752380371,-1.8358608484268188,D,False
Which one of the following is a feature of McGregor's Theory X?,(A) Workers enjoy responsibility.,(B) Workers view physical and mental effort as a natural part of work.,(C) Workers like to show initiative.,(D) Workers like to be directed.,D,-5.249989986419678,-4.249978542327881,-5.499904155731201,-0.25779569149017334,D,True
What is the term for power derived from status or position in an organisation?,(A) Referent,(B) Expert,(C) Reward,(D) Legitimate,D,-4.656150817871094,-4.406150817871094,-3.390418291091919,-0.39250195026397705,D,True
Which writer is most associated with bureaucratic structures?,(A) Henry Fayol,(B) Max Weber,(C) Adam Smith,(D) Mary Parker Follett,B,-4.968693733215332,-3.7343013286590576,-2.9842536449432373,-0.22748208045959473,D,False
Who of the following is the industrial philanthropist?,(A) Frederick Taylor,(B) Seebohm Rowntree,(C) Henry Ford,(D) Max Weber,B,-4.437296390533447,-3.4372966289520264,-1.6793546676635742,-0.9333335757255554,D,False
Individualism as a guiding moral philosophy was advocated by which economist?,(A) John Kenneth Galbraith,(B) John Maynard Keynes,(C) Milton Friedman,(D) Alfred Marshall,C,-3.7186570167541504,-3.4685964584350586,-2.718496799468994,-0.9762348532676697,D,False
The Hawthorn Studies are most associated with which writer?,(A) Mary Parker Follett,(B) Elton Mayo,(C) Lillian Gilbreth,(D) Frederick Taylor,B,-4.781215667724609,-4.281206130981445,-4.031177520751953,-0.2968176603317261,D,False
How can you describe the thinking and outlook of transformational leaders?,(A) Strategic,(B) Operational,(C) Functional,(D) Developmental,A,-2.843729257583618,-4.84365701675415,-4.593596458435059,-0.3495525121688843,D,False
What are the key characteristics of transactional leaders?,"(A) Guiding, mentoring and motivating","(B) Guiding, commanding and motivating","(C) Guiding, demonstrating and motivating","(D) Guiding, mentoring and demonstrating",A,-3.203108072280884,-4.187464714050293,-4.687404155731201,-0.19917285442352295,D,False
What is not an assumption underpinning the rational decision making model?,(A) Incomplete information,(B) An agreed goal,(C) A structured problem,(D) High level of certainty regarding the environment,A,-6.40615701675415,-3.4060964584350586,-4.15571403503418,-0.6639419794082642,D,False
Which one of the following is not one of Drucker's five guiding principles of management?,(A) Making people's strengths effective and their weaknesses irrelevant.,(B) Enhancing the ability of people to contribute.,(C) To operate the organisation's status system.,"(D) Integrating people in a common venture by thinking through, setting and exemplifying the organisational objectives, values and goals.",C,-6.312341690063477,-4.562069416046143,-3.3119471073150635,-0.554354727268219,D,False
What is a paradigm?,(A) A theoretical assumption,(B) An illustration,(C) A theoretical model,(D) An example serving as a model,D,-1.4530657529830933,-3.702918291091919,-3.202784299850464,-1.202918291091919,D,True
What one of the following is not a key management skill in planning?,(A) Conceptual skills,(B) Analytical skills,(C) IT and computing skills,(D) Communication skills,C,-4.812454700469971,-5.062296390533447,-3.562164545059204,-0.3045921325683594,D,False
