question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"Based on the paper “SoK: SSL and HTTPS: Revisiting past challenges and evaluating certificates trust model enhancements”, which of the following statements are false?",(A) Valid DV certificates provide more confidence to a user that she is connecting to the intended party than valid EV certificates.,(B) OCSP stapling allows a server to prove to a browser that its certificate hasn’t been revoked.,(C) DANE makes it difficult for an adversary to launch a SSL stripping attack.,(D) Server key-pinning makes it harder for an adversary to convince a CA to mint a certificate for a site and launch an MITM attack on that site.,A,A,True,20.0,0,-9.11083698272705,-12.40172290802002,-12.204290390014648,-11.149458885192871,-0.6756573816140499,0.6747472286224365,0.4654365082581844,2.3563373386859894,-8.435179601113001,-13.076470136642456,-12.669726898272833,-13.50579622387886,A,D,True,False
Which of the following does authorization aim to accomplish?,(A) Restrict what operations/data the user can access,(B) Determine if the user is an attacker,(C) Flag the user if he/she misbehaves,(D) Determine who the user is,A,A,True,20.0,0,-7.031064987182617,-13.874195098876953,-15.811643600463867,-12.999290466308594,1.4041146139303837,-0.7977249622344971,-3.1419167021910344,0.5065057575702667,-8.435179601113001,-13.076470136642456,-12.669726898272833,-13.50579622387886,A,A,True,True
The __________ was a huge marketplace of Dark Web specifically famous for selling of illegal drugs & narcotics as well as you can find a wide range of other goods for sale.,(A) Silk Road,(B) Cotton Road,(C) Dark Road,(D) Drug Road,A,A,True,20.0,0,-6.835399627685547,-13.115413665771484,-12.207000732421875,-9.08922290802002,1.599779973427454,-0.03894352912902832,0.4627261658509578,4.416573315858841,-8.435179601113001,-13.076470136642456,-12.669726898272833,-13.50579622387886,A,D,True,False
Which Nmap scan is does not completely open a TCP connection?,(A) SYN stealth scan,(B) TCP connect,(C) XMAS tree scan,(D) ACK scan,A,A,True,20.0,0,-8.115243911743164,-14.424188613891602,-12.490243911743164,-12.430353164672852,0.31993568936983685,-1.3477184772491455,0.17948298652966876,1.075443059206009,-8.435179601113001,-13.076470136642456,-12.669726898272833,-13.50579622387886,A,D,True,False
"Assume that a TLS connection has been established successfully between a client and a server. Establishing the session included checking the server certificate and executing a DiffieHelmann exchange, but the client did not provide a client certificate. Further, assume that the client and server are honest, that the client and server don’t leak their keys, and that the cryptography is good. Which of the following attacks does TLS protect against?1. An attacker replaying bytes that a client sent earlier.2. An attacker impersonating the server.","(A) True, True","(B) False, False","(C) True, False","(D) False, True",A,A,True,20.0,1,-10.545440673828125,-14.297430038452148,-12.178332328796387,-13.619071006774902,-2.1498712599277496,-1.3720103104909267,0.30920282006263733,-0.13110558191935162,-8.395569413900375,-12.925419727961222,-12.487535148859024,-13.48796542485555,A,C,True,False
What is a web proxy?,(A) A piece of software that intercepts and possibly modifies requests (and responses) between a web browser and web server,(B) An agent that makes decisions on the client's behalf when interacting with web applications,"(C) A piece of software that makes a web application look like a standalone application, making it easier to test","(D) A simulator for the web, for use when off-line",A,A,True,20.0,1,-9.490832328796387,-19.461957931518555,-21.421110153198242,-19.22945785522461,-1.0952629148960114,-6.536538203557333,-8.933575004339218,-5.741492430369059,-8.395569413900375,-12.925419727961222,-12.487535148859024,-13.48796542485555,A,A,True,True
The digest created by a hash function is normally called a,(A) Modication detection code (MDC),(B) Modify authentication connection,(C) Message authentication control,(D) Message authentication cipher,A,A,True,20.0,1,-7.52479362487793,-12.316679954528809,-12.074677467346191,-12.786060333251953,0.8707757890224457,0.6087397734324131,0.41285768151283264,0.7019050916035976,-8.395569413900375,-12.925419727961222,-12.487535148859024,-13.48796542485555,A,A,True,True
"Let suppose a search box of an application can take at most 200 words, and you’ve inserted more than that and pressed the search button; the system crashes. Usually this is because of limited __________",(A) buffer,(B) external storage,(C) processing power,(D) local storage,A,A,True,20.0,1,-6.310900688171387,-12.870379447937012,-11.68258285522461,-13.18258285522461,2.0846687257289886,0.05504028002421002,0.8049522936344147,0.30538256963094135,-8.395569413900375,-12.925419727961222,-12.487535148859024,-13.48796542485555,A,A,True,True
"Assume that a TLS connection has been established successfully between a client and a server. Establishing the session included checking the server certificate and executing a DiffieHelmann exchange, but the client did not provide a client certificate. Further, assume that the client and server are honest, that the client and server don’t leak their keys, and that the cryptography is good. Which of the following attacks does TLS protect against?1. An attacker replacing bytes sent by a client with bytes of the attacker’s own choosing.2. An attacker reading the plaintext bytes sent by a client.","(A) True, True","(B) False, False","(C) True, False","(D) False, True",A,C,False,20.0,2,-11.359930038452148,-14.80074405670166,-11.23895263671875,-14.556929588317871,-3.2071260015169774,-1.8488402962684631,1.3232731719811763,-1.3459353943665828,-8.152804036935171,-12.951903760433197,-12.562225808699926,-13.210994193951288,C,C,False,False
A/an ___________ is a program that steals your logins & passwords for instant messaging applications.,(A) IM – Trojans,(B) Backdoor Trojans,(C) Trojan-Downloader,(D) Ransom Trojan,A,A,True,20.0,2,-4.5624518394470215,-12.999619483947754,-12.749738693237305,-13.687309265136719,3.5903521974881496,-0.047715723514556885,-0.18751288453737835,-0.4763150711854305,-8.152804036935171,-12.951903760433197,-12.562225808699926,-13.210994193951288,A,A,True,True
"A sender must not be able to deny sending a message that was sent, is known as",(A) Message Nonrepudiation,(B) Message Integrity,(C) Message Condentiality,(D) Message Sending,A,A,True,20.0,2,-10.679405212402344,-13.797430038452148,-14.351754188537598,-16.490243911743164,-2.5266011754671727,-0.8455262780189514,-1.7895283798376713,-3.279249717791876,-8.152804036935171,-12.951903760433197,-12.562225808699926,-13.210994193951288,A,B,True,False
"In Message Condentiality, the transmitted message must make sense to only intended",(A) Receiver,(B) Sender,(C) Modulor,(D) Translator,A,A,True,20.0,2,-9.936088562011719,-16.123674392700195,-15.369766235351562,-17.122194290161133,-1.7832845250765477,-3.1717706322669983,-2.807540426651636,-3.9112000962098445,-8.152804036935171,-12.951903760433197,-12.562225808699926,-13.210994193951288,A,A,True,True
____________ is also a part of darknet that is employed for transferring files anonymously.,(A) Freenet,(B) ARPANET,(C) Stuxnet,(D) Internet,A,A,True,20.0,3,-7.214271545410156,-12.47945785522461,-12.295440673828125,-11.429405212402344,1.2643963992595673,0.9132040937741603,0.39292462666829486,2.0078881084918976,-8.478667944669724,-13.39266194899877,-12.68836530049642,-13.437293320894241,A,D,True,False
"Why apps developed in languages like C, C++ is prone to Buffer-overflow?",(A) No string boundary checks in predefined functions,(B) No storage check in the external memory,(C) No processing power check,(D) No database check,A,C,False,20.0,3,-5.186744213104248,-8.061833381652832,-4.530642509460449,-13.185173988342285,3.2919237315654755,5.330828567345938,8.15772279103597,0.2521193325519562,-8.478667944669724,-13.39266194899877,-12.68836530049642,-13.437293320894241,C,C,False,False
Which of the following is a remote Trojan?,(A) Troya,(B) DaCryptic,(C) BankerA,(D) Game-Troj,A,A,True,20.0,3,-8.999446868896484,-14.181929588317871,-17.745380401611328,-16.873071670532227,-0.5207789242267609,-0.7892676393191014,-5.057015101114908,-3.4357783496379852,-8.478667944669724,-13.39266194899877,-12.68836530049642,-13.437293320894241,A,A,True,True
How does a buffer overflow on the stack facilitate running attacker-injected code?,(A) By overwriting the return address to point to the location of that code,(B) By writing directly to the instruction pointer register the address of the code,(C) By writing directly to %eax the address of the code,"(D) By changing the name of the running executable, stored on the stack",A,A,True,20.0,3,-3.390575885772705,-10.937254905700684,-13.874738693237305,-14.68722152709961,5.088092058897018,2.455407043298086,-1.1863733927408848,-1.249928206205368,-8.478667944669724,-13.39266194899877,-12.68836530049642,-13.437293320894241,A,A,True,True
You are given a message (m) and its OTP encryption (c). Can you compute the OTP key from m and c ?,"(A) No, I cannot compute the key.","(B) Yes, the key is k = m xor c.",(C) I can only compute half the bits of the key.,"(D) Yes, the key is k = m xor m.",B,A,False,20.0,0,-6.373754501342773,-13.869766235351562,-12.37252426147461,-12.99719524383545,2.0614250997702275,-0.7932960987091064,0.29720263679822345,0.5086009800434113,-8.435179601113001,-13.076470136642456,-12.669726898272833,-13.50579622387886,A,A,False,False
A ___________ is a method in which a computer security mechanism is bypassed untraceable for accessing the computer or its information.,(A) front-door,(B) backdoor,(C) clickjacking,(D) key-logging,B,A,False,20.0,0,-13.419824600219727,-15.324155807495117,-18.071298599243164,-17.46477508544922,-4.984644999106726,-2.247685670852661,-5.401571700970331,-3.9589788615703583,-8.435179601113001,-13.076470136642456,-12.669726898272833,-13.50579622387886,A,B,False,True
The Message condentiality or privacy means that the sender and the receiver expect,(A) Integrity,(B) Condentiality,(C) Authentication,(D) Nonrepudiation,B,A,False,20.0,0,-8.797430038452148,-11.244071006774902,-11.22945785522461,-13.85445785522461,-0.3622504373391475,1.8323991298675537,1.4402690430482235,-0.3486616313457489,-8.435179601113001,-13.076470136642456,-12.669726898272833,-13.50579622387886,A,B,False,True
The sub key length at each round of DES is__________,(A) 32,(B) 56,(C) 48,(D) 64,B,C,False,20.0,0,-8.682266235351562,-10.429893493652344,-8.245379447937012,-10.494071006774902,-0.2470866342385616,2.6465766429901123,4.424347450335821,3.011725217103958,-8.435179601113001,-13.076470136642456,-12.669726898272833,-13.50579622387886,C,C,False,False
How is IP address spoofing detected?,(A) Installing and configuring a IDS that can read the IP header,(B) Comparing the TTL values of the actual and spoofed addresses,(C) Implementing a firewall to the network,(D) Identify all TCP sessions that are initiated but does not complete successfully,B,A,False,20.0,1,-9.249195098876953,-15.998297691345215,-16.747194290161133,-17.24829864501953,-0.8536256849765778,-3.072877963383993,-4.259659141302109,-3.7603332201639805,-8.395569413900375,-12.925419727961222,-12.487535148859024,-13.48796542485555,A,A,False,False
What does EXE do when the STP solver times out on a constraint query for a particular path?,(A) Assume that the query is satisfiable and continue executing the path.,(B) Assume that the query is not satisfiable and stop executing the path,"(C) Restart STP and retry the query, up to a limited number of retries.",(D) Remove a subset of the constraints and retry the query.,B,A,False,20.0,1,-5.560024261474609,-9.74736499786377,-8.807879447937012,-10.809514999389648,2.835545152425766,3.178054730097452,3.6796557009220123,2.6784504254659023,-8.395569413900375,-12.925419727961222,-12.487535148859024,-13.48796542485555,A,C,False,False
1. _________ framework made cracking of vulnerabilities easy like point and click.,(A) .Net,(B) Metasploit,(C) Zeus,(D) Ettercap,B,A,False,20.0,1,-9.728147506713867,-12.836958885192871,-11.774458885192871,-14.540647506713867,-1.3325780928134918,0.08846084276835064,0.713076263666153,-1.0526820818583165,-8.395569413900375,-12.925419727961222,-12.487535148859024,-13.48796542485555,A,C,False,False
______________ is a widespread app’s coding mistake made by developers which could be exploited by an attacker for gaining access or malfunctioning your system.,(A) Memory leakage,(B) Buffer-overrun,(C) Less processing power,(D) Inefficient programming,B,A,False,20.0,1,-9.124195098876953,-12.560446739196777,-16.99752426147461,-16.247814178466797,-0.7286256849765778,0.3649729887644444,-4.509989112615585,-2.759848753611246,-8.395569413900375,-12.925419727961222,-12.487535148859024,-13.48796542485555,A,B,False,True
_______________ is the central node of 802.11 wireless operations.,(A) WPA,(B) Access Point,(C) WAP,(D) Access Port,B,B,True,20.0,2,-9.348699569702148,-9.250532150268555,-11.206162452697754,-12.863216400146484,-1.1958955327669774,3.7013716101646423,1.3560633560021724,0.3477777938048039,-8.152804036935171,-12.951903760433197,-12.562225808699926,-13.210994193951288,B,B,True,True
Man in the middle attack can endanger the security of Diffie Hellman method if two parties are not,(A) Joined,(B) Authenticated,(C) Submitted,(D) Shared,B,A,False,20.0,2,-7.4663543701171875,-11.353730201721191,-13.55506420135498,-14.363216400146484,0.6864496668179836,1.5981735587120056,-0.9928383926550541,-1.152222206195196,-8.152804036935171,-12.951903760433197,-12.562225808699926,-13.210994193951288,A,B,False,True
What are the types of scanning?,"(A) Port, network, and services","(B) Network, vulnerability, and port ","(C) Passive, active, and interactive","(D) Server, client, and network",B,A,False,20.0,2,-15.207000732421875,-19.570117950439453,-16.673585891723633,-18.945117950439453,-7.054196695486704,-6.618214190006256,-4.1113600830237065,-5.734123756488165,-8.152804036935171,-12.951903760433197,-12.562225808699926,-13.210994193951288,A,C,False,False
"When a wireless user authenticates to any AP, both of them go in the course of four-step authentication progression which is called _____________",(A) AP-handshaking,(B) 4-way handshake,(C) 4-way connection,(D) wireless handshaking,B,A,False,20.0,2,-8.455272674560547,-11.93557071685791,-12.38379955291748,-13.607041358947754,-0.3024686376253758,1.0163330435752869,0.17842625578244586,-0.39604716499646564,-8.152804036935171,-12.951903760433197,-12.562225808699926,-13.210994193951288,A,B,False,True
What is a nop sled,(A) It is an anonymous version of a mop sled,"(B) It is a sequence of nops preceding injected shellcode, useful when the return address is unknown",(C) It is a method of removing zero bytes from shellcode,(D) It is another name for a branch instruction at the end of sequence of nops,B,A,False,20.0,3,-11.137177467346191,-15.39979362487793,-15.379179954528809,-18.012178421020508,-2.658509522676468,-2.00713167587916,-2.6908146540323887,-4.5748851001262665,-8.478667944669724,-13.39266194899877,-12.68836530049642,-13.437293320894241,A,B,False,True
To verify a digital signature we need the,(A) Sender’s Private key,(B) Sender’s Public key,(C) Receiver’s Private key,(D) Receiver’s Public key,B,A,False,20.0,3,-9.681190490722656,-12.302118301391602,-14.545440673828125,-14.55074405670166,-1.2025225460529327,1.0905436476071682,-1.8570753733317051,-1.1134507358074188,-8.478667944669724,-13.39266194899877,-12.68836530049642,-13.437293320894241,A,B,False,True
"Suppose Unix did not provide a way of passing file descriptors between processes, but still allowed inheriting file descriptors from a parent on fork and exec. What aspects of the OKWS design would break without file descriptor passing?1. It would be impossible for services to send messages to oklogd.2. It would be impossible for services to get a TCP connection to a database proxy.","(A) True, True","(B) False, False","(C) True, False","(D) False, True",B,A,False,20.0,3,-8.437368392944336,-14.74976921081543,-15.374290466308594,-15.624664306640625,0.04129955172538757,-1.35710726181666,-2.685925165812174,-2.1873709857463837,-8.478667944669724,-13.39266194899877,-12.68836530049642,-13.437293320894241,A,A,False,False
In MD-5 the length of the message digest is,(A) 160,(B) 128,(C) 64,(D) 54,B,D,False,20.0,3,-9.409526824951172,-10.35445785522461,-11.52672290802002,-8.920440673828125,-0.9308588802814484,3.0382040937741603,1.1616423924764003,4.516852647066116,-8.478667944669724,-13.39266194899877,-12.68836530049642,-13.437293320894241,D,D,False,False
Which of the following styles of fuzzer is more likely to explore paths covering every line of code in the following program?,(A) Generational,(B) Blackbox,(C) Whitebox,(D) Mutation-based,C,A,False,20.0,0,-9.534526824951172,-13.135858535766602,-12.58729362487793,-16.548585891723633,-1.099347223838171,-0.05938839912414551,0.08243327339490314,-3.0427896678447723,-8.435179601113001,-13.076470136642456,-12.669726898272833,-13.50579622387886,A,C,False,True
"___________________ is alike as that of Access Point (AP) from 802.11, & the mobile operators uses it for offering signal coverage.",(A) Base Signal Station,(B) Base Transmitter Station,(C) Base Transceiver Station,(D) Transceiver Station,C,C,True,20.0,0,-11.150922775268555,-11.68557071685791,-10.212615013122559,-13.742401123046875,-2.7157431741555538,1.390899419784546,2.4571118851502742,-0.23660489916801453,-8.435179601113001,-13.076470136642456,-12.669726898272833,-13.50579622387886,C,C,True,True
"A _________________ may be a hidden part of a program, a separate infected program a Trojan in disguise of an executable or code in the firmware of any system’s hardware.",(A) crypter,(B) virus,(C) backdoor,(D) key-logger,C,A,False,20.0,0,-8.549188613891602,-15.73583698272705,-13.466354370117188,-15.30074405670166,-0.11400901277860065,-2.6593668460845947,-0.7966274718443547,-1.7949478328227997,-8.435179601113001,-13.076470136642456,-12.669726898272833,-13.50579622387886,A,A,False,False
Failed sessions allow brute-force attacks on access credentials. This type of attacks are done in which layer of the OSI model?,(A) Physical layer,(B) Data-link Layer,(C) Session layer,(D) Presentation layer,C,A,False,20.0,0,-8.17574405670166,-13.836958885192871,-11.218360900878906,-13.912774085998535,0.25943554441134076,-0.760488748550415,1.4513659973939266,-0.4069778621196747,-8.435179601113001,-13.076470136642456,-12.669726898272833,-13.50579622387886,A,C,False,True
Suppose you want to use fuzzing on a program to try to find memory errors; which of the following statements is true?,"(A) You should not use a grammar-based fuzzer, because its adherence to the grammar means it will not find memory errors",(B) Compiling the program with address sanitizer (ASAN) will make errors harder to reproduce,(C) Compiling the program with address sanitizer (ASAN) will make the source of a memory error easier to find,"(D) Fuzzing doesn't find memory errors, it finds crashes and hangs",C,A,False,20.0,1,-8.106849670410156,-14.976754188537598,-10.841354370117188,-12.09524917602539,0.2887197434902191,-2.051334460576376,1.6461807787418365,1.39271624883016,-8.395569413900375,-12.925419727961222,-12.487535148859024,-13.48796542485555,A,C,False,True
Which form of encryption does WPA use?,(A) Shared key,(B) LEAP,(C) TKIP,(D) AES,C,A,False,20.0,1,-10.280587196350098,-11.632617950439453,-11.559165000915527,-12.530587196350098,-1.8850177824497223,1.2928017775217686,0.9283701479434967,0.9573782285054531,-8.395569413900375,-12.925419727961222,-12.487535148859024,-13.48796542485555,A,B,False,False
