question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
The main factor preventing subsistence economies from advancing economically is the lack of,(A) a currency.,(B) a well-connected transportation infrastructure.,(C) government activity.,(D) a banking service.,B,-2.5737361907958984,-4.118722438812256,-3.8629958629608154,-3.7839341163635254,A,False
The tendency for a population to continue to grow long after replacement fertility has been achieved is called,(A) zero population growth.,(B) rapid growth rate.,(C) homeostatic plateau.,(D) demographic momentum.,D,-3.8684661388397217,-4.61594295501709,-4.687291622161865,-1.9544925689697266,D,True
The tendency for migration to decrease with distance is called,(A) push factors.,(B) pull factors.,(C) distance decay.,(D) migration selectivity.,C,-4.229919910430908,-5.289762496948242,-2.1912291049957275,-3.3830676078796387,C,True
"Which zone contains low-income slums, ethnic ghettos, and general deterioration in Burgess's concentric zone model of urban form?",(A) First,(B) Second,(C) Third,(D) Fourth,A,-3.545661211013794,-3.7192797660827637,-3.505127429962158,-3.594383955001831,C,False
Which of the following statements is TRUE concerning women in the labor force?,(A) Most women work in agriculture,(B) The percentage of women economically active in the labor force declined worldwide,(C) The percentage of women in the total labor force declined,(D) Women spend more hours per day working than men in all regions except Anglo America and Australia,D,-3.8955647945404053,-2.7355802059173584,-2.977613687515259,-3.4707257747650146,B,False
All the following factors can be considered pull factors of migration EXCEPT,(A) safety.,(B) better climate.,(C) better schools.,(D) overcrowding.,D,-3.7002084255218506,-4.884061336517334,-3.9233882427215576,-2.5818283557891846,D,True
Which of the following countries does NOT have a well-known example of a relict boundary?,(A) Vietnam,(B) United Kingdom,(C) Germany,(D) Bolivia,D,-3.1479713916778564,-3.2429091930389404,-4.093011379241943,-3.439084768295288,A,False
Which form of migration below are farm workers from another country most likely to be practicing during the year?,(A) Chain migration,(B) Cluster migration,(C) Circular migration,(D) International migration,C,-3.2915496826171875,-4.588940143585205,-2.3302998542785645,-3.9685113430023193,C,True
Which of the following is a centrifugal force in a country?,(A) Religious differences,(B) A national holiday,(C) An attack by another country,(D) A charismatic national leader,A,-2.3946585655212402,-3.9612083435058594,-3.2328317165374756,-3.29052996635437,A,True
Early settlements and high population density along coastlines and rivers are best attributed to which of the following?,(A) Mediterranean climate,(B) Limited forest cover,(C) Growth of manufacturing,(D) Access to trade routes,D,-2.474806547164917,-4.090001106262207,-4.599421501159668,-3.4395742416381836,A,False
