Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,eval_split_ratio,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,calib_yes_mean,calib_no_mean,raw_predicted_answer,raw_is_correct,kfold_predicted_answer,kfold_is_correct
1,1,social-properties,1,antonym,1,Chao treats people kindly.,Is Chao friendly?,Yes,20.0,0,-0.9785174131393433,-14.06222152709961,5.389481027064653,-9.318091204197241,-6.367998440203996,-4.744130322902367,Yes,True,True,True
2,1,social-properties,1,antonym,1,Chao treats people kindly.,Is Chao hostile?,No,20.0,0,-10.177118301391602,-0.024230139330029488,-3.8091198611876056,4.719900183572338,-6.367998440203996,-4.744130322902367,No,True,False,True
3,1,social-properties,1,antonym,2,Chao treats people coldly.,Is Chao friendly?,No,20.0,0,-12.11083698272705,-0.037259820848703384,-5.742838542523055,4.706870502053664,-6.367998440203996,-4.744130322902367,No,True,False,True
4,1,social-properties,1,antonym,2,Chao treats people coldly.,Is Chao hostile?,Yes,20.0,0,-1.80251944065094,-9.812095642089844,4.565478999553056,-5.0679653191874765,-6.367998440203996,-4.744130322902367,Yes,True,True,True
5,2,social-properties,2,antonym,1,Chao greeted Yan.,Is Chao friendly?,Yes,20.0,0,-4.019123077392578,-7.90504264831543,2.348875362811418,-3.1609123254130624,-6.367998440203996,-4.744130322902367,Yes,True,True,True
6,2,social-properties,2,antonym,1,Chao greeted Yan.,Is Chao hostile?,No,20.0,0,-9.54833698272705,-0.12950094044208527,-3.180338542523055,4.614629382460282,-6.367998440203996,-4.744130322902367,No,True,False,True
7,2,social-properties,2,antonym,2,Chao insulted Yan.,Is Chao friendly?,No,20.0,0,-11.100274085998535,-0.07740262150764465,-4.732275645794539,4.666727701394723,-6.367998440203996,-4.744130322902367,No,True,False,True
8,2,social-properties,2,antonym,2,Chao insulted Yan.,Is Chao hostile?,Yes,20.0,0,-2.028445243835449,-11.999568939208984,4.339553196368547,-7.255438616306617,-6.367998440203996,-4.744130322902367,Yes,True,True,True
9,3,social-properties,3,antonym,1,Chao enjoys meeting new people.,Is Chao friendly?,Yes,20.0,0,-1.3183687925338745,-11.49976921081543,5.0496296476701215,-6.755638887913062,-6.367998440203996,-4.744130322902367,Yes,True,True,True
10,3,social-properties,3,antonym,1,Chao enjoys meeting new people.,Is Chao hostile?,No,20.0,0,-10.240832328796387,-0.016663091257214546,-3.8728338885923907,4.727467231645153,-6.367998440203996,-4.744130322902367,No,True,False,True
11,3,social-properties,3,antonym,2,Chao avoids meeting new people.,Is Chao friendly?,No,20.0,0,-10.491385459899902,-0.03456199914216995,-4.123387019695906,4.709568323760197,-6.367998440203996,-4.744130322902367,No,True,False,True
12,3,social-properties,3,antonym,2,Chao avoids meeting new people.,Is Chao hostile?,Yes,20.0,0,-8.924188613891602,-1.7260223627090454,-2.5561901736876056,3.018107960193322,-6.367998440203996,-4.744130322902367,No,False,False,False
13,4,social-properties,4,other,1,Chao gave Yan a gift.,Is Chao friendly?,Yes,20.0,0,-4.149322032928467,-10.124373435974121,2.218676407275529,-5.380243113071754,-6.367998440203996,-4.744130322902367,Yes,True,True,True
14,4,social-properties,4,other,1,Chao gave Yan a gift.,Is Chao hostile?,No,20.0,0,-10.736688613891602,-0.07095068693161011,-4.368690173687606,4.673179635970757,-6.367998440203996,-4.744130322902367,No,True,False,True
15,4,social-properties,4,other,2,Chao gave Yan a glare.,Is Chao friendly?,No,20.0,0,-10.86395263671875,-0.03280509635806084,-4.495954196514754,4.711325226544306,-6.367998440203996,-4.744130322902367,No,True,False,True
16,4,social-properties,4,other,2,Chao gave Yan a glare.,Is Chao hostile?,Yes,20.0,0,-2.247814893722534,-12.186833381652832,4.120183546481462,-7.442703058750465,-6.367998440203996,-4.744130322902367,Yes,True,True,True
17,5,social-properties,5,antonym,1,Chao is reliable.,Is Chao trustworthy?,Yes,20.0,0,-2.8093223571777344,-15.24951171875,3.5586760830262616,-10.505381395847632,-6.367998440203996,-4.744130322902367,Yes,True,True,True
18,5,social-properties,5,antonym,1,Chao is reliable.,Is Chao untrustworthy?,No,20.0,0,-8.42574405670166,-0.0818481594324112,-2.057745616497664,4.662282163469956,-6.367998440203996,-4.744130322902367,No,True,False,True
19,5,social-properties,5,antonym,2,Chao is unreliable.,Is Chao trustworthy?,No,20.0,0,-14.159526824951172,-0.05623902007937431,-7.791528384747176,4.687891302822993,-6.367998440203996,-4.744130322902367,No,True,False,True
20,5,social-properties,5,antonym,2,Chao is unreliable.,Is Chao untrustworthy?,Yes,20.0,0,-2.5752761363983154,-15.249704360961914,3.7927223038056805,-10.505574038059546,-6.367998440203996,-4.744130322902367,Yes,True,True,True
21,6,social-properties,6,negation,1,Chao can be depended upon.,Is Chao trustworthy?,Yes,20.0,0,-2.9345145225524902,-14.061911582946777,3.4334839176515057,-9.31778126004441,-6.367998440203996,-4.744130322902367,Yes,True,True,True
22,6,social-properties,6,negation,1,Chao can be depended upon.,Is Chao untrustworthy?,No,20.0,0,-5.556929588317871,-0.07217443734407425,0.8110688518861249,4.671955885558293,-6.367998440203996,-4.744130322902367,No,True,False,True
23,6,social-properties,6,negation,2,Chao cannot be depended upon.,Is Chao trustworthy?,No,20.0,0,-13.22945785522461,-0.07161737978458405,-6.861459415020613,4.672512943117783,-6.367998440203996,-4.744130322902367,No,True,False,True
24,6,social-properties,6,negation,2,Chao cannot be depended upon.,Is Chao untrustworthy?,Yes,20.0,0,-1.8027738332748413,-13.312254905700684,4.565224606929155,-8.568124582798315,-6.367998440203996,-4.744130322902367,Yes,True,True,True
25,7,social-properties,7,antonym,1,"Yan told Chao a secret. Today, no one else knows the secret.",Is Chao trustworthy?,Yes,20.0,0,-2.824233055114746,-6.999595642089844,3.54376538508925,-2.2554653191874765,-6.367998440203996,-4.744130322902367,Yes,True,True,True
26,7,social-properties,7,antonym,1,"Yan told Chao a secret. Today, no one else knows the secret.",Is Chao untrustworthy?,No,20.0,0,-6.113952159881592,-0.49749496579170227,0.25404628032240417,4.246635357110665,-6.367998440203996,-4.744130322902367,No,True,False,True
27,7,social-properties,7,antonym,2,"Yan told Chao a secret. Today, everyone knows the secret.",Is Chao trustworthy?,No,20.0,0,-7.116385459899902,-0.26345232129096985,-0.7483870196959064,4.480678001611397,-6.367998440203996,-4.744130322902367,No,True,False,True
28,7,social-properties,7,antonym,2,"Yan told Chao a secret. Today, everyone knows the secret.",Is Chao untrustworthy?,Yes,20.0,0,-5.580019474029541,-2.8582229614257812,0.787978966174455,1.885907361476586,-6.367998440203996,-4.744130322902367,No,False,False,False
29,8,social-properties,8,antonym,1,Chao is good at completing important tasks.,Is Chao trustworthy?,Yes,20.0,0,-1.7250949144363403,-10.937254905700684,4.642903525767656,-6.193124582798316,-6.367998440203996,-4.744130322902367,Yes,True,True,True
30,8,social-properties,8,antonym,1,Chao is good at completing important tasks.,Is Chao untrustworthy?,No,20.0,0,-9.929405212402344,-0.07119215279817581,-3.561406772198348,4.672938170104191,-6.367998440203996,-4.744130322902367,No,True,False,True
31,8,social-properties,8,antonym,2,Chao is bad at completing important tasks.,Is Chao trustworthy?,No,20.0,0,-12.80074405670166,-0.07119215279817581,-6.432745616497664,4.672938170104191,-6.367998440203996,-4.744130322902367,No,True,False,True
32,8,social-properties,8,antonym,2,Chao is bad at completing important tasks.,Is Chao untrustworthy?,Yes,20.0,0,-2.810314893722534,-9.374859809875488,3.557683546481462,-4.630729486973121,-6.367998440203996,-4.744130322902367,Yes,True,True,True
33,9,social-properties,9,antonym,1,Chao usually keeps promises.,Is Chao trustworthy?,Yes,20.0,1,-2.810688018798828,-12.812283515930176,3.8725279990969037,-8.156534382800476,-6.683216017895732,-4.6557491331297,Yes,True,True,True
34,9,social-properties,9,antonym,1,Chao usually keeps promises.,Is Chao untrustworthy?,No,20.0,1,-8.181190490722656,-0.07164479047060013,-1.4979744728269244,4.5841043426591,-6.683216017895732,-4.6557491331297,No,True,False,True
35,9,social-properties,9,antonym,2,Chao usually breaks promises.,Is Chao trustworthy?,No,20.0,1,-11.9874906539917,-0.0906764343380928,-5.304274636095967,4.5650726987916075,-6.683216017895732,-4.6557491331297,No,True,False,True
36,9,social-properties,9,antonym,2,Chao usually breaks promises.,Is Chao untrustworthy?,Yes,20.0,1,-2.13909912109375,-10.187397956848145,4.544116896801982,-5.531648823718444,-6.683216017895732,-4.6557491331297,Yes,True,True,True
37,10,social-properties,10,antonym,1,Chao is respectful towards differences in background and belief.,Is Chao tolerant?,Yes,20.0,1,-1.3181102275848389,-15.061911582946777,5.365105790310893,-10.406162449817078,-6.683216017895732,-4.6557491331297,Yes,True,True,True
38,10,social-properties,10,antonym,1,Chao is respectful towards differences in background and belief.,Is Chao bigoted?,No,20.0,1,-6.522363185882568,-0.017330534756183624,0.16085283201316347,4.638418598373517,-6.683216017895732,-4.6557491331297,No,True,False,True
39,10,social-properties,10,antonym,2,Chao is disrespectful towards differences in background and belief.,Is Chao tolerant?,No,20.0,1,-11.73895263671875,-0.027444135397672653,-5.055736618823018,4.628304997732028,-6.683216017895732,-4.6557491331297,No,True,False,True
40,10,social-properties,10,antonym,2,Chao is disrespectful towards differences in background and belief.,Is Chao bigoted?,Yes,20.0,1,-1.5053174495697021,-10.624619483947754,5.17789856832603,-5.968870350818054,-6.683216017895732,-4.6557491331297,Yes,True,True,True
41,11,social-properties,11,negation,1,Chao is not prejudiced against differences in background and belief.,Is Chao tolerant?,Yes,20.0,1,-1.5053174495697021,-14.811911582946777,5.17789856832603,-10.156162449817078,-6.683216017895732,-4.6557491331297,Yes,True,True,True
42,11,social-properties,11,negation,1,Chao is not prejudiced against differences in background and belief.,Is Chao bigoted?,No,20.0,1,-6.303885459899902,-0.07552303373813629,0.3793305579958295,4.580226099391564,-6.683216017895732,-4.6557491331297,No,True,False,True
43,11,social-properties,11,negation,2,Chao is prejudiced against differences in background and belief.,Is Chao tolerant?,No,20.0,1,-11.67574405670166,-0.04157222807407379,-4.992528038805928,4.6141769050556265,-6.683216017895732,-4.6557491331297,No,True,False,True
44,11,social-properties,11,negation,2,Chao is prejudiced against differences in background and belief.,Is Chao bigoted?,Yes,20.0,1,-1.8093222379684448,-12.186980247497559,4.873893779927287,-7.531231114367858,-6.683216017895732,-4.6557491331297,Yes,True,True,True
45,12,social-properties,12,antonym,1,Chao thinks having neighbors of a different race is pleasant.,Is Chao tolerant?,Yes,20.0,1,-0.6974965929985046,-13.124664306640625,5.985719424897227,-8.468915173510926,-6.683216017895732,-4.6557491331297,Yes,True,True,True
46,12,social-properties,12,antonym,1,Chao thinks having neighbors of a different race is pleasant.,Is Chao bigoted?,No,20.0,1,-5.898403167724609,-0.030904555693268776,0.7848128501711225,4.6248445774364315,-6.683216017895732,-4.6557491331297,No,True,False,True
47,12,social-properties,12,antonym,2,Chao thinks having neighbors of a different race is unpleasant.,Is Chao tolerant?,No,20.0,1,-11.054893493652344,-0.009319315664470196,-4.371677475756612,4.64642981746523,-6.683216017895732,-4.6557491331297,No,True,False,True
48,12,social-properties,12,antonym,2,Chao thinks having neighbors of a different race is unpleasant.,Is Chao bigoted?,Yes,20.0,1,-1.4115674495697021,-11.624664306640625,5.27164856832603,-6.968915173510925,-6.683216017895732,-4.6557491331297,Yes,True,True,True
49,13,social-properties,13,antonym,1,Chao thinks having neighbors of a different religion is pleasant.,Is Chao tolerant?,Yes,20.0,1,-0.9787465929985046,-12.999568939208984,5.704469424897227,-8.343819806079285,-6.683216017895732,-4.6557491331297,Yes,True,True,True
50,13,social-properties,13,antonym,1,Chao thinks having neighbors of a different religion is pleasant.,Is Chao bigoted?,No,20.0,1,-6.024322032928467,-0.02748730219900608,0.658893984967265,4.628261830930694,-6.683216017895732,-4.6557491331297,No,True,False,True
51,13,social-properties,13,antonym,2,Chao thinks having neighbors of a different religion is unpleasant.,Is Chao tolerant?,No,20.0,1,-11.742393493652344,-0.010661850683391094,-5.059177475756612,4.645087282446309,-6.683216017895732,-4.6557491331297,No,True,False,True
52,13,social-properties,13,antonym,2,Chao thinks having neighbors of a different religion is unpleasant.,Is Chao bigoted?,Yes,20.0,1,-1.4118602275848389,-10.499664306640625,5.271355790310893,-5.843915173510925,-6.683216017895732,-4.6557491331297,Yes,True,True,True
53,14,social-properties,14,antonym,1,Chao thinks having neighbors of a different culture is pleasant.,Is Chao tolerant?,Yes,20.0,1,-0.7638960480690002,-13.062143325805664,5.919319969826732,-8.406394192675965,-6.683216017895732,-4.6557491331297,Yes,True,True,True
54,14,social-properties,14,antonym,1,Chao thinks having neighbors of a different culture is pleasant.,Is Chao bigoted?,No,20.0,1,-5.274740695953369,-0.02886785753071308,1.4084753219423627,4.626881275598987,-6.683216017895732,-4.6557491331297,No,True,False,True
