question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"Based on the paper “SoK: SSL and HTTPS: Revisiting past challenges and evaluating certificates trust model enhancements”, which of the following statements are false?",(A) Valid DV certificates provide more confidence to a user that she is connecting to the intended party than valid EV certificates.,(B) OCSP stapling allows a server to prove to a browser that its certificate hasn’t been revoked.,(C) DANE makes it difficult for an adversary to launch a SSL stripping attack.,(D) Server key-pinning makes it harder for an adversary to convince a CA to mint a certificate for a site and launch an MITM attack on that site.,A,A,True,20.0,0,-4.672287940979004,-6.426079750061035,-8.429604530334473,-8.560985565185547,4.8256490752100945,6.1783089240392055,3.134480766952038,1.899936482310295,-9.497937016189098,-12.60438867410024,-11.56408529728651,-10.460922047495842,A,B,True,False
Which of the following does authorization aim to accomplish?,(A) Restrict what operations/data the user can access,(B) Determine if the user is an attacker,(C) Flag the user if he/she misbehaves,(D) Determine who the user is,A,A,True,20.0,0,-0.06732317805290222,-11.489629745483398,-12.073396682739258,-7.628801345825195,9.430613838136196,1.1147589286168422,-0.5093113854527473,2.8321207016706467,-9.497937016189098,-12.60438867410024,-11.56408529728651,-10.460922047495842,A,A,True,True
The __________ was a huge marketplace of Dark Web specifically famous for selling of illegal drugs & narcotics as well as you can find a wide range of other goods for sale.,(A) Silk Road,(B) Cotton Road,(C) Dark Road,(D) Drug Road,A,A,True,20.0,0,-6.761486053466797,-12.864789009094238,-13.304816246032715,-11.12324047088623,2.7364509627223015,-0.2604003349939976,-1.7407309487462044,-0.6623184233903885,-9.497937016189098,-12.60438867410024,-11.56408529728651,-10.460922047495842,A,A,True,True
Which Nmap scan is does not completely open a TCP connection?,(A) SYN stealth scan,(B) TCP connect,(C) XMAS tree scan,(D) ACK scan,A,B,False,20.0,0,-13.788369178771973,-11.711581230163574,-15.578655242919922,-13.931791305541992,-4.290432162582874,0.8928074439366664,-4.014569945633411,-3.47086925804615,-9.497937016189098,-12.60438867410024,-11.56408529728651,-10.460922047495842,B,B,False,False
"Assume that a TLS connection has been established successfully between a client and a server. Establishing the session included checking the server certificate and executing a DiffieHelmann exchange, but the client did not provide a client certificate. Further, assume that the client and server are honest, that the client and server don’t leak their keys, and that the cryptography is good. Which of the following attacks does TLS protect against?1. An attacker replaying bytes that a client sent earlier.2. An attacker impersonating the server.","(A) True, True","(B) False, False","(C) True, False","(D) False, True",A,B,False,20.0,1,-8.535383224487305,-7.495358467102051,-9.728265762329102,-9.100010871887207,1.260433218752345,4.908094445864359,2.0275391042232513,1.8971018443504963,-9.79581644323965,-12.40345291296641,-11.755804866552353,-10.997112716237703,B,B,False,False
What is a web proxy?,(A) A piece of software that intercepts and possibly modifies requests (and responses) between a web browser and web server,(B) An agent that makes decisions on the client's behalf when interacting with web applications,"(C) A piece of software that makes a web application look like a standalone application, making it easier to test","(D) A simulator for the web, for use when off-line",A,A,True,20.0,1,-3.6663568019866943,-16.011837005615234,-16.60735321044922,-13.139202117919922,6.129459641252955,-3.6083840926488246,-4.851548343896866,-2.1420894016822185,-9.79581644323965,-12.40345291296641,-11.755804866552353,-10.997112716237703,A,A,True,True
The digest created by a hash function is normally called a,(A) Modication detection code (MDC),(B) Modify authentication connection,(C) Message authentication control,(D) Message authentication cipher,A,A,True,20.0,1,-3.650287628173828,-13.681636810302734,-13.630594253540039,-9.303322792053223,6.145528815065822,-1.2781838973363246,-1.8747893869876862,1.6937899241844807,-9.79581644323965,-12.40345291296641,-11.755804866552353,-10.997112716237703,A,A,True,True
"Let suppose a search box of an application can take at most 200 words, and you’ve inserted more than that and pressed the search button; the system crashes. Usually this is because of limited __________",(A) buffer,(B) external storage,(C) processing power,(D) local storage,A,A,True,20.0,1,-2.118942975997925,-11.45566177368164,-11.413949966430664,-9.825335502624512,7.676873467241725,0.9477911392847691,0.34185490012168884,1.1717772136131916,-9.79581644323965,-12.40345291296641,-11.755804866552353,-10.997112716237703,A,A,True,True
"Assume that a TLS connection has been established successfully between a client and a server. Establishing the session included checking the server certificate and executing a DiffieHelmann exchange, but the client did not provide a client certificate. Further, assume that the client and server are honest, that the client and server don’t leak their keys, and that the cryptography is good. Which of the following attacks does TLS protect against?1. An attacker replacing bytes sent by a client with bytes of the attacker’s own choosing.2. An attacker reading the plaintext bytes sent by a client.","(A) True, True","(B) False, False","(C) True, False","(D) False, True",A,C,False,20.0,2,-9.381865501403809,-6.753591537475586,-6.532332897186279,-7.585895538330078,0.36736789780358414,5.817316631476084,5.2475289429227505,3.5362761467695236,-9.749233399207393,-12.57090816895167,-11.77986184010903,-11.122171685099602,C,B,False,False
A/an ___________ is a program that steals your logins & passwords for instant messaging applications.,(A) IM – Trojans,(B) Backdoor Trojans,(C) Trojan-Downloader,(D) Ransom Trojan,A,A,True,20.0,2,-4.444605350494385,-9.623682975769043,-8.638280868530273,-8.23687744140625,5.304628048713008,2.9472251931826268,3.1415809715787564,2.8852942436933517,-9.749233399207393,-12.57090816895167,-11.77986184010903,-11.122171685099602,A,A,True,True
"A sender must not be able to deny sending a message that was sent, is known as",(A) Message Nonrepudiation,(B) Message Integrity,(C) Message Condentiality,(D) Message Sending,A,A,True,20.0,2,-1.143231749534607,-12.399796485900879,-12.633429527282715,-11.625954627990723,8.606001649672786,0.17111168305079083,-0.853567687173685,-0.5037829428911209,-9.749233399207393,-12.57090816895167,-11.77986184010903,-11.122171685099602,A,A,True,True
"In Message Condentiality, the transmitted message must make sense to only intended",(A) Receiver,(B) Sender,(C) Modulor,(D) Translator,A,A,True,20.0,2,-6.029265403747559,-13.593324661254883,-12.75724983215332,-13.514156341552734,3.719967995459834,-1.022416492303213,-0.9773879920442905,-2.3919846564531326,-9.749233399207393,-12.57090816895167,-11.77986184010903,-11.122171685099602,A,A,True,True
____________ is also a part of darknet that is employed for transferring files anonymously.,(A) Freenet,(B) ARPANET,(C) Stuxnet,(D) Internet,A,A,True,20.0,3,-7.135583400726318,-13.098013877868652,-13.70795726776123,-12.935401916503906,2.747220741584897,-0.5820632974306736,-2.155941563347975,-1.9447313348452244,-9.882804142311215,-12.515950580437979,-11.552015704413256,-10.990670581658682,A,A,True,True
"Why apps developed in languages like C, C++ is prone to Buffer-overflow?",(A) No string boundary checks in predefined functions,(B) No storage check in the external memory,(C) No processing power check,(D) No database check,A,A,True,20.0,3,-2.6181368827819824,-11.728649139404297,-9.910929679870605,-9.904191017150879,7.264667259529233,0.7873014410336818,1.6410860245426502,1.086479564507803,-9.882804142311215,-12.515950580437979,-11.552015704413256,-10.990670581658682,A,A,True,True
Which of the following is a remote Trojan?,(A) Troya,(B) DaCryptic,(C) BankerA,(D) Game-Troj,A,A,True,20.0,3,-11.25550651550293,-12.643050193786621,-14.568906784057617,-11.82905101776123,-1.3727023731917143,-0.1270996133486424,-3.0168910796443615,-0.8383804361025486,-9.882804142311215,-12.515950580437979,-11.552015704413256,-10.990670581658682,A,B,True,False
