Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
1.0,1.0,agent-properties,1.0,negation,1.0,Chao is looking at the wheel.,Does Chao see the wheel?,Yes,-0.08332385122776031,-2.6092536449432373,-8.624954223632812,-7.093733787536621,8.541630372405052,4.484480142593384,Yes,True
2.0,1.0,agent-properties,1.0,negation,2.0,Chao is not looking at the wheel.,Does Chao see the wheel?,No,-2.671564817428589,-0.07458973675966263,-8.624954223632812,-7.093733787536621,5.953389406204224,7.0191440507769585,No,True
3.0,1.0,agent-properties,1.0,negation,1.0,Chao is looking at the wheel.,Does Chao not see the wheel?,No,-0.9256144762039185,-0.5194392204284668,-8.624954223632812,-7.093733787536621,7.699339747428894,6.574294567108154,Yes,False
4.0,1.0,agent-properties,1.0,negation,2.0,Chao is not looking at the wheel.,Does Chao not see the wheel?,Yes,-0.1795302778482437,-1.8514258861541748,-8.624954223632812,-7.093733787536621,8.445423945784569,5.242307901382446,Yes,True
5.0,2.0,agent-properties,2.0,antonym,1.0,The wheel is in front of Chao. Chao is awake.,Does Chao see the wheel?,Yes,-0.3787567615509033,-1.1717965602874756,-8.624954223632812,-7.093733787536621,8.24619746208191,5.9219372272491455,Yes,True
6.0,2.0,agent-properties,2.0,antonym,2.0,The wheel is in front of Chao. Chao is asleep.,Does Chao see the wheel?,No,-2.062283515930176,-0.14053881168365479,-8.624954223632812,-7.093733787536621,6.562670707702637,6.953194975852966,No,True
7.0,2.0,agent-properties,2.0,antonym,1.0,The wheel is in front of Chao. Chao is awake.,Does Chao not see the wheel?,No,-0.35335052013397217,-1.242079496383667,-8.624954223632812,-7.093733787536621,8.27160370349884,5.851654291152954,Yes,False
8.0,2.0,agent-properties,2.0,antonym,2.0,The wheel is in front of Chao. Chao is asleep.,Does Chao not see the wheel?,Yes,-0.18535615503787994,-1.851407766342163,-8.624954223632812,-7.093733787536621,8.439598068594933,5.242326021194458,Yes,True
9.0,3.0,agent-properties,3.0,antonym,1.0,The wheel is in front of Chao. Chao's eyes are open.,Does Chao see the wheel?,Yes,-0.21566714346408844,-1.6795921325683594,-8.624954223632812,-7.093733787536621,8.409287080168724,5.414141654968262,Yes,True
10.0,3.0,agent-properties,3.0,antonym,2.0,The wheel is in front of Chao. Chao's eyes are closed.,Does Chao see the wheel?,No,-2.0310866832733154,-0.14738905429840088,-8.624954223632812,-7.093733787536621,6.593867540359497,6.94634473323822,No,True
11.0,3.0,agent-properties,3.0,antonym,1.0,The wheel is in front of Chao. Chao's eyes are open.,Does Chao not see the wheel?,No,-0.3963322639465332,-1.1483391523361206,-8.624954223632812,-7.093733787536621,8.22862195968628,5.9453946352005005,Yes,False
12.0,3.0,agent-properties,3.0,antonym,2.0,The wheel is in front of Chao. Chao's eyes are closed.,Does Chao not see the wheel?,Yes,-0.20588280260562897,-1.742057204246521,-8.624954223632812,-7.093733787536621,8.419071421027184,5.3516765832901,Yes,True
13.0,4.0,agent-properties,4.0,antonym,1.0,The wheel is in front of Chao.,Does Chao see the wheel?,Yes,-0.4237138032913208,-1.070257306098938,-8.624954223632812,-7.093733787536621,8.201240420341492,6.023476481437683,Yes,True
14.0,4.0,agent-properties,4.0,antonym,2.0,The wheel is behind Chao.,Does Chao see the wheel?,No,-1.0232752561569214,-0.4491475820541382,-8.624954223632812,-7.093733787536621,7.601678967475891,6.644586205482483,Yes,False
15.0,4.0,agent-properties,4.0,antonym,1.0,The wheel is in front of Chao.,Does Chao not see the wheel?,No,-0.4197927713394165,-1.09366774559021,-8.624954223632812,-7.093733787536621,8.205161452293396,6.000066041946411,Yes,False
16.0,4.0,agent-properties,4.0,antonym,2.0,The wheel is behind Chao.,Does Chao not see the wheel?,Yes,-0.2655143737792969,-1.4842965602874756,-8.624954223632812,-7.093733787536621,8.359439849853516,5.6094372272491455,Yes,True
17.0,6.0,agent-properties,5.0,antonym,1.0,The bed is in the same room as Chao. The door is closed.,Does Chao see the bed?,Yes,-0.8396472930908203,-0.5741086006164551,-8.624954223632812,-7.093733787536621,7.785306930541992,6.519625186920166,Yes,True
18.0,6.0,agent-properties,5.0,antonym,2.0,The bed is in a different room than Chao. The door is closed.,Does Chao see the bed?,No,-1.906040072441101,-0.16590213775634766,-8.624954223632812,-7.093733787536621,6.718914151191711,6.927831649780273,No,True
19.0,6.0,agent-properties,5.0,antonym,1.0,The bed is in the same room as Chao. The door is closed.,Does Chao not see the bed?,No,-0.45882248878479004,-1.0155143737792969,-8.624954223632812,-7.093733787536621,8.166131734848022,6.078219413757324,Yes,False
20.0,6.0,agent-properties,5.0,antonym,2.0,The bed is in a different room than Chao. The door is closed.,Does Chao not see the bed?,Yes,-0.27520647644996643,-1.4529829025268555,-8.624954223632812,-7.093733787536621,8.349747747182846,5.640750885009766,Yes,True
21.0,7.0,agent-properties,6.0,antonym,1.0,The airplane is making sounds. The airplane is within earshot of Chao.,Does Chao hear the airplane?,Yes,-0.15509964525699615,-2.0311057567596436,-8.624954223632812,-7.093733787536621,8.469854578375816,5.0626280307769775,Yes,True
22.0,7.0,agent-properties,6.0,antonym,2.0,The airplane is making sounds. The airplane is out of earshot of Chao.,Does Chao hear the airplane?,No,-2.062283515930176,-0.1415097713470459,-8.624954223632812,-7.093733787536621,6.562670707702637,6.952224016189575,No,True
23.0,7.0,agent-properties,6.0,antonym,1.0,The airplane is making sounds. The airplane is within earshot of Chao.,Does Chao not hear the airplane?,No,-0.7224318981170654,-0.6990772485733032,-8.624954223632812,-7.093733787536621,7.902522325515747,6.394656538963318,Yes,False
24.0,7.0,agent-properties,6.0,antonym,2.0,The airplane is making sounds. The airplane is out of earshot of Chao.,Does Chao not hear the airplane?,Yes,-0.3728307783603668,-1.2107943296432495,-8.624954223632812,-7.093733787536621,8.252123445272446,5.882939457893372,Yes,True
25.0,8.0,agent-properties,7.0,antonym,1.0,The airplane is making sounds. The airplane is in front of Chao. Chao is awake.,Does Chao hear the airplane?,Yes,-0.035550955682992935,-3.5780489444732666,-8.624954223632812,-7.093733787536621,8.58940326794982,3.5156848430633545,Yes,True
