property,prefix,Context,Question,Correct Answer,negative_sample_type,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
allows movement,a finger,'',Does a finger allow movement?,Yes,random,0,-5.03036642074585,-9.187041282653809,-5.552971080229396,-8.664436623170262,0.5226046594835463,Yes,True
basks in the sun,an iguana,'',Does an iguana bask in the sun?,Yes,random,0,-7.044825077056885,-12.79858684539795,-7.567429736540431,-12.275982185914403,0.5226046594835463,Yes,True
basks in the sun,a trolley,'',Does a trolley bask in the sun?,No,random,0,-6.961822032928467,-6.777296543121338,-7.484426692412013,-6.254691883637792,0.5226046594835463,No,True
beats its chest,a butterfly,'',Does a butterfly beat its chest?,No,random,0,-6.372673988342285,-2.998400926589966,-6.895278647825831,-2.4757962671064195,0.5226046594835463,No,True
belongs to the onion family,a monkey,'',Does a monkey belong to the onion family?,No,random,0,-5.931190013885498,-3.465669870376587,-6.453794673369044,-2.9430652108930406,0.5226046594835463,No,True
bruises over time,gloves,'',Does gloves bruise over time?,No,random,0,-4.663797378540039,-5.966542720794678,-5.186402038023585,-5.4439380613111314,0.5226046594835463,Yes,False
buries head in sand,an ostrich,'',Does an ostrich burie head in sand?,Yes,random,0,-5.516790390014648,-2.4457459449768066,-6.039395049498195,-1.9231412854932604,0.5226046594835463,No,False
can absorb shocks,a lion,'',Can a lion absorb shocks?,No,random,0,-6.897363185882568,-7.652296543121338,-7.419967845366115,-7.129691883637792,0.5226046594835463,No,True
can affect urine,hair,'',Can hair affect urine?,No,random,0,-5.3130693435668945,-5.816626071929932,-5.835674003050441,-5.294021412446385,0.5226046594835463,No,True
can ambush its prey,a yacht,'',Can a yacht ambush its prey?,No,random,0,-5.714271545410156,-5.089271545410156,-6.2368762048937025,-4.56666688592661,0.5226046594835463,No,True
can attract insects,a lobster,'',Can a lobster attract insects?,No,random,0,-6.088676929473877,-6.182582378387451,-6.611281588957423,-5.659977718903905,0.5226046594835463,No,True
can bark,an arrow,'',Can an arrow bark?,No,random,0,-4.066626071929932,-6.271185874938965,-4.589230731413478,-5.748581215455419,0.5226046594835463,Yes,False
can be a distraction,a television,'',Can a television be a distraction?,Yes,random,0,-2.8671534061431885,-8.120379447937012,-3.3897580656267348,-7.597774788453465,0.5226046594835463,Yes,True
can be a distraction,cider,'',Can cider be a distraction?,No,random,0,-2.435900926589966,-6.217464923858643,-2.958505586073512,-5.694860264375096,0.5226046594835463,Yes,False
can be a source of entertainment,a guitar,'',Can a guitar be a source of entertainment?,Yes,random,0,-5.372815132141113,-10.24882984161377,-5.89541979162466,-9.726225182130223,0.5226046594835463,Yes,True
can be a source of entertainment,an armor,'',Can an armor be a source of entertainment?,No,random,0,-2.732591152191162,-7.247815132141113,-3.2551958116747084,-6.725210472657567,0.5226046594835463,Yes,False
