Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
1.0,1.0,quantitative-properties,,antonym,1.0,There are fewer keychains than staplers.,Are there more staplers than keychains?,Yes,0,-5.936643600463867,-6.312119960784912,-5.58034510910511,-6.668418452143669,-0.356298491358757,Yes,True
2.0,1.0,quantitative-properties,,antonym,1.0,There are fewer keychains than staplers.,Are there fewer staplers than keychains?,No,0,-7.124244213104248,-5.937203884124756,-6.767945721745491,-6.293502375483513,-0.356298491358757,No,True
3.0,1.0,quantitative-properties,,antonym,2.0,There are more keychains than staplers.,Are there more staplers than keychains?,No,0,-8.43632984161377,-5.78094482421875,-8.080031350255013,-6.137243315577507,-0.356298491358757,No,True
4.0,1.0,quantitative-properties,,antonym,2.0,There are more keychains than staplers.,Are there fewer staplers than keychains?,Yes,0,-6.404380798339844,-5.342919826507568,-6.048082306981087,-5.699218317866325,-0.356298491358757,No,False
5.0,2.0,quantitative-properties,,antonym,1.0,There are many staplers relative to keychains.,Are there more staplers than keychains?,Yes,0,-4.812119960784912,-5.812222003936768,-4.455821469426155,-6.168520495295525,-0.356298491358757,Yes,True
6.0,2.0,quantitative-properties,,antonym,1.0,There are many staplers relative to keychains.,Are there fewer staplers than keychains?,No,0,-6.6557769775390625,-4.718462944030762,-6.2994784861803055,-5.074761435389519,-0.356298491358757,No,True
7.0,2.0,quantitative-properties,,antonym,2.0,There are few staplers relative to keychains.,Are there more staplers than keychains?,No,0,-5.092100143432617,-5.780517578125,-4.73580165207386,-6.136816069483757,-0.356298491358757,Yes,False
8.0,2.0,quantitative-properties,,antonym,2.0,There are few staplers relative to keychains.,Are there fewer staplers than keychains?,Yes,0,-3.5619804859161377,-4.624411582946777,-3.2056819945573807,-4.980710074305534,-0.356298491358757,Yes,True
12.0,2.0,quantitative-properties,,variable swap,2.0,There are many keychains relative to staplers.,Are there fewer staplers than keychains?,Yes,0,-5.873967170715332,-5.124244213104248,-5.517668679356575,-5.480542704463005,-0.356298491358757,No,False
13.0,2.0,quantitative-properties,,variable swap,1.0,There are few keychains relative to staplers.,Are there more staplers than keychains?,Yes,0,-4.530561923980713,-8.74951171875,-4.174263432621956,-9.105810210108757,-0.356298491358757,Yes,True
14.0,2.0,quantitative-properties,,variable swap,1.0,There are few keychains relative to staplers.,Are there fewer staplers than keychains?,No,0,-4.155679702758789,-6.343061923980713,-3.799381211400032,-6.69936041533947,-0.356298491358757,Yes,False
17.0,3.0,quantitative-properties,,antonym,1.0,Staplers are added to the truck that initially contained the same number of staplers and keychains.,Are there more staplers than keychains?,Yes,0,-9.74736499786377,-11.685173988342285,-9.391066506505013,-12.041472479701042,-0.356298491358757,Yes,True
19.0,3.0,quantitative-properties,,antonym,2.0,Staplers are removed from the truck that initially contained the same number of staplers and keychains.,Are there more staplers than keychains?,No,0,-9.621399879455566,-10.934514999389648,-9.26510138809681,-11.290813490748405,-0.356298491358757,Yes,False
20.0,3.0,quantitative-properties,,antonym,2.0,Staplers are removed from the truck that initially contained the same number of staplers and keychains.,Are there fewer staplers than keychains?,Yes,0,-9.05842113494873,-10.183899879455566,-8.702122643589973,-10.540198370814323,-0.356298491358757,Yes,True
