question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
Why did Americans believe that they could found a different kind of empire after 1776?,(A) This would be an 'empire of liberty',(B) This empire would be multi-cultural,(C) This type of empire would be based on expansion,(D) This would be empire free of slavery,A,A,True,20.0,0,-2.4522454738616943,-5.123626708984375,-5.9193501472473145,-5.055784702301025,1.5704894940058391,-0.17309865554173776,-0.6003455162048343,-0.07567831873893738,-4.0227349678675335,-4.950528053442637,-5.31900463104248,-4.980106383562088,A,A,True,True
What has been an effective way of disbursing US foreign aid to encourage change in target states?,"(A) Conditional programs, such as the Millennium Challenge, that require change before receipt of aid",(B) the use of intergovernmental organizations to monitor aid disbursement,(C) withdrawal of aid for bad policies,"(D) None of the above, international aid never works",A,A,True,20.0,0,-2.4522454738616943,-4.902731418609619,-4.610836505889893,-3.226405382156372,1.5704894940058391,0.0477966348330181,0.7081681251525875,1.753701001405716,-4.0227349678675335,-4.950528053442637,-5.31900463104248,-4.980106383562088,A,D,True,False
What is direct diplomacy?,(A) Members of Congress negotiating directly with foreign governments,(B) Face-to-face meetings between state leaders,(C) The president consulting Congress on foreign policy issues,(D) Bilateral talks that do not involve a third-party negotiator,A,B,False,20.0,0,-4.551988124847412,-3.6680715084075928,-6.921309947967529,-4.663918972015381,-0.5292531569798786,1.2824565450350445,-1.6023053169250492,0.31618741154670715,-4.0227349678675335,-4.950528053442637,-5.31900463104248,-4.980106383562088,B,B,False,False
The government body formed to coordinate American foreign and military policy is known as,(A) the National Security Council.,(B) the Pentagon.,(C) the Defense Policy Institute.,(D) the Joint Chiefs of Staff.,A,A,True,20.0,0,-3.4781625270843506,-6.548586845397949,-7.4038543701171875,-5.603147506713867,0.5445724407831829,-1.598058791955312,-2.0848497390747074,-0.6230411231517792,-4.0227349678675335,-4.950528053442637,-5.31900463104248,-4.980106383562088,A,A,True,True
What is the structure of the United Nations Security Council?,"(A) 5 permanent members with veto power, 10 rotating members with no veto power","(B) 5 permanent members and 10 rotating members, all with veto power","(C) 10 permanent members with veto power, and 5 rotating members without veto power",(D) 15 permanent members with veto power,A,A,True,20.0,0,-2.9163906574249268,-5.674990653991699,-6.551452159881592,-6.620659351348877,1.1063443104426067,-0.724462600549062,-1.2324475288391117,-1.640552967786789,-4.0227349678675335,-4.950528053442637,-5.31900463104248,-4.980106383562088,A,A,True,True
What caused a public uproar involving the National Security Agency in 2005?,(A) Revelations that the NSA was monitoring the communications of American citizens without obtaining warrants,"(B) A leaked memo that linked the events of September 11, 2001, with the Democratic National Committee","(C) Revelations that the NSA had tortured prisoners at Guantanamo, Cuba","(D) A scathing report condemning the George W. Bush administration for ""building a case for the war in Iraq on a quicksand foundation""",A,A,True,20.0,1,-2.8171029090881348,-6.413918972015381,-7.90155553817749,-8.411890029907227,1.2267435987790423,-1.6884550710519157,-2.761904350916544,-3.6425101061662035,-4.043846507867177,-4.725463900963465,-5.139651187260946,-4.769379923741023,A,A,True,True
Why do some scholars claim that Reagan 'won the Cold War'?,(A) Reagan's first term military spending pressured the Soviet Union to keep up its international commitments,(B) Reagan encouraged engagement with the Soviet Union,(C) Reagan encouraged a softer approach towards communism,(D) Reagan reduced military spending and this allowed the Soviet Union space to reform,A,A,True,20.0,1,-2.458040237426758,-5.177046775817871,-6.6416401863098145,-6.460903167724609,1.5858062704404192,-0.45158287485440596,-1.5019889990488684,-1.6915232439835863,-4.043846507867177,-4.725463900963465,-5.139651187260946,-4.769379923741023,A,A,True,True
Why might American exceptionalism lead to opposition to world government?,(A) Its general anti-statism opposes centralized government,(B) It views world government as impractical,(C) It views the UN as a sufficient form of global governance,(D) None of the above,A,D,False,20.0,1,-3.193289279937744,-4.726505279541016,-5.186837196350098,-3.1332459449768066,0.8505572279294329,-0.0010413785775504891,-0.047186009089151604,1.6361339787642164,-4.043846507867177,-4.725463900963465,-5.139651187260946,-4.769379923741023,D,D,False,False
"Détente, or the relaxing of tensions coupled with firm guarantees of mutual security, represented a shift in American foreign policy toward the communist world ushered in by",(A) Richard Nixon.,(B) Eugene McCarthy,(C) Lyndon Johnson.,(D) Robert Kennedy.,A,A,True,20.0,1,-2.5954296588897705,-4.6303205490112305,-6.03452730178833,-3.2859976291656494,1.4484168489774065,0.09514335195223467,-0.894876114527384,1.4833822945753736,-4.043846507867177,-4.725463900963465,-5.139651187260946,-4.769379923741023,A,D,True,False
What was the Marshall Plan?,(A) A plan that provided economic assistance to rebuild Europe.,(B) A plan to provide aid to Greece and Turkey in their stand against Soviet and Soviet-assisted threats,(C) A plan that provided Europe with military assistance to counter the Soviet threat,(D) The plan designed to stop communism in Asia,A,A,True,20.0,1,-2.5127084255218506,-6.240737438201904,-7.518662929534912,-7.598785877227783,1.5311380823453264,-1.5152735372384392,-2.379011742273966,-2.82940595348676,-4.043846507867177,-4.725463900963465,-5.139651187260946,-4.769379923741023,A,A,True,True
The best known and perhaps most important international organization is,(A) the United Nations.,(B) the North Atlantic Treaty Organization (NATO).,(C) the Organization of Petroleum Exporting Countries (OPEC).,(D) the World Trade Organization (WTO).,A,A,True,20.0,2,-2.8348634243011475,-6.904876708984375,-6.9475626945495605,-5.770540237426758,1.2537696798642477,-2.053441419204076,-1.684529705842336,-0.9757871707280481,-4.088633104165395,-4.851435289780299,-5.2630329887072245,-4.79475306669871,A,A,True,True
