question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"When a cannonball is fired from a cannon, both the cannonball and the cannon experience equal",(A) amounts of force,(B) accelerations,(C) Both,(D) Neither,A,C,False,20.0,0,-3.4001338481903076,-4.863952159881592,-2.457702159881592,-6.238952159881592,1.3343607766760721,0.4156332678265038,2.6567575550741616,-0.8442568468550844,-4.73449462486638,-5.279585427708096,-5.114459714955753,-5.394695313026507,C,C,False,False
When you drop a ball from rest it accelerates downward at 9.8 m/s^2. If you instead throw it downward assuming no air resistance its acceleration immediately after leaving your hand is,(A) 9.8 m/s2,(B) more than 9.8 m/s2,(C) less than 9.8 m/s2,(D) Cannot say unless the speed of throw is given.,A,A,True,20.0,0,-4.0092620849609375,-5.103729724884033,-4.586313724517822,-4.2028727531433105,0.7252325399054422,0.17585570282406238,0.5281459904379311,1.1918225598831969,-4.73449462486638,-5.279585427708096,-5.114459714955753,-5.394695313026507,A,D,True,False
A 10-N force at an angle 45° above the horizontal has a horizontal component of about,(A) 7 N,(B) 5 N,(C) 10 N,(D) 12 N,A,B,False,20.0,0,-4.48668909072876,-4.327210903167725,-6.017519474029541,-6.330019474029541,0.24780553413761996,0.952374524540371,-0.9030597590737877,-0.9353241610030336,-4.73449462486638,-5.279585427708096,-5.114459714955753,-5.394695313026507,B,B,False,False
Carbon-14 is primarily produced by cosmic radiation in the,(A) atmosphere,(B) food we eat,(C) Earth’s interior,(D) fallout of nuclear bomb tests,A,C,False,20.0,0,-4.2600626945495605,-7.198358535766602,-4.061122894287109,-5.5545244216918945,0.4744319303168192,-1.918773108058506,1.053336820668644,-0.15982910866538713,-4.73449462486638,-5.279585427708096,-5.114459714955753,-5.394695313026507,C,C,False,False
When you look at the red petals of a rose the color light you're seeing is,(A) red.,(B) green.,(C) white minus red.,(D) a mixture of green and yellow.,A,A,True,20.0,0,-4.903450965881348,-7.99923849105835,-6.757668972015381,-6.899587154388428,-0.16895634101496793,-2.719653063350254,-1.6432092570596275,-1.5048918413619203,-4.73449462486638,-5.279585427708096,-5.114459714955753,-5.394695313026507,A,A,True,True
As more lamps are connected in parallel in a circuit the current in the power source,(A) increases.,(B) decreases.,(C) remains much the same.,(D) Need more information.,A,A,True,20.0,0,-4.3704729080200195,-5.6508941650390625,-6.543658256530762,-6.0630693435668945,0.3640217168463602,-0.3713087373309669,-1.4291985415750084,-0.6683740305403871,-4.73449462486638,-5.279585427708096,-5.114459714955753,-5.394695313026507,A,A,True,True
A step-up transformer in an electrical circuit can step up,(A) voltage,(B) energy,(C) Both of these,(D) Neither of these,A,C,False,20.0,0,-4.338350296020508,-6.67418909072876,-3.368690252304077,-5.777042388916016,0.3961443288458719,-1.3946036630206642,1.7457694626516762,-0.3823470758895082,-4.73449462486638,-5.279585427708096,-5.114459714955753,-5.394695313026507,C,C,False,False
Thermal conduction involves mainly,(A) electrons,(B) protons,(C) neutrons,(D) ions,A,A,True,20.0,0,-4.269123077392578,-5.655860900878906,-5.757275581359863,-5.9541401863098145,0.4653715474738016,-0.37627547317081067,-0.6428158664041099,-0.559444873283307,-4.73449462486638,-5.279585427708096,-5.114459714955753,-5.394695313026507,A,A,True,True
If the Sun collapsed to become a black hole Planet Earth would,(A) continue in its present orbit.,(B) likely be sucked into the black hole.,(C) be pulled apart by tidal forces.,(D) Both C and D.,A,D,False,20.0,0,-4.512408256530762,-5.283362865447998,-4.677921772003174,-3.8217365741729736,0.222086368335618,-0.0037774377399024672,0.4365379429525795,1.5729587388535338,-4.73449462486638,-5.279585427708096,-5.114459714955753,-5.394695313026507,D,D,False,False
"When you brush your hair and scrape electrons from your hair, the charge of your hair becomes",(A) positive,(B) negative,(C) Both of these,(D) Neither of these,A,A,True,20.0,0,-4.4920244216918945,-5.449954986572266,-4.888912677764893,-6.293658256530762,0.2424702031744852,-0.17036955886417005,0.22554703719086078,-0.8989629435042543,-4.73449462486638,-5.279585427708096,-5.114459714955753,-5.394695313026507,A,A,True,True
The highest ocean tides occur when Earth and the Moon are,(A) lined up with the Sun,(B) at right angles to the Sun,(C) at any angle to the Sun,(D) lined up during spring,A,A,True,20.0,0,-4.404872894287109,-4.594282150268555,-5.19167947769165,-6.356158256530762,0.32962173057927036,0.6853032774395409,-0.07721976273589704,-0.9614629435042543,-4.73449462486638,-5.279585427708096,-5.114459714955753,-5.394695313026507,A,B,True,False
"If an object is already moving and the sum of all the vector forces on a mass is zero, then the object will",(A) move at a constant speed in a straight line,(B) accelerate at a constant rate in a straight line,(C) come to rest,(D) increase its amount of inertia,A,A,True,20.0,0,-3.782749652862549,-5.573358535766602,-6.059054374694824,-5.5005693435668945,0.9517449720038309,-0.293773108058506,-0.9445946597390709,-0.10587403054038713,-4.73449462486638,-5.279585427708096,-5.114459714955753,-5.394695313026507,A,A,True,True
A motor and a generator are,(A) similar devices,(B) very different devices,(C) forms of transformers,(D) energy sources,A,A,True,20.0,1,-3.91438627243042,-5.978147506713867,-7.172430038452148,-7.180353164672852,0.838761447204484,-0.6856140188044968,-2.1074471796552343,-1.7292935980690851,-4.753147719634904,-5.29253348790937,-5.064982858796914,-5.4510595666037664,A,A,True,True
In a mixture of hydrogen oxygen and nitrogen gases at a given temperature the molecules having the greatest average speed are those of,(A) hydrogen.,(B) oxygen.,(C) nitrogen.,(D) But all have the same speed on average.,A,A,True,20.0,1,-3.818248748779297,-5.627401828765869,-5.816626071929932,-4.7600626945495605,0.934898970855607,-0.33486834085649875,-0.7516432131330175,0.6909968720542059,-4.753147719634904,-5.29253348790937,-5.064982858796914,-5.4510595666037664,A,A,True,True
"In a mixture of hydrogen, oxygen, and nitrogen gases at a given temperature, the fastest molecules on average are those of",(A) hydrogen,(B) oxygen,(C) nitrogen,(D) All have same average speed,A,A,True,20.0,1,-3.888653516769409,-5.541958332061768,-5.796465873718262,-5.4541401863098145,0.8644942028654947,-0.24942484415239718,-0.7314830149213476,-0.0030806197060480045,-4.753147719634904,-5.29253348790937,-5.064982858796914,-5.4510595666037664,A,A,True,True
The mutual induction of electric and magnetic fields can produce,(A) light,(B) energy,(C) Both of these,(D) Neither of these,A,C,False,20.0,1,-4.678885459899902,-4.955019474029541,-2.5853993892669678,-6.647899627685547,0.07426225973500156,0.3375140138798294,2.4795834695299463,-1.1968400610817804,-4.753147719634904,-5.29253348790937,-5.064982858796914,-5.4510595666037664,C,C,False,False
"As a blinking light source approaching you gains speed, you see the frequency of flashes",(A) increase.,(B) decrease.,(C) remain unchanged.,(D) None of these.,A,A,True,20.0,1,-4.670162677764893,-5.570117950439453,-6.56667947769165,-6.2163543701171875,0.08298504187001132,-0.27758446253008273,-1.5016966188947363,-0.765294803513421,-4.753147719634904,-5.29253348790937,-5.064982858796914,-5.4510595666037664,A,A,True,True
The neutrons in an atom are normally found,(A) inside the nucleus,(B) outside the nucleus,(C) Either of these,(D) Neither of these,A,A,True,20.0,1,-4.081623077392578,-5.468360900878906,-5.161199569702148,-4.44883394241333,0.6715246422423258,-0.17582741296953586,-0.09621671090523432,1.0022256241904364,-4.753147719634904,-5.29253348790937,-5.064982858796914,-5.4510595666037664,A,D,True,False
"A certain element emits 1 alpha particle, and its products then emit 2 beta particles in succession. The atomic number of the resulting element is changed by",(A) zero,(B) minus 1,(C) minus 2,(D) plus 1,A,C,False,20.0,1,-4.545440196990967,-5.564901828765869,-4.138653755187988,-5.2666401863098145,0.2077075226439371,-0.27236834085649875,0.9263291036089258,0.184419380293952,-4.753147719634904,-5.29253348790937,-5.064982858796914,-5.4510595666037664,C,C,False,False
When an increase in speed doubles the kinetic energy of a moving body its momentum,(A) increases but less than doubles,(B) doubles,(C) more than doubles,(D) depends on factors not stated,A,B,False,20.0,1,-4.603147506713867,-4.510858535766602,-6.064901828765869,-5.1880693435668945,0.1500002129210367,0.7816749521427688,-0.999918969968955,0.2629902230368719,-4.753147719634904,-5.29253348790937,-5.064982858796914,-5.4510595666037664,B,B,False,False
