Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
1.0,1.0,social-relations,1.0,negation,1.0,Chao knows Yan.,Are Chao and Yan friends?,Yes,0,-1.3496187925338745,-0.3484322726726532,-1.0209664878793634,-0.6770845773271643,-0.3286523046545111,No,False
2.0,1.0,social-relations,1.0,negation,1.0,Chao knows Yan.,Are Chao and Yan strangers?,No,0,-1.9203959703445435,-0.1726737767457962,-1.5917436656900323,-0.5013260814003073,-0.3286523046545111,No,True
3.0,1.0,social-relations,1.0,negation,2.0,Chao doesn't know Yan.,Are Chao and Yan friends?,No,0,-2.1386661529541016,-0.14630098640918732,-1.8100138482995904,-0.47495329106369844,-0.3286523046545111,No,True
4.0,1.0,social-relations,1.0,negation,2.0,Chao doesn't know Yan.,Are Chao and Yan strangers?,Yes,0,-0.7019363641738892,-0.7019363641738892,-0.37328405951937804,-1.0305886688284003,-0.3286523046545111,Yes,True
5.0,2.0,social-relations,2.0,antonym,1.0,Chao is warm toward Yan.,Are Chao and Yan friends?,Yes,0,-1.3500484228134155,-0.3484322726726532,-1.0213961181589044,-0.6770845773271643,-0.3286523046545111,No,False
6.0,2.0,social-relations,2.0,antonym,1.0,Chao is warm toward Yan.,Are Chao and Yan strangers?,No,0,-1.7097395658493042,-0.21296018362045288,-1.381087261194793,-0.541612488274964,-0.3286523046545111,No,True
8.0,2.0,social-relations,2.0,antonym,2.0,Chao is indifferent toward Yan.,Are Chao and Yan strangers?,Yes,0,-0.9867964386940002,-0.48712462186813354,-0.6581441340394891,-0.8157769265226447,-0.3286523046545111,Yes,True
9.0,3.0,social-relations,3.0,other,1.0,Chao likes Yan.,Are Chao and Yan friends?,Yes,0,-0.9984976649284363,-0.49882981181144714,-0.6698453602739252,-0.8274821164659583,-0.3286523046545111,Yes,True
10.0,3.0,social-relations,3.0,other,1.0,Chao likes Yan.,Are Chao and Yan strangers?,No,0,-1.3269363641738892,-0.32693636417388916,-0.998284059519378,-0.6555886688284003,-0.3286523046545111,No,True
13.0,4.0,social-relations,4.0,antonym,1.0,Chao enjoys spending time with Yan.,Are Chao and Yan friends?,Yes,0,-0.8539487719535828,-0.6042847633361816,-0.5252964672990716,-0.9329370679906928,-0.3286523046545111,Yes,True
