question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
The Barkhausen criterion for an oscillator,(A) Loop gain should be unity,(B) Loop gain should be less than unity,(C) The phase of a feedback signal with respect to input should be 0° or 360°,(D) Both A and C,D,-2.652296781539917,-2.1495347023010254,-2.1495347023010254,-2.1495347023010254,B,False
Potentiometer method of DC voltage measurement is more accurate than direct measurement using a voltmeter because,(A) It loads the circuit moderately.,(B) It loads the circuit to maximum extent.,(C) It uses centre zero galvanometer instead of voltmeter.,(D) It does not load the circuit at all.,D,-3.028441905975342,-2.028441905975342,-3.016663074493408,-2.528441905975342,B,False
Which of these sets of logic gates are designated as universal gates?,"(A) NOR, NAND.","(B) XOR, NOR, NAND.","(C) OR, NOT, AND.","(D) NOR, NAND, XNOR.",A,-3.024740695953369,-2.520202159881592,-2.520202159881592,-2.520202159881592,B,False
"A single phase one pulse controlled circuit has a resistance R and counter emf E load 400 sin(314 t) as the source voltage. For a load counter emf of 200 V, the range of firing angle control is",(A) 30° to 150°.,(B) 30° to 180°.,(C) 60° to 120°.,(D) 60° to 180°.,A,-2.1381001472473145,-3.126499652862549,-3.1381001472473145,-2.1381001472473145,A,True
A box which tells the effect of inputs on control sub system is known as,(A) Data Box.,(B) Logical box.,(C) Decision box.,(D) State box.,C,-2.872753858566284,-2.3797476291656494,-1.3797476291656494,-2.3797476291656494,C,True
Two infinite parallel metal plates are charged with equal surface charge density of the same polarity. The electric field in the gap between the plates is,(A) same as that produced by one plate.,(B) double the field produced by one plate.,(C) dependent on coordinates of field points.,(D) zero.,D,-3.0800790786743164,-1.5915039777755737,-2.5800790786743164,-2.091503858566284,B,False
The resistance in the circuit of the moving coil of a dynamometer wattmeter should be,(A) Low.,(B) Very low.,(C) High.,(D) Almost zero.,C,-2.5870347023010254,-2.5870347023010254,-2.582702159881592,-2.582702159881592,C,True
The following are the necessary requirements of an oscillator,(A) Amplitude stability,(B) Frequency stability,(C) Power stability,(D) Both A and B,D,-2.6965134143829346,-2.1965134143829346,-4.207353591918945,-1.6965134143829346,D,True
The normal voltage used in directional heating is,(A) 1.5 KV.,(B) 15 KV.,(C) 33 KV.,(D) 66 KV.,A,-2.926452159881592,-2.426452159881592,-2.426452159881592,-2.426452159881592,B,False
LC oscillators are used for produce a waveform with frequency ranging from,(A) 1MHz to 500 MHz,(B) 100 KHz to 500 MHz,(C) 1 KHz to 1 MHz,(D) 1MHz to 100 GHz,A,-2.8172476291656494,-2.310253858566284,-1.8249752521514893,-1.8249752521514893,C,False
A working diode must have,(A) High resistance when forward or reverse biased,"(B) Low resistance when forward biased, while high resistance when reverse bias","(C) High resistance when forward biased, while low resistance when reverse bias",(D) Low resistance when forward or reverse biased,B,-2.0896716117858887,-2.082702159881592,-2.082702159881592,-2.0870347023010254,B,True
What is the name of the fluorescent material that gives red colour fluorescence?,(A) Zinc silicate.,(B) Calcium silicate.,(C) Zinc sulphide.,(D) Magnesium silicate.,D,-2.9109976291656494,-2.4109976291656494,-1.4152634143829346,-2.4109976291656494,C,False
How many bits are required to store one BCD digit ?,(A) 1,(B) 2,(C) 3,(D) 4,D,-2.0741095542907715,-2.5739824771881104,-2.0715134143829346,-2.0741095542907715,C,False
Commutator in DC generator is used for,(A) collecting of current,(B) reduce losses,(C) increase efficiency,(D) convert AC armature current in to DC,D,-2.520202159881592,-2.5131001472473145,-2.5131001472473145,-2.520202159881592,B,False
1 F is theoretically equal to,(A) 1 ohm of resistance,(B) ratio of 1 V to 1 C,(C) ratio of 1 C to 1 V,(D) none of these,C,-3.020202159881592,-2.0245347023010254,-1.5202022790908813,-1.5245347023010254,C,True
How many entries will be in the truth table of a 3 input NAND gate ?,(A) 3,(B) 6,(C) 8,(D) 9,C,-2.488952159881592,-2.4818501472473145,-1.9889522790908813,-1.9889522790908813,C,True
In decimal number system what is MSD,(A) First digit from left to right,(B) First digit from right to left,(C) Middle digit,(D) Mean of all digits,A,-2.9620347023010254,-1.9654285907745361,-1.4654285907745361,-2.457702159881592,C,False
"In Digital Logic Designs, GAL is abbreviated as",(A) General Advance Logic,(B) General Array Logic,(C) Generic Advance Logic,(D) Generic Array Logic,D,-3.5713043212890625,-1.0591785907745361,-3.566904306411743,-3.066904306411743,B,False
Inintel 8085A microprocessor ALE signal is made high to,(A) Enable the data bus to be used as low order address bus,(B) To latch data D0-D7 from data bus,(C) To disable data bus,(D) To achieve all the functions listed above,A,-2.3484976291656494,-2.3484976291656494,-2.841503858566284,-1.8484976291656494,D,False
For an SCR gate cathode characteristic is a straight line of 130. For triggered source volume of 15 V and allowable gate power dissipation of 0.5 W compute the gate source resistance?,(A) 111.9 ohm,(B) 11.19 ohm,(C) 108 ohm,(D) 115 ohm,A,-3.129404306411743,-2.629404306411743,-2.1338043212890625,-2.6338043212890625,C,False
The concept of V/f control of inverters driving induction motors resuls in,(A) constant torque operation,(B) speed reversal,(C) reduced magnetic loss,(D) hormonic elimination,A,-1.798024296760559,-2.779003858566284,-1.7937252521514893,-2.7859976291656494,C,False
"The energy stored in the magnetic field in a solenoid 30 cm long and 3 cm diameter wound with 1000 turns of wire carrying a current at 10 amp, is",(A) 0.015 joule.,(B) 0.15 joule.,(C) 0.015 joule.,(D) 1.15 joule.,B,-2.645202159881592,-2.626499652862549,-2.126499652862549,-2.1381001472473145,C,False
"While operating on variable frequency supplies, the AC motor requires variable voltage in order to",(A) protect the insulation.,(B) avoid effect of saturation.,(C) improve the capabilities of the inverter.,(D) protect thyristor from dV / dt.,B,-2.301452159881592,-2.2943501472473145,-2.2943501472473145,-2.301452159881592,B,True
Which of the following windings are necessary in case of all dc machines?,(A) closed winding,(B) lap winding,(C) wave winding,(D) open type winding,A,-2.6807847023010254,-2.676452159881592,-2.676452159881592,-2.676452159881592,B,False
Relaxation Voltage controlled oscillators are used to generate,(A) Sinusoidal wave,(B) Triangular wave,(C) Sawtooth wave,(D) Both B and C,D,-3.5402634143829346,-2.0359976291656494,-2.5402634143829346,-2.0402634143829346,B,False
The supply frequency usually employed for high frequency eddy current heating is,(A) 1 KHz.,(B) 5 KHz.,(C) 10 MHz.,(D) 10 KHz to 400 KHz.,D,-2.816904306411743,-2.816904306411743,-2.316904306411743,-2.309691905975342,D,True
