Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
1.0,1.0,social-properties,1.0,antonym,1.0,Chao treats people kindly.,Is Chao friendly?,Yes,-0.7141366004943848,-0.7142755389213562,-8.30986499786377,-6.029493808746338,7.595728397369385,5.315218269824982,Yes,True
2.0,1.0,social-properties,1.0,antonym,1.0,Chao treats people kindly.,Is Chao hostile?,No,-3.0617902278900146,-0.06325389444828033,-8.30986499786377,-6.029493808746338,5.248074769973755,5.966239914298058,No,True
3.0,1.0,social-properties,1.0,antonym,2.0,Chao treats people coldly.,Is Chao friendly?,No,-2.358830690383911,-0.11550725251436234,-8.30986499786377,-6.029493808746338,5.951034307479858,5.9139865562319756,Yes,False
4.0,1.0,social-properties,1.0,antonym,2.0,Chao treats people coldly.,Is Chao hostile?,Yes,-0.9914830923080444,-0.49163880944252014,-8.30986499786377,-6.029493808746338,7.318381905555725,5.537854999303818,Yes,True
5.0,2.0,social-properties,2.0,antonym,1.0,Chao greeted Yan.,Is Chao friendly?,Yes,-0.8542847633361816,-0.6045464873313904,-8.30986499786377,-6.029493808746338,7.455580234527588,5.4249473214149475,Yes,True
6.0,2.0,social-properties,2.0,antonym,1.0,Chao greeted Yan.,Is Chao hostile?,No,-1.9363298416137695,-0.18925604224205017,-8.30986499786377,-6.029493808746338,6.37353515625,5.840237766504288,Yes,False
7.0,2.0,social-properties,2.0,antonym,2.0,Chao insulted Yan.,Is Chao friendly?,No,-1.7256721258163452,-0.22369259595870972,-8.30986499786377,-6.029493808746338,6.584192872047424,5.805801212787628,Yes,False
8.0,2.0,social-properties,2.0,antonym,2.0,Chao insulted Yan.,Is Chao hostile?,Yes,-1.1628831624984741,-0.4111925959587097,-8.30986499786377,-6.029493808746338,7.146981835365295,5.618301212787628,Yes,True
9.0,3.0,social-properties,3.0,antonym,1.0,Chao enjoys meeting new people.,Is Chao friendly?,Yes,-0.5928385853767395,-0.8430619239807129,-8.30986499786377,-6.029493808746338,7.71702641248703,5.186431884765625,Yes,True
10.0,3.0,social-properties,3.0,antonym,1.0,Chao enjoys meeting new people.,Is Chao hostile?,No,-2.5928666591644287,-0.09612516313791275,-8.30986499786377,-6.029493808746338,5.716998338699341,5.933368645608425,No,True
11.0,3.0,social-properties,3.0,antonym,2.0,Chao avoids meeting new people.,Is Chao friendly?,No,-1.9289830923080444,-0.17800725996494293,-8.30986499786377,-6.029493808746338,6.380881905555725,5.851486548781395,Yes,False
12.0,3.0,social-properties,3.0,antonym,2.0,Chao avoids meeting new people.,Is Chao hostile?,Yes,-1.725869059562683,-0.22698119282722473,-8.30986499786377,-6.029493808746338,6.583995938301086,5.802512615919113,Yes,True
13.0,4.0,social-properties,4.0,other,1.0,Chao gave Yan a gift.,Is Chao friendly?,Yes,-0.8545464873313904,-0.6045464873313904,-8.30986499786377,-6.029493808746338,7.455318510532379,5.4249473214149475,Yes,True
14.0,4.0,social-properties,4.0,other,1.0,Chao gave Yan a gift.,Is Chao hostile?,No,-1.7332229614257812,-0.23445336520671844,-8.30986499786377,-6.029493808746338,6.576642036437988,5.7950404435396194,Yes,False
15.0,4.0,social-properties,4.0,other,2.0,Chao gave Yan a glare.,Is Chao friendly?,No,-2.3740885257720947,-0.11725883930921555,-8.30986499786377,-6.029493808746338,5.935776472091675,5.912234969437122,Yes,False
16.0,4.0,social-properties,4.0,other,2.0,Chao gave Yan a glare.,Is Chao hostile?,Yes,-0.9990885853767395,-0.4990885853767395,-8.30986499786377,-6.029493808746338,7.31077641248703,5.530405223369598,Yes,True
17.0,5.0,social-properties,5.0,antonym,1.0,Chao is reliable.,Is Chao trustworthy?,Yes,-1.0070970058441162,-0.5073784589767456,-8.30986499786377,-6.029493808746338,7.302767992019653,5.522115349769592,Yes,True
18.0,5.0,social-properties,5.0,antonym,1.0,Chao is reliable.,Is Chao untrustworthy?,No,-2.3742902278900146,-0.12347105145454407,-8.30986499786377,-6.029493808746338,5.935574769973755,5.906022757291794,Yes,False
19.0,5.0,social-properties,5.0,antonym,2.0,Chao is unreliable.,Is Chao trustworthy?,No,-1.936790108680725,-0.18401899933815002,-8.30986499786377,-6.029493808746338,6.373074889183044,5.845474809408188,Yes,False
20.0,5.0,social-properties,5.0,antonym,2.0,Chao is unreliable.,Is Chao untrustworthy?,Yes,-0.7219434976577759,-0.7221182584762573,-8.30986499786377,-6.029493808746338,7.587921500205994,5.307375550270081,Yes,True
21.0,6.0,social-properties,6.0,negation,1.0,Chao can be depended upon.,Is Chao trustworthy?,Yes,-0.8506439328193665,-0.6008470058441162,-8.30986499786377,-6.029493808746338,7.459221065044403,5.428646802902222,Yes,True
22.0,6.0,social-properties,6.0,negation,1.0,Chao can be depended upon.,Is Chao untrustworthy?,No,-2.593061923980713,-0.09514907747507095,-8.30986499786377,-6.029493808746338,5.716803073883057,5.934344731271267,No,True
23.0,6.0,social-properties,6.0,negation,2.0,Chao cannot be depended upon.,Is Chao trustworthy?,No,-1.9289830923080444,-0.17913880944252014,-8.30986499786377,-6.029493808746338,6.380881905555725,5.850354999303818,Yes,False
