Type,Digits,Context,Question,Correct Answer,yes_logprob,no_logprob,predicted_answer,is_correct
Arithmetic,1_digit_addition,'',Is 8 plus 3 equal to 17?,No,-5.052118301391602,-6.207000732421875,Yes,False
Arithmetic,1_digit_addition,'',Is 1 plus 6 equal to 5?,No,-5.5277605056762695,-3.410654306411743,No,True
Arithmetic,1_digit_addition,'',Is 1 plus 8 equal to 4?,No,-4.840035915374756,-4.267519474029541,No,True
Arithmetic,1_digit_addition,'',Is 7 plus 0 equal to 6?,No,-5.495659351348877,-4.176452159881592,No,True
Arithmetic,1_digit_addition,'',Is 2 plus 4 equal to 4?,No,-4.060997486114502,-7.3065714836120605,Yes,False
Arithmetic,1_digit_addition,'',Is 5 plus 1 equal to 9?,No,-5.557582378387451,-5.295440196990967,No,True
Arithmetic,1_digit_addition,'',Is 4 plus 0 equal to 6?,No,-4.932582378387451,-5.357940196990967,Yes,False
Arithmetic,1_digit_addition,'',Is 6 plus 6 equal to 70?,No,-8.117853164672852,-2.7204296588897705,No,True
Arithmetic,1_digit_addition,'',Is 3 plus 8 equal to 77?,No,-8.54195785522461,-3.6633756160736084,No,True
Arithmetic,1_digit_addition,'',Is 8 plus 1 equal to 8?,No,-5.060315132141113,-6.930353164672852,Yes,False
Arithmetic,1_digit_addition,'',Is 5 plus 7 equal to 76?,No,-8.179893493652344,-3.6369407176971436,No,True
Arithmetic,1_digit_addition,'',Is 2 plus 3 equal to 3?,No,-3.5141913890838623,-5.745659351348877,Yes,False
Arithmetic,1_digit_addition,'',Is 9 plus 3 equal to 89?,No,-8.677118301391602,-4.162773609161377,No,True
Arithmetic,1_digit_addition,'',Is 5 plus 4 equal to 7?,No,-5.526771545410156,-3.6402158737182617,No,True
Arithmetic,1_digit_addition,'',Is 1 plus 4 equal to 8?,No,-4.401483535766602,-5.076153755187988,Yes,False
Arithmetic,1_digit_addition,'',Is 7 plus 1 equal to 4?,No,-7.335903167724609,-3.838512897491455,No,True
Arithmetic,1_digit_addition,'',Is 9 plus 6 equal to 57?,No,-8.986688613891602,-4.374610900878906,No,True
Arithmetic,1_digit_addition,'',Is 6 plus 0 equal to 1?,No,-6.401176929473877,-4.643345832824707,No,True
Arithmetic,1_digit_addition,'',Is 4 plus 7 equal to 86?,No,-7.927118301391602,-3.172913074493408,No,True
Arithmetic,1_digit_addition,'',Is 4 plus 5 equal to 4?,No,-4.15470027923584,-4.715035915374756,Yes,False
Arithmetic,1_digit_addition,'',Is 7 plus 9 equal to 59?,No,-7.585903167724609,-4.691626071929932,No,True
Arithmetic,1_digit_addition,'',Is 9 plus 1 equal to 26?,No,-6.519853591918945,-5.7420244216918945,No,True
Arithmetic,1_digit_addition,'',Is 2 plus 1 equal to 6?,No,-5.589542388916016,-3.7228002548217773,No,True
Arithmetic,1_digit_addition,'',Is 5 plus 5 equal to 98?,No,-8.121399879455566,-2.5557847023010254,No,True
Arithmetic,1_digit_addition,'',Is 5 plus 9 equal to 85?,No,-9.054405212402344,-2.653441905975342,No,True
Arithmetic,1_digit_addition,'',Is 9 plus 5 equal to 26?,No,-5.546465873718262,-6.742563724517822,Yes,False
Arithmetic,1_digit_addition,'',Is 0 plus 8 equal to 1?,No,-5.403995513916016,-4.150850296020508,No,True
Arithmetic,1_digit_addition,'',Is 4 plus 9 equal to 17?,No,-3.9773385524749756,-6.272054195404053,Yes,False
Arithmetic,1_digit_addition,'',Is 6 plus 4 equal to 72?,No,-8.553885459899902,-3.1068501472473145,No,True
Arithmetic,1_digit_addition,'',Is 4 plus 2 equal to 1?,No,-6.213676929473877,-3.5795865058898926,No,True
Arithmetic,1_digit_addition,'',Is 0 plus 6 equal to 9?,No,-4.091495513916016,-4.459863185882568,Yes,False
Arithmetic,1_digit_addition,'',Is 8 plus 2 equal to 47?,No,-9.48824405670166,-3.6780142784118652,No,True
Arithmetic,1_digit_addition,'',Is 8 plus 0 equal to 7?,No,-6.652042388916016,-3.769123077392578,No,True
Arithmetic,1_digit_addition,'',Is 1 plus 5 equal to 7?,No,-4.0572662353515625,-5.291958332061768,Yes,False
Arithmetic,1_digit_addition,'',Is 6 plus 5 equal to 83?,No,-8.992393493652344,-2.7045865058898926,No,True
Arithmetic,1_digit_addition,'',Is 1 plus 2 equal to 6?,No,-5.558899879455566,-2.867393970489502,No,True
Arithmetic,1_digit_addition,'',Is 5 plus 0 equal to 8?,No,-5.527296543121338,-4.268345832824707,No,True
