Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
1.0,1.0,material-properties,,negation,1.0,Chao can see through the wheel.,Is the wheel transparent?,Yes,0,-1.2961962223052979,-1.2951791286468506,-1.6663014248013495,-0.925073926150799,0.3701052024960516,No,False
2.0,1.0,material-properties,,negation,1.0,Chao can see through the wheel.,Is the wheel opaque?,No,0,-3.9191458225250244,-0.16914573311805725,-4.289251025021076,0.20095946937799436,0.3701052024960516,No,True
3.0,1.0,material-properties,,negation,2.0,Chao cannot see through the wheel.,Is the wheel transparent?,No,0,-4.1878533363342285,-0.687574028968811,-4.55795853883028,-0.3174688264727594,0.3701052024960516,No,True
4.0,1.0,material-properties,,negation,2.0,Chao cannot see through the wheel.,Is the wheel opaque?,Yes,0,-0.8618131279945374,-3.611222267150879,-1.231918330490589,-3.2411170646548273,0.3701052024960516,Yes,True
5.0,2.0,material-properties,,material,1.0,The wheel is made of polyethylene.,Is the wheel transparent?,Yes,0,-4.831498622894287,-0.08140339702367783,-5.201603825390339,0.2887018054723738,0.3701052024960516,No,False
6.0,2.0,material-properties,,material,1.0,The wheel is made of polyethylene.,Is the wheel opaque?,No,0,-0.7558539509773254,-2.753095865249634,-1.125959153473377,-2.382990662753582,0.3701052024960516,Yes,False
7.0,2.0,material-properties,,material,2.0,The wheel is made of bronze.,Is the wheel transparent?,No,0,-5.566542625427246,-0.06654254347085953,-5.936647827923298,0.3035626590251921,0.3701052024960516,No,True
8.0,2.0,material-properties,,material,2.0,The wheel is made of bronze.,Is the wheel opaque?,Yes,0,-0.4928058087825775,-3.4922149181365967,-0.8629110112786291,-3.122109715640545,0.3701052024960516,Yes,True
9.0,3.0,material-properties,,antonym,1.0,The surface of the wheel is completely flat.,Is the surface of the wheel smooth?,Yes,0,-1.4057459831237793,-5.654440402984619,-1.775851185619831,-5.2843352004885675,0.3701052024960516,Yes,True
10.0,3.0,material-properties,,antonym,1.0,The surface of the wheel is completely flat.,Is the surface of the wheel rough?,No,0,-4.127340316772461,-0.37726616859436035,-4.4974455192685125,-0.007160966098308741,0.3701052024960516,No,True
11.0,3.0,material-properties,,antonym,2.0,The surface of the wheel is somewhat bumpy.,Is the surface of the wheel smooth?,No,0,-4.6233110427856445,-0.12338490039110184,-4.993416245281696,0.24672030210494977,0.3701052024960516,No,True
12.0,3.0,material-properties,,antonym,2.0,The surface of the wheel is somewhat bumpy.,Is the surface of the wheel rough?,Yes,0,-0.6532970666885376,-3.902836799621582,-1.0234022691845892,-3.5327315971255304,0.3701052024960516,Yes,True
13.0,4.0,material-properties,,material,1.0,The wheel is made of polyethylene.,Is the surface of the wheel smooth?,Yes,0,-2.843418598175049,-1.8434185981750488,-3.2135238006711004,-1.4733133956789972,0.3701052024960516,No,False
14.0,4.0,material-properties,,material,1.0,The wheel is made of polyethylene.,Is the surface of the wheel rough?,No,0,-3.5206096172332764,-1.0193041563034058,-3.890714819729328,-0.6491989538073542,0.3701052024960516,No,True
15.0,4.0,material-properties,,material,2.0,The wheel is made of concrete.,Is the surface of the wheel smooth?,No,0,-3.7237207889556885,-1.973720669746399,-4.09382599145174,-1.6036154672503473,0.3701052024960516,No,True
16.0,4.0,material-properties,,material,2.0,The wheel is made of concrete.,Is the surface of the wheel rough?,Yes,0,-1.1425458192825317,-2.890981674194336,-1.5126510217785833,-2.5208764716982843,0.3701052024960516,Yes,True
17.0,5.0,material-properties,,antonym,1.0,Chao squeezed the wheel. It changed its shape.,Is the wheel soft?,Yes,0,-0.24241644144058228,-2.7416768074035645,-0.6125216439366339,-2.371571604907513,0.3701052024960516,Yes,True
18.0,5.0,material-properties,,antonym,1.0,Chao squeezed the wheel. It changed its shape.,Is the wheel hard?,No,0,-3.5709831714630127,-0.07098334282636642,-3.9410883739590643,0.2991218596696852,0.3701052024960516,No,True
19.0,5.0,material-properties,,antonym,2.0,Chao squeezed the wheel. It kept its shape.,Is the wheel soft?,No,0,-4.164152145385742,-0.1639951914548874,-4.534257347881794,0.20611001104116422,0.3701052024960516,No,True
20.0,5.0,material-properties,,antonym,2.0,Chao squeezed the wheel. It kept its shape.,Is the wheel hard?,Yes,0,-0.35753563046455383,-3.6069447994232178,-0.7276408329606054,-3.236839596927166,0.3701052024960516,Yes,True
21.0,6.0,material-properties,,material,1.0,The wheel is made of flannel.,Is the wheel soft?,Yes,1,-0.9530218243598938,-2.701772689819336,-1.37448453232646,-2.2803099818527697,0.42146270796656626,Yes,True
22.0,6.0,material-properties,,material,1.0,The wheel is made of flannel.,Is the wheel hard?,No,1,-4.464707374572754,-0.2145848423242569,-4.88617008253932,0.20687786564230937,0.42146270796656626,No,True
23.0,6.0,material-properties,,material,2.0,The wheel is made of bronze.,Is the wheel soft?,No,1,-1.6614283323287964,-1.1606358289718628,-2.0828910402953627,-0.7391731210052965,0.42146270796656626,No,True
24.0,6.0,material-properties,,material,2.0,The wheel is made of bronze.,Is the wheel hard?,Yes,1,-0.5068387389183044,-3.005889415740967,-0.9283014468848707,-2.5844267077744005,0.42146270796656626,Yes,True
25.0,7.0,material-properties,,antonym,1.0,Chao squeezed the wheel. It changed its shape.,Is the surface of the wheel soft?,Yes,1,-0.9649690389633179,-0.964176595211029,-1.3864317469298841,-0.5427138872444628,0.42146270796656626,No,False
26.0,7.0,material-properties,,antonym,1.0,Chao squeezed the wheel. It changed its shape.,Is the surface of the wheel hard?,No,1,-2.154935598373413,-0.4047340750694275,-2.5763983063399793,0.016728632897138773,0.42146270796656626,No,True
27.0,7.0,material-properties,,antonym,2.0,Chao squeezed the wheel. It kept its shape.,Is the surface of the wheel soft?,No,1,-4.375003814697266,-0.12480252981185913,-4.796466522663832,0.29666017815470713,0.42146270796656626,No,True
28.0,7.0,material-properties,,antonym,2.0,Chao squeezed the wheel. It kept its shape.,Is the surface of the wheel hard?,Yes,1,-0.5465731620788574,-3.295780897140503,-0.9680358700454237,-2.8743181891739367,0.42146270796656626,Yes,True
29.0,8.0,material-properties,,material,1.0,The wheel is made of flannel.,Is the surface of the wheel soft?,Yes,1,-1.662727952003479,-2.6614789962768555,-2.0841906599700453,-2.240016288310289,0.42146270796656626,Yes,True
30.0,8.0,material-properties,,material,1.0,The wheel is made of flannel.,Is the surface of the wheel hard?,No,1,-3.6608173847198486,-0.6603568196296692,-4.082280092686415,-0.23889411166310293,0.42146270796656626,No,True
31.0,8.0,material-properties,,material,2.0,The wheel is made of bronze.,Is the surface of the wheel soft?,No,1,-1.0359699726104736,-2.2846643924713135,-1.45743268057704,-1.8632016845047472,0.42146270796656626,Yes,False
32.0,8.0,material-properties,,material,2.0,The wheel is made of bronze.,Is the surface of the wheel hard?,Yes,1,-0.7880821824073792,-3.037065029144287,-1.2095448903739454,-2.615602321177721,0.42146270796656626,Yes,True
33.0,9.0,material-properties,,antonym,1.0,The wheel is stretchy.,Is the wheel elastic?,Yes,1,-1.1144169569015503,-4.112814426422119,-1.5358796648681166,-3.691351718455553,0.42146270796656626,Yes,True
34.0,9.0,material-properties,,antonym,1.0,The wheel is stretchy.,Is the wheel inelastic?,No,1,-3.4933090209960938,-0.24323494732379913,-3.91477172896266,0.17822776064276713,0.42146270796656626,No,True
35.0,9.0,material-properties,,antonym,2.0,The wheel is rigid.,Is the wheel elastic?,No,1,-5.173074722290039,-0.17297914624214172,-5.594537430256605,0.24848356172442454,0.42146270796656626,No,True
36.0,9.0,material-properties,,antonym,2.0,The wheel is rigid.,Is the wheel inelastic?,Yes,1,-0.6997054219245911,-2.1980299949645996,-1.1211681298911573,-1.7765672869980333,0.42146270796656626,Yes,True
37.0,10.0,material-properties,,antonym,1.0,Chao pulled on the wheel with both hands. It changed its shape.,Is the wheel elastic?,Yes,1,-0.8528292179107666,-1.6006793975830078,-1.2742919258773329,-1.1792166896164415,0.42146270796656626,No,False
38.0,10.0,material-properties,,antonym,1.0,Chao pulled on the wheel with both hands. It changed its shape.,Is the wheel inelastic?,No,1,-3.6678340435028076,-0.16755476593971252,-4.089296751469374,0.25390794202685374,0.42146270796656626,No,True
39.0,10.0,material-properties,,antonym,2.0,Chao pulled on the wheel with both hands. It kept its shape.,Is the wheel elastic?,No,1,-4.214278221130371,-0.21399880945682526,-4.635740929096937,0.207463898509741,0.42146270796656626,No,True
40.0,10.0,material-properties,,antonym,2.0,Chao pulled on the wheel with both hands. It kept its shape.,Is the wheel inelastic?,Yes,1,-0.9306159615516663,-2.428940773010254,-1.3520786695182325,-2.0074780650436876,0.42146270796656626,Yes,True
41.0,11.0,material-properties,,material,1.0,The wheel is made of flannel.,Is the wheel elastic?,Yes,2,-3.980100393295288,-0.7296741604804993,-4.333411743491888,-0.3763628102838994,0.35331135019659987,No,False
42.0,11.0,material-properties,,material,1.0,The wheel is made of flannel.,Is the wheel inelastic?,No,2,-1.38358473777771,-1.6326115131378174,-1.7368960879743098,-1.2793001629412175,0.35331135019659987,No,True
43.0,11.0,material-properties,,material,2.0,The wheel is made of bronze.,Is the wheel elastic?,No,2,-5.154459476470947,-0.1543639600276947,-5.507770826667548,0.19894739016890517,0.35331135019659987,No,True
44.0,11.0,material-properties,,material,2.0,The wheel is made of bronze.,Is the wheel inelastic?,Yes,2,-0.5704930424690247,-2.3189287185668945,-0.9238043926656245,-1.9656173683702947,0.35331135019659987,Yes,True
45.0,12.0,material-properties,,antonym,1.0,The wheel looks shiny.,Is the surface of the wheel glossy?,Yes,2,-1.4480197429656982,-3.446770668029785,-1.8013310931622981,-3.0934593178331853,0.35331135019659987,Yes,True
46.0,12.0,material-properties,,antonym,1.0,The wheel looks shiny.,Is the surface of the wheel matte?,No,2,-3.7610201835632324,-0.2608881890773773,-4.114331533759833,0.09242316111922255,0.35331135019659987,No,True
