question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"Construct a complete truth table for the following argument. Then, using the truth table, determine whether the argument is valid or invalid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)~(M ≡ ~N)M / N",(A) Valid,(B) Invalid. Counterexample when M and N are true,(C) Invalid. Counterexample when M is true and N is false,(D) Invalid. Counterexample when N is true and M is false,A,B,False,20.0,0,-2.3904426097869873,-1.1404426097869873,-5.155419826507568,-3.1402390003204346,1.3750818272431693,1.6683384329080582,-0.9293030376235647,-1.0919059254229069,-3.7655244370301566,-2.8087810426950455,-4.226116788884004,-2.0483330748975277,B,B,False,False
" Use the following key to translate the given formula of PL to natural, English sentences.A: Marina reads a Percy Jackson book.B: Izzy plays Minecraft.C: Emily stops working.D: Russell makes dinner.E: Ashleigh stops by.~(A ⊃ B) • (B ⊃ ~E)","(A) It's not the case that Marina's reading a Percy Jackson book entails that Izzy plays Minecraft, but Izzy's playing Minecraft does entail that Ashleigh doesn't stop by.","(B) If Marina doesn't read a Percy Jackson book, then Izzy plays Minecraft, which entails that Ashleigh doesn't stop by.","(C) Marina's reading a Percy Jackson book does not entail that Izzy plays Minecraft, but Izzy plays Minecraft provided that Ashleigh doesn't stop by.","(D) It's not true that Marina reads a Percy Jackson book only when Izzy plays Minecraft, but Izzy plays Minecraft only when Ashleigh stops by.",A,D,False,20.0,0,-4.499512195587158,-4.749373435974121,-4.748967170715332,-2.4988298416137695,-0.7339877585570016,-1.9405923932790756,-0.5228503818313284,-0.45049676671624184,-3.7655244370301566,-2.8087810426950455,-4.226116788884004,-2.0483330748975277,D,D,False,False
 Select the best English interpretation of the given arguments in predicate logic.Wn ∨ Wm(∀x)[Lx ⊃ (Dx ⊃ ~Wx)]Ln • Dn	/ ~(∀x)~Wx,(A) Either Nancy or Marvin are at work. All lawyers are not at work if they are out to dinner. Nancy is a lawyer and out to dinner. So not everything is not at work.,(B) Either Nancy or Marvin are at work. All lawyers are out to dinner if they are not at work. Nancy is a lawyer and out to dinner. So not everything is not at work.,(C) Either Nancy or Marvin are at work. All lawyers are out to dinner if they are not at work. Nancy is a lawyer and out to dinner. So not everything is at work.,(D) Either Nancy or Marvin are at work. All lawyers are not at work if they are out to dinner. Nancy is a lawyer and out to dinner. So not everything is at work.,A,D,False,20.0,0,-4.124796390533447,-3.8748204708099365,-4.874446868896484,-2.874664545059204,-0.35927195350329066,-1.066039428114891,-0.6483300800124807,-0.8263314701616764,-3.7655244370301566,-2.8087810426950455,-4.226116788884004,-2.0483330748975277,D,A,False,True
"Use indirect truth tables to determine whether the following argument is valid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)H ≡ (I · ~J)K ≡ ~H~(K ⊃ J) / I ≡ J",(A) Valid,"(B) Invalid. Counterexample when I, H, and K are true and J is false",(C) Invalid. Counterexample when I and H are true and J and K are false,"(D) Invalid. Counterexample when K is true and I, H, and J are false",A,B,False,20.0,0,-3.281172752380371,-0.7733608484268188,-5.280980587005615,-2.2811508178710938,0.4843516846497855,2.0354201942682266,-1.0548637981216116,-0.23281774297356606,-3.7655244370301566,-2.8087810426950455,-4.226116788884004,-2.0483330748975277,B,B,False,False
"Construct a complete truth table for the following argument. Then, using the truth table, determine whether the argument is valid or invalid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)~C ⊃ DD ⊃ C / C",(A) Valid,(B) Invalid. Counterexample when C and D are true,(C) Invalid. Counterexample when C is true and D is false,(D) Invalid. Counterexample when D is true and C is false,A,B,False,20.0,1,-3.4217915534973145,-1.1796033382415771,-5.187119960784912,-3.1716480255126953,0.3736771047115326,1.5337862198551497,-1.0004443898797035,-1.1046822555363178,-3.795468658208847,-2.713389558096727,-4.186675570905209,-2.0669657699763775,B,B,False,False
 Select the best translation into predicate logic: No senior graduates without a major.,(A) (∀x)(Sx ⊃ ~Gx),(B) ~(∀x)(Sx ⊃ Gx),(C) (∀x)( ~Sx ⊃ ~Gx),(D) (∀x) ~(Sx ⊃ ~Gx),A,D,False,20.0,1,-2.093745708465576,-2.0937461853027344,-4.0937395095825195,-1.5859311819076538,1.7017229497432709,0.6196433727939925,0.09293606132268906,0.4810345880687237,-3.795468658208847,-2.713389558096727,-4.186675570905209,-2.0669657699763775,D,A,False,True
"Identify the conclusion of the following argument. Utilitarian theory is embarrassed by the possibility of utility monsters. A utility monster gets enormous gains in utility, greater than the utility lost by the sacrifices of others. The sacrifices of even large numbers of other people are outweighed by the gains of the utility monster. The theory seems to require that we all be sacrificed in the monste's maw in order to increase total utility. (Robert Nozick, Anarchy, State, and Utopia)",(A) Utilitarian theory is embarrassed by the possibility of utility monsters.,(B) A utility monster gets enormous gains in utility.,(C) A utility monster gets gains in utility greater than the utility lost by the sacrifices of others.,(D) The sacrifices of even large numbers of other people are outweighed by the gains of the utility monster.,A,D,False,20.0,1,-3.7499725818634033,-3.4999725818634033,-4.499925136566162,-2.249941825866699,0.045496076345443726,-0.7865830237666764,-0.3132495656609535,-0.18297605589032173,-3.795468658208847,-2.713389558096727,-4.186675570905209,-2.0669657699763775,D,A,False,True
"Select the best translation into predicate logic: Cecilia breaks my heart if, and only if, Maria is either a problem or a girl.",(A) Bc ≡ (Pm ∨ Gm),(B) Bc ≡ (Pm • Gm),(C) Bc ⊃ (Pm ∨ Gm),(D) Cb ⊃ (Pm • Gm),A,D,False,20.0,1,-2.2499899864196777,-3.4999871253967285,-5.499925136566162,-2.249959945678711,1.5454786717891693,-0.7865975673000016,-1.3132495656609535,-0.18299417570233345,-3.795468658208847,-2.713389558096727,-4.186675570905209,-2.0669657699763775,D,A,False,True
"Identify the conclusion of the following argument. That the world is my idea is a truth valid for every living creature, though only man can contemplate it. In doing so, he attains philosophical wisdom. No truth is more absolutely certain than that all that exists for knowledge and therefore this world is only object in relation to subject, perception of a perceiver. The world is an idea. (Arthur Schopenhauer, The World as Will and Idea)",(A) The world is an idea.,"(B) That the world is my idea is a truth valid for every living creature, though only man can contemplate it.","(C) In doing so, he attains philosophical wisdom.","(D) No truth is more absolutely certain than that all that exists for knowledge and therefore this world is only object in relation to subject, perception of a perceiver.",A,D,False,20.0,2,-2.999964714050293,-3.499941825866699,-4.749904155731201,-2.4998767375946045,0.7912515203158059,-0.7185300687948861,-0.6075083439548807,-0.44762841487924243,-3.791216234366099,-2.781411757071813,-4.14239581177632,-2.052248322715362,D,A,False,True
 Select the best English interpretation of the given arguments in predicate logic.(∃x)(Cx • Ox)(∀x)[(~Cx ⊃ ~Bx) ⊃ ~Og]	/ ~Og,"(A) Some cookies have oatmeal. If something's not being a cookie entails that it doesn't have chocolate chips, then this cookie doesn't have oatmeal. So this cookie doesn't have oatmeal.","(B) Some cookies have oatmeal. If something is not a cookie and does not have chocolate chips, it doesn't have oatmeal. So this cookie doesn't have oatmeal.","(C) Some cookies have oatmeal. If something doesn't have oatmeal, then it is not a cookie and it doesn't have chocolate chips. So this cookie doesn't have oatmeal.","(D) Some cookies have oatmeal. If something's not having chocolate chips entails that it is not a cookie, then it doesn't have oatmeal. So this cookie doesn't have oatmeal.",A,D,False,20.0,2,-4.3748602867126465,-4.374820709228516,-5.3742899894714355,-4.124512195587158,-0.5836440523465476,-1.5934089521567025,-1.2318941776951151,-2.072263872871796,-3.791216234366099,-2.781411757071813,-4.14239581177632,-2.052248322715362,D,A,False,True
Select the best translation into predicate logic. Leo is taller than Cathy. (c: Cathy; l: Leo; Txy: x is taller than y),(A) Tlc,(B) Tcl,(C) lTc,(D) cTl,A,D,False,20.0,2,-3.062493085861206,-2.812488555908203,-3.812459945678711,-0.5663894414901733,0.7287231485048928,-0.03107679883639003,0.3299358660976095,1.4858588812251887,-3.791216234366099,-2.781411757071813,-4.14239581177632,-2.052248322715362,D,D,False,False
" Which of the given formulas of PL is the best symbolization of the following sentence?Either England's not importing beef is a necessary condition for France's subsidizing agriculture, or China promotes human rights if and only if South Africa doesn't supply diamonds.",(A) (F ⊃ ~E) ∨ (C ≡ ~S),(B) (~E ⊃ F) ∨ (C ⊃ ~S),(C) ~(F ⊃ E) ∨ (~S ⊃ C),(D) (F ⊃ E) ∨ (C ≡ ~S),A,D,False,20.0,2,-4.156130313873291,-2.1717536449432373,-4.155996799468994,-2.1716747283935547,-0.3649140795071921,0.6096581121285758,-0.013600987692673705,-0.11942640567819263,-3.791216234366099,-2.781411757071813,-4.14239581177632,-2.052248322715362,D,B,False,False
Select the best translation into predicate logic. David teaches Chris. (c: Chris; d: David; Txy: x teaches y),(A) Tdc,(B) Tcd,(C) Tcc,(D) dTc,A,D,False,20.0,3,-3.781242847442627,-2.5312395095825195,-4.031213760375977,-1.0234204530715942,-0.02648596465587616,0.3545403902729354,0.19989201426506042,0.9515483553210895,-3.754756882786751,-2.885779899855455,-4.231105774641037,-1.9749688083926837,D,D,False,False
" Which of the given formulas of PL is the best symbolization of the following sentence?If Beth rides her bike, she gets to work earlier.",(A) B ⊃ W,(B) W ⊃ B,(C) B ≡ W,(D) Both A and B,A,D,False,20.0,3,-5.374964714050293,-4.624959945678711,-3.624925136566162,-1.1171424388885498,-1.6202078312635422,-1.739180045823256,0.6061806380748749,0.8578263695041339,-3.754756882786751,-2.885779899855455,-4.231105774641037,-1.9749688083926837,D,D,False,False
 Select the best translation into predicate logic: Not all lobsters are red.,(A) ~(∀x)(Lx ⊃ Rx),(B) ~(∃x)(Lx ⊃ Rx),(C) ~(∃x)(Lx • Rx),(D) ~(∀x)(Lx • Rx),A,D,False,20.0,3,-2.546868324279785,-2.5468661785125732,-4.531229496002197,-1.2890461683273315,1.2078885585069656,0.33891372134288167,-0.3001237213611603,0.6859226400653522,-3.754756882786751,-2.885779899855455,-4.231105774641037,-1.9749688083926837,D,A,False,True
Select the best translation into predicate logic: Abdul and Cleopatra are Egyptian.,(A) Ea • Ec,(B) Ea • c,(C) Ae ∨ Ce,(D) Ex • Ey,A,D,False,20.0,3,-3.937483310699463,-3.4374725818634033,-3.937448501586914,-0.6913707256317139,-0.1827264279127121,-0.5516926820079484,0.2936572730541229,1.2835980827609699,-3.754756882786751,-2.885779899855455,-4.231105774641037,-1.9749688083926837,D,D,False,False
" Use the following key to translate the given formula of PL to natural, English sentences.A: Marina reads a Percy Jackson book.B: Izzy plays Minecraft.C: Emily stops working.D: Russell makes dinner.E: Ashleigh stops by.(~B • E) ⊃ D",(A) If it's not the case that both Izzy plays Minecraft and Ashleigh stops by then Russell makes dinner.,(B) If it's both not the case that Izzy plays Minecraft and Ashleigh stops by then Russell makes dinner.,(C) Izzy playing Minecraft and Ashleigh stopping by entails that Russell makes dinner.,(D) Russell's making dinner is a sufficient condition for Izzy not playing Minecraft and Ashleigh stopping by.,B,D,False,20.0,0,-5.03071403503418,-3.7962582111358643,-5.279793739318848,-1.7881721258163452,-1.265189598004023,-0.9874771684408188,-1.053676950434844,0.2601609490811825,-3.7655244370301566,-2.8087810426950455,-4.226116788884004,-2.0483330748975277,D,D,False,False
