question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"Jerry read a 200-page book in 10 hours. At that rate, how long will it take him to read a 320-page book?",(A) 16 hours,(B) 18 hours,(C) 24 hours,(D) 32 hours,A,A,True,20.0,0,-2.8889126777648926,-3.3889126777648926,-3.3889126777648926,-3.358610153198242,0.12884034294831137,-0.06261213411364652,0.08448754590854302,-0.2687336373747442,-3.017753020713204,-3.326300543651246,-3.4734002236734356,-3.089876515823498,A,A,True,True
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,(A) 8,(B) 9,(C) 49,(D) 63,A,A,True,20.0,0,-2.720249652862549,-3.220249652862549,-3.720249652862549,-3.2014126777648926,0.2975033678506551,0.10605089078869723,-0.24684942918911323,-0.1115361619413946,-3.017753020713204,-3.326300543651246,-3.4734002236734356,-3.089876515823498,A,A,True,True
Find the value of 6 • 24 ÷ (8 − 5).,(A) 48,(B) 13,(C) −13,(D) 54,A,A,True,20.0,0,-3.376499652862549,-3.8576626777648926,-3.876499652862549,-3.8576626777648926,-0.3587466321493449,-0.5313621341136465,-0.40309942918911323,-0.7677861619413946,-3.017753020713204,-3.326300543651246,-3.4734002236734356,-3.089876515823498,A,A,True,True
Change 34 L 18 cL to liters.,(A) 34.18 L,(B) 35.8 L,(C) 34.018 L,(D) 214 L,A,A,True,20.0,0,-3.3881001472473145,-3.876499652862549,-3.3881001472473145,-3.3881001472473145,-0.3703471265341105,-0.5501991092113028,0.08530007642612114,-0.29822363142381647,-3.017753020713204,-3.326300543651246,-3.4734002236734356,-3.089876515823498,A,C,True,False
"The Mills Library has 1,007,199 books. The Springvale Library has 907,082 books. Which of the following is the best estimate of how many more books the Mills Library has than the Springvale Library?","(A) 100,000 books","(B) 80,000 books","(C) 10,000 books","(D) 8,000 books",A,D,False,20.0,0,-2.7675790786743164,-3.249023199081421,-3.249023199081421,-2.749023199081421,0.25017394203888754,0.07727734456982516,0.2243770245920147,0.3408533167420771,-3.017753020713204,-3.326300543651246,-3.4734002236734356,-3.089876515823498,D,D,False,False
Max and Jonathon were picking strawberries. Max picked 187 strawberries. Jonathon picked 223 strawberries. Together they ate 26 of the strawberries. Which expression shows a way to find the total number of strawberries Max and Jonathon have left?,(A) 190 + 220 – 30 + 4,(B) 185 + 225 – 25 + 1,(C) 200 + 200 – 30 – 4,(D) 200 + 200 – 25 – 1,A,A,True,20.0,0,-3.1693501472473145,-3.6693501472473145,-3.6693501472473145,-3.1693501472473145,-0.1515971265341105,-0.3430496035960684,-0.19594992357387886,-0.07947363142381647,-3.017753020713204,-3.326300543651246,-3.4734002236734356,-3.089876515823498,A,D,True,False
Which number has an absolute value greater than 5?,(A) -6,(B) -5,(C) 0,(D) 5,A,D,False,20.0,0,-3.313999652862549,-3.2951626777648926,-3.2951626777648926,-2.7951626777648926,-0.2962466321493449,0.031137865886353477,0.17823754590854302,0.2947138380586054,-3.017753020713204,-3.326300543651246,-3.4734002236734356,-3.089876515823498,D,D,False,False
"Mr. Jones rolls a six-sided cube numbered 1, 2, 3, 4, 5, 6. What is the probability he rolls a three?",(A) 6-Jan,(B) 5-Jan,(C) 3-Jan,(D) 2-Jan,A,A,True,20.0,0,-2.811523199081421,-3.311523199081421,-2.8300790786743164,-2.811523199081421,0.20622982163178305,0.014777344569825157,0.6433211449991192,0.2783533167420771,-3.017753020713204,-3.326300543651246,-3.4734002236734356,-3.089876515823498,A,C,True,False
Find the number that makes the statement true: 0.32 g = _ cg.,(A) 32,(B) 3.2,"(C) 3,200",(D) 320,A,A,True,20.0,0,-3.5443501472473145,-3.5443501472473145,-3.5443501472473145,-3.5443501472473145,-0.5265971265341105,-0.2180496035960684,-0.07094992357387886,-0.45447363142381647,-3.017753020713204,-3.326300543651246,-3.4734002236734356,-3.089876515823498,A,C,True,False
"If a freight train travels at a speed of 20 miles per hour for 6 hours, how far will it travel?",(A) 120 miles,(B) 80 miles,(C) 26 miles,(D) 12 miles,A,A,True,20.0,0,-2.704163074493408,-3.204163074493408,-3.215941905975342,-3.204163074493408,0.31358994621979575,0.12213746915783785,0.2574583176980938,-0.11428655866991022,-3.017753020713204,-3.326300543651246,-3.4734002236734356,-3.089876515823498,A,A,True,True
