question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
"As of 2016, about what percentage of adults aged 18 years or older were overweight?",(A) 10%,(B) 20%,(C) 40%,(D) 80%,C,-5.6249518394470215,-0.2597525119781494,-1.6327975988388062,-3.6406090259552,B,False
What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,(A) About $300,(B) About $3k,(C) About $8k,(D) About $15k,B,-3.7655892372131348,-1.8906069993972778,-0.26755011081695557,-3.1405951976776123,C,False
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",(A) 52%,(B) 62%,(C) 72%,(D) 82%,C,-2.109330415725708,-0.9804381132125854,-0.9804242849349976,-2.109321117401123,C,True
Which of the following countries generated the most total energy from solar sources in 2019?,(A) China,(B) United States,(C) Germany,(D) Japan,A,-0.3066192865371704,-1.8046786785125732,-2.8124842643737793,-6.18749475479126,A,True
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?",(A) by 5 fold,(B) by 10 fold,(C) by 15 fold,(D) by 20 fold,C,-2.6718244552612305,-0.7929477691650391,-0.9179213047027588,-2.9218244552612305,B,False
What is the biggest cause of death in children under five years old (as of 2017)?,(A) Lower respiratory infections,(B) Preterm birth complications,(C) Diarrheal diseases,(D) Malaria,A,-0.19529938697814941,-1.945306658744812,-3.687488555908203,-6.187494277954102,A,True
"As of 2019, about what percentage of the global population does not have access to safe drinking water?",(A) 10%,(B) 20%,(C) 30%,(D) 40%,C,-2.2968356609344482,-1.0468629598617554,-1.0468604564666748,-1.671858549118042,C,True
About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,(A) 29%,(B) 49%,(C) 69%,(D) 89%,C,-2.4217803478240967,-2.1718244552612305,-0.4218013286590576,-2.046786069869995,C,True
"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",(A) 18%,(B) 38%,(C) 58%,(D) 78%,C,-4.687462329864502,-0.4413872957229614,-1.1952922344207764,-3.1874773502349854,B,False
"As of 2017, what fraction of the population in India used the internet in the past three months?",(A) 11%,(B) 26%,(C) 41%,(D) 56%,B,-4.5312113761901855,-0.2695094347000122,-1.648414134979248,-3.5156033039093018,B,True
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",(A) 23%,(B) 38%,(C) 53%,(D) 68%,D,-4.312445163726807,-1.1874724626541138,-0.43941986560821533,-3.437466859817505,C,False
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",(A) 5%,(B) 10%,(C) 15%,(D) 25%,B,-1.6405843496322632,-1.5156090259552002,-1.2656080722808838,-1.265600323677063,D,False
"As of 2020, about what percentage of the world population practices open defecation?",(A) 2%,(B) 4%,(C) 9%,(D) 18%,C,-3.437459945678711,-2.5624823570251465,-1.4452934265136719,-0.44333338737487793,D,False
Which of the following is not an element of the redistribution-with-growth policy approach?,(A) minimum wage legislation,(B) land reform,(C) progressive taxation,(D) increased access to education,A,-0.225563645362854,-6.343715667724609,-2.843719720840454,-1.9765208959579468,A,True
About what percentage of the global population was literate in 1950?,(A) 36%,(B) 56%,(C) 76%,(D) 96%,B,-2.2655951976776123,-0.894517183303833,-0.7695119380950928,-3.8906044960021973,C,False
"As of 2016, about what percentage of adults aged 18 years or older were obese?",(A) 6%,(B) 13%,(C) 27%,(D) 46%,B,-5.093721866607666,-1.476550579071045,-0.47654712200164795,-1.9765461683273315,C,False
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good?",(A) 34%,(B) 49%,(C) 64%,(D) 79%,A,-6.312474250793457,-0.0663905143737793,-2.9374823570251465,-4.812486171722412,B,False
"As of 2017, what percentage of Americans live in urban areas?",(A) 62%,(B) 72%,(C) 82%,(D) 92%,C,-3.359342336654663,-0.22752165794372559,-2.109354019165039,-3.1093552112579346,B,False
What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices?,(A) About $3k,(B) About $8k,(C) About $15k,(D) About $30k,C,-3.7187232971191406,-0.3378734588623047,-1.4609168767929077,-3.968726396560669,B,False
"In 2016, about how many people in the United States were homeless?","(A) 55,000","(B) 550,000","(C) 5,500,000","(D) 55,000,000",B,-5.468733787536621,-0.8476499319076538,-0.5976494550704956,-4.218740463256836,C,False
In 1965 how many Americans thought that sending troops to Vietnam was a mistake?,(A) 25%,(B) 45%,(C) 65%,(D) 85%,A,-4.156203269958496,-0.7890257835388184,-0.7890300750732422,-2.6718356609344482,B,False
"As of 2013, share of people in the Ethiopia who think political parties are corrupt is",(A) 24%,(B) 44%,(C) 64%,(D) 84%,A,-6.468693733215332,-0.23141467571258545,-1.734344244003296,-3.7343461513519287,B,False
"In 1997, the World Bank found that the fraction of the world’s population living in low and lower-middle income countries—that is, countries with per capita incomes of $1230 or less—was approximately",(A) 25%,(B) 40%,(C) 55%,(D) 75%,D,-3.249933958053589,-2.499962329864502,-0.2470250129699707,-2.374941825866699,C,False
"As of 2015, agriculture made up about what percentage of total Indian GDP?",(A) 8%,(B) 16%,(C) 32%,(D) 64%,B,-3.9843380451202393,-0.4902222156524658,-1.117168664932251,-3.4843461513519287,B,True
Which of the following is true as of 2020?,(A) males are more likely to have depression and are more likely to have an alcohol use disorder than females.,(B) females are more likely to have depression and are more likely to have an alcohol use disorder than males.,(C) males are more likely than females to have depression while females are more likely than males to have an alcohol use disorder.,(D) females are more likely than males to have depression while males are more likely than females to have an alcohol use disorder.,D,-0.32393744587898254,-2.0778908729553223,-2.4528424739837646,-4.061832904815674,A,False
"As of 2019, about what percentage of people from Brazil says homosexuality should be accepted by society?",(A) 37%,(B) 47%,(C) 57%,(D) 67%,D,-3.9530868530273438,-0.8241908550262451,-0.699187159538269,-3.2030932903289795,C,False
"As of 2017, the share of GDP spent on the military by Saudi Arabia is about",(A) 1%,(B) 3%,(C) 6%,(D) 10%,D,-5.24995756149292,-0.4882625341415405,-1.1093552112579346,-2.984354019165039,B,False
"As of 2019, about what share of electricity came from fossil fuels in the United States?",(A) 23%,(B) 43%,(C) 63%,(D) 83%,C,-5.937466621398926,-0.18260419368743896,-1.9296746253967285,-4.062487602233887,B,False
What is the percentage of children aged 13-15 in Egypt who reported being bullied at least once in the past couple of months as of 2015?,(A) 10%,(B) 30%,(C) 50%,(D) 70%,D,-3.6093244552612305,-0.867168664932251,-0.7421634197235107,-2.609349489212036,C,False
"As of 2018, about what percentage of US adults say criminal risk assessment for people up for parole is an unreasonable application of algorithmic decision making?",(A) 26%,(B) 41%,(C) 56%,(D) 71%,C,-4.812434196472168,-0.3085513114929199,-1.687459945678711,-2.6874518394470215,B,False
"In 2018, about how many chickens were killed for meat production?",(A) 690 million,(B) 6.9 billion,(C) 69 billion,(D) 690 billion,C,-0.8359204530715942,-0.7109293937683105,-2.8281126022338867,-4.343732833862305,B,False
"In 2016, what percentage of the population of South Sudan had access to electricity?",(A) 9%,(B) 29%,(C) 59%,(D) 79%,A,-4.156223297119141,-0.4003772735595703,-1.273422360420227,-3.4062328338623047,B,False
About what percentage of survey respondents from Mexico report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,(A) 31%,(B) 51%,(C) 71%,(D) 91%,B,-2.8748977184295654,-2.374933958053589,-0.49405086040496826,-1.4920921325683594,C,False
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in China?",(A) by 4 fold,(B) by 8 fold,(C) by 16 fold,(D) by 32 fold,C,-4.687404155731201,-0.3085585832595825,-1.6796331405639648,-3.187448501586914,B,False
Ross Perot makes polling history by leading the presidential race briefly in June as a third-party candidate with 39%. He winds up with _% of the popular vote.,(A) 1,(B) 7,(C) 13,(D) 19,D,-3.2499518394470215,-0.6249772310256958,-2.9999725818634033,-1.1249573230743408,B,False
