Domain,Family,Model,Plain Acc,KFold Acc,Acc % Change,Plain RSTD,KFold RSTD,RSTD % Change
abstract_algebra,Falcon,Falcon3-10B-Base,0.3500,0.4000,+14.29%,0.2676,0.0982,-63.32%
anatomy,Falcon,Falcon3-10B-Base,0.5407,0.6370,+17.81%,0.1887,0.0577,-69.44%
astronomy,Falcon,Falcon3-10B-Base,0.5329,0.6250,+17.28%,0.2905,0.0775,-73.33%
business_ethics,Falcon,Falcon3-10B-Base,0.4900,0.4800,-2.04%,0.2511,0.0660,-73.73%
clinical_knowledge,Falcon,Falcon3-10B-Base,0.5434,0.6226,+14.58%,0.2333,0.0843,-63.85%
college_biology,Falcon,Falcon3-10B-Base,0.5486,0.6111,+11.39%,0.2433,0.1105,-54.58%
college_chemistry,Falcon,Falcon3-10B-Base,0.3900,0.4200,+7.69%,0.1285,0.0302,-76.52%
college_computer_science,Falcon,Falcon3-10B-Base,0.4100,0.4800,+17.07%,0.2311,0.0992,-57.07%
college_mathematics,Falcon,Falcon3-10B-Base,0.3500,0.3500,+0.00%,0.1582,0.0747,-52.78%
college_medicine,Falcon,Falcon3-10B-Base,0.4740,0.5607,+18.29%,0.2069,0.0717,-65.35%
college_physics,Falcon,Falcon3-10B-Base,0.3529,0.4314,+22.22%,0.1364,0.1180,-13.48%
computer_security,Falcon,Falcon3-10B-Base,0.6000,0.6200,+3.33%,0.2331,0.0998,-57.20%
conceptual_physics,Falcon,Falcon3-10B-Base,0.6085,0.6553,+7.69%,0.0407,0.0601,+47.55%
econometrics,Falcon,Falcon3-10B-Base,0.4123,0.5000,+21.28%,0.1871,0.1015,-45.72%
electrical_engineering,Falcon,Falcon3-10B-Base,0.5655,0.5655,+0.00%,0.1154,0.0448,-61.20%
elementary_mathematics,Falcon,Falcon3-10B-Base,0.5185,0.5397,+4.08%,0.0650,0.0558,-14.09%
formal_logic,Falcon,Falcon3-10B-Base,0.3730,0.3730,+0.00%,0.2144,0.0882,-58.85%
global_facts,Falcon,Falcon3-10B-Base,0.4100,0.4200,+2.44%,0.2172,0.0310,-85.75%
high_school_biology,Falcon,Falcon3-10B-Base,0.4935,0.6581,+33.33%,0.2615,0.0601,-77.00%
high_school_chemistry,Falcon,Falcon3-10B-Base,0.4680,0.5074,+8.42%,0.1113,0.1001,-10.07%
high_school_computer_science,Falcon,Falcon3-10B-Base,0.6000,0.6400,+6.67%,0.1207,0.0346,-71.37%
high_school_european_history,Falcon,Falcon3-10B-Base,0.6000,0.6606,+10.10%,0.2055,0.0526,-74.42%
high_school_geography,Falcon,Falcon3-10B-Base,0.5556,0.6414,+15.45%,0.1797,0.0346,-80.73%
high_school_government_and_politics,Falcon,Falcon3-10B-Base,0.7098,0.7720,+8.76%,0.1534,0.0879,-42.72%
high_school_macroeconomics,Falcon,Falcon3-10B-Base,0.5821,0.6667,+14.54%,0.1881,0.0366,-80.54%
high_school_mathematics,Falcon,Falcon3-10B-Base,0.3444,0.3370,-2.15%,0.1641,0.0721,-56.05%
high_school_microeconomics,Falcon,Falcon3-10B-Base,0.6597,0.7479,+13.38%,0.1600,0.0337,-78.92%
high_school_physics,Falcon,Falcon3-10B-Base,0.3907,0.4172,+6.78%,0.1517,0.0564,-62.82%
high_school_psychology,Falcon,Falcon3-10B-Base,0.6844,0.7266,+6.17%,0.1456,0.0607,-58.32%
high_school_statistics,Falcon,Falcon3-10B-Base,0.5370,0.6343,+18.10%,0.1166,0.0412,-64.66%
high_school_us_history,Falcon,Falcon3-10B-Base,0.6373,0.6716,+5.38%,0.2471,0.0928,-62.46%
high_school_world_history,Falcon,Falcon3-10B-Base,0.5907,0.6203,+5.00%,0.1942,0.0665,-65.74%
human_aging,Falcon,Falcon3-10B-Base,0.6457,0.6368,-1.39%,0.2396,0.1211,-49.44%
human_sexuality,Falcon,Falcon3-10B-Base,0.6107,0.6031,-1.25%,0.1446,0.0940,-35.01%
international_law,Falcon,Falcon3-10B-Base,0.5702,0.5537,-2.90%,0.3489,0.1393,-60.09%
jurisprudence,Falcon,Falcon3-10B-Base,0.4630,0.5370,+16.00%,0.1776,0.0653,-63.26%
logical_fallacies,Falcon,Falcon3-10B-Base,0.5215,0.6319,+21.18%,0.2939,0.0759,-74.18%
machine_learning,Falcon,Falcon3-10B-Base,0.4911,0.4375,-10.91%,0.2624,0.0890,-66.07%
