Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,raw_yes_logprob,raw_no_logprob,base_yes_logprob,base_no_logprob,adjusted_yes_logprob,adjusted_no_logprob,predicted_answer,is_correct
1.0,1.0,physical-relations,,antonym,1.0,The truck is in front of the bed.,Is the truck blocking the bed?,Yes,-1.7254886627197266,-2.5927491188049316,-12.00532054901123,-12.036286354064941,10.279831886291504,9.44353723526001,Yes,True
2.0,1.0,physical-relations,,antonym,1.0,The truck is in front of the bed.,Is the bed blocking the truck?,No,-3.4365296363830566,-0.8823206424713135,-12.00532054901123,-12.036286354064941,8.568790912628174,11.153965711593628,No,True
3.0,1.0,physical-relations,,antonym,2.0,The truck is behind the bed.,Is the truck blocking the bed?,No,-2.170396089553833,-1.3582926988601685,-12.00532054901123,-12.036286354064941,9.834924459457397,10.677993655204773,No,True
4.0,1.0,physical-relations,,antonym,2.0,The truck is behind the bed.,Is the bed blocking the truck?,Yes,-2.529600143432617,-1.460060954093933,-12.00532054901123,-12.036286354064941,9.475720405578613,10.576225399971008,No,False
7.0,1.0,physical-relations,,variable swap,2.0,The bed is in front of the truck.,Is the truck blocking the bed?,No,-1.0619113445281982,-1.6869113445281982,-12.00532054901123,-12.036286354064941,10.943409204483032,10.349375009536743,Yes,False
8.0,1.0,physical-relations,,variable swap,2.0,The bed is in front of the truck.,Is the bed blocking the truck?,Yes,-2.2017781734466553,-0.7100878953933716,-12.00532054901123,-12.036286354064941,9.803542375564575,11.32619845867157,No,False
9.0,1.0,physical-relations,,variable swap,1.0,The bed is behind the truck.,Is the truck blocking the bed?,Yes,-0.999411404132843,-2.6870694160461426,-12.00532054901123,-12.036286354064941,11.005909144878387,9.349216938018799,Yes,True
10.0,1.0,physical-relations,,variable swap,1.0,The bed is behind the truck.,Is the bed blocking the truck?,No,-2.138784646987915,-0.7059447765350342,-12.00532054901123,-12.036286354064941,9.866535902023315,11.330341577529907,No,True
13.0,2.0,physical-relations,,variable swap,1.0,Chao needs to move the truck to reach the bed.,Is the truck blocking the bed?,Yes,-1.7793806791305542,-2.9668805599212646,-12.00532054901123,-12.036286354064941,10.225939869880676,9.069405794143677,Yes,True
14.0,2.0,physical-relations,,variable swap,1.0,Chao needs to move the truck to reach the bed.,Is the bed blocking the truck?,No,-2.060688018798828,-3.029600143432617,-12.00532054901123,-12.036286354064941,9.944632530212402,9.006686210632324,Yes,False
15.0,2.0,physical-relations,,variable swap,2.0,Chao needs to move the bed to reach the truck.,Is the truck blocking the bed?,No,-4.090035915374756,-4.339542388916016,-12.00532054901123,-12.036286354064941,7.915284633636475,7.696743965148926,Yes,False
16.0,2.0,physical-relations,,variable swap,2.0,Chao needs to move the bed to reach the truck.,Is the bed blocking the truck?,Yes,-3.1517715454101562,-4.588983535766602,-12.00532054901123,-12.036286354064941,8.853549003601074,7.44730281829834,Yes,True
17.0,3.0,physical-relations,,antonym,1.0,The truck occupies more space than the bed.,Is the truck bigger than the bed?,Yes,-1.093017578125,-6.061832904815674,-12.00532054901123,-12.036286354064941,10.91230297088623,5.974453449249268,Yes,True
18.0,3.0,physical-relations,,antonym,1.0,The truck occupies more space than the bed.,Is the truck smaller than the bed?,No,-4.686695575714111,-0.7575322985649109,-12.00532054901123,-12.036286354064941,7.318624973297119,11.27875405550003,No,True
19.0,3.0,physical-relations,,antonym,2.0,The truck occupies less space than the bed.,Is the truck bigger than the bed?,No,-3.0150973796844482,-0.8317961692810059,-12.00532054901123,-12.036286354064941,8.990223169326782,11.204490184783936,No,True
20.0,3.0,physical-relations,,antonym,2.0,The truck occupies less space than the bed.,Is the truck smaller than the bed?,Yes,-1.9835319519042969,-1.9213945865631104,-12.00532054901123,-12.036286354064941,10.021788597106934,10.114891767501831,No,False
23.0,3.0,physical-relations,,variable swap,2.0,The bed occupies more space than the truck.,Is the truck bigger than the bed?,No,-3.420858144760132,-0.35322585701942444,-12.00532054901123,-12.036286354064941,8.584462404251099,11.683060497045517,No,True
24.0,3.0,physical-relations,,variable swap,2.0,The bed occupies more space than the truck.,Is the truck smaller than the bed?,Yes,-1.4053096771240234,-1.7183057069778442,-12.00532054901123,-12.036286354064941,10.600010871887207,10.317980647087097,Yes,True
25.0,3.0,physical-relations,,variable swap,1.0,The bed occupies less space than the truck.,Is the truck bigger than the bed?,Yes,-1.4987543821334839,-1.561946988105774,-12.00532054901123,-12.036286354064941,10.506566166877747,10.474339365959167,Yes,True
26.0,3.0,physical-relations,,variable swap,1.0,The bed occupies less space than the truck.,Is the truck smaller than the bed?,No,-2.8888959884643555,-1.327307939529419,-12.00532054901123,-12.036286354064941,9.116424560546875,10.708978414535522,No,True
