question,A,B,C,D,answer,oa_logprob,ob_logprob,oc_logprob,od_logprob,predicted_answer,is_correct
"As of 2016, about what percentage of adults aged 18 years or older were overweight?",(A) 10%,(B) 20%,(C) 40%,(D) 80%,C,-3.270202159881592,-3.274322271347046,-2.270202159881592,-1.766774296760559,D,False
What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,(A) About $300,(B) About $3k,(C) About $8k,(D) About $15k,B,-3.2944376468658447,-2.7928595542907715,-2.2927324771881104,-2.2944376468658447,C,False
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",(A) 52%,(B) 62%,(C) 72%,(D) 82%,C,-3.1338043212890625,-3.1297476291656494,-2.1340134143829346,-2.1340134143829346,C,True
Which of the following countries generated the most total energy from solar sources in 2019?,(A) China,(B) United States,(C) Germany,(D) Japan,A,-2.7475242614746094,-2.2475242614746094,-2.2475242614746094,-2.7459216117858887,B,False
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?",(A) by 5 fold,(B) by 10 fold,(C) by 15 fold,(D) by 20 fold,C,-3.1989824771881104,-2.1963043212890625,-2.1963043212890625,-1.6928174495697021,D,False
What is the biggest cause of death in children under five years old (as of 2017)?,(A) Lower respiratory infections,(B) Preterm birth complications,(C) Diarrheal diseases,(D) Malaria,A,-3.778695821762085,-2.2797000408172607,-1.278774380683899,-2.778695821762085,C,False
"As of 2019, about what percentage of the global population does not have access to safe drinking water?",(A) 10%,(B) 20%,(C) 30%,(D) 40%,C,-3.6182847023010254,-2.6225242614746094,-1.6209216117858887,-2.1209216117858887,C,True
About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,(A) 29%,(B) 49%,(C) 69%,(D) 89%,C,-2.770202159881592,-2.270202159881592,-1.7779285907745361,-1.7779285907745361,C,True
"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",(A) 18%,(B) 38%,(C) 58%,(D) 78%,C,-2.7902634143829346,-2.7902634143829346,-1.8006407022476196,-2.2902634143829346,C,True
"As of 2017, what fraction of the population in India used the internet in the past three months?",(A) 11%,(B) 26%,(C) 41%,(D) 56%,B,-3.2902634143829346,-2.7928595542907715,-1.8006407022476196,-2.2902634143829346,C,False
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",(A) 23%,(B) 38%,(C) 53%,(D) 68%,D,-2.9932847023010254,-2.4959216117858887,-1.9932847023010254,-1.9932847023010254,C,False
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",(A) 5%,(B) 10%,(C) 15%,(D) 25%,B,-3.1678595542907715,-2.6678595542907715,-1.6677324771881104,-1.6693603992462158,C,False
"As of 2020, about what percentage of the world population practices open defecation?",(A) 2%,(B) 4%,(C) 9%,(D) 18%,C,-2.9645423889160156,-2.9620347023010254,-1.9568907022476196,-2.4620347023010254,C,True
Which of the following is not an element of the redistribution-with-growth policy approach?,(A) minimum wage legislation,(B) land reform,(C) progressive taxation,(D) increased access to education,A,-3.1652634143829346,-2.6650543212890625,-2.1650543212890625,-2.1650543212890625,C,False
About what percentage of the global population was literate in 1950?,(A) 36%,(B) 56%,(C) 76%,(D) 96%,B,-2.5557847023010254,-2.0584216117858887,-2.0557847023010254,-2.0557847023010254,C,False
"As of 2016, about what percentage of adults aged 18 years or older were obese?",(A) 6%,(B) 13%,(C) 27%,(D) 46%,B,-3.0713043212890625,-3.0713043212890625,-2.0713043212890625,-2.0713043212890625,C,False
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good?",(A) 34%,(B) 49%,(C) 64%,(D) 79%,A,-3.149740695953369,-2.6495347023010254,-1.657294750213623,-2.1495347023010254,C,False
"As of 2017, what percentage of Americans live in urban areas?",(A) 62%,(B) 72%,(C) 82%,(D) 92%,C,-3.024740695953369,-3.024740695953369,-1.5271716117858887,-2.0245347023010254,C,True
What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices?,(A) About $3k,(B) About $8k,(C) About $15k,(D) About $30k,C,-3.0428595542907715,-2.5402634143829346,-2.5428595542907715,-2.5444376468658447,B,False
"In 2016, about how many people in the United States were homeless?","(A) 55,000","(B) 550,000","(C) 5,500,000","(D) 55,000,000",B,-3.0428595542907715,-2.5428595542907715,-1.532294750213623,-2.0400543212890625,C,False
In 1965 how many Americans thought that sending troops to Vietnam was a mistake?,(A) 25%,(B) 45%,(C) 65%,(D) 85%,A,-3.207702159881592,-2.707702159881592,-1.7077022790908813,-2.207702159881592,C,False
"As of 2013, share of people in the Ethiopia who think political parties are corrupt is",(A) 24%,(B) 44%,(C) 64%,(D) 84%,A,-3.145202159881592,-3.1381001472473145,-1.6374752521514893,-1.6374752521514893,C,False
"In 1997, the World Bank found that the fraction of the world’s population living in low and lower-middle income countries—that is, countries with per capita incomes of $1230 or less—was approximately",(A) 25%,(B) 40%,(C) 55%,(D) 75%,D,-3.7698535919189453,-2.7631001472473145,-1.7624752521514893,-1.7624752521514893,C,False
"As of 2015, agriculture made up about what percentage of total Indian GDP?",(A) 8%,(B) 16%,(C) 32%,(D) 64%,B,-3.1182847023010254,-2.613952159881592,-1.610524296760559,-2.1209216117858887,C,False
Which of the following is true as of 2020?,(A) males are more likely to have depression and are more likely to have an alcohol use disorder than females.,(B) females are more likely to have depression and are more likely to have an alcohol use disorder than males.,(C) males are more likely than females to have depression while females are more likely than males to have an alcohol use disorder.,(D) females are more likely than males to have depression while males are more likely than females to have an alcohol use disorder.,D,-2.7745347023010254,-2.2745347023010254,-1.784952163696289,-1.782294750213623,D,True
"As of 2019, about what percentage of people from Brazil says homosexuality should be accepted by society?",(A) 37%,(B) 47%,(C) 57%,(D) 67%,D,-3.1963043212890625,-2.6963043212890625,-1.691202163696289,-2.1963043212890625,C,False
"As of 2017, the share of GDP spent on the military by Saudi Arabia is about",(A) 1%,(B) 3%,(C) 6%,(D) 10%,D,-2.6495347023010254,-2.645202159881592,-1.6452022790908813,-2.145202159881592,C,False
"As of 2019, about what share of electricity came from fossil fuels in the United States?",(A) 23%,(B) 43%,(C) 63%,(D) 83%,C,-2.9489824771881104,-2.9463043212890625,-1.9419041872024536,-1.9463043212890625,C,True
What is the percentage of children aged 13-15 in Egypt who reported being bullied at least once in the past couple of months as of 2015?,(A) 10%,(B) 30%,(C) 50%,(D) 70%,D,-2.9178595542907715,-2.4177324771881104,-1.909952163696289,-2.4177324771881104,C,False
"As of 2018, about what percentage of US adults say criminal risk assessment for people up for parole is an unreasonable application of algorithmic decision making?",(A) 26%,(B) 41%,(C) 56%,(D) 71%,C,-3.649740695953369,-2.6495347023010254,-1.659952163696289,-1.657294750213623,D,False
"In 2018, about how many chickens were killed for meat production?",(A) 690 million,(B) 6.9 billion,(C) 69 billion,(D) 690 billion,C,-2.9334216117858887,-2.4334216117858887,-1.938544750213623,-1.941202163696289,C,True
