question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
Transcription-affecting DNA region that may be located thousands of basepairs away from the promoter.,(A) Enhancer,(B) Repressor,(C) Operator,(D) Promoter,A,A,True,20.0,0,-7.7994160652160645,-8.643662452697754,-8.137177467346191,-8.718087196350098,-3.1156160342387667,-2.407541571519314,-2.192687464066041,-2.372973594910059,-4.683800030977298,-6.23612088117844,-5.94449000328015,-6.345113601440039,A,C,True,False
Two related species evolve in a way that makes them less similar.,(A) Divergent evolution,(B) Convergent evolution,(C) Parallel evolution,(D) Coevolution,A,A,True,20.0,0,-5.616714954376221,-7.924060821533203,-8.146214485168457,-6.037606716156006,-0.9329149233989229,-1.687939940354763,-2.2017244818883066,0.3075068852840328,-4.683800030977298,-6.23612088117844,-5.94449000328015,-6.345113601440039,A,D,True,False
The relatives of a group of pelicans from the same species that separated from each other because of an unsuccessful migration are reunited 150 years later and find that they are unable to produce offspring. This is an example of,(A) allopatric speciation.,(B) sympatric speciation.,(C) genetic drift.,(D) gene flow.,A,A,True,20.0,0,-4.939612865447998,-7.187065601348877,-7.43557071685791,-7.962087154388428,-0.25581283447070025,-0.9509447201704369,-1.4910807135777597,-1.616973552948389,-4.683800030977298,-6.23612088117844,-5.94449000328015,-6.345113601440039,A,A,True,True
Which of the following statements is NOT correct about apoptosis?,"(A) Apoptosis, a special type of cell division, requires multiple cell signaling.",(B) The fact that apoptosis is widespread across several kingdoms is evidence that it evolved early in the evolution of eukaryotes.,(C) Apoptosis plays a crucial role in the development of fingers in embryonic development.,(D) Apoptosis prevents an aging and dying cell from damaging neighboring cells.,A,A,True,20.0,0,-4.5725626945495605,-6.945117950439453,-7.323358535766602,-6.989546775817871,0.11123733642773725,-0.708997069261013,-1.3788685324864511,-0.6444331743778324,-4.683800030977298,-6.23612088117844,-5.94449000328015,-6.345113601440039,A,A,True,True
Which of the following must exist in a population before natural selection can act upon that population?,(A) Genetic variation among individuals,(B) Variation among individuals caused by environmental factors,(C) Sexual reproduction,(D) B and C only,A,A,True,20.0,0,-2.6622695922851562,-5.72202730178833,-6.914254665374756,-6.104458332061768,2.0215304386921416,0.51409357939011,-0.9697646620946054,0.24065526937827109,-4.683800030977298,-6.23612088117844,-5.94449000328015,-6.345113601440039,A,A,True,True
Which of the following is the source of oxygen produced during photosynthesis?,(A) H2O,(B) H2O2,(C) CO2,(D) CO,A,A,True,20.0,0,-4.1517229080200195,-6.512454986572266,-5.1744160652160645,-6.9216227531433105,0.5320771229572783,-0.2763341053938255,0.770073938064086,-0.5765091517032719,-4.683800030977298,-6.23612088117844,-5.94449000328015,-6.345113601440039,A,C,True,False
Hemoglobin is a molecule that binds to both O2 and CO2. There is an allosteric relationship between the concentrations of O2 and CO2. Hemoglobin's affinity for O2,(A) decreases as blood pH decreases,(B) increases as H+ concentration increases,(C) increases in exercising muscle tissue,(D) decreases as CO2 concentration decreases,A,A,True,20.0,0,-5.1196441650390625,-5.892674446105957,-5.340231418609619,-5.978729724884033,-0.4358441340617647,0.34344643507248307,0.6042585846705313,0.36638387655600546,-4.683800030977298,-6.23612088117844,-5.94449000328015,-6.345113601440039,A,C,True,False
"Stomata allow gases, such as H2O and CO2, to exchange between the inside of a plant leaf and the surrounding environment. Which of the following occurs under normal daytime environmental conditions?",(A) H2O diffuses out of the leaf faster than CO2 enters.,(B) H2O diffuses out of the leaf slower than CO2 enters.,(C) CO2 diffuses out of the leaf faster than H2O enters.,(D) H2O exchanges with CO2 at equal rates.,A,A,True,20.0,0,-4.3296966552734375,-7.772964954376221,-6.82467794418335,-6.718087196350098,0.3541033757038603,-1.5368440731977806,-0.8801879409031992,-0.372973594910059,-4.683800030977298,-6.23612088117844,-5.94449000328015,-6.345113601440039,A,A,True,True
"In cells, which of the following can catalyze reactions involving hydrogen peroxide, provide cellular energy, and make proteins, in that order?","(A) Peroxisomes, mitochondria, and ribosomes","(B) Peroxisomes, mitochondria, and lysosomes","(C) Peroxisomes, mitochondria, and Golgi apparatus","(D) Lysosomes, chloroplasts, and ribosomes",A,A,True,20.0,0,-5.121554374694824,-6.771671772003174,-6.938032150268555,-6.6030120849609375,-0.4377543437175264,-0.5355508908247337,-0.9935421469884043,-0.25789848352089884,-4.683800030977298,-6.23612088117844,-5.94449000328015,-6.345113601440039,A,D,True,False
What was the prevailing notion prior to the time of Lyell and Darwin?,"(A) Earth is a few thousand years old, and populations are unchanging.","(B) Earth is a few thousand years old, and populations gradually change.","(C) Earth is millions of years old, and populations rapidly change.","(D) Earth is millions of years old, and populations are unchanging.",A,A,True,20.0,0,-7.17171573638916,-9.40514850616455,-8.18557071685791,-8.31057071685791,-2.4879157054118624,-3.1690276249861107,-2.2410807135777597,-1.9654571154178715,-4.683800030977298,-6.23612088117844,-5.94449000328015,-6.345113601440039,A,D,True,False
