Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
1.0,1.0,social-properties,1.0,antonym,1.0,Chao treats people kindly.,Is Chao friendly?,Yes,0,-0.5155891180038452,-1.0156031847000122,0.06221234644281459,-1.593404649146672,-0.5778014644466598,Yes,True
2.0,1.0,social-properties,1.0,antonym,1.0,Chao treats people kindly.,Is Chao hostile?,No,0,-4.031203269958496,-0.02049076557159424,-3.4534018055118363,-0.598292230018254,-0.5778014644466598,No,True
3.0,1.0,social-properties,1.0,antonym,2.0,Chao treats people coldly.,Is Chao friendly?,No,0,-3.296840190887451,-0.04246413707733154,-2.7190387264407914,-0.6202656015239914,-0.5778014644466598,No,True
4.0,1.0,social-properties,1.0,antonym,2.0,Chao treats people coldly.,Is Chao hostile?,Yes,0,-0.8437060117721558,-0.5937292575836182,-0.26590454732549595,-1.171530722030278,-0.5778014644466598,Yes,True
5.0,2.0,social-properties,2.0,antonym,1.0,Chao greeted Yan.,Is Chao friendly?,Yes,0,-0.28120315074920654,-1.5312278270721436,0.29659831369745326,-2.1090292915188034,-0.5778014644466598,Yes,True
6.0,2.0,social-properties,2.0,antonym,1.0,Chao greeted Yan.,Is Chao hostile?,No,0,-2.828065872192383,-0.07370257377624512,-2.250264407745723,-0.6515040382229049,-0.5778014644466598,No,True
7.0,2.0,social-properties,2.0,antonym,2.0,Chao insulted Yan.,Is Chao friendly?,No,0,-1.9296296834945679,-0.1796424388885498,-1.351828219047908,-0.7574439033352096,-0.5778014644466598,No,True
8.0,2.0,social-properties,2.0,antonym,2.0,Chao insulted Yan.,Is Chao hostile?,Yes,0,-0.4100834131240845,-1.1640279293060303,0.16771805132257533,-1.74182939375269,-0.5778014644466598,Yes,True
9.0,3.0,social-properties,3.0,antonym,1.0,Chao enjoys meeting new people.,Is Chao friendly?,Yes,0,-0.23434019088745117,-1.7343538999557495,0.34346127355920864,-2.3121553644024093,-0.5778014644466598,Yes,True
10.0,3.0,social-properties,3.0,antonym,1.0,Chao enjoys meeting new people.,Is Chao hostile?,No,0,-3.531193494796753,-0.03562366962432861,-2.953392030350093,-0.6134251340709884,-0.5778014644466598,No,True
11.0,3.0,social-properties,3.0,antonym,2.0,Chao avoids meeting new people.,Is Chao friendly?,No,0,-1.921847939491272,-0.17576003074645996,-1.3440464750446122,-0.7535614951931198,-0.5778014644466598,No,True
12.0,3.0,social-properties,3.0,antonym,2.0,Chao avoids meeting new people.,Is Chao hostile?,Yes,0,-2.828065872192383,-0.07174956798553467,-2.250264407745723,-0.6495510324321945,-0.5778014644466598,No,False
13.0,4.0,social-properties,4.0,other,1.0,Chao gave Yan a gift.,Is Chao friendly?,Yes,0,-0.5233910083770752,-1.023409366607666,0.05441045606958461,-1.6012108310543258,-0.5778014644466598,Yes,True
14.0,4.0,social-properties,4.0,other,1.0,Chao gave Yan a gift.,Is Chao hostile?,No,0,-1.9374417066574097,-0.18746459484100342,-1.3596402422107499,-0.7652660592876632,-0.5778014644466598,No,True
15.0,4.0,social-properties,4.0,other,2.0,Chao gave Yan a glare.,Is Chao friendly?,No,0,-2.359330415725708,-0.11472487449645996,-1.7815289512790482,-0.6925263389431198,-0.5778014644466598,No,True
16.0,4.0,social-properties,4.0,other,2.0,Chao gave Yan a glare.,Is Chao hostile?,Yes,0,-0.4237833023071289,-1.171847939491272,0.1540181621395309,-1.7496494039379318,-0.5778014644466598,Yes,True
17.0,5.0,social-properties,5.0,antonym,1.0,Chao is reliable.,Is Chao trustworthy?,Yes,0,-0.5429340600967407,-1.0468538999557495,0.034867404349919084,-1.6246553644024093,-0.5778014644466598,Yes,True
18.0,5.0,social-properties,5.0,antonym,1.0,Chao is reliable.,Is Chao untrustworthy?,No,0,-3.3124547004699707,-0.05686342716217041,-2.734653236023311,-0.6346648916088302,-0.5778014644466598,No,True
19.0,5.0,social-properties,5.0,antonym,2.0,Chao is unreliable.,Is Chao trustworthy?,No,0,-3.0937061309814453,-0.09421753883361816,-2.5159046665347855,-0.672019003280278,-0.5778014644466598,No,True
20.0,5.0,social-properties,5.0,antonym,2.0,Chao is unreliable.,Is Chao untrustworthy?,Yes,0,-0.7929242849349976,-0.792941689491272,-0.21512282048833775,-1.3707431539379318,-0.5778014644466598,Yes,True
21.0,6.0,social-properties,6.0,negation,1.0,Chao can be depended upon.,Is Chao trustworthy?,Yes,0,-0.5272971391677856,-1.0312278270721436,0.05050432527887416,-1.6090292915188034,-0.5778014644466598,Yes,True
22.0,6.0,social-properties,6.0,negation,1.0,Chao can be depended upon.,Is Chao untrustworthy?,No,0,-3.0624725818634033,-0.05784475803375244,-2.4846711174167435,-0.6356462224804122,-0.5778014644466598,No,True
23.0,6.0,social-properties,6.0,negation,2.0,Chao cannot be depended upon.,Is Chao trustworthy?,No,0,-2.593703269958496,-0.08981549739837646,-2.0159018055118363,-0.6676169618450363,-0.5778014644466598,No,True
24.0,6.0,social-properties,6.0,negation,2.0,Chao cannot be depended upon.,Is Chao untrustworthy?,Yes,0,-0.7109012603759766,-0.710909366607666,-0.13309979592931676,-1.2887108310543258,-0.5778014644466598,Yes,True
25.0,7.0,social-properties,7.0,antonym,1.0,"Yan told Chao a secret. Today, no one else knows the secret.",Is Chao trustworthy?,Yes,0,-0.6952370405197144,-0.9452537298202515,-0.11743557607305455,-1.5230551942669113,-0.5778014644466598,Yes,True
26.0,7.0,social-properties,7.0,antonym,1.0,"Yan told Chao a secret. Today, no one else knows the secret.",Is Chao untrustworthy?,No,0,-1.5702155828475952,-0.3222067356109619,-0.9924141184009354,-0.9000082000576217,-0.5778014644466598,No,True
27.0,7.0,social-properties,7.0,antonym,2.0,"Yan told Chao a secret. Today, everyone knows the secret.",Is Chao trustworthy?,No,0,-1.164018154144287,-0.4140181541442871,-0.5862166896976273,-0.9918196185909469,-0.5778014644466598,Yes,False
28.0,7.0,social-properties,7.0,antonym,2.0,"Yan told Chao a secret. Today, everyone knows the secret.",Is Chao untrustworthy?,Yes,0,-1.1640055179595947,-0.41009950637817383,-0.5862040535129349,-0.9879009708248336,-0.5778014644466598,Yes,True
29.0,8.0,social-properties,8.0,antonym,1.0,Chao is good at completing important tasks.,Is Chao trustworthy?,Yes,0,-0.8280788660049438,-0.8280969858169556,-0.25027740155828404,-1.4058984502636154,-0.5778014644466598,Yes,True
30.0,8.0,social-properties,8.0,antonym,1.0,Chao is good at completing important tasks.,Is Chao untrustworthy?,No,0,-3.078065872192383,-0.08345997333526611,-2.500264407745723,-0.6612614377819259,-0.5778014644466598,No,True
31.0,8.0,social-properties,8.0,antonym,2.0,Chao is bad at completing important tasks.,Is Chao trustworthy?,No,0,-2.171830415725708,-0.17770707607269287,-1.5940289512790482,-0.7555085405193527,-0.5778014644466598,No,True
32.0,8.0,social-properties,8.0,antonym,2.0,Chao is bad at completing important tasks.,Is Chao untrustworthy?,Yes,0,-1.3983910083770752,-0.394503116607666,-0.8205895439304154,-0.9723045810543258,-0.5778014644466598,Yes,True
33.0,9.0,social-properties,9.0,antonym,1.0,Chao usually keeps promises.,Is Chao trustworthy?,Yes,1,-0.1327667236328125,-2.3749547004699707,0.4687602114060829,-2.976481635508866,-0.6015269350388954,Yes,True
