Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer,fold,raw_yes_logprob,raw_no_logprob,corrected_yes_logprob,corrected_no_logprob,bias_correction,predicted_answer,is_correct
1.0,1.0,material-dynamics,1.0,material,1.0,Chao sees something that is fabric.,Can Chao fold it?,Yes,0,-6.545733451843262,-8.700136184692383,-6.783345202987011,-8.462524433548634,0.23761175114374922,Yes,True
2.0,1.0,material-dynamics,1.0,material,1.0,Chao sees something that is fabric.,Can Chao pour it?,No,0,-6.181314468383789,-4.147162437438965,-6.418926219527538,-3.9095506862952156,0.23761175114374922,No,True
3.0,1.0,material-dynamics,1.0,material,2.0,Chao sees something that is liquid.,Can Chao fold it?,No,0,-8.997803688049316,-10.230474472045898,-9.235415439193066,-9.99286272090215,0.23761175114374922,Yes,False
4.0,1.0,material-dynamics,1.0,material,2.0,Chao sees something that is liquid.,Can Chao pour it?,Yes,0,-6.818267345428467,-6.964106559753418,-7.055879096572216,-6.726494808609669,0.23761175114374922,No,False
5.0,2.0,material-dynamics,2.0,material,1.0,Chao sees the denim.,Can Chao fold it?,Yes,0,-6.338341236114502,-7.761646270751953,-6.575952987258251,-7.524034519608204,0.23761175114374922,Yes,True
6.0,2.0,material-dynamics,2.0,material,1.0,Chao sees the denim.,Can Chao pour it?,No,0,-6.139501094818115,-5.86651611328125,-6.3771128459618645,-5.628904362137501,0.23761175114374922,No,True
7.0,2.0,material-dynamics,2.0,material,2.0,Chao sees the water.,Can Chao fold it?,No,0,-9.076506614685059,-8.850658416748047,-9.314118365828808,-8.613046665604298,0.23761175114374922,No,True
8.0,2.0,material-dynamics,2.0,material,2.0,Chao sees the water.,Can Chao pour it?,Yes,0,-5.587562561035156,-5.817059516906738,-5.8251743121789055,-5.579447765762989,0.23761175114374922,No,False
10.0,3.0,material-dynamics,3.0,material,1.0,Chao sees something that is fabric.,Can Chao stir it?,No,0,-5.806069850921631,-6.35416841506958,-6.04368160206538,-6.116556663925831,0.23761175114374922,Yes,False
12.0,3.0,material-dynamics,3.0,material,2.0,Chao sees something that is liquid.,Can Chao stir it?,Yes,0,-6.773820400238037,-8.008164405822754,-7.011432151381786,-7.770552654679005,0.23761175114374922,Yes,True
16.0,4.0,material-dynamics,4.0,material,2.0,Chao sees the water.,Can Chao stir it?,Yes,0,-4.946305274963379,-6.121675491333008,-5.183917026107128,-5.884063740189259,0.23761175114374922,Yes,True
20.0,5.0,material-dynamics,5.0,material,2.0,Chao sees something that is gas.,Can Chao stir it?,Yes,0,-5.631717681884766,-6.396115303039551,-5.869329433028515,-6.158503551895802,0.23761175114374922,Yes,True
24.0,6.0,material-dynamics,6.0,material,2.0,Chao sees the oxygen.,Can Chao stir it?,Yes,0,-5.392420768737793,-6.2063751220703125,-5.630032519881542,-5.968763370926563,0.23761175114374922,Yes,True
25.0,7.0,material-dynamics,7.0,material,1.0,Chao sees something that is rigid.,Can it break?,Yes,0,-4.794168472290039,-3.809340238571167,-5.031780223433788,-3.5717284874274178,0.23761175114374922,No,False
26.0,7.0,material-dynamics,7.0,material,1.0,Chao sees something that is rigid.,Can it ripple?,No,0,-6.462409973144531,-4.890667915344238,-6.7000217242882805,-4.653056164200489,0.23761175114374922,No,True
27.0,7.0,material-dynamics,7.0,material,2.0,Chao sees something that is fabric.,Can it break?,No,0,-3.3442208766937256,-2.3929202556610107,-3.581832627837475,-2.1553085045172615,0.23761175114374922,No,True
28.0,7.0,material-dynamics,7.0,material,2.0,Chao sees something that is fabric.,Can it ripple?,Yes,0,-3.8475890159606934,-5.635424613952637,-4.085200767104443,-5.3978128628088875,0.23761175114374922,Yes,True
31.0,8.0,material-dynamics,8.0,material,2.0,Chao sees something that is liquid.,Can it break?,No,0,-4.517889022827148,-3.489448070526123,-4.755500773970898,-3.251836319382374,0.23761175114374922,No,True
32.0,8.0,material-dynamics,8.0,material,2.0,Chao sees something that is liquid.,Can it ripple?,Yes,0,-4.556247234344482,-5.472589015960693,-4.793858985488232,-5.234977264816944,0.23761175114374922,Yes,True
33.0,9.0,material-dynamics,9.0,material,1.0,Chao sees something that is non-rigid.,Can it break?,Yes,0,-4.701080799102783,-4.933945178985596,-4.938692550246532,-4.6963334278418465,0.23761175114374922,No,False
34.0,9.0,material-dynamics,9.0,material,1.0,Chao sees something that is non-rigid.,Can it ripple?,No,0,-4.976014614105225,-7.308249473571777,-5.213626365248974,-7.070637722428028,0.23761175114374922,Yes,False
37.0,10.0,material-dynamics,10.0,material,1.0,Chao sees the feather.,Can it break?,Yes,0,-4.670509338378906,-4.38112735748291,-4.9081210895226555,-4.143515606339161,0.23761175114374922,No,False
38.0,10.0,material-dynamics,10.0,material,1.0,Chao sees the feather.,Can it ripple?,No,0,-5.078268527984619,-6.1207427978515625,-5.315880279128368,-5.883131046707813,0.23761175114374922,Yes,False
40.0,10.0,material-dynamics,10.0,material,2.0,Chao sees the denim.,Can it ripple?,Yes,0,-4.163790702819824,-5.675037860870361,-4.401402453963573,-5.437426109726612,0.23761175114374922,Yes,True
47.0,12.0,material-dynamics,12.0,material,2.0,Chao sees the water.,Can it break?,No,0,-5.5932440757751465,-6.039968490600586,-5.830855826918896,-5.802356739456837,0.23761175114374922,No,True
48.0,12.0,material-dynamics,12.0,material,2.0,Chao sees the water.,Can it ripple?,Yes,0,-4.528804779052734,-5.321951389312744,-4.766416530196484,-5.084339638168995,0.23761175114374922,Yes,True
50.0,13.0,material-dynamics,13.0,material,1.0,Chao sees something that is fabric.,Can it disperse?,No,0,-4.464112281799316,-5.873185634613037,-4.701724032943066,-5.635573883469288,0.23761175114374922,Yes,False
52.0,13.0,material-dynamics,13.0,material,2.0,Chao sees something that is gas.,Can it disperse?,Yes,0,-5.17543888092041,-5.811398506164551,-5.413050632064159,-5.573786755020802,0.23761175114374922,Yes,True
53.0,14.0,material-dynamics,14.0,material,1.0,Chao sees something that is rigid.,Can Chao squeeze it?,Yes,1,-5.178380012512207,-5.119134426116943,-5.444911303428503,-4.852603135200647,0.266531290916296,No,False
