question,A,B,C,D,answer,predicted_answer,is_correct,eval_split_ratio,fold,raw_oa_logprob,raw_ob_logprob,raw_oc_logprob,raw_od_logprob,corrected_oa_logprob,corrected_ob_logprob,corrected_oc_logprob,corrected_od_logprob,calib_oa_mean,calib_ob_mean,calib_oc_mean,calib_od_mean,plain_predicted_answer,kfold_predicted_answer,plain_is_correct,kfold_is_correct
"Jerry read a 200-page book in 10 hours. At that rate, how long will it take him to read a 320-page book?",(A) 16 hours,(B) 18 hours,(C) 24 hours,(D) 32 hours,A,C,False,20.0,0,-2.1400632858276367,-1.6318939924240112,-0.6322552561759949,-2.1396992206573486,-0.2053628557345324,-0.2904693494763291,0.5783355053056751,-0.15633078782181986,-1.9347004300931043,-1.3414246429476822,-1.21059076148167,-1.9833684328355288,C,C,False,False
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,(A) 8,(B) 9,(C) 49,(D) 63,A,A,True,20.0,0,-1.2803665399551392,-1.2803665399551392,-2.2797937393188477,-2.7797937393188477,0.6543338901379652,0.061058102992542995,-1.0692029778371777,-0.7964253064833189,-1.9347004300931043,-1.3414246429476822,-1.21059076148167,-1.9833684328355288,A,A,True,True
Find the value of 6 • 24 ÷ (8 − 5).,(A) 48,(B) 13,(C) −13,(D) 54,A,C,False,20.0,0,-1.436946988105774,-1.4365885257720947,-1.4359976053237915,-1.436946988105774,0.4977534419873304,-0.09516388282441257,-0.2254068438421215,0.5464214447297548,-1.9347004300931043,-1.3414246429476822,-1.21059076148167,-1.9833684328355288,C,D,False,False
Change 34 L 18 cL to liters.,(A) 34.18 L,(B) 35.8 L,(C) 34.018 L,(D) 214 L,A,A,True,20.0,0,-0.6006439328193665,-2.1084775924682617,-1.6006721258163452,-2.6084775924682617,1.3340564972737379,-0.7670529495205796,-0.3900813643346752,-0.625109159632733,-1.9347004300931043,-1.3414246429476822,-1.21059076148167,-1.9833684328355288,A,A,True,True
"The Mills Library has 1,007,199 books. The Springvale Library has 907,082 books. Which of the following is the best estimate of how many more books the Mills Library has than the Springvale Library?","(A) 100,000 books","(B) 80,000 books","(C) 10,000 books","(D) 8,000 books",A,A,True,20.0,0,-0.8080429434776306,-1.311946988105774,-1.8115885257720947,-2.3119471073150635,1.1266574866154737,0.02947765484190823,-0.6009977642904247,-0.3285786744795347,-1.9347004300931043,-1.3414246429476822,-1.21059076148167,-1.9833684328355288,A,A,True,True
Max and Jonathon were picking strawberries. Max picked 187 strawberries. Jonathon picked 223 strawberries. Together they ate 26 of the strawberries. Which expression shows a way to find the total number of strawberries Max and Jonathon have left?,(A) 190 + 220 – 30 + 4,(B) 185 + 225 – 25 + 1,(C) 200 + 200 – 30 – 4,(D) 200 + 200 – 25 – 1,A,C,False,20.0,0,-1.5693939924240112,-1.5687984228134155,-1.0693939924240112,-1.5693939924240112,0.3653064376690931,-0.22737377986573337,0.14119676905765877,0.41397444041151754,-1.9347004300931043,-1.3414246429476822,-1.21059076148167,-1.9833684328355288,C,D,False,False
Which number has an absolute value greater than 5?,(A) -6,(B) -5,(C) 0,(D) 5,A,A,True,20.0,0,-0.8746646046638489,-1.3740885257720947,-1.8740885257720947,-1.874446988105774,1.0600358254292555,-0.03266388282441257,-0.6634977642904247,0.10892144472975485,-1.9347004300931043,-1.3414246429476822,-1.21059076148167,-1.9833684328355288,A,A,True,True
"Mr. Jones rolls a six-sided cube numbered 1, 2, 3, 4, 5, 6. What is the probability he rolls a three?",(A) 6-Jan,(B) 5-Jan,(C) 3-Jan,(D) 2-Jan,A,C,False,20.0,0,-3.0775632858276367,-2.0771992206573486,-0.5814674496650696,-2.0771992206573486,-1.1428628557345324,-0.7357745777096665,0.6291233118166004,-0.09383078782181986,-1.9347004300931043,-1.3414246429476822,-1.21059076148167,-1.9833684328355288,C,C,False,False
Find the number that makes the statement true: 0.32 g = _ cg.,(A) 32,(B) 3.2,"(C) 3,200",(D) 320,A,B,False,20.0,0,-3.8271992206573486,-0.8353714346885681,-0.8353714346885681,-2.3271992206573486,-1.8924987905642443,0.506053208259114,0.3752193267931019,-0.34383078782181986,-1.9347004300931043,-1.3414246429476822,-1.21059076148167,-1.9833684328355288,B,B,False,False
"If a freight train travels at a speed of 20 miles per hour for 6 hours, how far will it travel?",(A) 120 miles,(B) 80 miles,(C) 26 miles,(D) 12 miles,A,B,False,20.0,0,-1.0928665399551392,-1.0922476053237915,-1.5928665399551392,-2.5928666591644287,0.8418338901379652,0.24917703762389065,-0.38227577847346916,-0.6094982263288999,-1.9347004300931043,-1.3414246429476822,-1.21059076148167,-1.9833684328355288,B,A,False,True
